sequence,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBCnBFmB0qBXsB,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBSsBlqBfsBUrB,v115@PhD8FeE8DeC8JeT/IvhF3gB1mBxiBcsB2qBSwB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBFsBCsBXrB,v115@PhD8FeE8DeC8JeT/IvhFxiB2qBSsBfsBUrBlqB,v115@PhD8FeE8DeC8JeT/IvhFXhBxiB2qBCsBFsB0qB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBCsBFsBXrB
TLISOZJ,X,O,O,X,X,X,X
TLIZJSO,X,O,O,X,X,X,X
TLIZJOS,X,O,O,X,X,X,X
TLIZSJO,X,O,O,X,X,X,X
TLIZSOJ,X,O,O,X,X,X,X
TLIZOJS,X,O,O,X,X,X,X
TLIZOSJ,X,O,O,X,X,X,X
TLIOJSZ,X,O,X,O,O,X,X
TLIOJZS,X,O,X,O,X,X,X
TLIOSJZ,X,O,X,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X
TLIOZJS,X,O,O,X,X,X,X
TLIOZSJ,X,O,O,X,X,X,X
TLJISZO,X,O,X,O,O,O,O
TLJISOZ,X,O,X,O,O,O,O
TLJIZSO,X,O,X,O,X,O,O
TLJIZOS,X,O,X,O,X,O,O
TLJIOSZ,X,O,X,O,O,O,O
TLJIOZS,X,O,X,O,X,O,O
TLJSIZO,X,O,X,O,O,O,O
TLJSIOZ,X,O,X,O,O,O,O
TLJSZIO,X,O,O,O,O,O,O
TLJSZOI,X,O,O,O,O,O,O
TLJSOIZ,X,O,X,O,O,O,O
TLJSOZI,X,O,O,O,O,O,O
TLJZISO,X,O,O,O,X,O,O
TLJZIOS,X,O,O,O,X,O,O
TLJZSIO,X,O,O,O,O,O,O
TLJZSOI,X,O,O,O,O,O,O
TLJZOIS,X,O,O,O,X,O,O
TLJZOSI,X,O,O,O,O,O,O
TLJOISZ,X,O,X,O,O,O,O
TLJOIZS,X,O,X,O,X,O,O
TLJOSIZ,X,O,X,O,O,O,O
TLJOSZI,X,O,O,O,O,O,O
TLJOZIS,X,O,O,O,X,O,O
TLJOZSI,X,O,O,O,O,O,O
TLSIJZO,X,O,X,X,X,X,X
TLSIJOZ,X,O,X,X,X,X,X
TLSIZJO,X,O,O,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,X
TLSIOZJ,X,O,O,X,X,X,X
TLSJIZO,X,O,X,X,X,X,X
TLSJIOZ,X,O,X,X,X,X,X
TLSJZIO,X,O,O,X,X,X,X
TLSJZOI,X,O,O,X,X,X,X
TLSJOIZ,X,O,X,X,X,X,X
TLSJOZI,X,O,O,X,X,X,X
TLSZIJO,X,O,O,X,X,X,X
TLSZIOJ,X,O,O,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X
TLSZJOI,X,O,O,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X
TLSOIJZ,X,O,X,X,X,X,X
TLSOIZJ,X,O,O,X,X,X,X
TLSOJIZ,X,O,X,X,X,X,X
TLSOJZI,X,O,O,X,X,X,X
TLSOZIJ,X,O,O,X,X,X,X
TLSOZJI,X,O,O,X,X,X,X
TLZIJSO,X,O,O,X,X,X,X
TLZIJOS,X,O,O,X,X,X,X
TLZISJO,X,O,O,X,X,X,X
TLZISOJ,X,O,O,X,X,X,X
TLZIOJS,X,O,O,X,X,X,X
TLZIOSJ,X,O,O,X,X,X,X
TLZJISO,X,O,O,X,X,X,X
TLZJIOS,X,O,O,X,X,X,X
TLZJSIO,X,O,O,X,X,X,X
TLZJSOI,X,O,O,X,X,X,X
TLZJOIS,X,O,O,X,X,X,X
TLZJOSI,X,O,O,X,X,X,X
TLZSIJO,X,O,O,X,X,X,X
TLZSIOJ,X,O,O,X,X,X,X
TLZSJIO,X,O,O,X,X,X,X
TLZSJOI,X,O,O,X,X,X,X
TLZSOIJ,X,O,O,X,X,X,X
TLZSOJI,X,O,O,X,X,X,X
TLZOIJS,X,O,O,X,X,X,X
TLZOISJ,X,O,O,X,X,X,X
TLZOJIS,X,O,O,X,X,X,X
TLZOJSI,X,O,O,X,X,X,X
TLZOSIJ,X,O,O,X,X,X,X
TLZOSJI,X,O,O,X,X,X,X
TLOIJSZ,X,O,X,O,O,X,X
TLOIJZS,X,O,X,O,X,X,X
TLOISJZ,X,O,X,X,X,X,X
TLOISZJ,X,O,O,X,X,X,X
TLOIZJS,X,O,O,X,X,X,X
TLOIZSJ,X,O,O,X,X,X,X
TLOJISZ,X,O,X,O,O,O,O
TLOJIZS,X,O,X,O,X,O,O
TLOJSIZ,X,O,X,O,O,O,O
TLOJSZI,X,O,O,O,O,O,O
TLOJZIS,X,O,O,O,X,O,O
TLOJZSI,X,O,O,O,O,O,O
TLOSIJZ,X,O,X,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,X
TLOSJIZ,X,O,X,X,X,X,X
TLOSJZI,X,O,O,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X
TLOZISJ,X,O,O,X,X,X,X
TLOZJIS,X,O,O,X,X,X,X
TLOZJSI,X,O,O,X,X,X,X
TLOZSIJ,X,O,O,X,X,X,X
TLOZSJI,X,O,O,X,X,X,X
TJILSZO,X,O,X,O,O,X,X
TJILSOZ,X,O,X,O,O,X,X
TJILZSO,X,O,X,O,X,X,X
TJILZOS,X,O,X,O,X,X,X
TJILOSZ,X,O,X,O,O,X,X
TJILOZS,X,O,X,O,X,X,X
TJISLZO,X,O,X,O,X,X,X
TJISLOZ,X,O,X,O,X,X,X
TJISZLO,X,X,X,O,X,X,X
TJISZOL,X,X,X,O,X,X,X
TJISOLZ,X,O,X,O,X,X,X
TJISOZL,X,X,X,O,X,X,X
TJIZLSO,X,O,X,O,X,X,X
TJIZLOS,X,O,X,O,X,X,X
TJIZSLO,X,X,X,O,X,X,X
TJIZSOL,X,X,X,O,X,X,X
TJIZOLS,X,O,X,O,X,X,X
TJIZOSL,X,X,X,O,X,X,X
TJIOLSZ,X,O,X,O,O,X,X
TJIOLZS,X,O,X,O,X,X,X
TJIOSLZ,X,O,X,O,X,X,X
TJIOSZL,X,X,X,O,X,X,X
TJIOZLS,X,O,X,O,X,X,X
TJIOZSL,X,X,X,O,X,X,X
TJLISZO,X,O,X,O,O,O,O
TJLISOZ,X,O,X,O,O,O,O
TJLIZSO,X,O,X,O,X,O,O
TJLIZOS,X,O,X,O,X,O,O
TJLIOSZ,X,O,X,O,O,O,O
TJLIOZS,X,O,X,O,X,O,O
TJLSIZO,X,O,X,O,O,O,O
TJLSIOZ,X,O,X,O,O,O,O
TJLSZIO,X,O,X,O,O,O,O
TJLSZOI,X,O,X,O,O,O,O
TJLSOIZ,X,O,X,O,O,O,O
TJLSOZI,X,O,X,O,O,O,O
TJLZISO,X,O,X,O,X,O,O
TJLZIOS,X,O,X,O,X,O,O
TJLZSIO,X,O,X,O,O,O,O
TJLZSOI,X,O,X,O,O,O,O
TJLZOIS,X,O,X,O,X,O,O
TJLZOSI,X,O,X,O,O,O,O
TJLOISZ,X,O,X,O,O,O,O
TJLOIZS,X,O,X,O,X,O,O
TJLOSIZ,X,O,X,O,O,O,O
TJLOSZI,X,O,X,O,O,O,O
TJLOZIS,X,O,X,O,X,O,O
TJLOZSI,X,O,X,O,O,O,O
TJSILZO,X,O,X,O,X,X,X
TJSILOZ,X,O,X,O,X,X,X
TJSIZLO,X,X,X,O,X,X,X
TJSIZOL,X,X,X,O,X,X,X
TJSIOLZ,X,O,X,O,X,X,X
TJSIOZL,X,X,X,O,X,X,X
TJSLIZO,X,O,X,O,X,O,X
TJSLIOZ,X,O,X,O,X,O,X
TJSLZIO,X,O,X,O,X,O,X
TJSLZOI,X,O,X,O,X,O,X
TJSLOIZ,X,O,X,O,X,O,X
TJSLOZI,X,O,X,O,X,O,X
TJSZILO,X,X,X,O,X,X,X
TJSZIOL,X,X,X,O,X,X,X
TJSZLIO,X,X,X,O,X,X,X
TJSZLOI,X,X,X,O,X,X,X
TJSZOIL,X,X,X,O,X,X,X
TJSZOLI,X,X,X,O,X,X,X
TJSOILZ,X,O,X,O,X,X,X
TJSOIZL,X,X,X,O,X,X,X
TJSOLIZ,X,O,X,O,X,O,X
TJSOLZI,X,O,X,O,X,O,X
TJSOZIL,X,X,X,O,X,X,X
TJSOZLI,X,X,X,O,X,X,X
TJZILSO,X,O,X,O,X,X,X
TJZILOS,X,O,X,O,X,X,X
TJZISLO,X,X,X,O,X,X,X
TJZISOL,X,X,X,O,X,X,X
TJZIOLS,X,O,X,O,X,X,X
TJZIOSL,X,X,X,O,X,X,X
TJZLISO,X,O,X,O,X,X,O
TJZLIOS,X,O,X,O,X,X,O
TJZLSIO,X,O,X,O,X,X,O
TJZLSOI,X,O,X,O,X,X,O
TJZLOIS,X,O,X,O,X,X,O
TJZLOSI,X,O,X,O,X,X,O
TJZSILO,X,X,X,O,X,X,X
TJZSIOL,X,X,X,O,X,X,X
TJZSLIO,X,X,X,O,X,X,X
TJZSLOI,X,X,X,O,X,X,X
