sequence,v115@9gB8HeA8HeB8HeB8BeB8AeA8AeB8JeXAJvhF8lBanB?5nBOoB9rBzpB,v115@9gB8HeA8HeB8HeB8BeB8AeA8AeB8JexAJvhFdnBCjB?GlB/rB8sBzpB,v115@9gB8HeA8HeB8HeB8BeB8AeA8AeB8JeNFJvhF3hB5nB?OoBqpB8rBzqB,v115@9gB8HeA8HeB8HeB8BeB8AeA8AeB8JexAJvhFXjBGlB?imB8rBtsBzpB
TILJSZO,O,X,O,X
TILJSOZ,O,X,X,X
TILJZSO,O,X,O,X
TILJZOS,O,X,O,X
TILJOSZ,O,X,X,X
TILJOZS,O,X,O,X
TILSJZO,O,X,O,X
TILSJOZ,O,X,X,X
TILSZJO,O,X,O,X
TILSZOJ,O,X,O,X
TILSOJZ,O,X,X,X
TILSOZJ,O,X,X,X
TILZJSO,O,X,O,X
TILZJOS,O,X,O,X
TILZSJO,O,X,O,X
TILZSOJ,O,X,O,X
TILZOJS,O,X,O,X
TILZOSJ,O,X,O,X
TILOJSZ,O,X,X,X
TILOJZS,O,X,O,X
TILOSJZ,O,X,X,X
TILOSZJ,O,X,X,X
TILOZJS,O,X,O,X
TILOZSJ,O,X,O,X
TIJLSZO,O,X,O,X
TIJLSOZ,O,X,X,X
TIJLZSO,O,X,O,X
TIJLZOS,O,X,O,X
TIJLOSZ,O,X,X,X
TIJLOZS,O,X,O,X
TIJSLZO,O,O,X,X
TIJSLOZ,O,X,X,X
TIJSZLO,O,O,X,X
TIJSZOL,O,O,X,X
TIJSOLZ,O,X,X,X
TIJSOZL,O,O,X,X
TIJZLSO,O,O,O,X
TIJZLOS,O,X,O,X
TIJZSLO,O,O,O,X
TIJZSOL,O,O,X,X
TIJZOLS,O,X,X,X
TIJZOSL,O,X,X,X
TIJOLSZ,O,X,X,X
TIJOLZS,O,X,X,X
TIJOSLZ,O,X,X,X
TIJOSZL,O,X,X,X
TIJOZLS,O,X,X,X
TIJOZSL,O,X,X,X
TISLJZO,O,X,X,X
TISLJOZ,O,X,X,X
TISLZJO,O,O,X,X
TISLZOJ,O,O,X,X
TISLOJZ,O,X,X,X
TISLOZJ,O,X,X,X
TISJLZO,O,O,X,X
TISJLOZ,O,X,X,X
TISJZLO,O,O,X,X
TISJZOL,O,O,X,X
TISJOLZ,O,X,X,X
TISJOZL,O,O,X,X
TISZLJO,O,O,X,X
TISZLOJ,O,O,X,X
TISZJLO,O,O,X,X
TISZJOL,O,O,X,X
TISZOLJ,O,O,X,X
TISZOJL,O,O,X,X
TISOLJZ,O,X,X,X
TISOLZJ,O,O,X,X
TISOJLZ,O,O,X,X
TISOJZL,O,O,X,X
TISOZLJ,O,O,X,X
TISOZJL,O,O,X,X
TIZLJSO,O,O,O,X
TIZLJOS,O,X,O,X
TIZLSJO,O,O,O,X
TIZLSOJ,O,O,O,X
TIZLOJS,O,O,O,X
TIZLOSJ,O,O,O,X
TIZJLSO,O,O,O,X
