sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TOIJLSZ,X,O,O,X,O,X
TOIJLZS,X,O,O,X,O,X
TOIJSLZ,X,X,O,X,O,O
TOIJSZL,X,X,O,X,O,O
TOIJZLS,X,O,O,X,O,X
TOIJZSL,X,X,O,X,O,X
TOISLJZ,O,X,O,O,O,O
TOISLZJ,O,X,O,O,X,X
TOISJLZ,O,X,O,O,O,O
TOISJZL,O,X,O,O,O,O
TOISZLJ,O,X,O,O,X,X
TOISZJL,O,X,O,O,X,O
TOIZLJS,O,O,O,X,X,X
TOIZLSJ,O,O,O,X,X,X
TOIZJLS,O,O,O,X,X,X
TOIZJSL,O,X,O,O,X,X
TOIZSLJ,O,X,O,O,X,X
TOIZSJL,O,X,O,O,X,X
TOLIJSZ,O,O,O,X,O,X
TOLIJZS,X,O,O,X,O,X
TOLISJZ,O,O,O,X,O,X
TOLISZJ,O,O,O,X,X,X
TOLIZJS,O,O,O,X,X,X
TOLIZSJ,O,O,O,X,X,X
TOLJISZ,O,O,O,X,O,X
TOLJIZS,X,O,O,X,O,X
TOLJSIZ,O,O,O,X,O,X
TOLJSZI,O,O,O,X,O,X
TOLJZIS,O,O,O,X,O,X
TOLJZSI,O,O,O,X,O,X
TOLSIJZ,O,O,O,O,O,X
TOLSIZJ,O,O,O,O,X,X
TOLSJIZ,O,O,O,O,O,X
TOLSJZI,O,O,O,O,O,X
TOLSZIJ,O,O,O,O,X,X
TOLSZJI,O,O,O,O,X,X
TOLZIJS,O,O,O,X,X,X
TOLZISJ,O,O,O,X,X,X
TOLZJIS,O,O,O,X,X,X
TOLZJSI,O,O,O,O,X,X
TOLZSIJ,O,O,O,O,X,X
TOLZSJI,O,O,O,O,X,X
TOJILSZ,X,O,O,X,O,X
TOJILZS,X,O,O,X,O,X
TOJISLZ,X,X,O,X,O,O
TOJISZL,X,X,O,X,O,O
TOJIZLS,X,O,O,X,O,X
TOJIZSL,X,X,O,X,O,X
TOJLISZ,O,O,O,X,O,X
TOJLIZS,X,O,O,X,O,X
TOJLSIZ,O,O,O,X,O,X
TOJLSZI,O,O,O,X,O,X
TOJLZIS,O,O,O,X,O,X
TOJLZSI,O,O,O,X,O,X
TOJSILZ,O,X,O,O,O,O
TOJSIZL,O,X,O,O,O,O
TOJSLIZ,O,O,O,O,O,O
TOJSLZI,O,O,O,O,O,X
TOJSZIL,O,X,O,O,O,O
TOJSZLI,O,O,O,O,O,X
TOJZILS,O,O,O,X,O,X
TOJZISL,O,X,O,O,O,X
TOJZLIS,O,O,O,X,O,X
TOJZLSI,O,O,O,O,O,X
TOJZSIL,O,X,O,O,O,X
TOJZSLI,O,O,O,O,O,X
TOSILJZ,O,X,O,O,O,O
TOSILZJ,O,X,O,O,X,X
TOSIJLZ,O,X,O,O,O,O
TOSIJZL,O,X,O,O,O,O
TOSIZLJ,O,X,O,O,X,X
TOSIZJL,O,X,O,O,X,O
TOSLIJZ,O,O,O,O,O,O
TOSLIZJ,O,O,O,O,X,X
TOSLJIZ,O,O,O,O,O,O
TOSLJZI,O,O,O,O,O,X
TOSLZIJ,O,O,O,O,X,X
TOSLZJI,O,O,O,O,X,X
TOSJILZ,O,X,O,O,O,O
TOSJIZL,O,X,O,O,O,O
TOSJLIZ,O,O,O,O,O,O
TOSJLZI,O,O,O,O,O,X
TOSJZIL,O,X,O,O,O,O
TOSJZLI,O,O,O,O,O,X
TOSZILJ,O,X,O,O,X,X
TOSZIJL,O,X,O,O,X,O
TOSZLIJ,O,O,O,O,X,X
TOSZLJI,O,O,O,O,X,X
TOSZJIL,O,X,O,O,X,O
TOSZJLI,O,O,O,O,X,X
TOZILJS,O,O,O,X,X,X
TOZILSJ,O,O,O,X,X,X
TOZIJLS,O,O,O,X,X,X
TOZIJSL,O,X,O,O,X,X
TOZISLJ,O,X,O,O,X,X
TOZISJL,O,X,O,O,X,X
TOZLIJS,O,O,O,X,X,X
TOZLISJ,O,O,O,X,X,X
TOZLJIS,O,O,O,X,X,X
TOZLJSI,O,O,O,O,X,X
TOZLSIJ,O,O,O,O,X,X
TOZLSJI,O,O,O,O,X,X
TOZJILS,O,O,O,X,X,X
TOZJISL,O,X,O,O,X,X
TOZJLIS,O,O,O,X,X,X
TOZJLSI,O,O,O,O,X,X
TOZJSIL,O,X,O,O,X,X
TOZJSLI,O,O,O,O,X,X
TOZSILJ,O,X,O,O,X,X
TOZSIJL,O,X,O,O,X,X
TOZSLIJ,O,O,O,O,X,X
TOZSLJI,O,O,O,O,X,X
TOZSJIL,O,X,O,O,X,X
TOZSJLI,O,O,O,O,X,X
ITLJSZO,O,O,O,X,O,X
ITLJSOZ,O,O,O,X,O,O
ITLJZSO,X,O,O,X,O,X
ITLJZOS,X,O,O,X,O,X
ITLJOSZ,O,O,O,X,O,X
ITLJOZS,X,O,O,X,O,X
ITLSJZO,O,O,O,X,O,X
ITLSJOZ,O,O,O,X,O,O
ITLSZJO,O,O,O,X,O,X
ITLSZOJ,O,O,O,X,O,X
ITLSOJZ,O,O,O,X,O,O
ITLSOZJ,O,O,O,X,O,X
ITLZJSO,O,O,O,X,O,X
ITLZJOS,O,O,O,X,O,X
ITLZSJO,O,O,O,X,O,X
ITLZSOJ,O,O,O,X,O,X
ITLZOJS,O,O,O,X,X,X
ITLZOSJ,O,O,O,X,X,X
ITLOJSZ,O,O,O,X,O,X
ITLOJZS,X,O,O,X,O,X
ITLOSJZ,O,O,O,X,O,X
ITLOSZJ,O,O,O,X,X,X
ITLOZJS,O,O,O,X,X,X
ITLOZSJ,O,O,O,X,X,X
ITJLSZO,X,O,O,X,O,X
ITJLSOZ,X,O,O,X,O,O
ITJLZSO,X,O,O,X,O,X
ITJLZOS,X,O,O,X,O,X
ITJLOSZ,X,O,O,X,O,X
ITJLOZS,X,O,O,X,O,X
ITJSLZO,X,X,O,X,O,X
ITJSLOZ,X,X,O,X,O,O
ITJSZLO,X,X,O,X,O,X
ITJSZOL,X,X,O,X,O,O
ITJSOLZ,X,X,O,X,O,O
ITJSOZL,X,X,O,X,O,O
ITJZLSO,X,O,O,X,O,X
ITJZLOS,X,O,O,X,O,X
ITJZSLO,X,X,O,X,O,X
ITJZSOL,X,X,O,X,O,O
ITJZOLS,X,O,O,X,O,X
ITJZOSL,X,X,O,X,O,X
ITJOLSZ,X,O,O,X,O,X
ITJOLZS,X,O,O,X,O,X
ITJOSLZ,X,X,O,X,O,O
ITJOSZL,X,X,O,X,O,O
ITJOZLS,X,O,O,X,O,X
ITJOZSL,X,X,O,X,O,X
ITSLJZO,O,X,O,O,O,X
ITSLJOZ,O,X,O,O,O,O
ITSLZJO,O,X,O,O,O,X
ITSLZOJ,O,X,O,O,O,X
ITSLOJZ,O,X,O,O,O,O
ITSLOZJ,O,X,O,O,O,X
ITSJLZO,O,X,O,O,O,X
ITSJLOZ,O,X,O,O,O,O
ITSJZLO,O,X,O,O,O,X
ITSJZOL,O,X,O,O,O,O
ITSJOLZ,O,X,O,O,O,O
ITSJOZL,O,X,O,O,O,O
ITSZLJO,O,X,O,O,O,X
ITSZLOJ,O,X,O,O,O,X
ITSZJLO,O,X,O,O,O,X
ITSZJOL,O,X,O,O,O,O
ITSZOLJ,O,X,O,O,O,X
ITSZOJL,O,X,O,O,O,O
ITSOLJZ,O,X,O,O,O,O
ITSOLZJ,O,X,O,O,O,X
ITSOJLZ,O,X,O,O,O,O
ITSOJZL,O,X,O,O,O,O
ITSOZLJ,O,X,O,O,O,X
ITSOZJL,O,X,O,O,O,O
ITZLJSO,O,O,O,X,O,X
ITZLJOS,O,O,O,X,O,X
ITZLSJO,O,O,O,X,O,X
ITZLSOJ,O,O,O,X,O,X
ITZLOJS,O,O,O,X,X,X
ITZLOSJ,O,O,O,X,X,X
ITZJLSO,O,O,O,X,O,X
ITZJLOS,O,O,O,X,O,X
ITZJSLO,O,X,O,O,O,X
ITZJSOL,O,X,O,O,O,O
ITZJOLS,O,O,O,X,O,X
ITZJOSL,O,X,O,O,O,X
ITZSLJO,O,X,O,O,O,X
ITZSLOJ,O,X,O,O,O,X
ITZSJLO,O,X,O,O,O,X
ITZSJOL,O,X,O,O,O,O
ITZSOLJ,O,X,O,O,O,X
ITZSOJL,O,X,O,O,O,O
ITZOLJS,O,O,O,X,X,X
ITZOLSJ,O,O,O,X,X,X
ITZOJLS,O,O,O,X,X,X
ITZOJSL,O,X,O,O,X,X
ITZOSLJ,O,X,O,O,X,X
ITZOSJL,O,X,O,O,X,X
ITOLJSZ,O,O,O,X,O,X
ITOLJZS,X,O,O,X,O,X
ITOLSJZ,O,O,O,X,O,X
ITOLSZJ,O,O,O,X,X,X
ITOLZJS,O,O,O,X,X,X
ITOLZSJ,O,O,O,X,X,X
ITOJLSZ,X,O,O,X,O,X
ITOJLZS,X,O,O,X,O,X
ITOJSLZ,X,X,O,X,O,O
ITOJSZL,X,X,O,X,O,O
ITOJZLS,X,O,O,X,O,X
ITOJZSL,X,X,O,X,O,X
ITOSLJZ,O,X,O,O,O,O
ITOSLZJ,O,X,O,O,X,X
ITOSJLZ,O,X,O,O,O,O
ITOSJZL,O,X,O,O,O,O
ITOSZLJ,O,X,O,O,X,X
ITOSZJL,O,X,O,O,X,O
ITOZLJS,O,O,O,X,X,X
ITOZLSJ,O,O,O,X,X,X
ITOZJLS,O,O,O,X,X,X
ITOZJSL,O,X,O,O,X,X
ITOZSLJ,O,X,O,O,X,X
ITOZSJL,O,X,O,O,X,X
ILTJSZO,O,O,O,X,O,X
ILTJSOZ,O,O,O,X,O,X
ILTJZSO,X,O,O,X,O,X
ILTJZOS,X,O,O,X,O,X
ILTJOSZ,O,O,O,X,O,X
ILTJOZS,X,O,O,X,O,X
ILTSJZO,O,O,O,X,O,X
ILTSJOZ,O,O,O,X,O,X
ILTSZJO,O,O,O,X,O,X
ILTSZOJ,O,O,O,X,O,X
ILTSOJZ,O,O,O,X,O,X
ILTSOZJ,O,O,O,X,O,X
ILTZJSO,O,O,O,X,O,X
ILTZJOS,O,O,O,X,O,X
ILTZSJO,O,O,O,X,O,X
ILTZSOJ,O,O,O,X,O,X
ILTZOJS,O,O,O,X,X,X
ILTZOSJ,O,O,O,X,X,X
ILTOJSZ,O,O,O,X,O,X
ILTOJZS,X,O,O,X,O,X
ILTOSJZ,O,O,O,X,O,X
ILTOSZJ,O,O,O,X,X,X
ILTOZJS,O,O,O,X,X,X
ILTOZSJ,O,O,O,X,X,X
ILJTSZO,O,O,O,X,O,X
ILJTSOZ,O,O,O,X,O,X
ILJTZSO,X,O,O,X,O,X
ILJTZOS,X,O,O,X,O,X
ILJTOSZ,O,O,O,X,O,X
ILJTOZS,X,O,O,X,O,X
ILJSTZO,O,X,O,X,O,X
ILJSTOZ,O,X,O,X,O,X
ILJSZTO,O,X,X,X,O,X
ILJSZOT,O,O,O,X,O,X
ILJSOTZ,O,X,O,X,O,X
ILJSOZT,O,O,O,X,O,X
ILJZTSO,O,X,X,X,O,X
ILJZTOS,O,O,X,X,O,X
ILJZSTO,O,X,X,X,O,X
ILJZSOT,O,O,X,X,O,X
ILJZOTS,X,O,X,X,O,X
ILJZOST,X,O,X,X,O,X
ILJOTSZ,X,O,O,X,O,X
ILJOTZS,X,O,O,X,O,X
ILJOSTZ,X,X,O,X,O,X
ILJOSZT,X,O,O,X,O,X
ILJOZTS,X,O,X,X,O,X
ILJOZST,X,O,X,X,O,X
ILSTJZO,O,X,O,O,O,X
ILSTJOZ,O,X,O,O,O,X
ILSTZJO,O,X,O,O,O,X
ILSTZOJ,O,X,O,O,O,X
ILSTOJZ,O,X,O,O,O,X
ILSTOZJ,O,X,O,O,O,X
ILSJTZO,O,X,O,X,O,X
ILSJTOZ,O,X,O,X,O,X
ILSJZTO,O,X,X,O,O,X
ILSJZOT,O,O,O,O,O,X
ILSJOTZ,O,X,O,X,O,X
ILSJOZT,O,O,O,O,O,X
ILSZTJO,O,X,O,O,O,X
ILSZTOJ,O,X,O,O,O,X
ILSZJTO,O,X,X,O,O,X
ILSZJOT,O,O,O,O,O,X
ILSZOTJ,O,X,O,O,O,X
ILSZOJT,O,O,O,O,O,X
ILSOTJZ,O,X,O,O,O,X
ILSOTZJ,O,X,O,O,O,X
ILSOJTZ,O,X,O,X,O,X
ILSOJZT,O,O,O,O,O,X
ILSOZTJ,O,X,O,O,O,X
ILSOZJT,O,O,O,O,O,X
ILZTJSO,O,X,O,X,O,X
ILZTJOS,O,O,O,X,O,X
ILZTSJO,O,X,O,X,O,X
ILZTSOJ,O,X,O,X,O,X
ILZTOJS,O,O,O,X,X,X
ILZTOSJ,O,X,O,X,X,X
ILZJTSO,O,X,X,X,O,X
ILZJTOS,O,O,X,X,O,X
ILZJSTO,O,X,X,X,O,X
ILZJSOT,O,O,X,X,O,X
ILZJOTS,X,O,X,X,O,X
ILZJOST,X,O,X,X,O,X
ILZSTJO,O,X,O,X,O,X
ILZSTOJ,O,X,O,X,O,X
ILZSJTO,O,X,X,X,O,X
ILZSJOT,O,O,O,X,O,X
ILZSOTJ,O,X,O,X,O,X
ILZSOJT,O,O,O,X,O,X
ILZOTJS,O,O,O,X,X,X
ILZOTSJ,O,X,O,X,X,X
ILZOJTS,X,O,X,X,O,X
ILZOJST,X,O,X,X,O,X
ILZOSTJ,O,X,O,X,O,X
ILZOSJT,O,O,O,X,O,X
ILOTJSZ,O,O,O,X,O,X
ILOTJZS,X,O,O,X,O,X
ILOTSJZ,O,O,O,X,O,X
ILOTSZJ,O,O,O,X,X,X
ILOTZJS,X,O,O,X,X,X
ILOTZSJ,O,O,O,X,X,X
ILOJTSZ,X,O,O,X,O,X
ILOJTZS,X,O,O,X,O,X
ILOJSTZ,X,X,O,X,O,X
ILOJSZT,X,O,O,X,O,X
ILOJZTS,X,O,X,X,O,X
ILOJZST,X,O,X,X,O,X
ILOSTJZ,O,X,O,O,O,X
ILOSTZJ,O,X,O,O,O,X
ILOSJTZ,O,X,O,X,O,X
ILOSJZT,O,O,O,O,O,X
ILOSZTJ,O,X,O,O,O,X
ILOSZJT,O,O,O,O,O,X
ILOZTJS,O,O,O,X,X,X
ILOZTSJ,O,X,O,X,X,X
ILOZJTS,X,O,X,X,O,X
ILOZJST,X,O,X,X,O,X
ILOZSTJ,O,X,O,X,O,X
ILOZSJT,O,O,O,X,O,X
IJTLSZO,X,O,O,X,O,X
IJTLSOZ,X,O,O,X,O,O
IJTLZSO,X,O,O,X,O,X
IJTLZOS,X,O,O,X,O,X
IJTLOSZ,X,O,O,X,O,X
IJTLOZS,X,O,O,X,O,X
IJTSLZO,X,X,O,X,O,X
IJTSLOZ,X,X,O,X,O,O
IJTSZLO,X,X,O,X,O,X
IJTSZOL,X,X,O,X,O,O
IJTSOLZ,X,X,O,X,O,O
IJTSOZL,X,X,O,X,O,O
IJTZLSO,X,O,O,X,O,X
IJTZLOS,X,O,O,X,O,X
IJTZSLO,X,X,O,X,O,X
IJTZSOL,X,X,O,X,O,O
IJTZOLS,X,O,O,X,O,X
IJTZOSL,X,X,O,X,O,X
IJTOLSZ,X,O,O,X,O,X
IJTOLZS,X,O,O,X,O,X
IJTOSLZ,X,X,O,X,O,O
IJTOSZL,X,X,O,X,O,O
IJTOZLS,X,O,O,X,O,X
IJTOZSL,X,X,O,X,O,X
IJLTSZO,X,O,O,X,O,X
IJLTSOZ,X,O,O,X,O,X
IJLTZSO,X,O,O,X,O,X
IJLTZOS,X,O,O,X,O,X
IJLTOSZ,X,O,O,X,O,X
IJLTOZS,X,O,O,X,O,X
IJLSTZO,X,X,O,X,O,X
IJLSTOZ,X,X,O,X,O,X
IJLSZTO,X,X,X,X,O,X
IJLSZOT,X,O,O,X,O,X
IJLSOTZ,X,X,O,X,O,X
IJLSOZT,X,O,O,X,O,X
IJLZTSO,X,X,X,X,O,X
IJLZTOS,X,O,X,X,O,X
IJLZSTO,X,X,X,X,O,X
IJLZSOT,X,O,X,X,O,X
IJLZOTS,X,O,X,X,O,X
IJLZOST,X,O,X,X,O,X
IJLOTSZ,X,O,O,X,O,X
IJLOTZS,X,O,O,X,O,X
IJLOSTZ,X,X,O,X,O,X
IJLOSZT,X,O,O,X,O,X
IJLOZTS,X,O,X,X,O,X
IJLOZST,X,O,X,X,O,X
IJSTLZO,X,X,O,O,O,X
IJSTLOZ,X,X,O,O,O,O
IJSTZLO,X,X,O,O,O,X
IJSTZOL,X,X,O,O,O,O
IJSTOLZ,X,X,O,O,O,O
IJSTOZL,X,X,O,O,O,O
IJSLTZO,X,X,O,X,O,X
IJSLTOZ,X,X,O,X,O,X
IJSLZTO,X,X,X,O,O,X
IJSLZOT,X,O,O,O,O,X
IJSLOTZ,X,X,O,X,O,X
IJSLOZT,X,O,O,O,O,X
IJSZTLO,X,X,X,O,O,X
IJSZTOL,X,X,X,O,O,X
IJSZLTO,X,X,X,O,O,X
IJSZLOT,X,X,O,O,O,X
IJSZOTL,X,X,O,O,O,X
IJSZOLT,X,X,O,O,O,X
IJSOTLZ,X,X,O,O,O,O
IJSOTZL,X,X,O,O,O,O
IJSOLTZ,X,X,O,X,O,X
IJSOLZT,X,O,O,O,O,X
IJSOZTL,X,X,O,O,O,X
IJSOZLT,X,X,O,O,O,X
IJZTLSO,X,X,X,X,O,X
IJZTLOS,X,X,X,X,O,X
IJZTSLO,X,X,X,X,O,X
IJZTSOL,X,X,X,X,O,X
IJZTOLS,X,X,X,X,O,X
IJZTOSL,X,X,X,X,O,X
IJZLTSO,X,X,X,X,O,X
IJZLTOS,X,O,X,X,O,X
IJZLSTO,X,X,X,X,O,X
IJZLSOT,X,O,X,X,O,X
IJZLOTS,X,O,X,X,O,X
IJZLOST,X,O,X,X,O,X
IJZSTLO,X,X,X,X,O,X
IJZSTOL,X,X,X,X,O,X
IJZSLTO,X,X,X,X,O,X
IJZSLOT,X,X,X,X,O,X
IJZSOTL,X,X,X,X,O,X
IJZSOLT,X,X,X,X,O,X
IJZOTLS,X,X,X,X,O,X
IJZOTSL,X,X,X,X,O,X
IJZOLTS,X,O,X,X,O,X
IJZOLST,X,O,X,X,O,X
IJZOSTL,X,X,X,X,O,X
IJZOSLT,X,X,X,X,O,X
IJOTLSZ,X,O,O,X,O,X
IJOTLZS,X,O,O,X,O,X
IJOTSLZ,X,X,O,X,O,X
IJOTSZL,X,X,O,X,O,X
IJOTZLS,X,O,O,X,O,X
IJOTZSL,X,X,O,X,O,X
IJOLTSZ,X,O,O,X,O,X
IJOLTZS,X,O,O,X,O,X
IJOLSTZ,X,X,O,X,O,X
IJOLSZT,X,O,O,X,O,X
IJOLZTS,X,O,X,X,O,X
IJOLZST,X,O,X,X,O,X
IJOSTLZ,X,X,O,O,O,X
IJOSTZL,X,X,O,O,O,X
IJOSLTZ,X,X,O,X,O,X
IJOSLZT,X,O,O,O,O,X
IJOSZTL,X,X,O,O,O,X
IJOSZLT,X,X,O,O,O,X
IJOZTLS,X,X,X,X,O,X
IJOZTSL,X,X,X,X,O,X
IJOZLTS,X,O,X,X,O,X
IJOZLST,X,O,X,X,O,X
IJOZSTL,X,X,X,X,O,X
IJOZSLT,X,X,X,X,O,X
ISTLJZO,O,X,O,O,O,X
ISTLJOZ,O,X,O,O,O,O
ISTLZJO,O,X,O,O,O,X
ISTLZOJ,O,X,O,O,O,X
ISTLOJZ,O,X,O,O,O,O
ISTLOZJ,O,X,O,O,O,X
ISTJLZO,O,X,O,O,O,X
ISTJLOZ,O,X,O,O,O,O
ISTJZLO,O,X,O,O,O,X
ISTJZOL,O,X,O,O,O,O
ISTJOLZ,O,X,O,O,O,O
ISTJOZL,O,X,O,O,O,O
ISTZLJO,O,X,O,O,O,X
ISTZLOJ,O,X,O,O,O,X
ISTZJLO,O,X,O,O,O,X
ISTZJOL,O,X,O,O,O,O
ISTZOLJ,O,X,O,O,O,X
ISTZOJL,O,X,O,O,O,O
ISTOLJZ,O,X,O,O,O,O
ISTOLZJ,O,X,O,O,O,X
ISTOJLZ,O,X,O,O,O,O
ISTOJZL,O,X,O,O,O,O
ISTOZLJ,O,X,O,O,O,X
ISTOZJL,O,X,O,O,O,O
ISLTJZO,O,X,O,O,O,X
ISLTJOZ,O,X,O,O,O,X
ISLTZJO,O,X,O,O,O,X
ISLTZOJ,O,X,O,O,O,X
ISLTOJZ,O,X,O,O,O,X
ISLTOZJ,O,X,O,O,O,X
ISLJTZO,O,X,O,X,O,X
ISLJTOZ,O,X,O,X,O,X
ISLJZTO,O,X,X,O,O,X
ISLJZOT,O,X,O,O,O,X
ISLJOTZ,O,X,O,X,O,X
ISLJOZT,O,X,O,O,O,X
ISLZTJO,O,X,O,O,O,X
ISLZTOJ,O,X,O,O,O,X
ISLZJTO,O,X,X,O,O,X
ISLZJOT,O,X,O,O,O,X
ISLZOTJ,O,X,O,O,O,X
ISLZOJT,O,X,O,O,O,X
ISLOTJZ,O,X,O,O,O,X
ISLOTZJ,O,X,O,O,O,X
ISLOJTZ,O,X,O,X,O,X
ISLOJZT,O,X,O,O,O,X
ISLOZTJ,O,X,O,O,O,X
ISLOZJT,O,X,O,O,O,X
ISJTLZO,O,X,O,O,O,X
ISJTLOZ,O,X,O,O,O,O
ISJTZLO,O,X,O,O,O,X
ISJTZOL,O,X,O,O,O,O
ISJTOLZ,O,X,O,O,O,O
ISJTOZL,O,X,O,O,O,O
ISJLTZO,O,X,O,X,O,X
ISJLTOZ,O,X,O,X,O,X
ISJLZTO,O,X,X,O,O,X
ISJLZOT,O,X,O,O,O,X
ISJLOTZ,O,X,O,X,O,X
ISJLOZT,O,X,O,O,O,X
ISJZTLO,O,X,X,O,O,X
ISJZTOL,O,X,X,O,O,X
ISJZLTO,O,X,X,O,O,X
ISJZLOT,O,X,O,O,O,X
ISJZOTL,O,X,O,O,O,X
ISJZOLT,O,X,O,O,O,X
ISJOTLZ,X,X,O,O,O,O
ISJOTZL,X,X,O,O,O,O
ISJOLTZ,X,X,O,X,O,X
ISJOLZT,X,X,O,O,O,X
ISJOZTL,X,X,O,O,O,X
ISJOZLT,X,X,O,O,O,X
ISZTLJO,O,X,O,O,O,X
ISZTLOJ,O,X,O,O,O,X
ISZTJLO,O,X,O,O,O,X
ISZTJOL,O,X,O,O,O,X
ISZTOLJ,O,X,O,O,O,X
ISZTOJL,O,X,O,O,O,X
ISZLTJO,O,X,O,O,O,X
ISZLTOJ,O,X,O,O,O,X
ISZLJTO,O,X,X,O,O,X
ISZLJOT,O,X,O,O,O,X
ISZLOTJ,O,X,O,O,O,X
ISZLOJT,O,X,O,O,O,X
ISZJTLO,O,X,X,O,O,X
ISZJTOL,O,X,X,O,O,X
ISZJLTO,O,X,X,O,O,X
ISZJLOT,O,X,O,O,O,X
ISZJOTL,O,X,O,O,O,X
ISZJOLT,O,X,O,O,O,X
ISZOTLJ,O,X,O,O,O,X
ISZOTJL,O,X,O,O,O,X
ISZOLTJ,O,X,O,O,O,X
ISZOLJT,O,X,O,O,O,X
ISZOJTL,O,X,O,O,O,X
ISZOJLT,O,X,O,O,O,X
ISOTLJZ,X,X,O,O,O,O
ISOTLZJ,X,X,O,O,O,X
ISOTJLZ,X,X,O,O,O,O
ISOTJZL,X,X,O,O,O,O
ISOTZLJ,X,X,O,O,O,X
ISOTZJL,X,X,O,O,O,O
ISOLTJZ,X,X,O,O,O,X
ISOLTZJ,X,X,O,O,O,X
ISOLJTZ,X,X,O,X,O,X
ISOLJZT,X,X,O,O,O,X
ISOLZTJ,X,X,O,O,O,X
ISOLZJT,X,X,O,O,O,X
ISOJTLZ,X,X,O,O,O,O
ISOJTZL,X,X,O,O,O,O
ISOJLTZ,X,X,O,X,O,X
ISOJLZT,X,X,O,O,O,X
ISOJZTL,X,X,O,O,O,X
ISOJZLT,X,X,O,O,O,X
ISOZTLJ,X,X,O,O,O,X
ISOZTJL,X,X,O,O,O,X
ISOZLTJ,X,X,O,O,O,X
ISOZLJT,X,X,O,O,O,X
ISOZJTL,X,X,O,O,O,X
ISOZJLT,X,X,O,O,O,X
IZTLJSO,O,X,O,X,O,X
IZTLJOS,O,O,O,X,O,X
IZTLSJO,O,X,O,X,O,X
IZTLSOJ,O,X,O,X,O,X
IZTLOJS,O,O,O,X,X,X
IZTLOSJ,O,X,O,X,X,X
IZTJLSO,O,X,O,X,O,X
IZTJLOS,O,X,O,X,O,X
IZTJSLO,O,X,O,O,O,X
IZTJSOL,O,X,O,O,O,X
IZTJOLS,O,X,O,X,O,X
IZTJOSL,O,X,O,O,O,X
IZTSLJO,O,X,O,O,O,X
IZTSLOJ,O,X,O,O,O,X
IZTSJLO,O,X,O,O,O,X
IZTSJOL,O,X,O,O,O,X
IZTSOLJ,O,X,O,O,O,X
IZTSOJL,O,X,O,O,O,X
IZTOLJS,O,O,O,X,X,X
IZTOLSJ,O,X,O,X,X,X
IZTOJLS,O,X,O,X,X,X
IZTOJSL,O,X,O,O,X,X
IZTOSLJ,O,X,O,O,X,X
IZTOSJL,O,X,O,O,X,X
IZLTJSO,O,X,O,X,O,X
IZLTJOS,O,O,O,X,O,X
IZLTSJO,O,X,O,X,O,X
IZLTSOJ,O,X,O,X,O,X
IZLTOJS,O,O,O,X,X,X
IZLTOSJ,O,X,O,X,X,X
IZLJTSO,O,X,X,X,O,X
IZLJTOS,O,O,X,X,O,X
IZLJSTO,O,X,X,X,O,X
IZLJSOT,O,O,X,X,O,X
IZLJOTS,X,O,X,X,O,X
IZLJOST,X,O,X,X,O,X
IZLSTJO,O,X,O,X,O,X
IZLSTOJ,O,X,O,X,O,X
IZLSJTO,O,X,X,X,O,X
IZLSJOT,O,O,O,X,O,X
IZLSOTJ,O,X,O,X,O,X
IZLSOJT,O,O,O,X,O,X
IZLOTJS,O,O,O,X,X,X
IZLOTSJ,O,X,O,X,X,X
IZLOJTS,X,O,X,X,O,X
IZLOJST,X,O,X,X,O,X
IZLOSTJ,O,X,O,X,O,X
IZLOSJT,O,O,O,X,O,X
IZJTLSO,O,X,X,X,O,X
IZJTLOS,O,X,X,X,O,X
IZJTSLO,O,X,X,O,O,X
IZJTSOL,O,X,X,O,O,X
IZJTOLS,O,X,X,X,O,X
IZJTOSL,O,X,X,O,O,X
IZJLTSO,O,X,X,X,O,X
IZJLTOS,O,O,X,X,O,X
IZJLSTO,O,X,X,X,O,X
IZJLSOT,O,O,X,X,O,X
IZJLOTS,X,O,X,X,O,X
IZJLOST,X,O,X,X,O,X
IZJSTLO,O,X,X,O,O,X
IZJSTOL,O,X,X,O,O,X
IZJSLTO,O,X,X,O,O,X
IZJSLOT,O,X,X,O,O,X
IZJSOTL,O,X,X,O,O,X
IZJSOLT,O,X,X,O,O,X
IZJOTLS,X,X,X,X,O,X
IZJOTSL,X,X,X,O,O,X
IZJOLTS,X,O,X,X,O,X
IZJOLST,X,O,X,X,O,X
IZJOSTL,X,X,X,O,O,X
IZJOSLT,X,X,X,O,O,X
IZSTLJO,O,X,O,O,O,X
IZSTLOJ,O,X,O,O,O,X
IZSTJLO,O,X,O,O,O,X
IZSTJOL,O,X,O,O,O,X
IZSTOLJ,O,X,O,O,O,X
IZSTOJL,O,X,O,O,O,X
IZSLTJO,O,X,O,O,O,X
IZSLTOJ,O,X,O,O,O,X
IZSLJTO,O,X,X,O,O,X
