sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TISZJLO,O,X,O,O,O,X
TISZJOL,O,X,O,O,O,O
TISZOLJ,O,X,O,O,O,X
TISZOJL,O,X,O,O,O,O
TISOLJZ,O,X,O,O,O,O
TISOLZJ,O,X,O,O,O,X
TISOJLZ,O,X,O,O,O,O
TISOJZL,O,X,O,O,O,O
TISOZLJ,O,X,O,O,O,X
TISOZJL,O,X,O,O,O,O
TIZLJSO,O,O,O,X,O,X
TIZLJOS,O,O,O,X,O,X
TIZLSJO,O,O,O,X,O,X
TIZLSOJ,O,O,O,X,O,X
TIZLOJS,O,O,O,X,X,X
TIZLOSJ,O,O,O,X,X,X
TIZJLSO,O,O,O,X,O,X
TIZJLOS,O,O,O,X,O,X
TIZJSLO,O,X,O,O,O,X
TIZJSOL,O,X,O,O,O,O
TIZJOLS,O,O,O,X,O,X
TIZJOSL,O,X,O,O,O,X
TIZSLJO,O,X,O,O,O,X
TIZSLOJ,O,X,O,O,O,X
TIZSJLO,O,X,O,O,O,X
TIZSJOL,O,X,O,O,O,O
TIZSOLJ,O,X,O,O,O,X
TIZSOJL,O,X,O,O,O,O
TIZOLJS,O,O,O,X,X,X
TIZOLSJ,O,O,O,X,X,X
TIZOJLS,O,O,O,X,X,X
TIZOJSL,O,X,O,O,X,X
TIZOSLJ,O,X,O,O,X,X
TIZOSJL,O,X,O,O,X,X
TIOLJSZ,O,O,O,X,O,X
TIOLJZS,X,O,O,X,O,X
TIOLSJZ,O,O,O,X,O,X
TIOLSZJ,O,O,O,X,X,X
TIOLZJS,O,O,O,X,X,X
TIOLZSJ,O,O,O,X,X,X
TIOJLSZ,X,O,O,X,O,X
TIOJLZS,X,O,O,X,O,X
TIOJSLZ,X,X,O,X,O,O
TIOJSZL,X,X,O,X,O,O
TIOJZLS,X,O,O,X,O,X
TIOJZSL,X,X,O,X,O,X
TIOSLJZ,O,X,O,O,O,O
TIOSLZJ,O,X,O,O,X,X
TIOSJLZ,O,X,O,O,O,O
TIOSJZL,O,X,O,O,O,O
TIOSZLJ,O,X,O,O,X,X
TIOSZJL,O,X,O,O,X,O
TIOZLJS,O,O,O,X,X,X
TIOZLSJ,O,O,O,X,X,X
TIOZJLS,O,O,O,X,X,X
TIOZJSL,O,X,O,O,X,X
TIOZSLJ,O,X,O,O,X,X
TIOZSJL,O,X,O,O,X,X
TLIJSZO,O,O,O,X,O,X
TLIJSOZ,O,O,O,X,O,O
TLIJZSO,X,O,O,X,O,X
TLIJZOS,X,O,O,X,O,X
TLIJOSZ,O,O,O,X,O,X
TLIJOZS,X,O,O,X,O,X
TLISJZO,O,O,O,X,O,X
TLISJOZ,O,O,O,X,O,O
TLISZJO,O,O,O,X,O,X
TLISZOJ,O,O,O,X,O,X
TLISOJZ,O,O,O,X,O,O
TLISOZJ,O,O,O,X,O,X
TLIZJSO,O,O,O,X,O,X
TLIZJOS,O,O,O,X,O,X
TLIZSJO,O,O,O,X,O,X
TLIZSOJ,O,O,O,X,O,X
TLIZOJS,O,O,O,X,X,X
TLIZOSJ,O,O,O,X,X,X
TLIOJSZ,O,O,O,X,O,X
TLIOJZS,X,O,O,X,O,X
TLIOSJZ,O,O,O,X,O,X
TLIOSZJ,O,O,O,X,X,X
TLIOZJS,O,O,O,X,X,X
TLIOZSJ,O,O,O,X,X,X
TLJISZO,O,O,O,X,O,X
TLJISOZ,O,O,O,X,O,O
TLJIZSO,X,O,O,X,O,X
TLJIZOS,X,O,O,X,O,X
TLJIOSZ,O,O,O,X,O,X
TLJIOZS,X,O,O,X,O,X
TLJSIZO,O,O,O,X,O,X
TLJSIOZ,O,O,O,X,O,O
TLJSZIO,O,O,O,X,O,X
TLJSZOI,O,O,O,X,O,X
TLJSOIZ,O,O,O,X,O,O
TLJSOZI,O,O,O,X,O,X
TLJZISO,O,O,O,X,O,X
TLJZIOS,O,O,O,X,O,X
TLJZSIO,O,O,O,X,O,X
TLJZSOI,O,O,O,X,O,X
TLJZOIS,O,O,O,X,O,X
TLJZOSI,O,O,O,X,O,X
TLJOISZ,O,O,O,X,O,X
TLJOIZS,X,O,O,X,O,X
TLJOSIZ,O,O,O,X,O,X
TLJOSZI,O,O,O,X,O,X
TLJOZIS,O,O,O,X,O,X
TLJOZSI,O,O,O,X,O,X
TLSIJZO,O,O,O,O,O,X
TLSIJOZ,O,O,O,O,O,O
TLSIZJO,O,O,O,O,O,X
TLSIZOJ,O,O,O,O,O,X
TLSIOJZ,O,O,O,O,O,O
TLSIOZJ,O,O,O,O,O,X
TLSJIZO,O,O,O,O,O,X
TLSJIOZ,O,O,O,O,O,O
TLSJZIO,O,O,O,O,O,X
TLSJZOI,O,O,O,O,O,X
TLSJOIZ,O,O,O,O,O,O
TLSJOZI,O,O,O,O,O,X
TLSZIJO,O,O,O,O,O,X
TLSZIOJ,O,O,O,O,O,X
TLSZJIO,O,O,O,O,O,X
TLSZJOI,O,O,O,O,O,X
TLSZOIJ,O,O,O,O,O,X
TLSZOJI,O,O,O,O,O,X
TLSOIJZ,O,O,O,O,O,O
TLSOIZJ,O,O,O,O,O,X
