sequence,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeT/IvhFigBZnB?GjBUoBlpB3qB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8Je0/IvhFZnBziB?+oB/pBlqBiqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8Je0/IvhFxiB/pB?OsBToBiqBlqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeZHJvhFfoB6oB?TkB2qB0pBlqB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeZHJvhFSoBTkB?2qBUoBlpB3qB,v115@ChA8GeC8IeA8AeA8BeA8CeB8AeC8JeT/IvhFZnBypB?FoB8qBGoBXqB
TILJSZO,X,O,X,X,X,X
TILJSOZ,X,O,X,X,X,X
TILJZSO,O,X,X,X,X,X
TILJZOS,O,X,X,X,X,X
TILJOSZ,X,O,X,X,X,O
TILJOZS,O,X,X,X,O,O
TILSJZO,O,O,X,X,X,X
TILSJOZ,O,O,X,X,X,X
TILSZJO,O,O,X,X,X,X
TILSZOJ,O,X,X,X,X,X
TILSOJZ,O,X,X,X,X,O
TILSOZJ,O,X,X,X,X,O
TILZJSO,O,X,X,X,X,X
TILZJOS,O,X,X,X,X,X
TILZSJO,O,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X
TILZOJS,O,X,X,X,X,O
TILZOSJ,O,X,X,X,X,O
TILOJSZ,X,X,X,X,X,O
TILOJZS,O,X,X,X,O,O
TILOSJZ,X,X,X,X,X,O
TILOSZJ,O,X,X,X,X,O
TILOZJS,O,X,X,X,X,O
TILOZSJ,O,X,X,X,X,O
TIJLSZO,X,O,X,X,X,X
TIJLSOZ,X,O,X,X,X,X
TIJLZSO,O,X,X,X,X,X
TIJLZOS,O,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,O
TIJLOZS,O,X,X,X,O,O
TIJSLZO,X,O,X,X,X,X
TIJSLOZ,X,O,X,O,X,X
TIJSZLO,X,O,X,X,X,X
TIJSZOL,X,O,X,X,X,X
TIJSOLZ,X,O,X,O,X,X
TIJSOZL,X,O,X,X,X,X
TIJZLSO,O,X,X,X,X,X
TIJZLOS,O,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X
TIJZSOL,O,O,X,X,X,X
TIJZOLS,O,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X
TIJOLSZ,X,O,X,X,X,X
TIJOLZS,O,X,X,X,O,X
TIJOSLZ,X,O,X,O,X,X
TIJOSZL,X,O,X,X,X,X
TIJOZLS,O,X,X,X,X,X
TIJOZSL,O,O,X,X,X,X
TISLJZO,O,O,X,X,X,X
TISLJOZ,O,O,X,O,X,X
TISLZJO,O,O,X,X,X,X
TISLZOJ,O,X,X,X,X,X
TISLOJZ,O,X,X,O,X,O
TISLOZJ,O,X,X,X,X,O
TISJLZO,O,O,X,X,X,X
TISJLOZ,O,O,X,O,X,X
TISJZLO,O,O,X,X,X,X
TISJZOL,O,O,X,X,X,X
TISJOLZ,O,O,X,O,X,X
TISJOZL,O,O,X,X,X,X
TISZLJO,O,O,X,X,X,X
TISZLOJ,O,X,X,X,X,X
TISZJLO,O,O,X,X,X,X
TISZJOL,O,O,X,X,X,X
TISZOLJ,O,X,X,X,X,X
TISZOJL,O,O,X,X,X,X
TISOLJZ,O,X,X,O,X,X
TISOLZJ,O,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X
TISOJZL,O,O,X,X,X,X
TISOZLJ,O,X,X,X,X,X
TISOZJL,O,O,X,X,X,X
TIZLJSO,O,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X
TIZLOJS,O,X,X,X,X,O
TIZLOSJ,O,X,X,X,X,O
TIZJLSO,O,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X
TIZJSOL,O,O,X,X,X,X
TIZJOLS,O,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X
TIZSLJO,O,O,X,X,X,X
TIZSLOJ,O,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X
TIZSJOL,O,O,X,X,X,X
TIZSOLJ,O,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X
TIZOLJS,O,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,X
TIZOJLS,O,X,X,X,X,X
TIZOJSL,O,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,O
TIOLJZS,O,X,X,X,O,O
TIOLSJZ,X,X,X,X,X,O
TIOLSZJ,O,X,X,X,X,O
TIOLZJS,O,X,X,X,X,O
TIOLZSJ,O,X,X,X,X,O
TIOJLSZ,X,O,X,X,X,X
TIOJLZS,O,X,X,X,O,X
TIOJSLZ,X,O,X,O,X,X
TIOJSZL,X,O,X,X,X,X
TIOJZLS,O,X,X,X,X,X
TIOJZSL,O,O,X,X,X,X
TIOSLJZ,X,X,X,O,X,X
TIOSLZJ,O,X,X,X,X,X
TIOSJLZ,X,O,X,O,X,X
TIOSJZL,X,O,X,X,X,X
