sequence,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBXjBlmBctBTs?BCsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBTjBlmBcsBXt?BCsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukB3hBlnBctBzr?BCtB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBFiBTjB6rBcs?BXtB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukB3hBFjB6sBct?BzrB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBFiBXjB6rBct?BTsB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBfoB6oBlmB0s?BzrB,v115@AhB8GeB8HeC8FeD8DeA8JeZEJvhFukBlmBcsBToBCs?BXtB,v115@AhB8GeB8HeC8FeD8DeA8Jei/IvhFRiB+oBcpBlmBXs?BzsB,v115@AhB8GeB8HeC8FeD8DeA8Jei/IvhFWoBcpBlmBxsBzr?BXtB,v115@AhB8GeB8HeC8FeD8DeA8JexCJvhFTkBlmB3nBctBip?BWxB
TILJSZO,X,X,X,O,O,O,X,X,X,X,X
TILJSOZ,X,X,X,O,X,O,X,X,X,X,X
TILJZSO,O,O,X,O,O,O,O,X,X,O,X
TILJZOS,X,X,X,O,O,O,X,O,X,O,X
TILJOSZ,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,O,X,X,O,X,O,X,X,X,X,X
TILSJZO,X,X,X,O,O,O,X,X,X,X,X
TILSJOZ,X,X,X,O,X,O,X,X,X,X,X
TILSZJO,X,X,X,O,O,O,X,X,X,X,X
TILSZOJ,X,X,X,O,O,O,X,X,X,X,X
TILSOJZ,X,X,X,O,X,O,X,X,X,X,X
TILSOZJ,X,X,X,O,X,O,X,X,X,X,X
TILZJSO,O,O,X,O,O,O,O,X,X,O,X
TILZJOS,X,X,X,O,O,O,X,O,X,O,X
TILZSJO,O,O,X,O,O,O,O,X,X,O,X
TILZSOJ,X,O,X,O,O,O,O,X,X,X,X
TILZOJS,X,X,X,O,O,O,X,O,X,O,X
TILZOSJ,X,X,X,O,O,O,X,X,X,X,X
