sequence,v115@VhB8CeB8AeH8JeT/IvhF/lBUhBRiBSoB2sBlpB,v115@VhB8CeB8AeH8JeOEJvhFXgBVmBRiBcoBTnBCqB,v115@VhB8CeB8AeH8Jel/IvhFUhBRiBSoB/pBTqB2xB,v115@VhB8CeB8AeH8Jex/IvhFVmBanBGjB/pBUqBzsB,v115@VhB8CeB8AeH8Je0/IvhF/pBRrBFtBTqBmrBCtB
TISJLOZ,X,X,X,X,X
TISJZLO,X,X,X,X,X
TISJZOL,X,X,X,X,X
TISJOLZ,X,X,X,X,X
TISJOZL,X,X,X,X,X
TISZLJO,X,X,X,X,O
TISZLOJ,X,X,X,X,O
TISZJLO,X,X,X,X,O
TISZJOL,X,X,X,X,O
TISZOLJ,X,X,X,X,O
TISZOJL,X,X,X,X,O
TISOLJZ,X,X,X,X,X
TISOLZJ,X,X,X,X,X
TISOJLZ,X,X,X,X,X
TISOJZL,X,X,X,X,X
TISOZLJ,X,X,X,X,X
TISOZJL,X,X,X,X,X
TIZLJSO,X,X,X,X,X
TIZLJOS,X,X,X,X,X
TIZLSJO,X,X,X,X,X
TIZLSOJ,X,X,X,X,X
TIZLOJS,X,X,X,X,X
TIZLOSJ,X,X,X,X,X
TIZJLSO,X,X,X,X,X
TIZJLOS,X,X,X,X,X
TIZJSLO,X,X,X,X,X
TIZJSOL,X,X,X,X,X
TIZJOLS,X,X,X,X,X
TIZJOSL,X,X,X,X,X
TIZSLJO,X,X,X,X,X
TIZSLOJ,X,X,X,X,X
TIZSJLO,X,X,X,X,X
TIZSJOL,X,X,X,X,X
TIZSOLJ,X,X,X,X,X
TIZSOJL,X,X,X,X,X
TIZOLJS,X,X,X,X,X
TIZOLSJ,X,X,X,X,X
TIZOJLS,X,X,X,X,X
TIZOJSL,X,X,X,X,X
TIZOSLJ,X,X,X,X,X
TIZOSJL,X,X,X,X,X
TIOLJSZ,X,X,X,O,X
TIOLJZS,X,X,X,X,X
TIOLSJZ,X,X,X,X,X
TIOLSZJ,X,X,X,X,X
TIOLZJS,X,X,X,X,X
TIOLZSJ,X,X,X,X,X
TIOJLSZ,X,X,X,O,X
TIOJLZS,X,X,X,X,X
TIOJSLZ,X,X,X,X,X
TIOJSZL,X,X,X,X,X
TIOJZLS,X,X,X,X,X
TIOJZSL,X,X,X,X,X
TIOSLJZ,X,X,X,X,X
TIOSLZJ,X,X,X,X,X
TIOSJLZ,X,X,X,X,X
TIOSJZL,X,X,X,X,X
TIOSZLJ,X,X,X,X,X
TIOSZJL,X,X,X,X,X
TIOZLJS,X,X,X,X,X
TIOZLSJ,X,X,X,X,X
TIOZJLS,X,X,X,X,X
TIOZJSL,X,X,X,X,X
TIOZSLJ,X,X,X,X,X
TIOZSJL,X,X,X,X,X
TLIJSZO,X,X,X,O,X
TLIJSOZ,X,X,X,O,X
TLIJZSO,X,X,X,X,X
TLIJZOS,X,X,X,X,X
TLIJOSZ,X,X,X,O,X
TLIJOZS,X,X,X,X,X
TLISJZO,X,X,X,X,X
TLISJOZ,X,X,X,X,X
TLISZJO,X,X,X,X,X
TLISZOJ,O,X,X,X,X
TLISOJZ,X,X,X,X,X
TLISOZJ,O,X,X,X,X
TLIZJSO,X,X,X,X,X
TLIZJOS,X,X,X,X,X
TLIZSJO,X,X,X,X,X
TLIZSOJ,X,X,X,X,X
TLIZOJS,X,X,X,X,X
TLIZOSJ,X,X,X,X,X
TLIOJSZ,X,X,X,O,X
TLIOJZS,X,X,X,X,X
TLIOSJZ,X,X,X,X,X
TLIOSZJ,O,X,X,X,X
TLIOZJS,X,X,X,X,X
TLIOZSJ,X,X,X,X,X
TLJISZO,O,X,X,O,X
TLJISOZ,O,X,X,O,X
TLJIZSO,X,X,X,X,X
TLJIZOS,X,X,X,X,X
TLJIOSZ,O,X,X,O,X
TLJIOZS,X,X,X,X,X
TLJSIZO,O,X,X,O,X
TLJSIOZ,O,X,X,O,X
TLJSZIO,O,X,X,O,X
TLJSZOI,O,X,X,X,X
TLJSOIZ,O,X,X,X,X
TLJSOZI,O,X,X,X,X
TLJZISO,X,X,X,X,X
TLJZIOS,X,X,X,X,X
TLJZSIO,X,X,X,X,X
TLJZSOI,X,X,X,X,X
TLJZOIS,X,X,X,X,X
TLJZOSI,X,X,X,X,X
TLJOISZ,O,X,X,X,X
TLJOIZS,X,X,X,X,X
TLJOSIZ,O,X,X,X,X
TLJOSZI,O,X,X,X,X
TLJOZIS,X,X,X,X,X
TLJOZSI,X,X,X,X,X
TLSIJZO,X,X,X,O,X
TLSIJOZ,X,X,X,O,X
TLSIZJO,X,X,X,X,X
TLSIZOJ,O,X,X,X,X
TLSIOJZ,X,X,X,O,X
TLSIOZJ,O,X,X,X,X
TLSJIZO,O,X,X,O,X
TLSJIOZ,O,X,X,O,X
TLSJZIO,O,X,X,O,X
TLSJZOI,O,X,X,X,X
TLSJOIZ,O,X,X,X,X
TLSJOZI,O,X,X,X,X
TLSZIJO,X,X,X,O,X
TLSZIOJ,O,X,X,O,X
TLSZJIO,O,X,X,O,X
TLSZJOI,O,X,X,X,X
TLSZOIJ,O,X,X,O,X
TLSZOJI,O,X,X,O,X
TLSOIJZ,X,X,X,O,X
TLSOIZJ,O,X,X,X,X
TLSOJIZ,O,X,X,O,X
TLSOJZI,O,X,X,O,X
TLSOZIJ,O,X,X,O,X
TLSOZJI,O,X,X,O,X
TLZIJSO,X,X,X,X,X
TLZIJOS,X,X,X,X,X
TLZISJO,X,X,X,X,X
TLZISOJ,X,X,X,X,X
TLZIOJS,X,X,X,X,X
TLZIOSJ,X,X,X,X,X
TLZJISO,X,X,X,X,X
TLZJIOS,X,X,X,X,X
TLZJSIO,X,X,X,X,X
TLZJSOI,X,X,X,X,X
TLZJOIS,X,X,X,X,X
TLZJOSI,X,X,X,X,X
TLZSIJO,X,X,X,X,X
TLZSIOJ,X,X,X,X,X
TLZSJIO,X,X,X,X,X
TLZSJOI,X,X,X,X,X
TLZSOIJ,X,X,X,X,X
TLZSOJI,X,X,X,X,X
TLZOIJS,X,X,X,X,X
TLZOISJ,X,X,X,X,X
TLZOJIS,X,X,X,X,X
TLZOJSI,X,X,X,X,X
TLZOSIJ,X,X,X,X,X
TLZOSJI,X,X,X,X,X
TLOIJSZ,X,X,X,O,X
TLOIJZS,X,X,X,X,X
TLOISJZ,X,X,X,X,X
TLOISZJ,O,X,X,X,X
TLOIZJS,X,X,X,X,X
TLOIZSJ,X,X,X,X,X
TLOJISZ,O,X,X,O,X
TLOJIZS,X,X,X,X,X
TLOJSIZ,O,X,X,O,X
TLOJSZI,O,X,X,O,X
TLOJZIS,X,X,X,X,X
TLOJZSI,X,X,X,X,X
TLOSIJZ,X,X,X,O,X
TLOSIZJ,O,X,X,X,X
TLOSJIZ,O,X,X,O,X
TLOSJZI,O,X,X,O,X
TLOSZIJ,O,X,X,O,X
TLOSZJI,O,X,X,O,X
TLOZIJS,X,X,X,X,X
TLOZISJ,X,X,X,X,X
TLOZJIS,X,X,X,X,X
TLOZJSI,X,X,X,X,X
TLOZSIJ,X,X,X,X,X
TLOZSJI,X,X,X,X,X
TJILSZO,O,X,X,O,X
TJILSOZ,O,X,X,O,X
TJILZSO,X,X,X,X,X
TJILZOS,X,X,X,X,X
TJILOSZ,O,X,X,O,X
TJILOZS,X,X,X,X,X
TJISLZO,O,X,X,X,X
TJISLOZ,O,X,X,X,X
TJISZLO,O,X,X,X,X
TJISZOL,O,X,X,X,X
TJISOLZ,O,X,X,X,X
TJISOZL,O,X,X,X,X
TJIZLSO,X,X,X,X,X
TJIZLOS,X,X,X,X,X
TJIZSLO,X,X,X,X,X
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,O,X,X,X,X
TJIOLZS,X,X,X,X,X
TJIOSLZ,O,X,X,X,X
TJIOSZL,O,X,X,X,X
TJIOZLS,X,X,X,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,O,X,X,O,X
TJLISOZ,O,X,X,O,X
TJLIZSO,X,X,X,X,X
TJLIZOS,X,X,X,X,X
TJLIOSZ,O,X,X,O,X
TJLIOZS,X,X,X,X,X
TJLSIZO,O,X,X,O,X
TJLSIOZ,O,X,X,O,X
TJLSZIO,O,X,X,O,X
TJLSZOI,O,X,X,X,X
TJLSOIZ,O,X,X,X,X
TJLSOZI,O,X,X,X,X
TJLZISO,X,X,X,X,X
TJLZIOS,X,X,X,X,X
TJLZSIO,X,X,X,X,X
TJLZSOI,X,X,X,X,X
TJLZOIS,X,X,X,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,O,X,X,X,X
TJLOIZS,X,X,X,X,X
TJLOSIZ,O,X,X,X,X
TJLOSZI,O,X,X,X,X
TJLOZIS,X,X,X,X,X
TJLOZSI,X,X,X,X,X
TJSILZO,O,X,X,O,X
TJSILOZ,O,X,X,O,X
TJSIZLO,O,X,X,X,X
TJSIZOL,O,X,X,X,X
TJSIOLZ,O,X,X,X,X
TJSIOZL,O,X,X,X,X
TJSLIZO,O,X,X,O,X
TJSLIOZ,O,X,X,O,X
TJSLZIO,O,X,X,O,X
TJSLZOI,O,X,X,X,X
TJSLOIZ,O,X,X,X,X
TJSLOZI,O,X,X,X,X
TJSZILO,O,X,X,O,X
TJSZIOL,O,O,X,X,X
TJSZLIO,O,X,X,O,X
TJSZLOI,O,X,X,X,X
TJSZOIL,O,O,X,X,X
TJSZOLI,O,X,X,X,X
TJSOILZ,O,X,X,X,X
TJSOIZL,O,X,X,X,X
TJSOLIZ,O,X,X,X,X
TJSOLZI,O,X,X,X,X
TJSOZIL,O,O,X,X,X
TJSOZLI,O,X,X,X,X
TJZILSO,X,X,X,X,X
TJZILOS,X,X,X,X,X
TJZISLO,X,X,X,X,X
TJZISOL,X,O,X,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,X,X,X,X
TJZLIOS,X,X,X,X,X
TJZLSIO,X,X,X,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,X,X,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,X,X,X,X,X
TJZSIOL,X,O,X,X,X
TJZSLIO,X,X,X,X,X
TJZSLOI,X,X,X,X,X
TJZSOIL,X,O,X,X,X
TJZSOLI,X,X,X,X,X
TJZOILS,X,X,X,X,X
TJZOISL,X,O,X,X,X
TJZOLIS,X,X,X,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,X,O,X,X,X
TJZOSLI,X,X,X,X,X
TJOILSZ,O,X,X,X,X
TJOILZS,X,X,X,X,X
TJOISLZ,O,X,X,X,X
TJOISZL,O,X,X,X,X
TJOIZLS,X,X,X,X,X
TJOIZSL,X,X,X,X,X
TJOLISZ,O,X,X,X,X
TJOLIZS,X,X,X,X,X
TJOLSIZ,O,X,X,X,X
TJOLSZI,O,X,X,X,X
TJOLZIS,X,X,X,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,O,X,X,X,X
TJOSIZL,O,X,X,X,X
TJOSLIZ,O,X,X,X,X
TJOSLZI,O,X,X,X,X
TJOSZIL,O,O,X,X,X
TJOSZLI,O,X,X,X,X
TJOZILS,X,X,X,X,X
TJOZISL,X,O,X,X,X
TJOZLIS,X,X,X,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,X,O,X,X,X
TJOZSLI,X,X,X,X,X
TSILJZO,X,X,X,O,X
TSILJOZ,X,X,X,O,X
TSILZJO,X,X,X,X,X
TSILZOJ,X,X,X,X,X
TSILOJZ,X,X,X,O,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,O,X
TSIJLOZ,X,X,X,O,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,X,X,X,X,O
TSIZLOJ,X,X,X,X,O
TSIZJLO,X,X,X,X,O
TSIZJOL,X,X,X,X,O
TSIZOLJ,X,X,X,X,O
TSIZOJL,X,X,X,X,O
TSIOLJZ,X,X,X,O,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,O,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,X,X,O,X
TSLIJOZ,X,X,X,O,X
TSLIZJO,X,X,X,X,X
TSLIZOJ,O,X,X,X,X
TSLIOJZ,X,X,X,O,X
TSLIOZJ,O,X,X,X,X
TSLJIZO,O,X,X,O,X
TSLJIOZ,O,X,X,O,X
TSLJZIO,O,X,X,O,X
TSLJZOI,O,X,X,X,X
TSLJOIZ,O,X,X,X,X
TSLJOZI,O,X,X,X,X
TSLZIJO,X,X,X,O,X
TSLZIOJ,O,X,X,O,X
TSLZJIO,O,X,X,O,X
TSLZJOI,O,X,X,X,X
TSLZOIJ,O,X,X,O,X
TSLZOJI,O,X,X,O,X
TSLOIJZ,X,X,X,O,X
TSLOIZJ,O,X,X,X,X
TSLOJIZ,O,X,X,O,X
TSLOJZI,O,X,X,O,X
TSLOZIJ,O,X,X,O,X
TSLOZJI,O,X,X,O,X
TSJILZO,O,X,X,O,X
TSJILOZ,O,X,X,O,X
TSJIZLO,O,X,X,X,X
TSJIZOL,O,X,X,X,X
TSJIOLZ,O,X,X,X,X
TSJIOZL,O,X,X,X,X
TSJLIZO,O,X,X,O,X
TSJLIOZ,O,X,X,O,X
TSJLZIO,O,X,X,O,X
TSJLZOI,O,X,X,X,X
TSJLOIZ,O,X,X,X,X
TSJLOZI,O,X,X,X,X
TSJZILO,O,X,X,O,X
TSJZIOL,O,O,X,X,X
TSJZLIO,O,X,X,O,X
TSJZLOI,O,X,X,X,X
TSJZOIL,O,O,X,X,X
TSJZOLI,O,X,X,X,X
TSJOILZ,O,X,X,X,X
TSJOIZL,O,X,X,X,X
TSJOLIZ,O,X,X,X,X
TSJOLZI,O,X,X,X,X
TSJOZIL,O,O,X,X,X
TSJOZLI,O,X,X,X,X
TSZILJO,X,X,X,O,O
TSZILOJ,O,X,X,O,O
TSZIJLO,X,X,X,O,O
TSZIJOL,X,O,X,X,O
TSZIOLJ,O,X,X,O,O
TSZIOJL,X,X,X,O,O
TSZLIJO,X,X,X,O,X
TSZLIOJ,O,X,X,O,X
TSZLJIO,O,X,X,O,X
TSZLJOI,O,X,X,X,X
TSZLOIJ,O,X,X,O,X
TSZLOJI,O,X,X,O,X
TSZJILO,O,X,X,O,X
TSZJIOL,O,O,X,X,X
TSZJLIO,O,X,X,O,X
TSZJLOI,O,X,X,X,X
TSZJOIL,O,O,X,X,X
TSZJOLI,O,X,X,X,X
TSZOILJ,O,X,X,O,X
TSZOIJL,X,O,X,O,X
TSZOLIJ,O,X,X,O,X
TSZOLJI,O,X,X,O,X
TSZOJIL,O,O,X,O,X
TSZOJLI,O,X,X,O,X
TSOILJZ,X,X,X,O,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,X,X,X,O,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,X,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,X,X,O,X
TSOLIZJ,O,X,X,X,X
TSOLJIZ,O,X,X,O,X
TSOLJZI,O,X,X,O,X
TSOLZIJ,O,X,X,O,X
TSOLZJI,O,X,X,O,X
