sequence,v115@AhA8IeB8GeC8EeF8Nem/IvhFxhB6oBTkBfsBUtBlsB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBUjBTkBXnBStBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBlhBXnBToBCoBxxB,v115@AhA8IeB8GeC8EeF8Nem/IvhFlhBTkB6tBRsBcsBXtB,v115@AhA8IeB8GeC8EeF8NeKEJvhFzfB0hBxiBFsBXtBGtB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBlkB+tBikBRsBTsB,v115@AhA8IeB8GeC8EeF8Nei/IvhFziB+oB3kBUnBlmBxxB,v115@AhA8IeB8GeC8EeF8NeOEJvhF8kBxhBzmBFtB6tB3sB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFXjBikB+tBlkBRsBTsB,v115@AhA8IeB8GeC8EeF8Ne2EJvhFziB5oBUnB3kBlmByxB,v115@AhA8IeB8GeC8EeF8Ne0BJvhFTjBlkBWtBikBXnBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBlkBWtBikB0mBxxB,v115@AhA8IeB8GeC8EeF8NeXCJvhFTjBikBWtBlkB0mBxxB
TIZLOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,X,O,X,X,X,X,X,X,X
TIZJLOS,O,X,X,X,O,X,X,X,X,X,O,X,X
TIZJSLO,X,X,O,X,X,O,O,X,X,X,X,X,X
TIZJSOL,X,X,O,X,X,O,O,X,X,X,O,O,X
TIZJOLS,X,X,X,X,X,X,X,O,X,X,O,X,X
TIZJOSL,X,X,O,X,X,O,O,O,X,X,O,O,X
TIZSLJO,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZSLOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,X,O,X,O,X,X,X,X,X,X
TIZSJOL,X,O,O,X,X,X,O,X,X,X,O,X,X
TIZSOLJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZSOJL,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,O,X,X,O,X,X,X,X,X
TIZOLSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,X,X,O,X,X,O,X,X
TIZOJSL,X,O,O,X,X,X,X,O,X,X,O,X,X
TIZOSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,O,O,X,X,X,X,O,X,X,X,X,X
TIOLJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOLZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,X,X,X,X,X,O,X
TIOJLZS,X,X,X,O,X,X,X,X,X,X,O,X,X
TIOJSLZ,X,O,X,O,X,X,X,X,X,X,X,O,X
TIOJSZL,O,O,X,X,X,X,X,X,X,X,O,O,X
TIOJZLS,O,X,X,O,X,X,X,O,X,X,O,X,X
TIOJZSL,X,O,X,X,X,X,X,O,X,X,O,O,X
TIOSLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,O,O,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,O,X,X,X,X,X
TIOZLJS,O,X,X,O,X,X,X,O,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,X,O,X,X,O,X,X
TIOZJSL,X,O,O,X,X,X,X,O,X,X,O,X,X
TIOZSLJ,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,O,O,X,X,X,X,O,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,O,O,X,X
TLIJOSZ,X,X,X,O,X,X,X,X,X,X,X,O,O
TLIJOZS,X,X,X,O,X,X,X,X,X,O,O,X,X
TLISJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLISZJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLISOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,O,X,X,X,X,O,O,X,X
TLIZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,O,O,X,X,X,X,O,X,X,X
TLIZOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,O,X,X,X,X,X,O,X,X,X
TLIOSJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X
TLIOZSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,O,X,X,O,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJSIZO,X,X,X,X,O,O,X,X,O,X,X,X,X
TLJSIOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,O,O,X,X,O,X,X,X,X
TLJSZOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TLJSOIZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,X,X,O,X,X,X,X
TLJZIOS,X,X,X,X,O,X,X,X,X,O,X,X,X
TLJZSIO,X,X,X,X,O,O,X,X,O,X,X,X,X
TLJZSOI,X,X,X,X,O,O,X,X,O,X,X,X,X
TLJZOIS,X,X,X,X,O,X,X,X,X,O,X,X,X
TLJZOSI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,O,X,X,X,X,X,O,X,X,X
TLJOSIZ,X,X,X,O,O,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,O,O,X,X,X,X,O,X,X,X
TLJOZSI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSIZJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSIOZJ,X,O,O,O,O,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZIJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZJIO,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZOJI,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSOIZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSOJIZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLSOJZI,X,O,X,X,O,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSOZJI,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZIJSO,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,O,X,X,X,X,O,O,X,X
TLZISJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZISOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,O,O,X,X,X,X,O,X,X,X
TLZIOSJ,X,X,X,O,O,X,X,X,X,X,X,X,X
TLZJISO,X,X,O,X,X,O,X,X,O,X,X,X,X
TLZJIOS,X,X,X,X,O,X,X,X,X,O,X,X,X
TLZJSIO,X,X,O,X,O,O,X,X,O,X,X,X,X
