sequence,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxgBTiB/pBGmBiq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lBGiBikB3mBzp?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhFXhBTiBmkBSrB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jem/IvhFRhBSnBTkBUmBXq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lB+mBTiB/pBaq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jex/IvhF8lBSnBTkBeqB3m?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jei/IvhF+mBTiBRlB3lB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeKEJvhFzfBGiBRmBUmBXq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8Jem/IvhFfmB6mBTiBxpBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8JeGBJvhFTiBUmBxpBlsB/p?BaqB,v115@FhB8HeB8IeB8BeD8AeB8JeyEJvhFzgBGiB3mBxpBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxhB/pBzlBCnBOq?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeFAJvhF0hBzlBmpBRsB/p?B6sB,v115@FhB8HeB8IeB8BeD8AeB8JeT/IvhF3gBxmB2qBCnB0p?BlsB,v115@FhB8HeB8IeB8BeD8AeB8JeXAJvhFxhB2pBzlBCnBls?B0pB,v115@FhB8HeB8IeB8BeD8AeB8Je0/IvhFxhB2pBzlBCnBls?BXqB,v115@FhB8HeB8IeB8BeD8AeB8Jel/IvhFThB/pB2sBxqBcq?B6sB,v115@FhB8HeB8IeB8BeD8AeB8JeT/IvhFVmBypB0nBRrBXq?BGsB
TILJSZO,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TILJZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TILJZOS,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TILJOSZ,O,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TILJOZS,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TILSJZO,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TILSJOZ,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TILSZOJ,O,O,O,O,X,X,X,O,O,X,O,O,X,O,X,X,X,X
TILSOJZ,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,O,X,X
TILSOZJ,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TILZJSO,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TILZJOS,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TILZSOJ,X,X,O,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X
TILZOJS,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
TILZOSJ,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X
TILOJSZ,O,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TILOJZS,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TILOSJZ,O,X,O,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TILOSZJ,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TILOZJS,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X
TILOZSJ,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIJLSZO,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJLZOS,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
