sequence,v115@GhA8IeA8GeD8BeB8AeD8Je2EJvhFRgBanBziB3lB9r?B0pB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFXgB8lBRiB9rBin?BzpB,v115@GhA8IeA8GeD8BeB8AeD8Jex/IvhFXhBdnBziBypBGr?B0pB,v115@GhA8IeA8GeD8BeB8AeD8Jem/IvhFChBdnBziB/rBxp?B0pB,v115@GhA8IeA8GeD8BeB8AeD8Je0/IvhFxhBynB2pBzlBtr?BXqB,v115@GhA8IeA8GeD8BeB8AeD8Jei/IvhFRhBziB9pBOqBXm?B8rB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhF8kBzgBRiB9rBin?BXqB,v115@GhA8IeA8GeD8BeB8AeD8Je0/IvhFxhBynB/pBzlBtr?BOqB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFXgB8lBRnB9rBin?BzpB,v115@GhA8IeA8GeD8BeB8AeD8JeNEJvhFUhBRiBXlBinBGr?BzpB,v115@GhA8IeA8GeD8BeB8AeD8JeyEJvhFfmBmhBziBtrBxp?B0pB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhFNlBRhBziBqpBXm?B8rB,v115@GhA8IeA8GeD8BeB8AeD8JeOEJvhF8kBzgBRnB9rBin?BXqB,v115@GhA8IeA8GeD8BeB8AeD8JezAJvhF/pBUlBRnB9rBin?BmpB
TILJSZO,X,O,O,O,X,X,O,X,X,O,O,X,X,X
TILJSOZ,X,O,O,O,X,O,O,O,X,O,O,X,X,X
TILJZSO,X,O,O,X,X,O,X,X,X,O,X,X,X,X
TILJZOS,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TILJOSZ,X,O,O,O,O,O,O,O,X,O,O,X,X,X
TILJOZS,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TILSJZO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TILSJOZ,O,O,X,O,X,X,O,O,X,O,O,X,X,X
TILSZJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TILSZOJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TILSOJZ,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TILSOZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TILZJSO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TILZJOS,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TILZSJO,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TILZSOJ,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TILZOJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TILOJSZ,X,O,O,O,O,O,O,O,X,O,O,X,X,X
TILOJZS,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TILOSJZ,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TILOSZJ,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TILOZJS,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TIJLSZO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
TIJLSOZ,X,O,O,O,X,O,X,O,X,O,O,X,X,X
TIJLZSO,X,O,O,X,X,O,X,X,X,O,X,X,X,X
TIJLZOS,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TIJLOSZ,X,O,O,O,O,O,X,O,X,O,O,X,X,X
TIJLOZS,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TIJSLZO,X,X,O,O,X,X,X,X,X,O,O,X,X,X
TIJSLOZ,X,X,O,O,X,O,X,O,X,O,O,X,X,X
TIJSZLO,X,O,X,O,X,X,O,X,X,O,O,X,X,X
TIJSZOL,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TIJSOLZ,X,X,O,O,X,O,X,O,X,X,O,X,X,X
TIJSOZL,X,O,O,O,X,X,O,O,X,X,O,X,X,X
