sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFzgBGiB3mBxpBls?BUqB
IZJTLOS,O,X,O,X,X,X,O,X,X,X,X,X,O,X
IZJTSLO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZJTSOL,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZJTOLS,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IZJTOSL,O,X,O,X,X,X,X,X,X,X,X,O,O,X
IZJLTSO,O,X,O,X,X,X,O,X,X,X,X,X,O,X
IZJLTOS,X,X,X,X,X,X,O,X,X,X,X,X,O,X
IZJLSTO,O,X,O,X,X,O,O,X,X,X,X,X,O,X
IZJLSOT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,O,X,X,X,X,X,O,X
IZJLOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZJSTOL,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZJSLTO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZJSLOT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJSOTL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJSOLT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOLTS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJOLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSTLOJ,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSTJLO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSTJOL,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSTOLJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X
IZSTOJL,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSLTJO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSLTOJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X
IZSLJTO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSLJOT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSJTLO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSJTOL,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSJLTO,O,X,O,X,X,O,X,X,X,X,X,O,O,X
IZSJLOT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSJOTL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSJOLT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSOTLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZSOJLT,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOTLJS,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOTLSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTJLS,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOTJSL,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTSLJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTSJL,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLTJS,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZOLTSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLJTS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLJST,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOJTSL,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOJLTS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,O,X,X,X,X,X,O,X,O,X,O
IOTLJZS,O,O,X,O,X,X,X,X,X,X,O,X,O,O
IOTLSJZ,O,O,X,O,X,O,X,X,X,O,X,O,X,O
IOTLSZJ,O,O,X,O,X,O,X,X,X,O,X,O,O,O
IOTLZJS,O,O,X,O,X,O,X,X,X,X,O,X,O,O
IOTLZSJ,O,O,X,O,X,O,X,X,X,X,O,X,O,X
IOTJLSZ,O,O,X,O,X,X,X,X,X,O,X,O,X,O
IOTJLZS,O,O,X,O,X,X,X,X,X,X,O,X,O,O
IOTJSLZ,O,X,X,O,X,X,X,X,X,O,X,O,X,O
IOTJSZL,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IOTJZLS,X,O,X,X,X,X,X,X,X,X,O,X,O,O
IOTJZSL,O,O,X,X,X,X,X,X,X,O,O,O,O,X
IOTSLJZ,O,X,X,O,X,O,X,X,X,O,X,O,X,O
IOTSLZJ,O,X,X,O,X,O,X,X,X,O,X,O,O,O
IOTSJLZ,O,X,X,O,X,X,X,X,X,O,X,O,X,O
IOTSJZL,O,X,X,X,X,O,X,X,X,O,X,O,X,O
IOTSZLJ,X,X,X,X,X,O,X,X,X,O,X,O,O,O
IOTSZJL,O,X,X,X,X,O,X,X,X,O,X,O,O,O
IOTZLJS,X,O,X,O,X,O,X,X,X,X,O,X,O,O
IOTZLSJ,X,O,X,O,X,O,X,X,X,X,O,X,O,X
IOTZJLS,X,O,X,X,X,O,X,X,X,X,O,X,O,O
IOTZJSL,O,O,X,X,X,O,X,X,X,O,O,O,O,X
IOTZSLJ,X,X,X,X,X,O,X,X,X,O,O,O,O,X
IOTZSJL,O,O,X,X,X,O,X,X,X,O,O,O,O,X
IOLTJSZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IOLTJZS,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOLTSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IOLTSZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,O
IOLTZJS,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOLTZSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLJTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLJTZS,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOLJSTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLJSZT,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLJZTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O
IOLSTZJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLSJZT,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IOLSZTJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,O,X,O,X,X,X,O,X,X,X,X
IOLZTJS,X,O,X,O,X,X,X,X,X,X,X,X,O,O
IOLZTSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOLZJTS,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IOLZJST,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOLZSJT,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,X,X,X,X,O,X,O
IOJTLZS,O,O,X,O,X,X,X,X,X,X,O,X,X,O
IOJTSLZ,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IOJTSZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJTZLS,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOJTZSL,O,O,X,X,X,X,X,X,X,X,O,O,X,X
IOJLTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJLTZS,X,O,X,O,X,X,X,X,X,X,X,X,X,O
IOJLSTZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJLSZT,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJLZTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOJSTZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZTLS,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOJZTSL,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOJZLST,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,X,X,O,O,X,X,X
IOSTLJZ,O,X,X,X,X,O,X,X,X,O,X,O,X,O
IOSTLZJ,O,X,X,O,X,O,X,X,X,O,X,O,X,X
IOSTJLZ,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IOSTJZL,O,X,X,X,X,O,X,X,X,O,X,O,X,X
IOSTZLJ,X,X,X,X,X,O,X,X,X,O,X,O,X,X
IOSTZJL,O,X,X,X,X,O,X,X,X,O,X,O,X,X
IOSLTJZ,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IOSLTZJ,X,X,X,O,X,O,X,X,X,O,X,O,X,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOSLJZT,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSLZTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSLZJT,O,X,X,O,X,O,X,X,X,O,X,X,X,X
IOSJTLZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOSJTZL,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOSJLZT,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSJZTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSZTLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSZJTL,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZTLJS,X,O,X,O,X,O,X,X,X,X,O,X,O,O
IOZTLSJ,X,O,X,O,X,O,X,X,X,X,O,X,O,X
IOZTJLS,X,O,X,X,X,O,X,X,X,X,O,X,O,O
IOZTJSL,X,O,X,X,X,O,X,X,X,X,O,X,O,X
IOZTSLJ,X,X,X,X,X,O,X,X,X,X,O,X,O,X
IOZTSJL,X,O,X,X,X,O,X,X,X,X,O,X,O,X
IOZLTJS,X,O,X,O,X,X,X,X,X,X,O,X,O,O
IOZLTSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IOZLJTS,X,O,X,O,X,X,X,X,X,X,O,X,O,X
IOZLJST,X,O,X,O,X,O,X,X,X,X,O,X,X,X
IOZLSTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLSJT,X,O,X,O,X,O,X,X,X,X,O,X,X,X
IOZJTLS,X,O,X,X,X,O,X,X,X,X,O,X,O,X
IOZJTSL,X,O,X,X,X,O,X,X,X,X,O,X,O,X
IOZJLTS,X,O,X,X,X,X,X,X,X,X,O,X,O,X
IOZJLST,X,O,X,X,X,O,X,X,X,X,O,X,X,X
IOZJSTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IOZSTLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSLJT,X,X,X,X,X,O,X,X,X,O,O,X,X,X
IOZSJTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZSJLT,O,O,X,X,X,O,X,X,X,O,O,X,X,X
LTIJSZO,O,O,O,O,X,O,X,O,O,O,X,O,X,O
LTIJSOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTIJZSO,O,O,O,O,X,O,O,O,O,X,X,X,O,O
LTIJZOS,O,O,O,O,O,X,O,O,O,X,X,X,O,O
LTIJOSZ,O,O,O,O,O,X,O,O,O,X,X,O,X,O
LTIJOZS,O,O,O,O,O,X,O,O,O,X,X,X,O,O
LTISJZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
LTISJOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTISZJO,O,O,O,O,X,O,O,X,X,O,X,O,O,O
LTISZOJ,O,O,O,O,X,O,O,X,O,X,X,O,O,O
LTISOJZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTISOZJ,O,O,O,O,X,O,O,X,O,X,X,O,O,O
LTIZJSO,O,O,O,O,X,O,O,O,X,X,X,X,O,O
LTIZJOS,O,O,O,O,X,X,O,O,X,X,X,X,O,O
LTIZSJO,O,O,O,O,X,O,O,X,X,X,X,X,O,O
LTIZSOJ,O,O,O,X,X,O,O,X,X,X,X,X,O,O
LTIZOJS,O,O,O,O,X,X,O,O,X,X,X,X,O,O
LTIZOSJ,O,O,O,O,X,X,O,X,X,X,X,X,O,X
LTIOJSZ,O,O,O,O,O,X,O,O,O,X,X,O,X,O
LTIOJZS,O,O,O,O,O,X,O,O,O,X,O,X,O,O
LTIOSJZ,O,O,O,O,O,O,O,O,O,X,X,O,X,O
LTIOSZJ,O,O,O,O,X,O,O,X,O,X,X,O,O,O
LTIOZJS,O,O,O,O,X,O,O,O,X,X,O,X,O,O
LTIOZSJ,O,O,O,O,X,O,O,X,X,X,O,X,O,X
LTJISZO,O,O,O,O,O,O,X,O,O,O,X,X,X,O
LTJISOZ,O,O,O,O,O,X,O,O,O,O,X,X,X,O
LTJIZSO,O,O,O,O,X,O,O,O,O,X,X,X,X,O
LTJIZOS,O,O,O,O,O,X,O,O,O,X,X,X,X,O
LTJIOSZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
LTJIOZS,O,O,O,O,O,X,O,O,O,X,X,X,X,O
LTJSIZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
LTJSIOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTJSZIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
LTJSZOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTJSOZI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
LTJZISO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
LTJZIOS,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTJZSIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTJZSOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTJZOIS,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTJZOSI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
LTJOISZ,O,O,O,O,O,X,O,O,O,O,X,X,X,X
LTJOIZS,O,O,O,O,O,X,O,O,O,X,O,X,X,X
LTJOSIZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
LTJOSZI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
LTJOZIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
LTJOZSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
LTSIJZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
LTSIJOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTSIZJO,O,O,O,O,X,O,O,X,X,O,X,O,X,O
LTSIZOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,O
LTSIOJZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTSIOZJ,O,O,O,O,X,O,O,X,O,X,X,O,X,O
LTSJIZO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
LTSJIOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTSJZIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X
LTSJZOI,O,O,O,O,O,O,X,O,O,X,X,X,X,X
LTSJOIZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
LTSJOZI,O,O,O,O,O,X,O,O,O,X,X,X,X,X
LTSZIJO,O,O,O,O,X,O,O,X,X,O,X,O,X,X
LTSZIOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X
LTSZJIO,O,O,O,O,O,O,O,X,O,O,X,X,X,X
LTSZJOI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
LTSZOIJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X
LTSZOJI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
LTSOIJZ,O,O,O,O,O,O,O,O,O,O,X,O,X,O
LTSOIZJ,O,O,O,O,X,O,O,X,O,X,X,O,X,O
LTSOJIZ,O,O,O,O,O,O,O,O,O,O,X,O,X,O
LTSOJZI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
LTSOZIJ,O,O,O,O,X,O,O,X,O,X,O,O,X,X
LTSOZJI,O,O,O,O,O,O,O,X,O,X,O,X,X,X
LTZIJSO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
LTZIJOS,O,O,O,O,X,X,O,O,X,X,X,X,O,X
LTZISJO,O,O,O,O,X,O,O,X,X,X,X,X,O,X
LTZISOJ,O,O,O,X,X,O,O,X,X,X,X,X,O,X
LTZIOJS,O,O,O,O,X,X,O,O,X,X,X,X,O,X
LTZIOSJ,O,O,O,O,X,X,O,X,X,X,X,X,O,X
LTZJISO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
LTZJIOS,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTZJSIO,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTZJSOI,O,O,O,O,X,O,O,O,O,X,X,X,X,X
LTZJOIS,O,O,O,O,O,X,O,O,O,X,X,X,O,X
LTZJOSI,O,O,O,O,O,O,O,O,O,X,X,X,X,X
LTZSIJO,O,O,O,O,X,O,O,X,X,X,X,O,X,X
LTZSIOJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X
LTZSJIO,O,O,O,O,O,O,O,X,O,X,X,X,X,X
LTZSJOI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
LTZSOIJ,O,O,O,O,X,O,O,X,O,X,X,O,X,X
LTZSOJI,O,O,O,O,O,O,O,X,O,X,X,X,X,X
LTZOIJS,O,O,O,O,X,O,O,O,X,X,O,X,O,X
LTZOISJ,O,O,O,O,X,O,O,X,X,X,O,X,O,X
LTZOJIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
LTZOJSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
LTZOSIJ,O,O,O,O,X,O,O,X,O,X,O,O,X,X
LTZOSJI,O,O,O,O,O,O,O,X,O,X,O,X,X,X
LTOIJSZ,O,O,O,O,O,X,O,O,O,O,X,O,X,X
LTOIJZS,O,O,O,O,O,X,O,O,O,X,O,X,O,X
LTOISJZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
LTOISZJ,O,O,O,O,X,O,O,X,O,O,X,O,O,X
LTOIZJS,O,O,O,O,X,O,O,O,X,X,O,X,O,X
LTOIZSJ,O,O,O,O,X,O,O,X,X,X,O,X,O,X
LTOJISZ,O,O,O,O,O,X,O,O,O,O,X,X,X,X
LTOJIZS,O,O,O,O,O,X,O,O,O,X,O,X,X,X
LTOJSIZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
LTOJSZI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
LTOJZIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
LTOJZSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
LTOSIJZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
LTOSIZJ,O,O,O,O,X,O,O,X,O,O,X,O,X,X
LTOSJIZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
LTOSJZI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
LTOSZIJ,O,O,O,O,X,O,O,X,O,O,O,O,X,X
LTOSZJI,O,O,O,O,O,O,O,X,O,O,O,X,X,X
LTOZIJS,O,O,O,O,X,O,O,O,X,X,O,X,O,X
LTOZISJ,O,O,O,O,X,O,O,X,X,X,O,X,O,X
LTOZJIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
LTOZJSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
LTOZSIJ,O,O,O,O,X,O,O,X,O,X,O,O,X,X
LTOZSJI,O,O,O,O,O,O,O,X,O,X,O,X,X,X
LITJSZO,X,O,O,O,X,X,X,O,O,X,X,O,X,O
LITJSOZ,X,X,X,O,O,X,O,O,O,X,X,O,X,O
LITJZSO,O,X,O,O,X,X,O,O,O,X,X,X,O,O
LITJZOS,X,X,X,O,O,X,O,O,O,X,X,X,O,O
LITJOSZ,O,X,X,O,O,X,O,O,O,X,X,O,X,O
LITJOZS,X,O,X,O,O,X,O,O,O,X,X,X,O,O
LITSJZO,X,O,O,O,O,X,X,O,O,X,X,O,X,O
LITSJOZ,X,X,X,O,O,X,O,O,O,X,X,O,X,O
LITSZJO,X,O,O,O,X,O,O,X,X,X,X,O,O,O
LITSZOJ,X,O,O,O,X,X,O,X,O,X,X,O,O,O
LITSOJZ,X,O,X,O,O,X,O,O,O,X,X,O,X,O
LITSOZJ,X,O,X,O,X,X,O,X,O,X,X,O,O,O
LITZJSO,O,X,O,O,X,X,O,O,X,X,X,X,O,O
LITZJOS,X,X,X,O,X,X,O,O,X,X,X,X,O,O
LITZSJO,O,X,O,O,X,X,O,X,X,X,X,X,O,O
LITZSOJ,X,X,O,X,X,X,O,X,X,X,X,X,O,O
LITZOJS,X,X,X,O,X,X,O,O,X,X,X,X,O,O
LITZOSJ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LITOJSZ,O,X,X,O,O,X,O,O,O,X,X,O,X,O
LITOJZS,X,O,X,O,O,X,O,O,O,X,X,X,O,O
LITOSJZ,O,X,X,O,O,X,O,O,O,X,X,O,X,O
LITOSZJ,X,X,X,O,X,X,O,X,O,X,X,O,O,O
LITOZJS,X,O,X,O,X,X,O,O,X,X,X,X,O,O
LITOZSJ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LIJTSZO,X,O,O,X,X,X,X,O,O,X,X,O,X,O
LIJTSOZ,X,X,X,X,O,X,O,O,O,X,X,O,X,O
LIJTZSO,O,X,O,O,X,X,O,O,O,X,X,X,O,O
LIJTZOS,X,X,X,O,O,X,O,O,O,X,X,X,O,O
LIJTOSZ,O,X,X,X,O,X,O,O,O,X,X,O,X,O
LIJTOZS,X,O,X,X,O,X,O,O,O,X,X,X,O,O
LIJSTZO,X,O,O,X,O,X,X,O,O,X,X,O,X,X
LIJSTOZ,X,X,X,X,O,X,O,O,O,X,X,O,X,X
LIJSZTO,O,O,O,X,O,O,X,O,O,X,X,O,X,X
LIJSZOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X
LIJSOTZ,O,O,X,X,O,X,X,X,O,X,X,O,X,X
LIJSOZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJZTSO,O,X,O,O,X,X,O,O,O,X,X,X,O,X
LIJZTOS,X,X,X,O,O,X,O,O,O,X,X,X,O,X
LIJZSTO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
LIJZSOT,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LIJZOTS,O,O,X,X,X,X,O,O,X,X,X,X,O,X
LIJZOST,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJOTSZ,O,X,X,X,O,X,O,O,O,X,X,X,X,O
LIJOTZS,X,O,X,X,O,X,O,O,O,X,X,X,X,O
LIJOSTZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LIJOSZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LIJOZTS,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LIJOZST,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LISTJZO,X,O,O,X,O,X,X,O,O,X,X,O,X,O
LISTJOZ,X,X,X,X,O,X,O,O,O,X,X,O,X,O
LISTZJO,X,O,O,O,X,O,O,X,X,X,X,O,O,O
LISTZOJ,X,O,O,X,X,X,O,X,O,X,X,O,O,O
LISTOJZ,X,O,X,X,O,X,O,O,O,X,X,O,X,O
LISTOZJ,X,O,X,X,X,X,O,X,O,X,X,O,O,O
LISJTZO,X,O,O,X,O,X,X,O,O,X,X,O,X,X
LISJTOZ,X,X,X,X,O,X,O,O,O,X,X,O,X,X
