sequence,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFukB3gBUiBF?jB6rBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBFiBX?jB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBXjBl?mBUqBCsB,v115@QhA8DeA8AeD8AeA8BeA8AeD8Jei/IvhF1lBxhBXjBc?pBurBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBFiBXjBz?kB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBXjBzkBl?mBUqBCsB
TILJSZO,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X
TILZJOS,X,X,X,X,X,X
TILZSJO,O,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X
TILOJZS,O,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X
TILOZJS,O,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X
TIJSZOL,X,X,O,X,X,X
TIJSOLZ,X,X,X,X,X,O
TIJSOZL,X,X,X,X,X,O
TIJZLSO,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X
TIJZSOL,X,X,O,X,X,X
TIJZOLS,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,X
TIJOLSZ,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,X,O
TIJOSZL,X,X,X,X,X,O
TIJOZLS,X,X,X,X,X,X
