sequence,v115@RhA8EeB8AeC8BeF8Jei/IvhFRhB3iBcoBTmBGqBFqB,v115@RhA8EeB8AeC8BeF8Je/EJvhFUgBamBumBxnBFoBTqB,v115@RhA8EeB8AeC8BeF8JeT/IvhF/lBxiBimBFoBGmBUqB,v115@RhA8EeB8AeC8BeF8JeT/IvhFxgBliBcoB3mBGqBiqB,v115@RhA8EeB8AeC8BeF8JezAJvhFRiBcoBlkBCnBmkB3qB,v115@RhA8EeB8AeC8BeF8Jex/IvhF3iBcoBlkBGmBimBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFzgBumBxnB0kBFoB3qB,v115@RhA8EeB8AeC8BeF8JeT/IvhFumB3iBcoBRqBiqBlqB,v115@RhA8EeB8AeC8BeF8JeSIJvhFxkBlmB0kBXmBmnBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFumBzlBxnB0kBFoB3qB
TIOLSJZ,X,O,X,X,X,X,X,X,O,X
TIOLSZJ,X,O,O,X,X,X,X,X,O,X
TIOLZJS,X,X,O,X,X,X,X,X,O,X
TIOLZSJ,X,X,O,X,X,X,X,X,O,X
TIOJLSZ,X,O,X,X,X,X,X,X,X,O
TIOJLZS,X,X,O,X,X,X,X,X,X,O
TIOJSLZ,X,O,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,X,X,X,O,X,X
TIOJZSL,X,X,O,X,X,O,X,O,X,X
TIOSLJZ,X,O,X,X,X,X,X,X,X,X
TIOSLZJ,X,O,O,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,X,O,O,X,X,X,X,X,X,X
TIOSZJL,X,O,O,X,X,X,X,X,X,X
TIOZLJS,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,X,X,X,X
TIOZJLS,X,X,O,X,X,X,X,O,X,X
TIOZJSL,X,X,O,X,X,O,X,O,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,X
TIOZSJL,X,X,O,X,X,O,X,O,X,X
TLIJSZO,X,O,X,X,X,X,X,X,O,X
TLIJSOZ,X,X,X,X,X,X,O,X,O,X
TLIJZSO,X,X,O,X,X,O,X,X,O,X
