sequence,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBfmB0hB6?nBNqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBzgBfnB6?nBNqB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFCgB8lB+mBT?iBdqBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukB3gB9nB0?mBiqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFfmBxhBcpBN?qBGnBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFtkBzhB+nB3?lB0rBiqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBSsB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFzgBWnBcpBN?qBxrBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBcsB6rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JezAJvhFfnB6nBxpB0?rBOpBdqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JefGJvhFxhBTkBNqBu?rBcsBipB
TILJSZO,O,X,O,O,X,O,X,X,X,X,X
TILJSOZ,O,X,O,O,X,X,O,X,X,X,X
TILJZSO,O,O,O,O,X,O,X,O,X,X,X
TILJZOS,O,O,O,O,X,O,X,O,X,X,X
TILJOSZ,O,X,X,O,X,X,O,X,X,X,X
TILJOZS,O,O,X,O,X,X,O,O,X,X,X
TILSJZO,O,X,O,O,X,O,X,X,X,X,X
TILSJOZ,O,X,O,O,X,X,O,X,X,X,X
TILSZJO,O,X,O,O,X,O,X,X,X,X,X
TILSZOJ,O,X,O,O,X,X,X,X,X,X,X
TILSOJZ,O,X,O,O,X,X,O,X,X,X,X
TILSOZJ,O,X,O,O,X,X,X,X,X,X,X
TILZJSO,O,O,O,O,X,O,X,O,X,X,X
TILZJOS,O,O,O,O,X,O,X,O,X,X,X
TILZSJO,O,O,O,O,X,O,X,O,X,X,X
TILZSOJ,O,O,O,O,X,X,X,O,X,X,X
TILZOJS,O,O,O,O,X,X,X,O,X,X,X
TILZOSJ,O,O,O,O,X,X,X,O,X,X,X
TILOJSZ,O,X,X,O,X,X,O,X,X,X,X
TILOJZS,O,O,X,O,X,X,O,O,X,X,X
TILOSJZ,O,X,X,O,X,X,O,X,X,X,X
TILOSZJ,O,X,O,O,X,X,X,X,X,X,X
TILOZJS,O,O,O,O,X,X,X,O,X,X,X
TILOZSJ,O,O,O,O,X,X,X,O,X,X,X
TIJLSZO,O,X,O,O,X,O,X,X,X,X,X
TIJLSOZ,O,X,O,O,X,X,O,X,X,X,X
TIJLZSO,O,O,O,O,X,O,X,O,X,X,X
TIJLZOS,O,O,O,O,X,O,X,O,O,X,X
TIJLOSZ,O,X,X,O,X,X,O,X,X,X,X
TIJLOZS,O,O,X,O,X,X,O,O,O,X,X
TIJSLZO,O,X,O,O,O,O,X,X,X,X,X
TIJSLOZ,O,X,O,O,X,X,X,X,X,X,X
TIJSZLO,O,O,O,X,O,O,X,O,X,X,X
TIJSZOL,O,O,O,X,O,O,X,O,O,X,X
TIJSOLZ,O,X,O,X,X,X,O,X,X,X,X
TIJSOZL,O,O,O,X,O,O,X,O,O,X,X
TIJZLSO,O,O,O,O,O,O,X,O,X,X,X
TIJZLOS,O,O,O,O,X,O,X,O,O,X,X
TIJZSLO,O,O,O,X,O,O,X,O,X,X,X
TIJZSOL,O,O,O,X,O,O,X,O,O,X,X
TIJZOLS,O,O,O,X,X,O,O,O,O,X,X
TIJZOSL,O,O,O,X,X,O,X,O,O,X,X
TIJOLSZ,O,X,X,O,X,X,O,X,X,X,X
TIJOLZS,O,O,X,O,X,X,O,O,O,X,X
TIJOSLZ,O,X,O,X,X,X,O,X,X,X,X
TIJOSZL,O,O,O,X,X,O,X,O,O,X,X
TIJOZLS,O,O,O,X,X,O,O,O,O,X,X
TIJOZSL,O,O,O,X,X,O,X,O,O,X,X
TISLJZO,O,X,O,O,X,O,X,X,X,X,X
TISLJOZ,O,X,O,O,X,X,X,X,X,X,X
TISLZJO,O,X,O,O,O,O,X,X,X,X,X
TISLZOJ,O,X,O,O,O,X,X,X,X,X,X
TISLOJZ,O,X,O,O,X,X,X,X,X,X,X
TISLOZJ,O,X,O,O,X,X,X,X,X,X,X
TISJLZO,O,X,O,O,O,O,X,X,X,X,X
TISJLOZ,O,X,O,O,X,X,X,X,X,X,X
