sequence,v115@PhA8AeB8AeA8DeA8AeE8CeB8JeT/IvhFOlBXhBdnB5?nB6oB0rB,v115@PhA8AeB8AeA8DeA8AeE8CeB8JeT/IvhFNlB3hB5nB6?oBesBUrB,v115@PhA8AeB8AeA8DeA8AeE8CeB8JeT/IvhFNlBUhB6oBx?rBXsBGsB
TJISLOZ,X,O,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,O,X
TJISOZL,X,X,X
TJIZLSO,X,X,X
TJIZLOS,X,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,X,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,O,X
TJIOLZS,X,X,X
TJIOSLZ,X,O,X
TJIOSZL,X,X,X
TJIOZLS,X,X,X
TJIOZSL,X,X,X
TJLISZO,X,X,X
TJLISOZ,X,O,X
TJLIZSO,X,X,X
TJLIZOS,X,X,X
TJLIOSZ,X,O,X
TJLIOZS,X,X,X
TJLSIZO,X,X,X
TJLSIOZ,X,O,X
TJLSZIO,X,X,X
TJLSZOI,X,X,X
TJLSOIZ,X,O,X
TJLSOZI,X,X,X
TJLZISO,X,X,X
TJLZIOS,X,X,X
TJLZSIO,X,X,X
TJLZSOI,X,X,X
TJLZOIS,X,X,X
TJLZOSI,X,X,X
TJLOISZ,X,O,X
TJLOIZS,X,X,X
TJLOSIZ,X,O,X
TJLOSZI,X,X,X
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,X,X,X
TJSILOZ,X,O,X
TJSIZLO,X,X,X
TJSIZOL,X,X,X
TJSIOLZ,X,O,X
TJSIOZL,X,X,X
TJSLIZO,X,X,X
TJSLIOZ,X,O,X
TJSLZIO,X,X,X
TJSLZOI,X,X,X
TJSLOIZ,X,O,X
TJSLOZI,X,X,X
TJSZILO,X,X,X
TJSZIOL,X,X,X
TJSZLIO,X,X,X
TJSZLOI,X,X,X
TJSZOIL,X,X,X
TJSZOLI,X,X,X
TJSOILZ,X,O,X
TJSOIZL,X,X,X
TJSOLIZ,X,O,X
