sequence,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBGhBiiBU?mBFqBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFzfBfmBiiBW?sBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8Jex/IvhFylBzhBOpB3?nBFqB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFFgBiiBfqBz?lBWsB0rB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFXhBzkBUnBG?rBFqBisB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JexAJvhFiiBlkBcqBT?mBOpBXsB,v115@GhA8GeC8HeB8AeA8AeB8BeC8JeZEJvhFylBzhBWqB3?nB0rBFqB
TILJSZO,O,O,O,X,X,X,X
TILJSOZ,O,O,X,O,X,X,X
TILJZSO,O,O,O,X,X,X,X
TILJZOS,O,O,O,X,X,X,X
TILJOSZ,O,O,X,O,X,X,X
TILJOZS,O,O,O,X,X,X,X
TILSJZO,O,O,X,X,X,X,X
TILSJOZ,O,O,X,O,X,X,X
TILSZJO,O,X,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X
TILZJSO,O,X,O,X,X,X,X
TILZJOS,O,X,O,X,X,X,X
TILZSJO,O,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X
TILZOJS,O,X,O,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X,X
TILOJZS,O,O,X,X,X,X,X
TILOSJZ,O,O,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X
TIJLSZO,O,O,O,X,X,X,X
TIJLSOZ,O,O,X,O,X,X,X
TIJLZSO,O,O,O,X,X,X,X
TIJLZOS,O,O,O,X,X,X,O
TIJLOSZ,O,O,X,O,X,X,X
TIJLOZS,O,O,O,X,X,X,X
TIJSLZO,O,O,O,X,X,X,X
TIJSLOZ,O,O,X,O,X,X,X
TIJSZLO,O,O,O,X,X,X,X
TIJSZOL,O,O,O,X,O,X,X
TIJSOLZ,O,O,X,O,X,X,X
TIJSOZL,O,O,X,O,O,X,X
TIJZLSO,O,O,O,X,X,X,X
TIJZLOS,O,O,O,X,X,X,O
TIJZSLO,O,O,O,X,X,X,X
TIJZSOL,O,O,O,X,O,X,X
TIJZOLS,O,O,O,X,X,X,O
TIJZOSL,O,O,O,X,O,X,X
TIJOLSZ,O,O,X,O,X,X,X
TIJOLZS,O,O,O,X,X,X,X
TIJOSLZ,O,O,X,O,X,X,X
TIJOSZL,O,O,X,O,O,X,X
TIJOZLS,O,O,O,X,X,X,X
TIJOZSL,O,O,O,X,O,X,X
TISLJZO,O,O,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X
TISLZJO,O,X,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X
TISLOZJ,O,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X
TISJLOZ,O,O,X,O,X,X,X
TISJZLO,O,O,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X
TISJOLZ,O,O,X,O,X,X,X
TISJOZL,O,O,X,O,X,X,X
TISZLJO,O,X,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X
TISZOLJ,O,X,X,X,X,X,X
TISZOJL,O,O,X,O,X,X,X
TISOLJZ,O,O,X,O,X,X,X
TISOLZJ,O,X,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X,X
TISOJZL,O,O,X,O,X,X,X
TISOZLJ,O,X,X,X,X,X,X
TISOZJL,O,O,X,O,X,X,X
TIZLJSO,O,X,O,X,X,X,X
TIZLJOS,O,X,O,X,X,X,O
TIZLSJO,O,X,X,X,X,X,X
TIZLSOJ,O,X,X,X,X,X,X
TIZLOJS,O,X,O,X,X,X,O
TIZLOSJ,O,X,X,X,X,X,X
TIZJLSO,O,O,O,X,X,X,X
TIZJLOS,O,O,O,X,X,X,O
TIZJSLO,O,O,O,X,X,X,X
TIZJSOL,O,O,O,X,O,X,X
TIZJOLS,O,O,O,X,X,X,O
TIZJOSL,O,O,O,X,O,X,X
TIZSLJO,O,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X
TIZSJOL,O,O,X,X,O,X,X
TIZSOLJ,O,X,X,X,X,X,X
TIZSOJL,O,O,X,X,O,X,X
TIZOLJS,O,X,O,X,X,X,O
TIZOLSJ,O,X,X,X,X,X,X
TIZOJLS,O,O,O,X,X,X,O
TIZOJSL,O,O,O,X,O,X,X
TIZOSLJ,O,X,X,X,X,X,X
TIZOSJL,O,O,X,X,O,X,X
TIOLJSZ,O,O,X,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X
TIOLSJZ,O,O,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,X
TIOLZJS,O,X,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,X,X
TIOJLSZ,O,O,X,O,X,X,X
TIOJLZS,O,O,X,X,X,X,X
TIOJSLZ,O,O,X,O,X,X,X
TIOJSZL,O,O,X,O,O,X,X
TIOJZLS,O,O,X,X,X,X,X
TIOJZSL,O,O,X,X,O,X,X
TIOSLJZ,O,O,X,O,X,X,X
TIOSLZJ,O,X,X,X,X,X,X
TIOSJLZ,O,O,X,O,X,X,X
TIOSJZL,O,O,X,O,X,X,X
TIOSZLJ,O,X,X,X,X,X,X
TIOSZJL,O,O,X,O,X,X,X
TIOZLJS,O,X,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X
TIOZJSL,O,O,X,X,O,X,X
TIOZSLJ,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,O,X,X
TLIJSZO,O,O,O,X,X,X,X
TLIJSOZ,O,O,X,O,X,X,X
TLIJZSO,O,O,O,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X
TLIJOSZ,O,O,X,O,X,X,X
TLIJOZS,O,O,O,X,X,X,X
TLISJZO,O,O,X,X,X,X,X
TLISJOZ,O,O,X,O,X,X,X
TLISZJO,O,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X
TLISOJZ,O,O,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X
TLIZJSO,O,X,O,X,X,X,X
TLIZJOS,O,X,O,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X
TLIZOJS,O,X,O,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X
TLIOJSZ,O,O,X,X,X,X,X
TLIOJZS,O,O,X,X,X,X,X
TLIOSJZ,O,O,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X
