sequence,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFukB3gBUiBF?jB6rBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBFiBX?jB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBXjBl?mBUqBCsB,v115@QhA8DeA8AeD8AeA8BeA8AeD8Jei/IvhF1lBxhBXjBc?pBurBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBFiBXjBz?kB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBXjBzkBl?mBUqBCsB
TLIOZSJ,O,O,X,X,O,X
TLJISZO,O,O,O,O,O,X
TLJISOZ,O,O,X,X,O,O
TLJIZSO,O,O,O,O,O,X
TLJIZOS,O,O,O,O,O,X
TLJIOSZ,O,O,X,X,O,O
TLJIOZS,O,O,X,X,O,X
TLJSIZO,O,O,O,O,O,X
TLJSIOZ,O,O,X,X,O,O
TLJSZIO,O,O,X,O,O,X
TLJSZOI,O,O,X,O,O,X
TLJSOIZ,O,O,X,X,O,O
TLJSOZI,O,X,X,X,O,X
TLJZISO,O,O,X,O,O,X
TLJZIOS,O,O,X,O,O,X
TLJZSIO,O,O,X,O,O,X
TLJZSOI,O,O,X,O,O,X
TLJZOIS,O,O,X,O,O,X
TLJZOSI,O,O,X,O,O,X
TLJOISZ,O,O,X,X,O,O
TLJOIZS,O,O,X,X,O,X
TLJOSIZ,O,O,X,X,O,O
TLJOSZI,O,X,X,X,O,X
TLJOZIS,O,X,X,X,O,X
TLJOZSI,O,X,X,X,O,X
TLSIJZO,O,O,O,X,O,X
TLSIJOZ,O,O,X,X,O,O
TLSIZJO,O,O,O,O,O,X
TLSIZOJ,O,O,O,O,O,X
TLSIOJZ,O,O,X,X,O,O
TLSIOZJ,O,O,X,X,O,X
TLSJIZO,O,O,O,O,O,X
TLSJIOZ,O,O,X,X,O,O
TLSJZIO,O,O,X,O,O,X
TLSJZOI,O,O,X,O,O,X
TLSJOIZ,O,O,X,X,O,O
TLSJOZI,O,X,X,X,O,X
TLSZIJO,O,O,O,O,O,X
TLSZIOJ,O,O,O,O,O,X
TLSZJIO,O,O,O,O,O,X
TLSZJOI,O,O,O,O,O,X
TLSZOIJ,O,O,O,O,O,X
TLSZOJI,O,O,O,O,O,X
TLSOIJZ,O,O,X,X,O,O
TLSOIZJ,O,O,X,X,O,X
TLSOJIZ,O,O,X,X,O,O
TLSOJZI,O,X,X,X,O,X
TLSOZIJ,O,O,X,X,O,X
TLSOZJI,O,O,X,X,O,X
TLZIJSO,O,O,O,O,O,X
TLZIJOS,O,O,O,O,O,X
TLZISJO,O,O,O,O,O,X
TLZISOJ,O,O,O,O,O,X
TLZIOJS,O,O,O,X,O,X
TLZIOSJ,O,O,O,O,O,X
TLZJISO,O,O,O,O,O,X
TLZJIOS,O,O,O,O,O,X
TLZJSIO,O,O,O,O,O,X
TLZJSOI,O,O,O,O,O,X
TLZJOIS,O,O,O,O,O,X
TLZJOSI,O,O,O,O,O,X
TLZSIJO,O,O,O,O,O,X
TLZSIOJ,O,O,O,O,O,X
TLZSJIO,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,X
TLZSOIJ,O,O,O,O,O,X
TLZSOJI,O,O,O,O,O,X
TLZOIJS,O,O,O,X,O,X
TLZOISJ,O,O,O,O,O,X
TLZOJIS,O,O,O,O,O,X
TLZOJSI,O,O,O,O,O,X
TLZOSIJ,O,O,O,O,O,X
TLZOSJI,O,O,O,O,O,X
TLOIJSZ,O,O,X,X,O,O
TLOIJZS,O,O,X,X,O,X
TLOISJZ,O,O,X,X,O,O
TLOISZJ,O,O,X,X,O,X
TLOIZJS,O,O,X,X,O,X
TLOIZSJ,O,O,X,X,O,X
TLOJISZ,O,O,X,X,O,O
TLOJIZS,O,O,X,X,O,X
TLOJSIZ,O,O,X,X,O,O
TLOJSZI,O,X,X,X,O,X
TLOJZIS,O,X,X,X,O,X
TLOJZSI,O,X,X,X,O,X
TLOSIJZ,O,O,X,X,O,O
TLOSIZJ,O,O,X,X,O,X
