sequence,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFukB3gBUiBF?jB6rBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBFiBX?jB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFzfBulBXjBl?mBUqBCsB,v115@QhA8DeA8AeD8AeA8BeA8AeD8Jei/IvhF1lBxhBXjBc?pBurBTqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBFiBXjBz?kB6rBUqB,v115@QhA8DeA8AeD8AeA8BeA8AeD8JeZEJvhFulBXjBzkBl?mBUqBCsB
TOISZLJ,O,O,O,O,X,X
TOISZJL,O,O,O,O,X,O
TOIZLJS,O,O,O,O,X,X
TOIZLSJ,O,O,O,O,X,X
TOIZJLS,O,O,O,O,X,X
TOIZJSL,O,O,O,O,X,O
TOIZSLJ,O,O,O,O,X,X
TOIZSJL,O,O,O,O,X,O
TOLIJSZ,O,X,X,X,O,O
TOLIJZS,O,X,X,X,O,X
TOLISJZ,O,X,X,X,O,O
TOLISZJ,O,X,X,O,O,X
TOLIZJS,O,X,X,O,O,X
TOLIZSJ,O,X,X,O,O,X
TOLJISZ,O,X,X,O,O,O
TOLJIZS,O,X,X,O,O,X
TOLJSIZ,O,X,X,O,O,O
TOLJSZI,O,X,X,O,O,X
TOLJZIS,O,X,X,O,O,X
TOLJZSI,O,X,X,O,O,X
TOLSIJZ,O,X,X,X,O,O
TOLSIZJ,O,X,X,O,O,X
TOLSJIZ,O,X,X,O,O,O
TOLSJZI,O,X,X,O,O,X
TOLSZIJ,O,X,X,O,O,X
TOLSZJI,O,X,X,O,O,X
TOLZIJS,O,X,X,O,O,X
TOLZISJ,O,X,X,O,O,X
TOLZJIS,O,X,X,O,O,X
TOLZJSI,O,X,X,O,O,X
TOLZSIJ,O,X,X,O,O,X
TOLZSJI,O,X,X,O,O,X
TOJILSZ,O,X,X,O,X,O
TOJILZS,O,X,X,O,X,X
TOJISLZ,O,X,X,O,X,O
TOJISZL,O,X,O,O,X,O
TOJIZLS,O,X,O,O,X,X
TOJIZSL,O,X,O,O,X,O
TOJLISZ,O,X,X,O,X,O
TOJLIZS,O,X,X,O,X,X
TOJLSIZ,O,X,X,O,X,O
TOJLSZI,O,X,X,O,X,X
TOJLZIS,O,X,X,O,X,X
TOJLZSI,O,X,X,O,X,X
TOJSILZ,O,X,X,O,X,O
TOJSIZL,O,X,O,O,X,O
TOJSLIZ,O,X,X,O,X,O
TOJSLZI,O,X,X,O,X,X
TOJSZIL,O,X,X,O,X,O
TOJSZLI,O,X,X,O,X,X
TOJZILS,O,X,X,O,X,X
TOJZISL,O,X,X,O,X,O
TOJZLIS,O,X,X,O,X,X
TOJZLSI,O,X,X,O,X,X
TOJZSIL,O,X,X,O,X,O
TOJZSLI,O,X,X,O,X,X
TOSILJZ,O,X,X,X,O,O
TOSILZJ,O,X,X,O,O,X
TOSIJLZ,O,X,X,O,X,O
TOSIJZL,O,X,O,O,X,O
TOSIZLJ,O,O,O,O,X,X
TOSIZJL,O,O,O,O,X,O
TOSLIJZ,O,X,X,X,O,O
TOSLIZJ,O,X,X,O,O,X
TOSLJIZ,O,X,X,O,O,O
TOSLJZI,O,X,X,O,O,X
TOSLZIJ,O,X,X,O,O,X
TOSLZJI,O,X,X,O,O,X
TOSJILZ,O,X,X,O,X,O
TOSJIZL,O,X,O,O,X,O
TOSJLIZ,O,X,X,O,X,O
TOSJLZI,O,X,X,O,X,X
TOSJZIL,O,X,X,O,X,O
TOSJZLI,O,X,X,O,X,X
TOSZILJ,O,O,O,O,X,X
TOSZIJL,O,O,O,O,X,O
TOSZLIJ,O,O,O,O,X,X
TOSZLJI,O,O,O,O,X,X
TOSZJIL,O,O,O,O,X,O
TOSZJLI,O,O,O,O,X,X
TOZILJS,O,O,O,O,X,X
TOZILSJ,O,O,O,O,X,X
TOZIJLS,O,O,O,O,X,X
TOZIJSL,O,O,O,O,X,O
TOZISLJ,O,O,O,O,X,X
TOZISJL,O,O,O,O,X,O
TOZLIJS,O,O,O,O,X,X
TOZLISJ,O,O,O,O,X,X
TOZLJIS,O,O,O,O,X,X
TOZLJSI,O,O,O,O,X,X
TOZLSIJ,O,O,O,O,X,X
TOZLSJI,O,O,O,O,X,X
TOZJILS,O,O,O,O,X,X
TOZJISL,O,O,O,O,X,O
TOZJLIS,O,O,O,O,X,X
TOZJLSI,O,O,O,O,X,X
TOZJSIL,O,O,O,O,X,O
TOZJSLI,O,O,O,O,X,X
TOZSILJ,O,O,O,O,X,X
TOZSIJL,O,O,O,O,X,O
TOZSLIJ,O,O,O,O,X,X
TOZSLJI,O,O,O,O,X,X
TOZSJIL,O,O,O,O,X,O
TOZSJLI,O,O,O,O,X,X
ITLJSZO,O,O,O,X,O,X
ITLJSOZ,O,O,X,X,O,O
ITLJZSO,O,O,O,X,O,X
ITLJZOS,O,O,O,X,O,X
ITLJOSZ,O,O,X,X,O,O
ITLJOZS,O,O,X,X,O,X
ITLSJZO,O,O,O,X,O,X
ITLSJOZ,O,O,X,X,O,O
ITLSZJO,O,O,O,O,O,X
ITLSZOJ,O,O,O,O,O,X
ITLSOJZ,O,O,X,X,O,O
ITLSOZJ,O,O,X,X,O,X
ITLZJSO,O,O,O,O,O,X
ITLZJOS,O,O,O,X,O,X
ITLZSJO,O,O,O,O,O,X
ITLZSOJ,O,O,O,O,O,X
ITLZOJS,O,O,O,X,O,X
ITLZOSJ,O,O,O,O,O,X
ITLOJSZ,O,O,X,X,O,O
ITLOJZS,O,O,X,X,O,X
ITLOSJZ,O,O,X,X,O,O
ITLOSZJ,O,O,X,X,O,X
ITLOZJS,O,O,X,X,O,X
ITLOZSJ,O,O,X,X,O,X
ITJLSZO,O,X,O,O,X,X
ITJLSOZ,O,X,X,X,X,O
ITJLZSO,O,X,O,O,X,X
ITJLZOS,O,X,O,O,X,X
ITJLOSZ,O,X,X,X,X,O
ITJLOZS,O,X,X,X,X,X
ITJSLZO,O,X,O,O,X,X
ITJSLOZ,O,X,X,X,X,O
ITJSZLO,X,O,O,O,X,X
ITJSZOL,X,O,O,O,X,O
ITJSOLZ,X,X,X,X,X,O
ITJSOZL,X,X,O,O,X,O
ITJZLSO,O,O,O,O,X,X
ITJZLOS,O,O,O,O,X,X
ITJZSLO,X,O,O,O,X,X
ITJZSOL,X,O,O,O,X,O
ITJZOLS,O,O,O,O,X,X
ITJZOSL,O,O,O,O,X,O
ITJOLSZ,O,X,X,X,X,O
ITJOLZS,O,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,O
ITJOSZL,O,X,O,O,X,O
ITJOZLS,O,X,O,O,X,X
ITJOZSL,O,X,O,O,X,O
ITSLJZO,O,O,O,X,O,X
ITSLJOZ,O,O,X,X,O,O
ITSLZJO,O,O,O,O,O,X
ITSLZOJ,O,O,O,O,O,X
ITSLOJZ,O,O,X,X,O,O
ITSLOZJ,O,O,X,X,O,X
ITSJLZO,O,X,O,O,X,X
ITSJLOZ,O,X,X,X,X,O
ITSJZLO,X,O,O,O,X,X
ITSJZOL,X,O,O,O,X,O
ITSJOLZ,X,X,X,X,X,O
ITSJOZL,X,X,O,O,X,O
ITSZLJO,X,O,O,O,X,X
ITSZLOJ,X,O,O,O,X,X
ITSZJLO,X,O,O,O,X,X
ITSZJOL,X,O,O,O,X,O
ITSZOLJ,O,O,O,O,X,X
ITSZOJL,O,O,O,X,X,O
ITSOLJZ,O,X,X,X,O,O
ITSOLZJ,O,X,X,X,O,X
ITSOJLZ,O,X,X,X,X,O
ITSOJZL,O,X,O,X,X,O
ITSOZLJ,O,O,O,O,X,X
ITSOZJL,O,O,O,X,X,O
ITZLJSO,O,O,O,O,X,X
ITZLJOS,O,O,O,O,X,X
ITZLSJO,O,O,O,O,X,X
ITZLSOJ,O,O,O,O,X,X
ITZLOJS,O,O,O,X,X,X
ITZLOSJ,O,O,O,O,X,X
ITZJLSO,O,O,O,O,X,X
ITZJLOS,O,O,O,O,X,X
ITZJSLO,X,O,O,O,X,X
ITZJSOL,X,O,O,O,X,O
ITZJOLS,O,O,O,O,X,X
ITZJOSL,O,O,O,O,X,O
ITZSLJO,X,O,O,O,X,X
ITZSLOJ,X,O,O,O,X,X
ITZSJLO,X,O,O,O,X,X
ITZSJOL,X,O,O,O,X,O
ITZSOLJ,O,O,O,O,X,X
ITZSOJL,O,O,O,X,X,O
ITZOLJS,O,O,O,X,X,X
ITZOLSJ,O,O,O,O,X,X
ITZOJLS,O,O,O,X,X,X
ITZOJSL,O,O,O,X,X,O
ITZOSLJ,O,O,O,O,X,X
ITZOSJL,O,O,O,X,X,O
ITOLJSZ,O,X,X,X,O,O
ITOLJZS,O,X,X,X,O,X
ITOLSJZ,O,X,X,X,O,O
ITOLSZJ,O,X,X,X,O,X
ITOLZJS,O,X,X,X,O,X
ITOLZSJ,O,X,X,X,O,X
ITOJLSZ,O,X,X,X,X,O
ITOJLZS,O,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,O
ITOJSZL,O,X,O,X,X,O
ITOJZLS,O,X,O,X,X,X
ITOJZSL,O,X,O,X,X,O
ITOSLJZ,O,X,X,X,O,O
ITOSLZJ,O,X,X,X,O,X
ITOSJLZ,O,X,X,X,X,O
ITOSJZL,O,X,O,X,X,O
ITOSZLJ,O,O,O,O,X,X
ITOSZJL,O,O,O,X,X,O
ITOZLJS,O,O,O,X,X,X
ITOZLSJ,O,O,O,O,X,X
ITOZJLS,O,O,O,X,X,X
ITOZJSL,O,O,O,X,X,O
ITOZSLJ,O,O,O,O,X,X
ITOZSJL,O,O,O,X,X,O
ILTJSZO,O,O,O,X,O,X
ILTJSOZ,O,O,X,X,O,O
ILTJZSO,O,O,O,X,O,X
ILTJZOS,O,O,O,X,O,X
ILTJOSZ,O,O,X,X,O,O
ILTJOZS,O,O,X,X,O,X
ILTSJZO,O,O,O,X,O,X
ILTSJOZ,O,O,X,X,O,O
ILTSZJO,O,O,O,X,O,X
ILTSZOJ,O,O,O,X,O,X
ILTSOJZ,O,O,X,X,O,O
ILTSOZJ,O,O,X,X,O,X
ILTZJSO,O,O,O,X,O,X
ILTZJOS,O,O,O,X,O,X
ILTZSJO,O,O,O,X,O,X
ILTZSOJ,O,O,O,X,O,X
ILTZOJS,O,O,O,X,O,X
ILTZOSJ,O,O,O,X,O,X
ILTOJSZ,O,O,X,X,O,O
ILTOJZS,O,O,X,X,O,X
ILTOSJZ,O,O,X,X,O,O
ILTOSZJ,O,O,X,X,O,X
ILTOZJS,O,O,X,X,O,X
ILTOZSJ,O,O,X,X,O,X
ILJTSZO,O,O,X,X,O,X
ILJTSOZ,O,O,X,X,O,X
ILJTZSO,O,O,X,X,O,X
ILJTZOS,O,O,X,X,O,X
ILJTOSZ,O,O,X,X,O,X
ILJTOZS,O,O,X,X,O,X
ILJSTZO,O,O,X,X,O,X
ILJSTOZ,O,O,X,X,O,X
ILJSZTO,O,O,X,X,O,X
ILJSZOT,O,O,X,X,O,X
ILJSOTZ,O,O,X,X,O,X
ILJSOZT,O,O,X,X,O,X
ILJZTSO,O,O,X,X,O,X
ILJZTOS,O,O,X,X,O,X
ILJZSTO,O,O,X,X,O,X
ILJZSOT,O,O,X,X,O,X
ILJZOTS,O,O,X,X,O,X
ILJZOST,O,O,X,X,O,X
ILJOTSZ,O,O,X,X,O,X
ILJOTZS,O,O,X,X,O,X
ILJOSTZ,O,O,X,X,O,X
ILJOSZT,O,O,X,X,O,X
ILJOZTS,O,O,X,X,O,X
ILJOZST,O,O,X,X,O,X
ILSTJZO,O,O,O,X,O,X
ILSTJOZ,O,O,X,X,O,O
ILSTZJO,O,O,O,X,O,X
ILSTZOJ,O,O,O,X,O,X
ILSTOJZ,O,O,X,X,O,O
ILSTOZJ,O,O,X,X,O,X
ILSJTZO,O,O,X,X,O,X
ILSJTOZ,O,O,X,X,O,X
ILSJZTO,O,O,X,X,O,X
ILSJZOT,O,O,X,X,O,X
ILSJOTZ,O,O,X,X,O,X
ILSJOZT,O,O,X,X,O,X
ILSZTJO,O,O,O,X,O,X
ILSZTOJ,O,O,O,X,O,X
ILSZJTO,O,O,O,X,O,X
ILSZJOT,O,O,O,X,O,X
ILSZOTJ,O,O,O,X,O,X
ILSZOJT,O,O,O,X,O,X
ILSOTJZ,O,O,X,X,O,O
ILSOTZJ,O,O,X,X,O,X
ILSOJTZ,O,O,X,X,O,X
ILSOJZT,O,O,X,X,O,X
ILSOZTJ,O,O,X,X,O,X
ILSOZJT,O,O,X,X,O,X
ILZTJSO,O,O,O,X,O,X
ILZTJOS,O,O,O,X,O,X
ILZTSJO,O,O,O,X,O,X
ILZTSOJ,O,O,O,X,O,X
ILZTOJS,O,O,O,X,O,X
ILZTOSJ,O,O,O,X,O,X
ILZJTSO,O,O,O,X,O,X
ILZJTOS,O,O,O,X,O,X
ILZJSTO,O,O,O,X,O,X
ILZJSOT,O,O,O,X,O,X
ILZJOTS,O,O,O,X,O,X
ILZJOST,O,O,O,X,O,X
ILZSTJO,O,O,O,X,O,X
ILZSTOJ,O,O,O,X,O,X
ILZSJTO,O,O,O,X,O,X
ILZSJOT,O,O,O,X,O,X
ILZSOTJ,O,O,O,X,O,X
ILZSOJT,O,O,O,X,O,X
ILZOTJS,O,O,O,X,O,X
ILZOTSJ,O,O,O,X,O,X
ILZOJTS,O,O,O,X,O,X
ILZOJST,O,O,O,X,O,X
ILZOSTJ,O,O,O,X,O,X
ILZOSJT,O,O,O,X,O,X
ILOTJSZ,O,O,X,X,O,O
ILOTJZS,O,O,X,X,O,X
ILOTSJZ,O,O,X,X,O,O
ILOTSZJ,O,O,X,X,O,X
ILOTZJS,O,O,X,X,O,X
ILOTZSJ,O,O,X,X,O,X
ILOJTSZ,O,O,X,X,O,X
ILOJTZS,O,O,X,X,O,X
ILOJSTZ,O,O,X,X,O,X
ILOJSZT,O,O,X,X,O,X
ILOJZTS,O,O,X,X,O,X
ILOJZST,O,O,X,X,O,X
ILOSTJZ,O,O,X,X,O,O
ILOSTZJ,O,O,X,X,O,X
ILOSJTZ,O,O,X,X,O,X
ILOSJZT,O,O,X,X,O,X
ILOSZTJ,O,O,X,X,O,X
ILOSZJT,O,O,X,X,O,X
ILOZTJS,O,O,X,X,O,X
ILOZTSJ,O,O,X,X,O,X
ILOZJTS,O,O,X,X,O,X
ILOZJST,O,O,X,X,O,X
ILOZSTJ,O,O,X,X,O,X
ILOZSJT,O,O,X,X,O,X
IJTLSZO,O,X,O,O,X,X
IJTLSOZ,O,X,X,X,X,O
IJTLZSO,O,X,O,O,X,X
IJTLZOS,O,X,O,O,X,X
IJTLOSZ,O,X,X,X,X,O
IJTLOZS,O,X,X,X,X,X
IJTSLZO,O,X,O,O,X,X
IJTSLOZ,O,X,X,X,X,O
IJTSZLO,X,O,O,O,X,X
IJTSZOL,X,O,O,O,X,O
IJTSOLZ,X,X,X,O,X,O
IJTSOZL,X,X,O,O,X,O
IJTZLSO,O,O,O,O,X,X
IJTZLOS,O,O,O,O,X,X
IJTZSLO,X,O,O,O,X,X
IJTZSOL,X,O,O,O,X,O
IJTZOLS,O,O,O,O,X,X
IJTZOSL,O,O,O,O,X,O
IJTOLSZ,O,X,X,O,X,O
IJTOLZS,O,X,X,O,X,X
IJTOSLZ,O,X,X,O,X,O
IJTOSZL,O,X,O,O,X,O
IJTOZLS,O,X,O,O,X,X
IJTOZSL,O,X,O,O,X,O
IJLTSZO,O,O,X,O,O,X
IJLTSOZ,O,O,X,X,O,X
IJLTZSO,O,O,X,O,O,X
IJLTZOS,O,O,X,O,O,X
IJLTOSZ,O,O,X,X,O,X
IJLTOZS,O,O,X,X,O,X
IJLSTZO,O,O,X,O,O,X
IJLSTOZ,O,O,X,X,O,X
IJLSZTO,O,O,X,O,O,X
IJLSZOT,O,O,X,X,O,X
IJLSOTZ,O,O,X,O,O,X
IJLSOZT,O,O,X,X,O,X
IJLZTSO,O,O,X,O,O,X
IJLZTOS,O,O,X,O,O,X
IJLZSTO,O,O,X,O,O,X
IJLZSOT,O,O,X,X,O,X
IJLZOTS,O,O,X,X,O,X
IJLZOST,O,O,X,X,O,X
IJLOTSZ,O,O,X,O,O,X
IJLOTZS,O,O,X,O,O,X
IJLOSTZ,O,O,X,O,O,X
IJLOSZT,O,O,X,X,O,X
IJLOZTS,O,O,X,X,O,X
IJLOZST,O,O,X,X,O,X
IJSTLZO,O,X,O,O,X,X
IJSTLOZ,O,X,X,X,X,O
IJSTZLO,X,O,O,O,X,X
IJSTZOL,X,O,O,O,X,O
IJSTOLZ,X,X,X,O,X,O
IJSTOZL,X,X,O,O,X,O
IJSLTZO,O,O,X,O,O,X
IJSLTOZ,O,O,X,X,O,X
IJSLZTO,O,O,X,O,O,X
IJSLZOT,O,O,X,X,O,X
IJSLOTZ,O,O,X,O,O,X
IJSLOZT,O,O,X,X,O,X
IJSZTLO,X,O,O,O,X,X
IJSZTOL,X,O,O,O,X,X
IJSZLTO,X,O,O,O,X,X
IJSZLOT,X,O,O,X,X,X
IJSZOTL,X,O,O,O,X,X
IJSZOLT,X,O,O,X,X,X
IJSOTLZ,X,X,X,O,X,O
IJSOTZL,X,X,X,O,X,O
IJSOLTZ,X,X,X,O,O,X
IJSOLZT,X,X,X,X,O,X
IJSOZTL,X,X,X,O,X,X
IJSOZLT,X,X,X,X,X,X
IJZTLSO,O,O,O,O,X,X
IJZTLOS,O,O,O,O,X,X
IJZTSLO,X,O,O,O,X,X
IJZTSOL,X,O,O,O,X,X
IJZTOLS,O,O,O,O,X,X
IJZTOSL,O,O,O,O,X,X
IJZLTSO,O,O,O,O,X,X
IJZLTOS,O,O,O,O,X,X
IJZLSTO,O,O,O,O,X,X
IJZLSOT,O,O,O,X,X,X
IJZLOTS,O,O,O,X,X,X
IJZLOST,O,O,O,X,X,X
IJZSTLO,X,O,O,O,X,X
IJZSTOL,X,O,O,O,X,X
IJZSLTO,X,O,O,O,X,X
IJZSLOT,X,O,O,X,X,X
IJZSOTL,X,O,O,O,X,X
IJZSOLT,X,O,O,X,X,X
IJZOTLS,O,O,O,O,X,X
IJZOTSL,O,O,O,O,X,X
IJZOLTS,O,O,O,X,X,X
IJZOLST,O,O,O,X,X,X
IJZOSTL,O,O,O,O,X,X
IJZOSLT,O,O,O,X,X,X
IJOTLSZ,O,X,X,O,X,O
IJOTLZS,O,X,X,O,X,X
IJOTSLZ,O,X,X,O,X,O
IJOTSZL,O,X,X,O,X,O
IJOTZLS,O,X,X,O,X,X
IJOTZSL,O,X,X,O,X,O
IJOLTSZ,O,X,X,O,O,X
IJOLTZS,O,X,X,O,O,X
IJOLSTZ,O,X,X,O,O,X
IJOLSZT,O,X,X,X,O,X
IJOLZTS,O,X,X,X,O,X
IJOLZST,O,X,X,X,O,X
IJOSTLZ,O,X,X,O,X,O
IJOSTZL,O,X,X,O,X,O
IJOSLTZ,O,X,X,O,O,X
IJOSLZT,O,X,X,X,O,X
IJOSZTL,O,X,X,O,X,X
IJOSZLT,O,X,X,X,X,X
IJOZTLS,O,X,X,O,X,X
IJOZTSL,O,X,X,O,X,X
IJOZLTS,O,X,X,X,X,X
IJOZLST,O,X,X,X,X,X
IJOZSTL,O,X,X,O,X,X
IJOZSLT,O,X,X,X,X,X
ISTLJZO,O,O,O,X,O,X
ISTLJOZ,O,O,X,X,O,O
ISTLZJO,O,O,O,O,O,X
ISTLZOJ,O,O,O,O,O,X
ISTLOJZ,O,O,X,X,O,O
ISTLOZJ,O,O,X,X,O,X
ISTJLZO,O,X,O,O,X,X
ISTJLOZ,O,X,X,X,X,O
ISTJZLO,X,O,O,O,X,X
ISTJZOL,X,O,O,O,X,O
ISTJOLZ,X,X,X,X,X,O
ISTJOZL,X,X,O,O,X,O
ISTZLJO,X,O,O,O,X,X
ISTZLOJ,X,O,O,O,X,X
ISTZJLO,X,O,O,O,X,X
ISTZJOL,X,O,O,O,X,O
ISTZOLJ,O,O,O,O,X,X
ISTZOJL,O,O,O,X,X,O
ISTOLJZ,O,X,X,X,O,O
ISTOLZJ,O,X,X,O,O,X
ISTOJLZ,O,X,X,X,X,O
ISTOJZL,O,X,O,O,X,O
ISTOZLJ,O,O,O,O,X,X
ISTOZJL,O,O,O,O,X,O
ISLTJZO,O,O,O,X,O,X
ISLTJOZ,O,O,X,X,O,O
ISLTZJO,O,O,O,O,O,X
ISLTZOJ,O,O,O,O,O,X
ISLTOJZ,O,O,X,X,O,O
ISLTOZJ,O,O,X,X,O,X
ISLJTZO,O,O,X,X,O,X
ISLJTOZ,O,O,X,X,O,X
ISLJZTO,O,O,X,X,O,X
ISLJZOT,O,O,X,X,O,X
ISLJOTZ,O,O,X,X,O,X
ISLJOZT,O,O,X,X,O,X
ISLZTJO,O,O,O,O,O,X
ISLZTOJ,O,O,O,O,O,X
ISLZJTO,O,O,O,X,O,X
ISLZJOT,O,O,O,X,O,X
ISLZOTJ,O,O,O,X,O,X
ISLZOJT,O,O,O,X,O,X
ISLOTJZ,O,O,X,X,O,O
ISLOTZJ,O,O,X,O,O,X
ISLOJTZ,O,O,X,X,O,X
ISLOJZT,O,O,X,X,O,X
ISLOZTJ,O,O,X,X,O,X
ISLOZJT,O,O,X,X,O,X
ISJTLZO,O,X,O,O,X,X
ISJTLOZ,O,X,X,X,X,O
ISJTZLO,X,O,O,O,X,X
ISJTZOL,X,O,O,O,X,O
ISJTOLZ,X,X,X,O,X,O
ISJTOZL,X,X,O,O,X,O
ISJLTZO,O,O,X,O,O,X
ISJLTOZ,O,O,X,X,O,X
ISJLZTO,O,O,X,O,O,X
ISJLZOT,O,O,X,X,O,X
ISJLOTZ,O,O,X,O,O,X
ISJLOZT,O,O,X,X,O,X
ISJZTLO,X,O,O,O,X,X
ISJZTOL,X,O,O,O,X,X
ISJZLTO,X,O,O,O,X,X
ISJZLOT,X,O,O,X,X,X
ISJZOTL,X,O,O,O,X,X
ISJZOLT,X,O,O,X,X,X
ISJOTLZ,X,X,X,O,X,O
ISJOTZL,X,X,X,O,X,O
ISJOLTZ,X,X,X,O,O,X
ISJOLZT,X,X,X,X,O,X
ISJOZTL,X,X,X,O,X,X
ISJOZLT,X,X,X,X,X,X
ISZTLJO,X,O,O,O,X,X
ISZTLOJ,X,O,O,O,X,X
ISZTJLO,X,O,O,O,X,X
ISZTJOL,X,O,O,O,X,O
ISZTOLJ,O,O,O,O,X,X
ISZTOJL,O,O,O,X,X,O
ISZLTJO,X,O,O,O,O,X
ISZLTOJ,X,O,O,O,O,X
ISZLJTO,X,O,O,O,O,X
ISZLJOT,X,O,O,X,O,X
ISZLOTJ,X,O,O,X,O,X
ISZLOJT,X,O,O,X,O,X
ISZJTLO,X,O,O,O,X,X
ISZJTOL,X,O,O,O,X,X
ISZJLTO,X,O,O,O,X,X
ISZJLOT,X,O,O,X,X,X
ISZJOTL,X,O,O,O,X,X
ISZJOLT,X,O,O,X,X,X
ISZOTLJ,O,O,O,O,X,X
ISZOTJL,O,O,O,O,X,O
ISZOLTJ,O,O,O,O,O,X
ISZOLJT,O,O,O,X,O,X
ISZOJTL,O,O,O,O,X,X
ISZOJLT,O,O,O,X,X,X
ISOTLJZ,O,X,X,X,O,O
ISOTLZJ,O,X,X,O,O,X
ISOTJLZ,O,X,X,O,X,O
ISOTJZL,O,X,O,O,X,O
ISOTZLJ,O,O,O,O,X,X
ISOTZJL,O,O,O,O,X,O
ISOLTJZ,O,O,X,X,O,O
ISOLTZJ,O,O,X,O,O,X
ISOLJTZ,O,O,X,X,O,X
ISOLJZT,O,O,X,X,O,X
ISOLZTJ,O,O,X,X,O,X
ISOLZJT,O,O,X,X,O,X
ISOJTLZ,O,X,X,O,X,O
ISOJTZL,O,X,X,O,X,O
ISOJLTZ,O,X,X,O,O,X
ISOJLZT,O,X,X,X,O,X
ISOJZTL,O,X,X,O,X,X
ISOJZLT,O,X,X,X,X,X
ISOZTLJ,O,O,O,O,X,X
ISOZTJL,O,O,O,O,X,O
ISOZLTJ,O,O,O,O,O,X
ISOZLJT,O,O,O,X,O,X
ISOZJTL,O,O,O,O,X,X
ISOZJLT,O,O,O,X,X,X
IZTLJSO,O,O,O,O,X,X
IZTLJOS,O,O,O,O,X,X
IZTLSJO,O,O,O,O,X,X
IZTLSOJ,O,O,O,O,X,X
IZTLOJS,O,O,O,X,X,X
IZTLOSJ,O,O,O,O,X,X
IZTJLSO,O,O,O,O,X,X
IZTJLOS,O,O,O,O,X,X
IZTJSLO,X,O,O,O,X,X
IZTJSOL,X,O,O,O,X,O
IZTJOLS,O,O,O,O,X,X
IZTJOSL,O,O,O,O,X,O
IZTSLJO,X,O,O,O,X,X
IZTSLOJ,X,O,O,O,X,X
IZTSJLO,X,O,O,O,X,X
IZTSJOL,X,O,O,O,X,O
IZTSOLJ,O,O,O,O,X,X
IZTSOJL,O,O,O,X,X,O
IZTOLJS,O,O,O,X,X,X
IZTOLSJ,O,O,O,O,X,X
IZTOJLS,O,O,O,X,X,X
IZTOJSL,O,O,O,X,X,O
IZTOSLJ,O,O,O,O,X,X
IZTOSJL,O,O,O,X,X,O
IZLTJSO,O,O,O,O,O,X
IZLTJOS,O,O,O,O,O,X
IZLTSJO,O,O,O,O,O,X
IZLTSOJ,O,O,O,O,O,X
IZLTOJS,O,O,O,X,O,X
IZLTOSJ,O,O,O,O,O,X
IZLJTSO,O,O,O,O,O,X
IZLJTOS,O,O,O,O,O,X
IZLJSTO,O,O,O,O,O,X
IZLJSOT,O,O,O,X,O,X
IZLJOTS,O,O,O,X,O,X
IZLJOST,O,O,O,X,O,X
IZLSTJO,O,O,O,O,O,X
IZLSTOJ,O,O,O,O,O,X
IZLSJTO,O,O,O,O,O,X
IZLSJOT,O,O,O,X,O,X
IZLSOTJ,O,O,O,X,O,X
IZLSOJT,O,O,O,X,O,X
IZLOTJS,O,O,O,X,O,X
IZLOTSJ,O,O,O,X,O,X
IZLOJTS,O,O,O,X,O,X
IZLOJST,O,O,O,X,O,X
IZLOSTJ,O,O,O,X,O,X
IZLOSJT,O,O,O,X,O,X
IZJTLSO,O,O,O,O,X,X
IZJTLOS,O,O,O,O,X,X
IZJTSLO,X,O,O,O,X,X
IZJTSOL,X,O,O,O,X,X
IZJTOLS,O,O,O,O,X,X
IZJTOSL,O,O,O,O,X,X
IZJLTSO,O,O,O,O,X,X
IZJLTOS,O,O,O,O,X,X
IZJLSTO,O,O,O,O,X,X
IZJLSOT,O,O,O,X,X,X
IZJLOTS,O,O,O,X,X,X
IZJLOST,O,O,O,X,X,X
IZJSTLO,X,O,O,O,X,X
IZJSTOL,X,O,O,O,X,X
IZJSLTO,X,O,O,O,X,X
IZJSLOT,X,O,O,X,X,X
IZJSOTL,X,O,O,O,X,X
IZJSOLT,X,O,O,X,X,X
IZJOTLS,O,O,O,O,X,X
IZJOTSL,O,O,O,O,X,X
IZJOLTS,O,O,O,X,X,X
IZJOLST,O,O,O,X,X,X
IZJOSTL,O,O,O,O,X,X
IZJOSLT,O,O,O,X,X,X
IZSTLJO,X,O,O,O,X,X
IZSTLOJ,X,O,O,O,X,X
IZSTJLO,X,O,O,O,X,X
IZSTJOL,X,O,O,O,X,O
IZSTOLJ,O,O,O,O,X,X
IZSTOJL,O,O,O,X,X,O
IZSLTJO,X,O,O,O,O,X
IZSLTOJ,X,O,O,O,O,X
IZSLJTO,X,O,O,O,O,X
IZSLJOT,X,O,O,X,O,X
IZSLOTJ,X,O,O,X,O,X
IZSLOJT,X,O,O,X,O,X
IZSJTLO,X,O,O,O,X,X
IZSJTOL,X,O,O,O,X,X
IZSJLTO,X,O,O,O,X,X
IZSJLOT,X,O,O,X,X,X
IZSJOTL,X,O,O,O,X,X
IZSJOLT,X,O,O,X,X,X
