sequence,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBfmB0hB6?nBNqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukBzgBfnB6?nBNqB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFCgB8lB+mBT?iBdqBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFukB3gB9nB0?mBiqBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFfmBxhBcpBN?qBGnBzrB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JeZEJvhFtkBzhB+nB3?lB0rBiqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBSsB0rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jei/IvhFzgBWnBcpBN?qBxrBXsB,v115@FhB8HeB8HeB8AeA8AeB8BeC8Jex/IvhFXiBOpBdqBz?lBcsB6rB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JezAJvhFfnB6nBxpB0?rBOpBdqB,v115@FhB8HeB8HeB8AeA8AeB8BeC8JefGJvhFxhBTkBNqBu?rBcsBipB
TIZSJOL,X,O,O,X,X,O,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,O,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,X,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,O,X,X,X
TIOJZSL,X,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,O,X,X,X
TIOZJSL,X,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,O,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,O,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,O,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,O,O,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,O,O,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,O,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,O,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X
