sequence,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBynB5oBGnBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF2lBXiB8nB5oBCmBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBOnB8nB5oB6rBFrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBxnBGnB6tBlrB
TILJSZO,O,X,X,X
TILJSOZ,O,X,X,X
TILJZSO,X,O,X,X
TILJZOS,X,O,X,X
TILJOSZ,O,X,X,X
TILJOZS,X,O,X,X
TILSJZO,O,X,X,X
TILSJOZ,O,X,X,X
TILSZJO,O,X,O,X
TILSZOJ,O,X,O,O
TILSOJZ,O,X,X,X
TILSOZJ,O,X,O,O
TILZJSO,X,O,O,X
TILZJOS,X,O,O,X
TILZSJO,O,O,O,X
TILZSOJ,O,O,O,X
TILZOJS,X,O,O,X
TILZOSJ,O,O,O,X
TILOJSZ,O,X,X,X
TILOJZS,X,O,X,X
TILOSJZ,O,X,X,X
TILOSZJ,O,X,O,O
TILOZJS,X,O,O,X
TILOZSJ,O,O,O,X
TIJLSZO,O,X,X,X
TIJLSOZ,O,X,X,X
TIJLZSO,X,O,X,X
TIJLZOS,X,O,X,X
TIJLOSZ,O,X,X,X
TIJLOZS,X,O,X,X
TIJSLZO,O,X,X,X
TIJSLOZ,O,X,X,X
TIJSZLO,O,O,X,X
TIJSZOL,O,O,X,O
TIJSOLZ,O,X,X,X
TIJSOZL,O,O,X,O
TIJZLSO,X,O,X,X
TIJZLOS,X,O,X,X
TIJZSLO,X,O,X,X
TIJZSOL,X,O,X,X
TIJZOLS,X,O,X,X
TIJZOSL,X,O,X,X
TIJOLSZ,O,X,X,X
TIJOLZS,X,O,X,X
TIJOSLZ,O,X,X,X
TIJOSZL,O,O,X,O
TIJOZLS,X,O,X,X
TIJOZSL,X,O,X,X
TISLJZO,O,X,X,X
TISLJOZ,O,X,X,X
TISLZJO,O,X,O,X
TISLZOJ,O,X,O,O
TISLOJZ,O,X,X,X
TISLOZJ,O,X,O,O
TISJLZO,O,X,X,X
TISJLOZ,O,X,X,X
TISJZLO,O,O,X,X
TISJZOL,O,O,X,O
TISJOLZ,O,X,X,X
TISJOZL,O,O,X,O
TISZLJO,O,O,O,X
TISZLOJ,O,O,O,O
TISZJLO,O,O,O,X
TISZJOL,O,O,O,O
TISZOLJ,O,O,O,O
TISZOJL,O,O,O,O
TISOLJZ,O,X,X,X
TISOLZJ,O,X,O,O
TISOJLZ,O,X,X,X
TISOJZL,O,O,X,O
TISOZLJ,O,O,O,O
TISOZJL,O,O,O,O
TIZLJSO,X,O,O,X
TIZLJOS,X,O,O,X
TIZLSJO,O,O,O,X
TIZLSOJ,O,O,O,X
TIZLOJS,X,O,O,X
TIZLOSJ,O,O,O,X
TIZJLSO,X,O,O,X
TIZJLOS,X,O,O,X
TIZJSLO,X,O,O,X
TIZJSOL,X,O,O,X
TIZJOLS,X,O,O,X
TIZJOSL,X,O,O,X
TIZSLJO,O,O,O,X
TIZSLOJ,O,O,O,O
TIZSJLO,O,O,O,X
TIZSJOL,O,O,O,O
TIZSOLJ,O,O,O,O
TIZSOJL,O,O,O,O
TIZOLJS,X,O,O,X
TIZOLSJ,O,O,O,X
TIZOJLS,X,O,O,X
TIZOJSL,X,O,O,X
TIZOSLJ,O,O,O,O
TIZOSJL,O,O,O,O
TIOLJSZ,O,X,X,X
TIOLJZS,X,O,X,X
TIOLSJZ,O,X,X,X
TIOLSZJ,O,X,O,O
TIOLZJS,X,O,O,X
TIOLZSJ,O,O,O,X
TIOJLSZ,O,X,X,X
TIOJLZS,X,O,X,X
TIOJSLZ,O,X,X,X
TIOJSZL,O,O,X,O
TIOJZLS,X,O,X,X
TIOJZSL,X,O,X,X
TIOSLJZ,O,X,X,X
