sequence,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFulBRiBSoBN?rBUnBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFfnB0iB6oBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlB0hBxiBW?tBirBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlBmhBCjBc?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBStB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhBGjBfrB0?mB6sBNtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFzhBfoB6oBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBctB6sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JefHJvhF0iB6oBRlBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhF3hB9oBGlB0?nBirBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFChB8mBWoBd?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhB9nB6oBf?rB0mBetB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFfoB6oBRlBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFRlB3nBctBG?lBNrBCtB
TILJSZO,X,O,O,X,X,O,X,X,X,O,X,X,X,X
TILJSOZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TILJZSO,X,O,O,O,X,X,X,X,X,O,O,X,X,X
TILJZOS,X,O,O,O,X,O,X,O,X,O,O,X,X,X
TILJOSZ,X,O,O,X,O,O,X,X,X,O,X,X,X,X
TILJOZS,X,O,O,O,O,O,X,O,X,O,O,X,X,X
TILSJZO,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TILSJOZ,X,O,X,X,O,O,X,X,X,O,X,X,X,X
TILSZJO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TILSZOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TILSOJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,O,X,X,X,X,X,O,O,X,X,X
TILZJOS,X,X,O,O,X,O,X,O,X,O,O,X,X,X
TILZSJO,X,O,X,O,X,X,O,X,X,O,O,X,X,X
TILZSOJ,X,O,O,O,X,X,O,X,X,X,O,X,X,X
TILZOJS,X,X,O,O,X,O,X,O,X,X,O,X,X,X
TILZOSJ,X,O,O,O,X,X,O,O,X,X,O,X,X,X
TILOJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TILOJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TILOSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
