sequence,v115@JhD8IeA8DeA8CeF8JeT/IvhFxgB0iB6oB2sBlpB3qB,v115@JhD8IeA8DeA8CeF8JeT/IvhFxgBKnBGjBUoBlpB3qB,v115@JhD8IeA8DeA8CeF8JeT/IvhFxgBOnBXjBStB0pBlqB,v115@JhD8IeA8DeA8CeF8Jex/IvhFKnBGjBTkBUoBXmBVvB,v115@JhD8IeA8DeA8CeF8JeT/IvhFxgBiiB+oB3nB0pBlqB
TILJSZO,O,X,O,X,O
TILJSOZ,O,X,O,X,O
TILJZSO,O,O,O,X,O
TILJZOS,O,O,O,X,O
TILJOSZ,O,X,O,X,X
TILJOZS,O,O,O,X,X
TILSJZO,O,O,O,X,X
TILSJOZ,O,O,O,X,X
TILSZJO,O,O,O,X,X
TILSZOJ,O,O,O,X,X
TILSOJZ,O,O,O,X,X
TILSOZJ,O,O,O,X,X
TILZJSO,O,O,O,X,O
TILZJOS,O,O,O,O,O
TILZSJO,X,O,O,X,X
TILZSOJ,X,O,O,X,X
TILZOJS,O,O,O,O,O
TILZOSJ,X,O,O,O,X
TILOJSZ,O,X,O,X,X
TILOJZS,O,O,O,O,X
TILOSJZ,O,X,O,X,X
TILOSZJ,X,O,O,O,X
TILOZJS,O,O,O,O,X
TILOZSJ,X,O,O,O,X
TIJLSZO,O,X,O,X,O
TIJLSOZ,O,X,O,X,O
TIJLZSO,O,O,O,X,O
TIJLZOS,O,O,O,X,O
TIJLOSZ,O,X,O,X,X
TIJLOZS,O,O,O,X,X
TIJSLZO,O,X,O,X,O
TIJSLOZ,O,X,O,X,O
TIJSZLO,O,X,O,X,O
TIJSZOL,O,X,O,X,O
TIJSOLZ,O,X,X,X,O
TIJSOZL,O,X,X,X,O
TIJZLSO,O,X,O,X,O
TIJZLOS,O,X,O,X,O
TIJZSLO,O,X,O,X,O
TIJZSOL,O,X,O,X,O
TIJZOLS,O,X,O,X,O
TIJZOSL,O,X,O,X,O
TIJOLSZ,O,X,O,X,X
TIJOLZS,O,O,O,X,X
TIJOSLZ,O,X,X,X,O
TIJOSZL,O,X,X,X,O
TIJOZLS,O,X,O,X,O
TIJOZSL,O,X,O,X,O
TISLJZO,O,O,O,X,X
TISLJOZ,O,O,O,X,X
TISLZJO,O,O,O,X,X
TISLZOJ,O,O,O,X,X
TISLOJZ,O,O,O,X,X
TISLOZJ,O,O,O,X,X
TISJLZO,O,O,O,X,O
TISJLOZ,O,O,O,X,O
TISJZLO,O,X,O,X,O
TISJZOL,O,X,O,X,O
TISJOLZ,O,O,X,X,O
TISJOZL,O,X,X,X,O
TISZLJO,O,O,O,X,X
TISZLOJ,O,O,O,X,X
TISZJLO,O,X,O,X,O
TISZJOL,O,X,O,X,O
