sequence,v115@FhB8IeA8GeC8CeA8AeE8JeZEJvhFFgBXhB0iBqpBzm?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBOpBzp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iB6pBOp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JemAJvhFfnB0iBxkBTkByu?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iBOpB6p?BFrB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFXhB0iBikBzmB1u?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBmpBFr?BTpB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFFhB0iBOpBfrBzm?B6pB,v115@FhB8IeA8GeC8CeA8AeE8Jei/IvhFcpBeqBzlBRnBXn?BFrB
TILJSZO,O,O,O,O,O,X,O,X,X
TILJSOZ,O,O,O,O,O,X,O,X,X
TILJZSO,O,O,X,O,X,X,O,X,X
TILJZOS,O,X,X,X,X,O,X,X,X
TILJOSZ,O,O,O,O,O,O,O,X,X
TILJOZS,O,X,X,X,X,O,X,X,X
TILSJZO,X,O,O,O,O,X,O,X,X
TILSJOZ,X,O,O,O,O,X,O,X,X
TILSZJO,X,O,O,O,O,X,O,X,X
TILSZOJ,O,O,O,O,O,O,O,X,X
TILSOJZ,O,O,O,O,O,O,X,X,X
TILSOZJ,O,O,O,O,O,O,O,X,X
TILZJSO,O,X,X,O,X,X,X,X,X
TILZJOS,O,X,X,X,X,O,X,X,X
TILZSJO,X,O,O,O,X,X,O,X,X
TILZSOJ,O,O,O,O,X,O,O,X,X
TILZOJS,O,X,X,X,X,O,X,X,X
TILZOSJ,O,X,O,X,X,O,X,X,X
TILOJSZ,O,O,O,O,O,O,X,X,X
TILOJZS,O,O,X,X,X,O,X,X,X
TILOSJZ,O,O,O,O,O,O,X,X,X
TILOSZJ,O,O,O,O,O,O,O,X,X
TILOZJS,O,X,X,X,X,O,X,X,X
TILOZSJ,O,O,O,X,X,O,X,X,X
TIJLSZO,X,O,O,O,O,O,O,X,X
TIJLSOZ,X,O,O,O,O,O,O,X,X
TIJLZSO,X,O,X,O,X,O,O,X,X
TIJLZOS,X,X,X,X,X,O,X,X,X
TIJLOSZ,X,O,O,O,O,O,O,X,X
TIJLOZS,X,X,X,X,X,O,X,X,X
TIJSLZO,X,O,O,O,O,O,O,X,X
TIJSLOZ,X,O,O,O,O,O,O,X,X
TIJSZLO,X,O,O,O,O,O,O,X,X
TIJSZOL,X,O,O,O,O,O,O,X,X
TIJSOLZ,X,O,O,X,O,X,O,O,X
TIJSOZL,X,O,O,O,O,O,O,O,X
TIJZLSO,X,O,X,X,X,O,X,X,X
TIJZLOS,X,X,X,X,X,O,X,X,O
TIJZSLO,X,O,X,O,O,O,X,X,X
TIJZSOL,X,O,X,O,O,O,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,O
TIJZOSL,X,X,X,X,O,X,X,O,X
TIJOLSZ,X,O,O,X,O,O,X,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X
TIJOSLZ,X,O,O,X,O,O,X,O,X
TIJOSZL,X,O,O,O,O,O,X,O,X
TIJOZLS,X,X,X,X,X,O,X,X,O
TIJOZSL,X,X,X,X,O,O,X,O,X
TISLJZO,X,O,O,O,O,X,O,X,X
TISLJOZ,X,O,O,O,O,X,O,X,X
TISLZJO,X,O,O,O,O,X,O,X,X
TISLZOJ,X,O,O,O,O,X,O,X,X
TISLOJZ,X,O,O,O,O,X,X,X,X
TISLOZJ,X,O,O,O,O,X,O,X,X
TISJLZO,X,O,O,O,O,X,O,X,X
TISJLOZ,X,O,O,O,O,X,O,X,X
TISJZLO,X,O,O,O,O,X,O,X,X
TISJZOL,X,O,O,O,O,X,O,X,X
TISJOLZ,X,O,O,X,O,X,O,O,X
TISJOZL,X,O,O,O,O,X,O,O,X
TISZLJO,X,O,O,O,O,X,O,X,X
TISZLOJ,X,O,O,O,O,X,O,X,X
TISZJLO,X,O,O,O,O,X,O,X,X
TISZJOL,X,O,O,O,O,X,O,X,X
TISZOLJ,X,O,O,X,O,X,X,X,X
TISZOJL,X,O,O,O,O,X,X,X,X
TISOLJZ,X,O,O,X,O,X,X,O,X
TISOLZJ,X,O,O,X,O,X,X,O,X
TISOJLZ,X,O,O,X,O,X,X,O,X
TISOJZL,X,O,O,O,O,X,X,O,X
TISOZLJ,X,O,O,X,O,X,X,O,X
TISOZJL,X,O,O,O,O,X,X,O,X
TIZLJSO,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,O,X,X,O
TIZLSJO,X,X,O,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,O,X,X,X
TIZLOJS,O,X,X,X,X,O,X,X,X
