sequence,v115@ChB8IeA8HeD8AeA8DeD8KeOEJvhF/lBUhBziB5oBtp?ByvB,v115@ChB8IeA8HeD8AeA8DeD8Ke0/IvhF6lBNmBziB5oB/p?B2vB,v115@ChB8IeA8HeD8AeA8DeD8KeKEJvhFWlBNmBziB5oB0q?BXqB,v115@ChB8IeA8HeD8AeA8DeD8KeKEJvhFWlBNmBziB5oBXq?B0qB,v115@ChB8IeA8HeD8AeA8DeD8KeSFJvhFNmBziB5oB/pB0q?BmpB,v115@ChB8IeA8HeD8AeA8DeD8KeOEJvhFNmBziB5oBClB0q?BXqB
TILJSZO,O,O,X,O,X,X
TILJSOZ,O,O,O,O,X,X
TILJZSO,O,O,O,X,X,O
TILJZOS,O,O,O,O,X,O
TILJOSZ,O,O,O,O,X,X
TILJOZS,O,O,O,O,X,O
TILSJZO,O,O,X,O,X,X
TILSJOZ,O,O,O,O,X,X
TILSZJO,O,O,O,O,O,X
TILSZOJ,O,O,O,O,O,X
TILSOJZ,O,O,O,O,X,X
TILSOZJ,O,O,O,O,O,X
TILZJSO,O,X,O,X,X,O
TILZJOS,O,X,O,O,X,O
TILZSJO,O,X,O,O,O,O
TILZSOJ,O,X,O,O,O,O
TILZOJS,O,X,O,O,X,O
TILZOSJ,O,X,O,O,O,O
TILOJSZ,O,O,O,O,X,X
TILOJZS,O,O,O,O,X,O
TILOSJZ,O,O,O,O,X,X
TILOSZJ,O,O,O,O,O,X
TILOZJS,O,X,O,O,X,O
TILOZSJ,O,X,O,O,O,O
TIJLSZO,O,O,X,O,X,X
TIJLSOZ,O,O,O,O,X,X
TIJLZSO,O,O,O,X,X,O
TIJLZOS,O,O,O,O,X,O
TIJLOSZ,O,O,O,O,X,X
TIJLOZS,O,O,O,O,X,O
TIJSLZO,O,O,X,O,X,X
TIJSLOZ,O,O,X,O,X,X
TIJSZLO,O,O,X,X,O,O
TIJSZOL,O,O,X,X,O,O
TIJSOLZ,O,O,X,O,X,X
TIJSOZL,O,O,X,X,O,O
TIJZLSO,O,O,O,X,X,O
TIJZLOS,O,O,O,X,X,O
TIJZSLO,O,O,X,X,O,O
TIJZSOL,O,O,X,X,O,O
TIJZOLS,O,O,O,X,X,O
TIJZOSL,O,O,X,X,O,O
TIJOLSZ,O,O,O,O,X,X
TIJOLZS,O,O,O,O,X,O
TIJOSLZ,O,O,X,O,X,X
TIJOSZL,O,O,X,X,O,O
TIJOZLS,O,O,O,X,X,O
TIJOZSL,O,O,X,X,O,O
TISLJZO,O,O,X,O,X,X
TISLJOZ,O,O,O,O,X,X
TISLZJO,O,O,O,O,O,X
TISLZOJ,O,O,O,O,O,X
TISLOJZ,O,O,O,O,X,X
TISLOZJ,O,O,O,O,O,X
TISJLZO,O,O,X,O,X,X
TISJLOZ,O,O,X,O,X,X
TISJZLO,O,O,X,X,O,O
TISJZOL,O,O,X,X,O,O
TISJOLZ,O,O,X,O,X,X
TISJOZL,O,O,X,X,O,O
TISZLJO,O,O,O,O,O,O
TISZLOJ,O,O,O,O,O,O
TISZJLO,O,O,X,X,O,O
TISZJOL,O,O,X,X,O,O
TISZOLJ,O,O,O,O,O,O
TISZOJL,O,O,X,X,O,O
TISOLJZ,O,O,O,O,X,X
TISOLZJ,O,O,O,O,O,X
TISOJLZ,O,O,X,O,X,X
TISOJZL,O,O,X,X,O,O
TISOZLJ,O,O,O,O,O,O
TISOZJL,O,O,X,X,O,O
TIZLJSO,O,X,O,X,X,O
TIZLJOS,O,X,O,O,X,O
TIZLSJO,O,X,O,O,O,O
TIZLSOJ,O,X,O,O,O,O
TIZLOJS,O,X,O,O,X,O
TIZLOSJ,O,X,O,O,O,O
TIZJLSO,O,O,O,X,X,O
TIZJLOS,O,O,O,X,X,O
TIZJSLO,O,O,X,X,O,O
TIZJSOL,O,O,X,X,O,O
TIZJOLS,O,O,O,X,X,O
TIZJOSL,O,O,X,X,O,O
TIZSLJO,O,O,O,O,O,O
TIZSLOJ,O,O,O,O,O,O
TIZSJLO,O,O,X,X,O,O
TIZSJOL,O,O,X,X,O,O
TIZSOLJ,O,O,O,O,O,O
TIZSOJL,O,O,X,X,O,O
TIZOLJS,O,X,O,O,X,O
TIZOLSJ,O,X,O,O,O,O
TIZOJLS,O,O,O,X,X,O
TIZOJSL,O,O,X,X,O,O
TIZOSLJ,O,O,O,O,O,O
TIZOSJL,O,O,X,X,O,O
TIOLJSZ,O,O,O,O,X,X
TIOLJZS,O,O,O,O,X,O
TIOLSJZ,O,O,O,O,X,X
TIOLSZJ,O,O,O,O,O,X
TIOLZJS,O,X,O,O,X,O
TIOLZSJ,O,X,O,O,O,O
TIOJLSZ,O,O,O,O,X,X
TIOJLZS,O,O,O,O,X,O
TIOJSLZ,O,O,X,O,X,X
