sequence,v115@DhA8HeB8HeC8FeF8JeOEJvhFxgBCjB8qBToB3pBFqB,v115@DhA8HeB8HeC8FeF8Je3/IvhFFhBCjB0lBToB2pBxuB,v115@DhA8HeB8HeC8FeF8JeFBJvhFfoB6oBTkB0lBmkBxuB,v115@DhA8HeB8HeC8FeF8JeFBJvhFCjBOpBToBRqB/qB0pB,v115@DhA8HeB8HeC8FeF8Jex/IvhFXhBziB+oB0pBlqBipB,v115@DhA8HeB8HeC8FeF8Je0/IvhFXhBKpBFoBGoBRqBTqB,v115@DhA8HeB8HeC8FeF8JeKEJvhFzfBGjB3lBUoBFmBxuB,v115@DhA8HeB8HeC8FeF8JexAJvhFfoB6oBzlBlpBOpBUqB,v115@DhA8HeB8HeC8FeF8Je0/IvhFXhBKpBGoBFoBRqBTqB,v115@DhA8HeB8HeC8FeF8JeZEJvhFzfBSoB3lBFmBUoBWvB,v115@DhA8HeB8HeC8FeF8JeT/IvhFXhBypBFoB0lBGoBxuB,v115@DhA8HeB8HeC8FeF8JeT/IvhF0gBypBFoBXmBGoBxuB,v115@DhA8HeB8HeC8FeF8JeT/IvhF0gBypBGoBXmBFoBxuB
TILJSZO,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X
TILJZSO,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,O,O
TILJOSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
TILJOZS,X,X,X,O,X,X,X,X,X,X,X,O,O
TILSJZO,O,X,O,X,X,O,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TILSZJO,X,X,O,X,X,O,O,X,X,X,X,X,X
TILSZOJ,X,X,O,X,X,O,O,X,X,X,O,O,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X
TILSOZJ,X,X,O,X,X,O,O,X,X,X,O,O,X
TILZJSO,X,X,X,X,X,O,O,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,X,X,X,X,O,O
TILZSJO,O,X,O,X,X,O,O,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,O,O,X,X,X,O,O,X
TILZOJS,X,O,X,X,X,X,O,X,X,X,X,O,O
TILZOSJ,X,O,O,X,X,O,O,X,X,X,O,O,X
