sequence,v115@HhB8HeC8FeE8DeB8Jem/IvhFqlB/mBTjB0nBFnBxwB,v115@HhB8HeC8FeE8DeB8Jex/IvhFylBcnBTjBFrB3sBurB,v115@HhB8HeC8FeE8DeB8Jem/IvhFRhBqnBTjBfrBUsBlrB,v115@HhB8HeC8FeE8DeB8Jex/IvhFylBzhBcoBFrBXsBusB,v115@HhB8HeC8FeE8DeB8Jex/IvhF3iBcoBllB+rBimBTsB,v115@HhB8HeC8FeE8DeB8Jex/IvhF0hBWoBllBKsBXoBTrB,v115@HhB8HeC8FeE8DeB8Jex/IvhF0hBSoBllB2sBTrB3sB
TILJSZO,O,O,X,O,X,X,X
TILJSOZ,O,O,X,O,X,X,X
TILJZSO,O,X,X,O,O,O,X
TILJZOS,O,X,X,X,O,O,O
TILJOSZ,O,O,X,O,X,X,X
TILJOZS,O,X,X,X,O,O,O
TILSJZO,O,O,X,O,X,X,X
TILSJOZ,O,O,X,O,X,X,X
TILSZJO,O,O,X,O,X,X,X
TILSZOJ,O,O,X,O,X,X,O
TILSOJZ,O,O,X,O,X,X,X
TILSOZJ,O,O,X,O,X,X,O
TILZJSO,O,X,X,O,O,O,X
TILZJOS,O,X,X,X,O,O,O
TILZSJO,O,O,X,O,O,X,X
TILZSOJ,O,O,X,O,X,X,O
TILZOJS,O,X,X,X,O,X,O
TILZOSJ,O,O,X,O,O,X,O
TILOJSZ,O,O,X,O,X,X,X
TILOJZS,O,X,X,X,O,O,O
TILOSJZ,O,O,X,O,X,X,X
TILOSZJ,O,O,X,O,X,X,O
TILOZJS,O,X,X,X,O,O,O
TILOZSJ,O,O,X,O,O,X,O
TIJLSZO,O,O,X,O,X,X,X
TIJLSOZ,O,O,X,O,X,X,X
TIJLZSO,O,X,X,O,O,O,X
TIJLZOS,O,X,X,X,O,O,O
TIJLOSZ,O,O,X,O,X,X,X
TIJLOZS,O,X,X,X,O,O,O
TIJSLZO,X,O,X,O,X,X,X
TIJSLOZ,X,O,X,O,X,X,X
TIJSZLO,X,O,X,O,O,O,X
TIJSZOL,X,O,X,O,O,X,X
TIJSOLZ,X,O,X,O,X,X,X
TIJSOZL,X,O,X,O,O,O,X
TIJZLSO,O,X,X,O,O,O,X
TIJZLOS,O,X,X,X,O,O,O
TIJZSLO,X,X,X,O,O,O,X
TIJZSOL,X,X,X,O,O,X,X
TIJZOLS,O,X,X,X,O,O,X
TIJZOSL,X,X,X,X,O,O,X
TIJOLSZ,O,O,X,O,X,X,X
