sequence,v115@HhA8IeF8BeD8GeA8Je0/IvhFlgBzhBGjB3nByvBRxB,v115@HhA8IeF8BeD8GeA8Jel/IvhF3gBGiBTjBUnByvBRxB,v115@HhA8IeF8BeD8GeA8Jex/IvhFmhBTjBXsBqsBUqBFrB,v115@HhA8IeF8BeD8GeA8Jel/IvhF6nBTjBmmBcqBXrBRxB,v115@HhA8IeF8BeD8GeA8Je0/IvhFzgBfnBSoBlnB2vBRxB,v115@HhA8IeF8BeD8GeA8Jel/IvhFRiBXsBarBctBTqBGsB,v115@HhA8IeF8BeD8GeA8Jex/IvhFmhBSoBXsBUqBFrBzsB,v115@HhA8IeF8BeD8GeA8Je0/IvhFzgBfnBxiBSxBFtB2vB
TILJSZO,O,X,X,O,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,X
TILJZSO,O,X,X,O,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,X
TILJOSZ,X,X,X,O,X,X,X,X
TILJOZS,O,X,X,O,X,X,X,X
TILSJZO,O,X,X,O,X,X,X,X
TILSJOZ,O,X,X,O,X,X,X,X
TILSZJO,O,O,X,X,X,X,O,X
TILSZOJ,O,O,X,X,O,X,O,X
TILSOJZ,O,X,X,O,X,X,X,X
TILSOZJ,O,O,X,X,O,X,X,X
TILZJSO,O,O,X,O,X,X,X,X
TILZJOS,O,O,X,O,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X
TILZSOJ,O,O,X,X,O,X,X,X
TILZOJS,O,O,X,O,X,X,X,X
TILZOSJ,X,O,X,X,O,X,X,X
TILOJSZ,X,X,X,O,X,X,X,X
TILOJZS,O,X,X,O,X,X,X,X
TILOSJZ,X,X,X,O,X,X,X,X
TILOSZJ,X,O,X,X,O,X,X,X
TILOZJS,O,O,X,O,X,X,X,X
TILOZSJ,X,O,X,X,O,X,X,X
TIJLSZO,O,X,X,O,X,X,X,X
TIJLSOZ,O,X,X,O,X,X,X,X
TIJLZSO,O,X,X,O,X,X,X,X
TIJLZOS,O,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,O,X,X,X,X
TIJLOZS,O,X,X,O,X,X,X,X
TIJSLZO,O,X,X,O,X,X,X,X
TIJSLOZ,O,X,X,O,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,X,X
TIJZLOS,O,O,X,O,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X
TIJZOLS,O,O,X,O,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,X,X,X,X
TIJOLZS,O,X,X,O,X,X,X,X
TIJOSLZ,O,X,X,O,X,X,X,X
TIJOSZL,O,O,X,X,X,X,X,X
TIJOZLS,O,O,X,O,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X
