sequence,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeRyXaAFLDmClc?JSAVDEHBEooRBJoAVBsfLuCvOBAAvhFyQB+PBsOB3NBTLBl?MB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBJ3jFDqOBAAvhFRSBzLBXKB0HBOLBl?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVBp/rtC6OBAAvhFRSB2QB6PB3NB0LBl?MB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8Je1yXaAFLDmClc?JSAVDEHBEooRBUoAVBzfjWCP+AAAvhF3MB+PBsOBKLBzLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVBUNUFDK+AAAvhF1SB3MB6PBsLBOLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVB6+ytCp/AAAvhF0NB1RBTLBXPBRNBm?LB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVB6+bgCpCBAAvhF0NB1RB3LBTPBRNBi?LB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC6OBAAvhFRSBTKBKLBfMB0MBl?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeW0XaAFLDmClc?JSAVDEHBEooRBKoAVBzHLxCM+AAAvhF3NB0LBTKBlMBiLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBa3TxCK+AAAvhF0MBTLBXKBlNBmLBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8JezuXaAFLDmClc?JSAVDEHBEooRBPoAVB6C+tCK+AAAvhF0MB6PBlNB3GB2QBR?NB,v115@pgE8AeH8AeH8AeH8AeH8AeH8AeI8Je0sXaAFLDmClc?JSAVDEHBEooRBaoAVBs+bgCK+AAAvhFCPBlNB3GBTPB2QBR?NB
TILJSZO,O,O,O,O,X,X,X,O,X,X,X,X
TILJSOZ,O,O,O,O,X,X,X,O,X,X,X,X
TILJZSO,O,O,O,O,X,X,X,O,X,X,X,X
TILJZOS,O,O,O,O,X,X,X,O,X,X,X,X
TILJOSZ,O,O,O,O,X,X,X,O,X,X,X,X
TILJOZS,O,O,O,O,X,X,X,O,X,X,X,X
TILSJZO,O,O,O,O,X,X,O,O,O,X,X,X
TILSJOZ,O,O,O,O,X,X,X,O,O,X,X,X
TILSZJO,O,O,X,O,O,O,O,O,O,X,X,X
TILSZOJ,O,O,X,O,O,O,O,O,X,X,X,X
TILSOJZ,O,O,O,O,O,O,X,O,X,X,X,X
TILSOZJ,O,O,O,O,O,O,O,O,X,X,X,X
TILZJSO,O,O,X,O,X,O,O,O,X,X,X,X
TILZJOS,O,O,X,O,X,O,O,O,X,X,X,X
TILZSJO,O,O,X,O,X,O,O,O,O,X,X,X
TILZSOJ,O,O,X,O,X,O,O,O,X,X,X,X
TILZOJS,O,O,X,X,X,O,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,O,X,X,X,X,X,X
TILOJSZ,O,O,O,O,O,O,X,O,X,X,X,X
TILOJZS,O,O,O,O,X,O,X,O,X,X,X,X
TILOSJZ,O,O,O,O,O,O,X,O,X,X,X,X
TILOSZJ,O,O,O,O,O,O,X,O,X,X,X,X
TILOZJS,O,O,O,X,X,O,X,X,X,X,X,X
TILOZSJ,O,O,O,X,O,O,X,X,X,X,X,X
TIJLSZO,O,O,O,O,X,X,X,O,X,X,X,X
TIJLSOZ,O,O,O,O,X,X,X,O,X,X,X,X
TIJLZSO,O,O,O,O,X,X,X,O,X,X,X,X
TIJLZOS,O,O,O,O,X,X,X,O,X,X,X,X
TIJLOSZ,O,O,O,O,X,X,X,O,X,X,X,X
TIJLOZS,O,O,O,O,X,X,X,O,X,X,X,X
TIJSLZO,O,X,O,O,X,X,O,O,O,X,X,X
TIJSLOZ,O,X,O,O,X,X,O,O,O,X,X,X
TIJSZLO,O,X,O,O,O,X,O,X,O,X,X,X
TIJSZOL,O,X,O,O,O,X,O,X,O,X,X,X
TIJSOLZ,O,X,O,O,O,X,O,O,O,X,X,X
