sequence,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeC7Iv?hETcBmdB5jB0gBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hECcBmdB5jBXhBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEugBchBxdB6oBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEWhBxdB6oBXhBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEchBxdB6oB1qBuqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeWAJv?hETcBxdB6oB0gBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hExdB6oB3lBcmBuqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEmdB5jB3lBFmBCrB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeT8Iv?hExdBfmB6oBUlBGqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeT8Iv?hExdBGgB6oB8qBFqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JecBJv?hEmdB5jBqlBflBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeSBJv?hEmdB5jBzlBflBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8JeWAJv?hExdB6oB3lBcmBlqB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jel7Iv?hExdB6oBuqBfqBcrB,v115@zgA8IeA8EeB8BeC8BeD8AeB8CeD8AeC8AeF8Jez6Iv?hEmdB5jBXhB1qBCrB
TILJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TILJZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILJOSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TILZJOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TILZSOJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLZOS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIJSZLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIJSOLZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIJSOZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TIJZLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,O,X,O,X,X,X,X,X,O,X,X,X
TIJOLZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
TIJOSZL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJOZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISLZJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O
TISLOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
