sequence,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fBXcB8hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fB8gBzcB+?oBXmB,v115@9gA8IeA8IeC8BeB8CeG8AeB8Jea8IvhEfdB5gBzfBc?mB+oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhEceBqfB/hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhDzfBqlB3hB+?oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZrIvhE6fBTbB3hB+?oB0lB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeT0IvhE0aB5jBSlBO?mBXiB
TIJOSZL,O,X,X,O,X,X,O
TIJOZLS,O,X,O,O,X,X,O
TIJOZSL,O,X,O,O,X,X,O
TISLJZO,X,O,X,X,X,X,O
TISLJOZ,X,O,X,X,O,X,O
TISLZJO,X,O,X,X,X,X,O
TISLZOJ,X,O,X,X,X,X,O
TISLOJZ,X,O,X,X,O,X,O
TISLOZJ,X,O,X,X,X,X,O
TISJLZO,X,O,X,X,X,X,O
TISJLOZ,X,O,X,X,O,X,O
TISJZLO,X,O,X,X,X,X,O
TISJZOL,X,O,X,X,X,X,O
TISJOLZ,X,O,X,X,X,X,O
TISJOZL,X,O,X,X,X,X,O
TISZLJO,X,O,X,X,X,X,O
TISZLOJ,X,O,X,X,X,X,O
TISZJLO,X,O,X,X,X,X,O
TISZJOL,X,O,X,X,X,X,O
TISZOLJ,X,O,X,X,X,X,O
TISZOJL,X,O,X,X,X,X,O
TISOLJZ,X,O,X,X,X,X,O
TISOLZJ,X,O,X,X,X,X,O
TISOJLZ,X,O,X,X,X,X,O
TISOJZL,X,O,X,X,X,X,O
TISOZLJ,X,O,X,X,X,X,O
TISOZJL,X,O,X,X,X,X,O
TIZLJSO,X,X,O,X,X,X,O
TIZLJOS,O,X,O,X,X,X,O
TIZLSJO,X,X,O,X,X,X,O
TIZLSOJ,X,X,O,X,X,X,O
TIZLOJS,O,X,O,X,X,X,O
TIZLOSJ,O,X,O,X,X,X,O
TIZJLSO,X,X,O,X,X,X,O
TIZJLOS,O,X,O,X,X,X,O
TIZJSLO,X,X,O,X,X,X,O
TIZJSOL,X,X,O,X,X,X,O
TIZJOLS,O,X,O,X,X,X,O
TIZJOSL,O,X,O,X,X,X,O
TIZSLJO,X,X,O,X,X,X,O
TIZSLOJ,X,X,O,X,X,X,O
TIZSJLO,X,X,O,X,X,X,O
TIZSJOL,X,X,O,X,X,X,O
TIZSOLJ,X,X,O,X,X,X,O
TIZSOJL,X,X,O,X,X,X,O
TIZOLJS,O,X,O,X,X,X,O
TIZOLSJ,O,X,O,X,X,X,O
TIZOJLS,O,X,O,X,X,X,O
TIZOJSL,O,X,O,X,X,X,O
TIZOSLJ,O,X,O,X,X,X,O
TIZOSJL,O,X,O,X,X,X,O
TIOLJSZ,O,X,X,O,O,X,O
TIOLJZS,O,X,X,O,X,X,O
TIOLSJZ,O,X,X,O,O,X,O
TIOLSZJ,O,X,X,X,X,X,O
TIOLZJS,O,X,X,X,X,X,O
TIOLZSJ,O,X,X,X,X,X,O
TIOJLSZ,O,X,X,O,O,X,O
TIOJLZS,O,X,X,O,X,X,O
TIOJSLZ,O,X,X,O,X,X,O
TIOJSZL,O,X,X,O,X,X,O
TIOJZLS,O,X,O,O,X,X,O
TIOJZSL,O,X,O,O,X,X,O
TIOSLJZ,O,X,X,O,X,X,O
TIOSLZJ,O,X,X,X,X,X,O
TIOSJLZ,O,X,X,O,X,X,O
TIOSJZL,O,X,X,O,X,X,O
TIOSZLJ,O,X,X,X,X,X,O
TIOSZJL,O,X,X,X,X,X,O
TIOZLJS,O,X,O,X,X,X,O
TIOZLSJ,O,X,O,X,X,X,O
TIOZJLS,O,X,O,X,X,X,O
TIOZJSL,O,X,O,X,X,X,O
TIOZSLJ,O,X,O,X,X,X,O
TIOZSJL,O,X,O,X,X,X,O
TLIJSZO,X,O,X,X,X,O,O
TLIJSOZ,X,O,X,X,O,X,O
TLIJZSO,X,X,X,X,X,O,O
TLIJZOS,O,X,X,O,X,O,O
TLIJOSZ,O,X,X,O,O,X,O
TLIJOZS,O,X,X,O,X,X,O
TLISJZO,X,O,X,X,X,O,O
TLISJOZ,X,O,X,X,O,X,O
TLISZJO,X,O,X,X,X,O,O
TLISZOJ,X,O,X,X,X,O,O
TLISOJZ,X,O,X,X,O,X,O
TLISOZJ,X,O,X,X,X,X,O
TLIZJSO,X,X,X,X,X,O,O
TLIZJOS,O,X,X,X,X,O,O
TLIZSJO,X,X,X,X,X,O,O
TLIZSOJ,X,X,X,X,X,O,O
TLIZOJS,O,X,X,X,X,O,O
TLIZOSJ,O,X,X,X,X,O,O
TLIOJSZ,O,X,X,O,O,X,O
TLIOJZS,O,X,X,O,X,X,O
TLIOSJZ,O,X,X,O,O,X,O
TLIOSZJ,O,X,X,X,X,X,O
TLIOZJS,O,X,X,X,X,X,O
TLIOZSJ,O,X,X,X,X,X,O
TLJISZO,X,O,X,X,X,O,O
TLJISOZ,X,O,X,X,O,X,O
TLJIZSO,X,X,X,X,X,O,O
TLJIZOS,O,X,X,O,X,O,O
TLJIOSZ,O,X,X,O,O,X,O
TLJIOZS,O,X,X,O,X,X,O
TLJSIZO,X,O,X,X,X,O,O
