sequence,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fBXcB8hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZ7IvhE6fB8gBzcB+?oBXmB,v115@9gA8IeA8IeC8BeB8CeG8AeB8Jea8IvhEfdB5gBzfBc?mB+oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhEceBqfB/hB+?oBzlB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZwIvhDzfBqlB3hB+?oB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeZrIvhE6fBTbB3hB+?oB0lB,v115@9gA8IeA8IeC8BeB8CeG8AeB8JeT0IvhE0aB5jBSlBO?mBXiB
TZJSLOI,X,X,O,X,X,O,X
TZJSOIL,X,X,O,X,X,X,X
TZJSOLI,X,X,O,X,X,O,X
TZJOILS,O,X,O,X,X,X,X
TZJOISL,O,X,O,X,X,X,X
TZJOLIS,O,X,O,X,X,O,X
TZJOLSI,O,X,O,X,X,O,X
TZJOSIL,O,X,O,X,X,X,X
TZJOSLI,O,X,O,X,X,O,X
TZSILJO,X,X,O,X,X,X,O
TZSILOJ,X,X,O,X,X,X,O
TZSIJLO,X,X,O,X,X,X,O
TZSIJOL,X,X,O,X,X,X,O
TZSIOLJ,X,X,O,X,X,X,O
TZSIOJL,X,X,O,X,X,X,O
TZSLIJO,X,X,X,X,X,O,O
TZSLIOJ,X,X,X,X,X,O,O
TZSLJIO,X,X,X,X,X,O,O
TZSLJOI,X,X,O,X,X,O,X
TZSLOIJ,X,X,O,X,X,O,X
TZSLOJI,X,X,O,X,X,O,X
TZSJILO,X,X,O,X,X,X,O
TZSJIOL,X,X,O,X,X,X,O
TZSJLIO,X,X,X,X,X,O,O
TZSJLOI,X,X,O,X,X,O,X
TZSJOIL,X,X,O,X,X,X,X
TZSJOLI,X,X,O,X,X,O,X
TZSOILJ,X,X,O,X,X,X,X
TZSOIJL,X,X,O,X,X,X,X
TZSOLIJ,X,X,O,X,X,O,X
TZSOLJI,X,X,O,X,X,O,X
TZSOJIL,X,X,O,X,X,X,X
TZSOJLI,X,X,O,X,X,O,X
TZOILJS,O,X,O,X,X,X,X
TZOILSJ,O,X,O,X,X,X,X
TZOIJLS,O,X,O,X,X,X,X
TZOIJSL,O,X,O,X,X,X,X
TZOISLJ,O,X,O,X,X,X,X
TZOISJL,O,X,O,X,X,X,X
TZOLIJS,O,X,O,X,X,O,X
TZOLISJ,O,X,O,X,X,O,X
TZOLJIS,O,X,O,X,X,O,X
TZOLJSI,O,X,O,X,X,O,X
TZOLSIJ,O,X,O,X,X,O,X
TZOLSJI,O,X,O,X,X,O,X
TZOJILS,O,X,O,X,X,X,X
TZOJISL,O,X,O,X,X,X,X
TZOJLIS,O,X,O,X,X,O,X
TZOJLSI,O,X,O,X,X,O,X
TZOJSIL,O,X,O,X,X,X,X
TZOJSLI,O,X,O,X,X,O,X
TZOSILJ,O,X,O,X,X,X,X
TZOSIJL,O,X,O,X,X,X,X
TZOSLIJ,O,X,O,X,X,O,X
TZOSLJI,O,X,O,X,X,O,X
TZOSJIL,O,X,O,X,X,X,X
TZOSJLI,O,X,O,X,X,O,X
TOILJSZ,O,X,X,O,O,X,X
TOILJZS,O,X,X,O,X,X,X
TOILSJZ,O,X,X,O,O,X,X
TOILSZJ,O,X,X,X,X,X,X
TOILZJS,O,X,X,X,X,X,X
TOILZSJ,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,O,X,X
TOIJLZS,O,X,X,O,X,X,X
TOIJSLZ,O,X,X,O,X,X,X
TOIJSZL,O,X,X,O,X,X,X
TOIJZLS,O,X,O,O,X,X,X
TOIJZSL,O,X,O,O,X,X,X
TOISLJZ,O,X,X,O,X,X,X
TOISLZJ,O,X,X,X,X,X,X
TOISJLZ,O,X,X,O,X,X,X
TOISJZL,O,X,X,O,X,X,X
TOISZLJ,O,X,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X
TOIZLJS,O,X,O,X,X,X,X
TOIZLSJ,O,X,O,X,X,X,X
TOIZJLS,O,X,O,X,X,X,X
TOIZJSL,O,X,O,X,X,X,X
TOIZSLJ,O,X,O,X,X,X,X
TOIZSJL,O,X,O,X,X,X,X
TOLIJSZ,O,X,X,O,O,X,X
TOLIJZS,O,X,X,O,X,X,X
TOLISJZ,O,X,X,O,O,X,X
TOLISZJ,O,X,X,X,X,X,X
TOLIZJS,O,X,X,X,X,X,X
TOLIZSJ,O,X,X,X,X,X,X
TOLJISZ,O,X,X,O,O,X,X
TOLJIZS,O,X,X,O,X,X,X
TOLJSIZ,O,X,X,O,O,X,X
TOLJSZI,O,X,X,O,X,X,X
TOLJZIS,O,X,X,O,X,X,X
TOLJZSI,O,X,X,O,X,X,X
TOLSIJZ,O,X,X,O,O,X,X
TOLSIZJ,O,X,X,X,X,X,X
TOLSJIZ,O,X,X,O,O,X,X
TOLSJZI,O,X,X,O,X,X,X
TOLSZIJ,O,X,X,X,X,X,X
TOLSZJI,O,X,X,X,X,X,X
TOLZIJS,O,X,X,X,X,X,X
TOLZISJ,O,X,X,X,X,X,X
TOLZJIS,O,X,X,X,X,X,X
TOLZJSI,O,X,X,X,X,X,X
TOLZSIJ,O,X,X,X,X,X,X
TOLZSJI,O,X,X,X,X,X,X
TOJILSZ,O,X,X,O,O,X,X
TOJILZS,O,X,X,O,X,X,X
TOJISLZ,O,X,X,O,X,X,X
TOJISZL,O,X,X,O,X,X,X
TOJIZLS,O,X,O,O,X,X,X
TOJIZSL,O,X,O,O,X,X,X
TOJLISZ,O,X,X,O,O,X,X
TOJLIZS,O,X,X,O,X,X,X
TOJLSIZ,O,X,X,O,O,X,X
TOJLSZI,O,X,X,O,X,X,X
TOJLZIS,O,X,X,O,X,X,X
TOJLZSI,O,X,X,O,X,X,X
TOJSILZ,O,X,X,O,X,X,X
TOJSIZL,O,X,X,O,X,X,X
TOJSLIZ,O,X,X,O,X,X,X
TOJSLZI,O,X,X,O,X,X,X
TOJSZIL,O,X,X,O,X,X,X
TOJSZLI,O,X,X,O,X,X,X
TOJZILS,O,X,O,O,X,X,X
TOJZISL,O,X,O,O,X,X,X
TOJZLIS,O,X,O,O,X,X,X
TOJZLSI,O,X,O,O,X,X,X
TOJZSIL,O,X,O,O,X,X,X
TOJZSLI,O,X,O,O,X,X,X
TOSILJZ,O,X,X,O,X,X,X
TOSILZJ,O,X,X,X,X,X,X
TOSIJLZ,O,X,X,O,X,X,X
TOSIJZL,O,X,X,O,X,X,X
TOSIZLJ,O,X,X,X,X,X,X
TOSIZJL,O,X,X,X,X,X,X
TOSLIJZ,O,X,X,O,X,X,X
TOSLIZJ,O,X,X,X,X,X,X
TOSLJIZ,O,X,X,O,X,X,X
TOSLJZI,O,X,X,O,X,X,X
TOSLZIJ,O,X,X,X,X,X,X
TOSLZJI,O,X,X,X,X,X,X
TOSJILZ,O,X,X,O,X,X,X
TOSJIZL,O,X,X,O,X,X,X
TOSJLIZ,O,X,X,O,X,X,X
TOSJLZI,O,X,X,O,X,X,X
TOSJZIL,O,X,X,O,X,X,X
TOSJZLI,O,X,X,O,X,X,X
TOSZILJ,O,X,X,X,X,X,X
TOSZIJL,O,X,X,X,X,X,X
TOSZLIJ,O,X,X,X,X,X,X
TOSZLJI,O,X,X,X,X,X,X
TOSZJIL,O,X,X,X,X,X,X
TOSZJLI,O,X,X,X,X,X,X
TOZILJS,O,X,O,X,X,X,X
TOZILSJ,O,X,O,X,X,X,X
TOZIJLS,O,X,O,X,X,X,X
TOZIJSL,O,X,O,X,X,X,X
TOZISLJ,O,X,O,X,X,X,X
TOZISJL,O,X,O,X,X,X,X
TOZLIJS,O,X,O,X,X,X,X
TOZLISJ,O,X,O,X,X,X,X
TOZLJIS,O,X,O,X,X,X,X
TOZLJSI,O,X,O,X,X,X,X
TOZLSIJ,O,X,O,X,X,X,X
TOZLSJI,O,X,O,X,X,X,X
TOZJILS,O,X,O,X,X,X,X
TOZJISL,O,X,O,X,X,X,X
TOZJLIS,O,X,O,X,X,X,X
TOZJLSI,O,X,O,X,X,X,X
TOZJSIL,O,X,O,X,X,X,X
TOZJSLI,O,X,O,X,X,X,X
TOZSILJ,O,X,O,X,X,X,X
TOZSIJL,O,X,O,X,X,X,X
TOZSLIJ,O,X,O,X,X,X,X
TOZSLJI,O,X,O,X,X,X,X
TOZSJIL,O,X,O,X,X,X,X
TOZSJLI,O,X,O,X,X,X,X
ITLJSZO,X,O,X,X,X,X,O
ITLJSOZ,X,O,X,X,O,X,O
ITLJZSO,X,X,X,X,X,X,O
ITLJZOS,O,X,X,O,X,X,O
ITLJOSZ,O,X,X,O,O,X,O
ITLJOZS,O,X,X,O,X,X,O
ITLSJZO,X,O,X,X,X,X,O
ITLSJOZ,X,O,X,X,O,X,O
ITLSZJO,X,O,X,X,X,X,O
ITLSZOJ,X,O,X,X,X,X,O
ITLSOJZ,X,O,X,X,O,X,O
ITLSOZJ,X,O,X,X,X,X,O
ITLZJSO,X,X,X,X,X,X,O
ITLZJOS,O,X,X,X,X,X,O
ITLZSJO,X,X,X,X,X,X,O
ITLZSOJ,X,X,X,X,X,X,O
ITLZOJS,O,X,X,X,X,X,O
ITLZOSJ,O,X,X,X,X,X,O
ITLOJSZ,O,X,X,O,O,X,O
ITLOJZS,O,X,X,O,X,X,O
ITLOSJZ,O,X,X,O,O,X,O
ITLOSZJ,O,X,X,X,X,X,O
ITLOZJS,O,X,X,X,X,X,O
ITLOZSJ,O,X,X,X,X,X,O
ITJLSZO,X,O,X,X,X,X,O
ITJLSOZ,X,O,X,X,O,X,O
ITJLZSO,X,X,X,X,X,X,O
ITJLZOS,O,X,X,O,X,X,O
ITJLOSZ,O,X,X,O,O,X,O
ITJLOZS,O,X,X,O,X,X,O
ITJSLZO,X,O,X,X,X,X,O
ITJSLOZ,X,O,X,X,O,X,O
ITJSZLO,X,O,X,X,X,X,O
ITJSZOL,X,O,X,X,X,X,O
ITJSOLZ,X,O,X,X,X,X,O
ITJSOZL,X,O,X,X,X,X,O
ITJZLSO,X,X,O,X,X,X,O
ITJZLOS,O,X,O,O,X,X,O
ITJZSLO,X,X,O,X,X,X,O
ITJZSOL,X,X,O,X,X,X,O
ITJZOLS,O,X,O,O,X,X,O
ITJZOSL,O,X,O,O,X,X,O
ITJOLSZ,O,X,X,O,O,X,O
ITJOLZS,O,X,X,O,X,X,O
ITJOSLZ,O,X,X,O,X,X,O
ITJOSZL,O,X,X,O,X,X,O
ITJOZLS,O,X,O,O,X,X,O
ITJOZSL,O,X,O,O,X,X,O
ITSLJZO,X,O,X,X,X,X,O
ITSLJOZ,X,O,X,X,O,X,O
ITSLZJO,X,O,X,X,X,X,O
ITSLZOJ,X,O,X,X,X,X,O
ITSLOJZ,X,O,X,X,O,X,O
ITSLOZJ,X,O,X,X,X,X,O
ITSJLZO,X,O,X,X,X,X,O
ITSJLOZ,X,O,X,X,O,X,O
ITSJZLO,X,O,X,X,X,X,O
ITSJZOL,X,O,X,X,X,X,O
ITSJOLZ,X,O,X,X,X,X,O
ITSJOZL,X,O,X,X,X,X,O
ITSZLJO,X,O,X,X,X,X,O
ITSZLOJ,X,O,X,X,X,X,O
ITSZJLO,X,O,X,X,X,X,O
ITSZJOL,X,O,X,X,X,X,O
ITSZOLJ,X,O,X,X,X,X,O
ITSZOJL,X,O,X,X,X,X,O
ITSOLJZ,X,O,X,X,X,X,O
ITSOLZJ,X,O,X,X,X,X,O
ITSOJLZ,X,O,X,X,X,X,O
ITSOJZL,X,O,X,X,X,X,O
ITSOZLJ,X,O,X,X,X,X,O
ITSOZJL,X,O,X,X,X,X,O
ITZLJSO,X,X,O,X,X,X,O
ITZLJOS,O,X,O,X,X,X,O
ITZLSJO,X,X,O,X,X,X,O
ITZLSOJ,X,X,O,X,X,X,O
ITZLOJS,O,X,O,X,X,X,O
ITZLOSJ,O,X,O,X,X,X,O
ITZJLSO,X,X,O,X,X,X,O
ITZJLOS,O,X,O,X,X,X,O
ITZJSLO,X,X,O,X,X,X,O
ITZJSOL,X,X,O,X,X,X,O
ITZJOLS,O,X,O,X,X,X,O
ITZJOSL,O,X,O,X,X,X,O
ITZSLJO,X,X,O,X,X,X,O
ITZSLOJ,X,X,O,X,X,X,O
ITZSJLO,X,X,O,X,X,X,O
ITZSJOL,X,X,O,X,X,X,O
ITZSOLJ,X,X,O,X,X,X,O
ITZSOJL,X,X,O,X,X,X,O
ITZOLJS,O,X,O,X,X,X,O
ITZOLSJ,O,X,O,X,X,X,O
ITZOJLS,O,X,O,X,X,X,O
ITZOJSL,O,X,O,X,X,X,O
ITZOSLJ,O,X,O,X,X,X,O
ITZOSJL,O,X,O,X,X,X,O
ITOLJSZ,O,X,X,O,O,X,O
ITOLJZS,O,X,X,O,X,X,O
ITOLSJZ,O,X,X,O,O,X,O
ITOLSZJ,O,X,X,X,X,X,O
ITOLZJS,O,X,X,X,X,X,O
ITOLZSJ,O,X,X,X,X,X,O
ITOJLSZ,O,X,X,O,O,X,O
ITOJLZS,O,X,X,O,X,X,O
ITOJSLZ,O,X,X,O,X,X,O
ITOJSZL,O,X,X,O,X,X,O
ITOJZLS,O,X,O,O,X,X,O
ITOJZSL,O,X,O,O,X,X,O
ITOSLJZ,O,X,X,O,X,X,O
ITOSLZJ,O,X,X,X,X,X,O
ITOSJLZ,O,X,X,O,X,X,O
ITOSJZL,O,X,X,O,X,X,O
ITOSZLJ,O,X,X,X,X,X,O
ITOSZJL,O,X,X,X,X,X,O
ITOZLJS,O,X,O,X,X,X,O
ITOZLSJ,O,X,O,X,X,X,O
ITOZJLS,O,X,O,X,X,X,O
ITOZJSL,O,X,O,X,X,X,O
ITOZSLJ,O,X,O,X,X,X,O
ITOZSJL,O,X,O,X,X,X,O
ILTJSZO,X,O,X,X,X,O,O
ILTJSOZ,X,O,X,X,O,X,O
ILTJZSO,X,X,X,X,X,O,O
ILTJZOS,O,X,X,O,X,O,O
ILTJOSZ,O,X,X,O,O,X,O
ILTJOZS,O,X,X,O,X,X,O
ILTSJZO,X,O,X,X,X,O,O
ILTSJOZ,X,O,X,X,O,X,O
ILTSZJO,X,O,X,X,X,O,O
ILTSZOJ,X,O,X,X,X,O,O
ILTSOJZ,X,O,X,X,O,X,O
ILTSOZJ,X,O,X,X,X,X,O
ILTZJSO,X,X,X,X,X,O,O
ILTZJOS,O,X,X,X,X,O,O
ILTZSJO,X,X,X,X,X,O,O
ILTZSOJ,X,X,X,X,X,O,O
ILTZOJS,O,X,X,X,X,O,O
ILTZOSJ,O,X,X,X,X,O,O
ILTOJSZ,O,X,X,O,O,X,O
ILTOJZS,O,X,X,O,X,X,O
ILTOSJZ,O,X,X,O,O,X,O
ILTOSZJ,O,X,X,X,X,X,O
ILTOZJS,O,X,X,X,X,X,O
ILTOZSJ,O,X,X,X,X,X,O
ILJTSZO,X,O,X,X,X,O,O
ILJTSOZ,X,O,X,X,O,X,O
ILJTZSO,X,X,X,X,X,O,O
ILJTZOS,O,X,X,O,X,O,O
ILJTOSZ,O,X,X,O,O,X,O
ILJTOZS,O,X,X,O,X,X,O
ILJSTZO,X,O,X,X,X,O,O
ILJSTOZ,X,O,X,X,O,X,O
ILJSZTO,X,O,X,X,X,O,O
ILJSZOT,O,O,X,O,O,O,O
ILJSOTZ,O,O,X,O,O,X,O
ILJSOZT,O,O,X,O,O,O,O
ILJZTSO,X,X,O,X,X,O,O
ILJZTOS,O,X,O,O,X,O,O
ILJZSTO,X,O,O,X,X,O,O
ILJZSOT,O,O,O,O,O,O,O
ILJZOTS,O,X,O,O,X,O,O
ILJZOST,O,X,O,O,O,O,O
ILJOTSZ,O,X,X,O,O,X,O
ILJOTZS,O,X,X,O,X,X,O
ILJOSTZ,O,O,X,O,O,X,O
ILJOSZT,O,O,X,O,O,O,O
ILJOZTS,O,X,O,O,X,O,O
ILJOZST,O,X,O,O,O,O,O
ILSTJZO,X,O,X,X,X,O,O
ILSTJOZ,X,O,X,X,O,X,O
ILSTZJO,X,O,X,X,X,O,O
ILSTZOJ,X,O,X,X,X,O,O
ILSTOJZ,X,O,X,X,O,X,O
ILSTOZJ,X,O,X,X,X,X,O
ILSJTZO,X,O,X,X,X,O,O
ILSJTOZ,X,O,X,X,O,X,O
ILSJZTO,X,O,X,X,X,O,O
ILSJZOT,O,O,X,O,O,O,O
ILSJOTZ,O,O,X,O,O,X,O
ILSJOZT,O,O,X,O,O,O,O
ILSZTJO,X,O,X,X,X,O,O
ILSZTOJ,X,O,X,X,X,O,O
ILSZJTO,X,O,X,X,X,O,O
ILSZJOT,O,O,X,X,O,O,O
ILSZOTJ,O,O,X,X,X,O,O
ILSZOJT,O,O,X,X,O,O,O
ILSOTJZ,O,O,X,O,O,X,O
ILSOTZJ,O,O,X,X,X,X,O
ILSOJTZ,O,O,X,O,O,X,O
ILSOJZT,O,O,X,O,O,O,O
ILSOZTJ,O,O,X,X,X,O,O
ILSOZJT,O,O,X,O,O,O,O
ILZTJSO,X,X,O,X,X,O,O
ILZTJOS,O,X,O,X,X,O,O
ILZTSJO,X,X,O,X,X,O,O
ILZTSOJ,X,X,O,X,X,O,O
ILZTOJS,O,X,O,X,X,O,O
ILZTOSJ,O,X,O,X,X,O,O
ILZJTSO,X,X,O,X,X,O,O
ILZJTOS,O,X,O,O,X,O,O
ILZJSTO,X,O,O,X,X,O,O
ILZJSOT,O,O,O,O,O,O,O
ILZJOTS,O,X,O,O,X,O,O
ILZJOST,O,X,O,O,O,O,O
ILZSTJO,X,O,O,X,X,O,O
ILZSTOJ,X,O,O,X,X,O,O
ILZSJTO,X,O,O,X,X,O,O
ILZSJOT,O,O,O,X,O,O,O
ILZSOTJ,O,O,O,X,X,O,O
ILZSOJT,O,O,O,X,O,O,O
ILZOTJS,O,X,O,X,X,O,O
ILZOTSJ,O,X,O,X,X,O,O
ILZOJTS,O,X,O,O,X,O,O
ILZOJST,O,X,O,O,O,O,O
ILZOSTJ,O,X,O,X,X,O,O
ILZOSJT,O,X,O,O,O,O,O
ILOTJSZ,O,X,X,O,O,X,O
ILOTJZS,O,X,X,O,X,X,O
ILOTSJZ,O,X,X,O,O,X,O
ILOTSZJ,O,X,X,X,X,X,O
ILOTZJS,O,X,X,X,X,X,O
ILOTZSJ,O,X,X,X,X,X,O
ILOJTSZ,O,X,X,O,O,X,O
ILOJTZS,O,X,X,O,X,X,O
ILOJSTZ,O,O,X,O,O,X,O
ILOJSZT,O,O,X,O,O,O,O
ILOJZTS,O,X,O,O,X,O,O
ILOJZST,O,X,O,O,O,O,O
ILOSTJZ,O,O,X,O,O,X,O
ILOSTZJ,O,O,X,X,X,X,O
ILOSJTZ,O,O,X,O,O,X,O
ILOSJZT,O,O,X,O,O,O,O
ILOSZTJ,O,O,X,X,X,O,O
ILOSZJT,O,O,X,O,O,O,O
ILOZTJS,O,X,O,X,X,O,O
ILOZTSJ,O,X,O,X,X,O,O
ILOZJTS,O,X,O,O,X,O,O
ILOZJST,O,X,O,O,O,O,O
ILOZSTJ,O,X,O,X,X,O,O
ILOZSJT,O,X,O,O,O,O,O
IJTLSZO,X,O,X,X,X,X,O
IJTLSOZ,X,O,X,X,O,X,O
IJTLZSO,X,X,X,X,X,X,O
IJTLZOS,O,X,X,O,X,X,O
IJTLOSZ,O,X,X,O,O,X,O
IJTLOZS,O,X,X,O,X,X,O
IJTSLZO,X,O,X,X,X,X,O
IJTSLOZ,X,O,X,X,O,X,O
IJTSZLO,X,O,X,X,X,X,O
IJTSZOL,X,O,X,X,X,X,O
IJTSOLZ,X,O,X,X,X,X,O
IJTSOZL,X,O,X,X,X,X,O
IJTZLSO,X,X,O,X,X,X,O
IJTZLOS,O,X,O,O,X,X,O
IJTZSLO,X,X,O,X,X,X,O
IJTZSOL,X,X,O,X,X,X,O
IJTZOLS,O,X,O,O,X,X,O
IJTZOSL,O,X,O,O,X,X,O
IJTOLSZ,O,X,X,O,O,X,O
IJTOLZS,O,X,X,O,X,X,O
IJTOSLZ,O,X,X,O,X,X,O
IJTOSZL,O,X,X,O,X,X,O
IJTOZLS,O,X,O,O,X,X,O
IJTOZSL,O,X,O,O,X,X,O
IJLTSZO,X,O,X,X,X,O,O
IJLTSOZ,X,O,X,X,O,X,O
IJLTZSO,X,X,X,X,X,O,O
IJLTZOS,O,X,X,O,X,O,O
IJLTOSZ,O,X,X,O,O,X,O
IJLTOZS,O,X,X,O,X,X,O
IJLSTZO,X,O,X,X,X,O,O
IJLSTOZ,X,O,X,X,O,X,O
IJLSZTO,X,O,X,X,X,O,O
IJLSZOT,O,O,X,O,O,O,O
IJLSOTZ,O,O,X,O,O,X,O
IJLSOZT,O,O,X,O,O,O,O
IJLZTSO,X,X,O,X,X,O,O
IJLZTOS,O,X,O,O,X,O,O
IJLZSTO,X,O,O,X,X,O,O
IJLZSOT,O,O,O,O,O,O,O
IJLZOTS,O,X,O,O,X,O,O
IJLZOST,O,X,O,O,O,O,O
IJLOTSZ,O,X,X,O,O,X,O
IJLOTZS,O,X,X,O,X,X,O
IJLOSTZ,O,O,X,O,O,X,O
IJLOSZT,O,O,X,O,O,O,O
IJLOZTS,O,X,O,O,X,O,O
IJLOZST,O,X,O,O,O,O,O
IJSTLZO,X,O,X,X,X,X,O
IJSTLOZ,X,O,X,X,O,X,O
IJSTZLO,X,O,X,X,X,X,O
IJSTZOL,X,O,X,X,X,X,O
IJSTOLZ,X,O,X,X,X,X,O
IJSTOZL,X,O,X,X,X,X,O
IJSLTZO,X,O,X,X,X,O,O
IJSLTOZ,X,O,X,X,O,X,O
IJSLZTO,X,O,X,X,X,O,O
IJSLZOT,O,O,X,O,O,O,O
IJSLOTZ,O,O,X,O,O,X,O
IJSLOZT,O,O,X,O,O,O,O
IJSZTLO,X,O,O,X,X,X,O
IJSZTOL,X,O,O,X,X,X,O
IJSZLTO,X,O,O,X,X,O,O
IJSZLOT,O,O,O,O,O,O,O
IJSZOTL,O,O,O,O,X,X,O
IJSZOLT,O,O,O,O,X,O,O
IJSOTLZ,O,O,X,O,X,X,O
IJSOTZL,O,O,X,O,X,X,O
IJSOLTZ,O,O,X,O,O,X,O
IJSOLZT,O,O,X,O,O,X,O
IJSOZTL,O,O,O,O,X,X,O
IJSOZLT,O,O,O,O,X,X,O
IJZTLSO,X,X,O,X,X,X,O
IJZTLOS,O,X,O,O,X,X,O
IJZTSLO,X,X,O,X,X,X,O
IJZTSOL,X,X,O,X,X,X,O
IJZTOLS,O,X,O,O,X,X,O
IJZTOSL,O,X,O,O,X,X,O
IJZLTSO,X,X,O,X,X,O,O
IJZLTOS,O,X,O,O,X,O,O
IJZLSTO,X,O,O,X,X,O,O
IJZLSOT,O,O,O,O,O,O,O
IJZLOTS,O,X,O,O,X,O,O
IJZLOST,O,X,O,O,O,O,O
IJZSTLO,X,O,O,X,X,X,O
IJZSTOL,X,O,O,X,X,X,O
IJZSLTO,X,O,O,X,X,O,O
IJZSLOT,O,O,O,O,O,O,O
IJZSOTL,O,O,O,O,X,X,O
IJZSOLT,O,O,O,O,X,O,O
IJZOTLS,O,X,O,O,X,X,O
IJZOTSL,O,X,O,O,X,X,O
IJZOLTS,O,X,O,O,X,O,O
IJZOLST,O,X,O,O,O,O,O
IJZOSTL,O,X,O,O,X,X,O
IJZOSLT,O,X,O,O,X,O,O
IJOTLSZ,O,X,X,O,O,X,O
IJOTLZS,O,X,X,O,X,X,O
IJOTSLZ,O,X,X,O,X,X,O
IJOTSZL,O,X,X,O,X,X,O
IJOTZLS,O,X,O,O,X,X,O
IJOTZSL,O,X,O,O,X,X,O
IJOLTSZ,O,X,X,O,O,X,O
IJOLTZS,O,X,X,O,X,X,O
IJOLSTZ,O,O,X,O,O,X,O
IJOLSZT,O,O,X,O,O,X,O
IJOLZTS,O,X,O,O,X,X,O
IJOLZST,O,X,O,O,O,X,O
IJOSTLZ,O,O,X,O,X,X,O
IJOSTZL,O,O,X,O,X,X,O
IJOSLTZ,O,O,X,O,O,X,O
IJOSLZT,O,O,X,O,O,X,O
IJOSZTL,O,O,O,O,X,X,O
IJOSZLT,O,O,O,O,X,X,O
IJOZTLS,O,X,O,O,X,X,O
IJOZTSL,O,X,O,O,X,X,O
IJOZLTS,O,X,O,O,X,X,O
IJOZLST,O,X,O,O,O,X,O
IJOZSTL,O,X,O,O,X,X,O
IJOZSLT,O,X,O,O,X,X,O
ISTLJZO,X,O,X,X,X,X,O
ISTLJOZ,X,O,X,X,O,X,O
ISTLZJO,X,O,X,X,X,X,O
ISTLZOJ,X,O,X,X,X,X,O
ISTLOJZ,X,O,X,X,O,X,O
ISTLOZJ,X,O,X,X,X,X,O
ISTJLZO,X,O,X,X,X,X,O
ISTJLOZ,X,O,X,X,O,X,O
ISTJZLO,X,O,X,X,X,X,O
ISTJZOL,X,O,X,X,X,X,O
ISTJOLZ,X,O,X,X,X,X,O
ISTJOZL,X,O,X,X,X,X,O
ISTZLJO,X,O,X,X,X,X,O
ISTZLOJ,X,O,X,X,X,X,O
ISTZJLO,X,O,X,X,X,X,O
ISTZJOL,X,O,X,X,X,X,O
ISTZOLJ,X,O,X,X,X,X,O
ISTZOJL,X,O,X,X,X,X,O
ISTOLJZ,X,O,X,X,X,X,O
ISTOLZJ,X,O,X,X,X,X,O
ISTOJLZ,X,O,X,X,X,X,O
ISTOJZL,X,O,X,X,X,X,O
ISTOZLJ,X,O,X,X,X,X,O
ISTOZJL,X,O,X,X,X,X,O
ISLTJZO,X,O,X,X,X,O,O
ISLTJOZ,X,O,X,X,O,X,O
ISLTZJO,X,O,X,X,X,O,O
ISLTZOJ,X,O,X,X,X,O,O
ISLTOJZ,X,O,X,X,O,X,O
ISLTOZJ,X,O,X,X,X,X,O
ISLJTZO,X,O,X,X,X,O,O
ISLJTOZ,X,O,X,X,O,X,O
ISLJZTO,X,O,X,X,X,O,O
ISLJZOT,O,O,X,O,O,O,O
ISLJOTZ,O,O,X,O,O,X,O
ISLJOZT,O,O,X,O,O,O,O
ISLZTJO,X,O,X,X,X,O,O
ISLZTOJ,X,O,X,X,X,O,O
ISLZJTO,X,O,X,X,X,O,O
ISLZJOT,O,O,X,X,O,O,O
ISLZOTJ,O,O,X,X,X,O,O
ISLZOJT,O,O,X,X,O,O,O
ISLOTJZ,O,O,X,O,O,X,O
ISLOTZJ,O,O,X,X,X,X,O
ISLOJTZ,O,O,X,O,O,X,O
ISLOJZT,O,O,X,O,O,O,O
ISLOZTJ,O,O,X,X,X,O,O
ISLOZJT,O,O,X,O,O,O,O
ISJTLZO,X,O,X,X,X,X,O
ISJTLOZ,X,O,X,X,O,X,O
ISJTZLO,X,O,X,X,X,X,O
ISJTZOL,X,O,X,X,X,X,O
ISJTOLZ,X,O,X,X,X,X,O
ISJTOZL,X,O,X,X,X,X,O
ISJLTZO,X,O,X,X,X,O,O
ISJLTOZ,X,O,X,X,O,X,O
ISJLZTO,X,O,X,X,X,O,O
ISJLZOT,O,O,X,O,O,O,O
ISJLOTZ,O,O,X,O,O,X,O
ISJLOZT,O,O,X,O,O,O,O
ISJZTLO,X,O,O,X,X,X,O
ISJZTOL,X,O,O,X,X,X,O
ISJZLTO,X,O,O,X,X,O,O
ISJZLOT,O,O,O,O,O,O,O
ISJZOTL,O,O,O,O,X,X,O
ISJZOLT,O,O,O,O,X,O,O
ISJOTLZ,O,O,X,O,X,X,O
ISJOTZL,O,O,X,O,X,X,O
ISJOLTZ,O,O,X,O,O,X,O
ISJOLZT,O,O,X,O,O,X,O
ISJOZTL,O,O,O,O,X,X,O
ISJOZLT,O,O,O,O,X,X,O
ISZTLJO,X,O,O,X,X,X,O
ISZTLOJ,X,O,O,X,X,X,O
ISZTJLO,X,O,O,X,X,X,O
