sequence,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhF0W?BxXB/gBaiBThBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFTW?BxXB/hBaiB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jef2IvhF6W?BxXBTcBeiB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFxW?BXYBygBzhB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFxW?BXYBlgBzhB8qBiqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JexyIvhFGW?B/gBicBzhB8qBFqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhF0W?BxXBzcBlgBimB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jef2IvhFxS?B+bBicBzhB0gBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JezwIvhFCS?BOdBlbBRmBcmB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeF2IvhF5b?BOcBXYBzhB8qBaqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeW2IvhFUX?BFYBRmBTlBimB/qB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JezwIvhFcb?BXYB2hBCcBRmBlqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8JeF2IvhFXY?BRmBamB0hBTlBGqB,v115@fgA8GeC8CeH8EeE8EeF8DeE8CeH8AeF8Jea7IvhF5b?BOcBXYBzhB8qBFqB
TILJSZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TILJSOZ,O,O,O,O,X,X,X,X,X,X,O,X,O,X
TILJZSO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TILJOSZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TILJOZS,O,X,O,O,X,X,O,X,X,X,O,X,X,X
TILSJZO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TILSJOZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TILSZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TILSZOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TILSOJZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TILSOZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TILZJSO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TILZSOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TILZOJS,O,X,X,X,X,X,X,X,O,X,X,O,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TILOJSZ,O,O,X,X,X,X,O,O,O,X,O,X,O,X
TILOJZS,O,X,X,X,X,X,O,O,O,X,O,X,X,X
TILOSJZ,O,O,X,X,X,X,O,O,X,X,X,X,O,X
TILOSZJ,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TILOZJS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X
