sequence,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRXBGZB?TcByiB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRYBSeB?mcBUcBziBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFecBqcB?xYBXeB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFxYB0cB?6iBOjBXhBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jem2IvhFzXBCZB?0bBRiBXjBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhF0XBxYB?VhB3nBmnBCtB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jem2IvhFSeB0bB?RiBznBfnBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFacBTZB?RiBGiB8sBFsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jei2IvhFlYBzbB?RiBusBfsBctB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Jey7IvhFzXBWeB?0bBRiBXjBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8JeT2IvhFceBxcB?XcBGiBysBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je27IvhFqcBxdB?zbBXeB0iBlsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFTZBxcB?UcBliBysBGsB,v115@pgB8HeB8HeC8FeH8BeG8CeH8AeB8Je/7IvhFRXBTcB?FeB0iB2sBCtB
TILJSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TILJSOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TILJZSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TILJZOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TILJOSZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TILJOZS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TILSJZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TILSJOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X
TILSZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TILZJOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TILZSJO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TILZOSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,O,X,X,X,X,X,O,X,O,X,X
TILOJZS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TILOSJZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TILOSZJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TILOZSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TIJLSOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TIJLZSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TIJLZOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TIJLOSZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TIJLOZS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TIJSLZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TIJSLOZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TIJSZLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TIJSOZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,O,X,O,O,X,X,X,X,X,X,O,X,X
TIJZLOS,X,X,X,O,O,X,X,X,X,O,X,O,X,X
TIJZSLO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIJZOSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,O,O,X,X,X,X,X,O,X,O,X,X
TIJOLZS,X,O,X,O,O,X,X,X,X,O,X,O,X,X
TIJOSLZ,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TIJOSZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X
TIJOZSL,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X
TISLJOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X
TISLZJO,O,O,O,X,O,X,X,O,X,X,X,X,X,X
TISLZOJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TISLOJZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TISLOZJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJLZO,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TISJLOZ,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TISJZLO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TISJZOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJOLZ,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TISJOZL,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
