sequence,v115@HhC8GeD8FeD8AeB8BeA8JeRGJvhCqsBToBirB,v115@HhC8GeD8FeD8AeB8BeA8JeRGJvhCGoBirBzsB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCCnBToB0sB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCWsBxnBXtB,v115@HhC8GeD8FeD8AeB8BeA8JeRGJvhCusBctBirB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCRnBctBGsB,v115@HhC8GeD8FeD8AeB8BeA8JeRGJvhCCoBirBXtB,v115@HhC8GeD8FeD8AeB8BeA8JeRGJvhCirBCtBFtB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCzmBCoBXtB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCzmBusBctB,v115@HhC8GeD8FeD8AeB8BeA8JeRGJvhCWtBirBXtB,v115@HhC8GeD8FeD8AeB8BeA8JeRGJvhCirBFtBCtB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCCnBxsBXtB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCzmBFtBCtB,v115@HhC8GeD8FeD8AeB8BeA8JeyLJvhCStBFrBzsB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCzmBWtBXtB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCWsBctBlsB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCWsBToB0sB,v115@HhC8GeD8FeD8AeB8BeA8JeyLJvhCWtBFrBXtB,v115@HhC8GeD8FeD8AeB8BeA8JeyLJvhCqsBToBFrB,v115@HhC8GeD8FeD8AeB8BeA8JeyLJvhCGoBzsBFrB,v115@HhC8GeD8FeD8AeB8BeA8JeaLJvhCzmBCtBFtB,v115@HhC8GeD8FeD8AeB8BeA8JeyLJvhCCoBXtBFrB,v115@HhC8GeD8FeD8AeB8BeA8JeTIJvhCxrBFrB0sB
LTILJSZO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILJSOZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILJZSO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILJZOS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILJOSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILJOZS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILSJZO,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTILSJOZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTILSZJO,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTILSZOJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTILSOJZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTILSOZJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTILZJSO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILZJOS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILZSJO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILZSOJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTILZOJS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
