sequence,v115@1gB8FeE8DeH8BeG8CeH8AeB8JeT1IvhFxWB/dB0cBO?jBCjBlsB,v115@1gB8FeE8DeH8BeG8CeH8AeB8JeT1IvhFmWBqcBxYBX?eB0iBlsB,v115@1gB8FeE8DeH8BeG8CeH8AeB8JeT1IvhFmWBqcBxYB0?dBXjBlsB,v115@1gB8FeE8DeH8BeG8CeH8AeB8JeT1IvhFmWBRiBcjBq?nBfnBlsB
ILTJSOZ,X,O,X,X
ILTJZSO,O,X,O,O
ILTJZOS,O,X,O,O
ILTJOSZ,X,O,X,X
ILTJOZS,O,X,O,O
ILTSJZO,X,O,X,X
ILTSJOZ,X,O,X,X
ILTSZJO,X,O,X,X
ILTSZOJ,X,O,X,X
ILTSOJZ,X,O,X,X
ILTSOZJ,X,O,X,X
ILTZJSO,O,X,O,O
ILTZJOS,O,X,O,O
ILTZSJO,O,X,O,O
ILTZSOJ,O,X,O,O
ILTZOJS,O,X,O,O
ILTZOSJ,O,X,O,O
ILTOJSZ,X,O,X,X
ILTOJZS,O,X,O,O
ILTOSJZ,X,O,X,X
ILTOSZJ,X,O,X,X
ILTOZJS,O,X,O,O
ILTOZSJ,O,X,O,O
ILJTSZO,X,O,X,X
ILJTSOZ,X,O,X,X
ILJTZSO,X,X,O,O
ILJTZOS,X,X,O,O
ILJTOSZ,X,O,X,X
ILJTOZS,X,X,O,O
ILJSTZO,X,X,X,X
ILJSTOZ,X,O,X,X
ILJSZTO,X,O,X,O
ILJSZOT,X,O,X,O
ILJSOTZ,X,O,X,X
ILJSOZT,X,O,X,O
ILJZTSO,X,X,X,O
ILJZTOS,X,X,O,O
ILJZSTO,X,X,O,O
ILJZSOT,O,X,O,O
ILJZOTS,X,X,O,O
ILJZOST,O,X,O,O
ILJOTSZ,X,O,X,X
ILJOTZS,X,X,O,O
ILJOSTZ,X,O,X,X
ILJOSZT,X,O,X,O
ILJOZTS,X,X,O,O
ILJOZST,O,X,O,O
ILSTJZO,X,X,X,X
ILSTJOZ,X,O,X,X
ILSTZJO,X,X,X,X
ILSTZOJ,X,X,X,X
ILSTOJZ,X,O,X,X
ILSTOZJ,X,X,X,X
ILSJTZO,X,X,X,X
ILSJTOZ,X,O,X,X
ILSJZTO,X,O,X,O
ILSJZOT,X,O,X,O
ILSJOTZ,X,O,X,X
ILSJOZT,X,O,X,O
ILSZTJO,X,O,X,O
ILSZTOJ,X,O,X,O
ILSZJTO,X,O,X,O
ILSZJOT,X,O,X,O
ILSZOTJ,X,O,X,O
ILSZOJT,X,O,X,O
ILSOTJZ,X,O,X,X
ILSOTZJ,X,X,X,X
ILSOJTZ,X,O,X,X
ILSOJZT,X,O,X,O
ILSOZTJ,X,O,X,O
ILSOZJT,X,O,X,O
ILZTJSO,O,X,X,O
ILZTJOS,O,X,O,O
ILZTSJO,O,X,X,O
ILZTSOJ,O,X,X,O
ILZTOJS,O,X,O,O
ILZTOSJ,O,X,X,O
ILZJTSO,X,X,X,O
ILZJTOS,X,X,O,O
ILZJSTO,X,X,O,O
ILZJSOT,O,X,O,O
ILZJOTS,X,X,O,O
ILZJOST,O,X,O,O
ILZSTJO,X,X,O,O
ILZSTOJ,X,X,O,O
ILZSJTO,X,X,O,O
ILZSJOT,O,X,O,O
ILZSOTJ,X,X,O,O
ILZSOJT,O,X,O,O
ILZOTJS,O,X,O,O
ILZOTSJ,O,X,X,O
ILZOJTS,X,X,O,O
ILZOJST,O,X,O,O
ILZOSTJ,X,X,O,O
ILZOSJT,O,X,O,O
ILOTJSZ,X,O,X,X
ILOTJZS,O,X,O,O
ILOTSJZ,X,O,X,X
ILOTSZJ,X,O,X,X
ILOTZJS,O,X,O,O
ILOTZSJ,O,X,O,O
ILOJTSZ,X,O,X,X
ILOJTZS,X,X,O,O
ILOJSTZ,X,O,X,X
ILOJSZT,X,O,X,O
ILOJZTS,X,X,O,O
ILOJZST,O,X,O,O
ILOSTJZ,X,O,X,X
ILOSTZJ,X,X,X,X
ILOSJTZ,X,O,X,X
ILOSJZT,X,O,X,O
ILOSZTJ,X,O,X,O
ILOSZJT,X,O,X,O
ILOZTJS,O,X,O,O
ILOZTSJ,O,X,X,O
ILOZJTS,X,X,O,O
ILOZJST,O,X,O,O
ILOZSTJ,X,X,O,O
ILOZSJT,O,X,O,O
IJTLSZO,X,O,X,X
IJTLSOZ,X,O,X,X
IJTLZSO,O,X,O,O
IJTLZOS,O,X,O,O
IJTLOSZ,X,O,X,X
IJTLOZS,O,X,O,O
IJTSLZO,X,O,X,X
IJTSLOZ,X,O,X,X
IJTSZLO,O,O,X,X
IJTSZOL,O,O,X,X
IJTSOLZ,X,O,X,X
IJTSOZL,O,O,X,X
IJTZLSO,O,X,X,O
IJTZLOS,O,X,X,O
IJTZSLO,O,X,X,X
IJTZSOL,O,X,X,X
IJTZOLS,O,X,X,O
IJTZOSL,O,X,X,X
IJTOLSZ,X,O,X,X
IJTOLZS,O,X,O,O
IJTOSLZ,X,O,X,X
IJTOSZL,O,O,X,X
IJTOZLS,O,X,X,O
IJTOZSL,O,X,X,X
IJLTSZO,X,O,X,X
IJLTSOZ,X,O,X,X
IJLTZSO,X,X,O,O
IJLTZOS,X,X,O,O
IJLTOSZ,X,O,X,X
IJLTOZS,X,X,O,O
IJLSTZO,X,X,X,X
IJLSTOZ,X,O,X,X
IJLSZTO,X,O,X,O
IJLSZOT,X,O,X,O
IJLSOTZ,X,O,X,X
IJLSOZT,X,O,X,O
IJLZTSO,X,X,X,O
IJLZTOS,X,X,O,O
IJLZSTO,X,X,O,O
IJLZSOT,O,X,O,O
IJLZOTS,X,X,O,O
IJLZOST,O,X,O,O
IJLOTSZ,X,O,X,X
IJLOTZS,X,X,O,O
IJLOSTZ,X,O,X,X
IJLOSZT,X,O,X,O
IJLOZTS,X,X,O,O
IJLOZST,O,X,O,O
IJSTLZO,X,X,X,X
IJSTLOZ,X,O,X,X
IJSTZLO,X,X,X,X
IJSTZOL,X,X,X,X
IJSTOLZ,X,O,X,X
IJSTOZL,X,X,X,X
IJSLTZO,X,X,X,X
IJSLTOZ,X,O,X,X
IJSLZTO,X,O,X,O
IJSLZOT,X,O,X,O
IJSLOTZ,X,O,X,X
IJSLOZT,X,O,X,O
IJSZTLO,X,X,X,X
IJSZTOL,O,X,X,X
IJSZLTO,X,X,X,O
IJSZLOT,O,O,X,O
IJSZOTL,O,X,X,X
IJSZOLT,O,O,X,O
IJSOTLZ,X,O,X,X
IJSOTZL,X,X,X,X
IJSOLTZ,X,O,X,X
IJSOLZT,X,O,X,O
IJSOZTL,O,X,X,X
IJSOZLT,O,O,X,O
IJZTLSO,O,X,X,O
IJZTLOS,O,X,X,O
IJZTSLO,O,X,X,X
IJZTSOL,O,X,X,X
IJZTOLS,O,X,X,O
IJZTOSL,O,X,X,X
IJZLTSO,X,X,X,O
IJZLTOS,X,X,X,O
IJZLSTO,X,X,X,O
IJZLSOT,O,X,X,O
IJZLOTS,X,X,X,O
IJZLOST,O,X,X,O
IJZSTLO,X,X,X,X
IJZSTOL,O,X,X,X
IJZSLTO,X,X,X,O
IJZSLOT,O,X,X,O
IJZSOTL,O,X,X,X
IJZSOLT,O,X,X,O
IJZOTLS,O,X,X,O
IJZOTSL,O,X,X,X
IJZOLTS,X,X,X,O
IJZOLST,O,X,X,O
IJZOSTL,O,X,X,X
IJZOSLT,O,X,X,O
IJOTLSZ,X,O,X,X
IJOTLZS,O,X,O,O
IJOTSLZ,X,O,X,X
IJOTSZL,O,O,X,X
IJOTZLS,O,X,X,O
IJOTZSL,O,X,X,X
IJOLTSZ,X,O,X,X
IJOLTZS,X,X,O,O
IJOLSTZ,X,O,X,X
IJOLSZT,X,O,X,O
IJOLZTS,X,X,O,O
IJOLZST,O,X,O,O
IJOSTLZ,X,O,X,X
IJOSTZL,X,X,X,X
IJOSLTZ,X,O,X,X
IJOSLZT,X,O,X,O
IJOSZTL,O,X,X,X
IJOSZLT,O,O,X,O
IJOZTLS,O,X,X,O
IJOZTSL,O,X,X,X
IJOZLTS,X,X,X,O
IJOZLST,O,X,X,O
IJOZSTL,O,X,X,X
IJOZSLT,O,X,X,O
ISTLJZO,X,X,X,X
ISTLJOZ,X,O,X,X
ISTLZJO,X,X,X,X
ISTLZOJ,X,X,X,X
ISTLOJZ,X,O,X,X
ISTLOZJ,X,X,X,X
ISTJLZO,X,X,X,X
ISTJLOZ,X,O,X,X
ISTJZLO,O,X,X,X
ISTJZOL,O,X,X,X
ISTJOLZ,X,O,X,X
ISTJOZL,O,X,X,X
ISTZLJO,O,X,X,X
ISTZLOJ,O,X,X,X
ISTZJLO,O,X,X,X
ISTZJOL,O,X,X,X
ISTZOLJ,O,X,X,X
ISTZOJL,O,X,X,X
ISTOLJZ,X,O,X,X
ISTOLZJ,X,X,X,X
ISTOJLZ,X,O,X,X
ISTOJZL,O,X,X,X
ISTOZLJ,O,X,X,X
ISTOZJL,O,X,X,X
ISLTJZO,X,X,X,X
ISLTJOZ,X,O,X,X
ISLTZJO,X,X,X,X
ISLTZOJ,X,X,X,X
ISLTOJZ,X,O,X,X
ISLTOZJ,X,X,X,X
ISLJTZO,X,X,X,X
ISLJTOZ,X,O,X,X
ISLJZTO,X,O,X,O
ISLJZOT,X,O,X,O
ISLJOTZ,X,O,X,X
ISLJOZT,X,O,X,O
ISLZTJO,X,O,X,O
ISLZTOJ,X,O,X,O
ISLZJTO,X,O,X,O
ISLZJOT,X,O,X,O
ISLZOTJ,X,O,X,O
ISLZOJT,X,O,X,O
ISLOTJZ,X,O,X,X
ISLOTZJ,X,X,X,X
ISLOJTZ,X,O,X,X
ISLOJZT,X,O,X,O
ISLOZTJ,X,O,X,O
ISLOZJT,X,O,X,O
ISJTLZO,X,X,X,X
ISJTLOZ,X,O,X,X
ISJTZLO,X,X,X,X
ISJTZOL,X,X,X,X
ISJTOLZ,X,O,X,X
ISJTOZL,X,X,X,X
ISJLTZO,X,X,X,X
ISJLTOZ,X,O,X,X
ISJLZTO,X,O,X,O
ISJLZOT,X,O,X,O
ISJLOTZ,X,O,X,X
ISJLOZT,X,O,X,O
ISJZTLO,X,X,X,X
ISJZTOL,O,X,X,X
ISJZLTO,X,X,X,O
ISJZLOT,O,O,X,O
ISJZOTL,O,X,X,X
ISJZOLT,O,O,X,O
ISJOTLZ,X,O,X,X
ISJOTZL,X,X,X,X
ISJOLTZ,X,O,X,X
ISJOLZT,X,O,X,O
ISJOZTL,O,X,X,X
ISJOZLT,O,O,X,O
ISZTLJO,O,X,X,X
ISZTLOJ,O,X,X,X
ISZTJLO,O,X,X,X
ISZTJOL,O,X,X,X
ISZTOLJ,O,X,X,X
ISZTOJL,O,X,X,X
ISZLTJO,X,X,X,O
ISZLTOJ,X,X,X,O
ISZLJTO,X,X,X,O
ISZLJOT,O,O,X,O
ISZLOTJ,X,X,X,O
ISZLOJT,O,O,X,O
ISZJTLO,X,X,X,X
ISZJTOL,O,X,X,X
ISZJLTO,X,X,X,O
ISZJLOT,O,O,X,O
ISZJOTL,O,X,X,X
ISZJOLT,O,O,X,O
ISZOTLJ,O,X,X,X
ISZOTJL,O,X,X,X
ISZOLTJ,X,X,X,O
ISZOLJT,O,O,X,O
ISZOJTL,O,X,X,X
ISZOJLT,O,O,X,O
ISOTLJZ,X,O,X,X
ISOTLZJ,X,X,X,X
ISOTJLZ,X,O,X,X
ISOTJZL,O,X,X,X
ISOTZLJ,O,X,X,X
ISOTZJL,O,X,X,X
ISOLTJZ,X,O,X,X
ISOLTZJ,X,X,X,X
ISOLJTZ,X,O,X,X
ISOLJZT,X,O,X,O
ISOLZTJ,X,O,X,O
ISOLZJT,X,O,X,O
ISOJTLZ,X,O,X,X
ISOJTZL,X,X,X,X
ISOJLTZ,X,O,X,X
ISOJLZT,X,O,X,O
ISOJZTL,O,X,X,X
ISOJZLT,O,O,X,O
ISOZTLJ,O,X,X,X
ISOZTJL,O,X,X,X
ISOZLTJ,X,X,X,O
ISOZLJT,O,O,X,O
ISOZJTL,O,X,X,X
ISOZJLT,O,O,X,O
IZTLJSO,O,X,X,O
IZTLJOS,O,X,X,O
IZTLSJO,O,X,X,O
IZTLSOJ,O,X,X,O
IZTLOJS,O,X,X,O
IZTLOSJ,O,X,X,O
IZTJLSO,O,X,X,O
IZTJLOS,O,X,X,O
IZTJSLO,O,X,X,X
IZTJSOL,O,X,X,X
IZTJOLS,O,X,X,O
IZTJOSL,O,X,X,X
IZTSLJO,O,X,X,X
IZTSLOJ,O,X,X,X
IZTSJLO,O,X,X,X
IZTSJOL,O,X,X,X
IZTSOLJ,O,X,X,X
IZTSOJL,O,X,X,X
IZTOLJS,O,X,X,O
IZTOLSJ,O,X,X,O
IZTOJLS,O,X,X,O
IZTOJSL,O,X,X,X
IZTOSLJ,O,X,X,X
IZTOSJL,O,X,X,X
IZLTJSO,O,X,X,O
IZLTJOS,O,X,X,O
IZLTSJO,O,X,X,O
IZLTSOJ,O,X,X,O
IZLTOJS,O,X,X,O
IZLTOSJ,O,X,X,O
IZLJTSO,X,X,X,O
IZLJTOS,X,X,X,O
IZLJSTO,X,X,X,O
IZLJSOT,O,X,X,O
IZLJOTS,X,X,X,O
IZLJOST,O,X,X,O
IZLSTJO,X,X,X,O
IZLSTOJ,X,X,X,O
IZLSJTO,X,X,X,O
IZLSJOT,O,X,X,O
IZLSOTJ,X,X,X,O
IZLSOJT,O,X,X,O
IZLOTJS,O,X,X,O
IZLOTSJ,O,X,X,O
IZLOJTS,X,X,X,O
IZLOJST,O,X,X,O
IZLOSTJ,X,X,X,O
IZLOSJT,O,X,X,O
IZJTLSO,O,X,X,O
IZJTLOS,O,X,X,O
IZJTSLO,O,X,X,X
IZJTSOL,O,X,X,X
IZJTOLS,O,X,X,O
IZJTOSL,O,X,X,X
IZJLTSO,X,X,X,O
IZJLTOS,X,X,X,O
IZJLSTO,X,X,X,O
IZJLSOT,O,X,X,O
IZJLOTS,X,X,X,O
IZJLOST,O,X,X,O
IZJSTLO,X,X,X,X
IZJSTOL,O,X,X,X
IZJSLTO,X,X,X,O
IZJSLOT,O,X,X,O
IZJSOTL,O,X,X,X
IZJSOLT,O,X,X,O
IZJOTLS,O,X,X,O
IZJOTSL,O,X,X,X
IZJOLTS,X,X,X,O
IZJOLST,O,X,X,O
IZJOSTL,O,X,X,X
IZJOSLT,O,X,X,O
IZSTLJO,O,X,X,X
IZSTLOJ,O,X,X,X
IZSTJLO,O,X,X,X
IZSTJOL,O,X,X,X
IZSTOLJ,O,X,X,X
IZSTOJL,O,X,X,X
IZSLTJO,X,X,X,O
IZSLTOJ,X,X,X,O
IZSLJTO,X,X,X,O
IZSLJOT,O,X,X,O
IZSLOTJ,X,X,X,O
IZSLOJT,O,X,X,O
IZSJTLO,X,X,X,X
IZSJTOL,O,X,X,X
IZSJLTO,X,X,X,O
IZSJLOT,O,X,X,O
IZSJOTL,O,X,X,X
IZSJOLT,O,X,X,O
IZSOTLJ,O,X,X,X
IZSOTJL,O,X,X,X
IZSOLTJ,X,X,X,O
IZSOLJT,O,X,X,O
IZSOJTL,O,X,X,X
IZSOJLT,O,X,X,O
IZOTLJS,O,X,X,O
IZOTLSJ,O,X,X,O
IZOTJLS,O,X,X,O
IZOTJSL,O,X,X,X
IZOTSLJ,O,X,X,X
IZOTSJL,O,X,X,X
IZOLTJS,O,X,X,O
IZOLTSJ,O,X,X,O
IZOLJTS,X,X,X,O
IZOLJST,O,X,X,O
IZOLSTJ,X,X,X,O
IZOLSJT,O,X,X,O
IZOJTLS,O,X,X,O
IZOJTSL,O,X,X,X
IZOJLTS,X,X,X,O
IZOJLST,O,X,X,O
IZOJSTL,O,X,X,X
IZOJSLT,O,X,X,O
IZOSTLJ,O,X,X,X
IZOSTJL,O,X,X,X
IZOSLTJ,X,X,X,O
IZOSLJT,O,X,X,O
IZOSJTL,O,X,X,X
IZOSJLT,O,X,X,O
IOTLJSZ,X,O,X,X
IOTLJZS,O,X,O,O
IOTLSJZ,X,O,X,X
IOTLSZJ,X,O,X,X
IOTLZJS,O,X,O,O
IOTLZSJ,O,X,O,O
IOTJLSZ,X,O,X,X
IOTJLZS,O,X,O,O
IOTJSLZ,X,O,X,X
IOTJSZL,O,O,X,X
IOTJZLS,O,X,X,O
IOTJZSL,O,X,X,X
IOTSLJZ,X,O,X,X
IOTSLZJ,X,O,X,X
IOTSJLZ,X,O,X,X
IOTSJZL,O,O,X,X
IOTSZLJ,O,O,X,X
IOTSZJL,O,O,X,X
IOTZLJS,O,X,X,O
IOTZLSJ,O,X,X,O
IOTZJLS,O,X,X,O
IOTZJSL,O,X,X,X
IOTZSLJ,O,X,X,X
IOTZSJL,O,X,X,X
IOLTJSZ,X,O,X,X
IOLTJZS,O,X,O,O
IOLTSJZ,X,O,X,X
IOLTSZJ,X,O,X,X
IOLTZJS,O,X,O,O
IOLTZSJ,O,X,O,O
IOLJTSZ,X,O,X,X
IOLJTZS,X,X,O,O
IOLJSTZ,X,O,X,X
IOLJSZT,X,O,X,O
IOLJZTS,X,X,O,O
IOLJZST,O,X,O,O
IOLSTJZ,X,O,X,X
IOLSTZJ,X,X,X,X
IOLSJTZ,X,O,X,X
IOLSJZT,X,O,X,O
IOLSZTJ,X,O,X,O
IOLSZJT,X,O,X,O
IOLZTJS,O,X,O,O
IOLZTSJ,O,X,X,O
IOLZJTS,X,X,O,O
IOLZJST,O,X,O,O
IOLZSTJ,X,X,O,O
IOLZSJT,O,X,O,O
IOJTLSZ,X,O,X,X
IOJTLZS,O,X,O,O
IOJTSLZ,X,O,X,X
IOJTSZL,O,O,X,X
IOJTZLS,O,X,X,O
IOJTZSL,O,X,X,X
IOJLTSZ,X,O,X,X
IOJLTZS,X,X,O,O
IOJLSTZ,X,O,X,X
IOJLSZT,X,O,X,O
IOJLZTS,X,X,O,O
IOJLZST,O,X,O,O
IOJSTLZ,X,O,X,X
IOJSTZL,X,X,X,X
IOJSLTZ,X,O,X,X
IOJSLZT,X,O,X,O
IOJSZTL,O,X,X,X
IOJSZLT,O,O,X,O
IOJZTLS,O,X,X,O
IOJZTSL,O,X,X,X
IOJZLTS,X,X,X,O
IOJZLST,O,X,X,O
IOJZSTL,O,X,X,X
IOJZSLT,O,X,X,O
IOSTLJZ,X,O,X,X
IOSTLZJ,X,X,X,X
IOSTJLZ,X,O,X,X
IOSTJZL,O,X,X,X
IOSTZLJ,O,X,X,X
IOSTZJL,O,X,X,X
IOSLTJZ,X,O,X,X
IOSLTZJ,X,X,X,X
IOSLJTZ,X,O,X,X
IOSLJZT,X,O,X,O
IOSLZTJ,X,O,X,O
IOSLZJT,X,O,X,O
IOSJTLZ,X,O,X,X
IOSJTZL,X,X,X,X
IOSJLTZ,X,O,X,X
IOSJLZT,X,O,X,O
IOSJZTL,O,X,X,X
IOSJZLT,O,O,X,O
IOSZTLJ,O,X,X,X
IOSZTJL,O,X,X,X
IOSZLTJ,X,X,X,O
IOSZLJT,O,O,X,O
IOSZJTL,O,X,X,X
IOSZJLT,O,O,X,O
IOZTLJS,O,X,X,O
IOZTLSJ,O,X,X,O
IOZTJLS,O,X,X,O
IOZTJSL,O,X,X,X
IOZTSLJ,O,X,X,X
IOZTSJL,O,X,X,X
IOZLTJS,O,X,X,O
IOZLTSJ,O,X,X,O
IOZLJTS,X,X,X,O
IOZLJST,O,X,X,O
IOZLSTJ,X,X,X,O
IOZLSJT,O,X,X,O
IOZJTLS,O,X,X,O
IOZJTSL,O,X,X,X
IOZJLTS,X,X,X,O
IOZJLST,O,X,X,O
IOZJSTL,O,X,X,X
IOZJSLT,O,X,X,O
IOZSTLJ,O,X,X,X
IOZSTJL,O,X,X,X
IOZSLTJ,X,X,X,O
IOZSLJT,O,X,X,O
IOZSJTL,O,X,X,X
IOZSJLT,O,X,X,O
LTIJSZO,X,O,X,X
LTIJSOZ,X,O,X,X
LTIJZSO,O,X,O,X
LTIJZOS,O,X,O,X
LTIJOSZ,X,O,X,X
LTIJOZS,O,X,O,X
LTISJZO,X,O,X,X
LTISJOZ,X,O,X,X
LTISZJO,X,O,X,X
LTISZOJ,X,O,X,X
LTISOJZ,X,O,X,X
LTISOZJ,X,O,X,X
LTIZJSO,O,X,O,X
LTIZJOS,O,X,O,X
LTIZSJO,O,X,O,X
LTIZSOJ,O,X,O,X
LTIZOJS,O,X,O,X
LTIZOSJ,O,X,O,X
LTIOJSZ,X,O,X,X
LTIOJZS,O,X,O,X
LTIOSJZ,X,O,X,X
LTIOSZJ,X,O,X,X
LTIOZJS,O,X,O,X
LTIOZSJ,O,X,O,X
LTJISZO,X,O,X,X
LTJISOZ,X,O,X,X
LTJIZSO,O,X,O,X
LTJIZOS,O,X,O,X
LTJIOSZ,X,O,X,X
LTJIOZS,O,X,O,X
LTJSIZO,X,O,X,X
LTJSIOZ,X,O,X,X
LTJSZIO,X,O,O,X
LTJSZOI,X,O,O,X
LTJSOIZ,X,O,X,X
LTJSOZI,X,O,O,X
LTJZISO,O,X,O,X
LTJZIOS,O,X,O,X
LTJZSIO,O,O,O,X
LTJZSOI,O,O,O,X
LTJZOIS,O,X,O,X
LTJZOSI,O,O,O,X
LTJOISZ,X,O,X,X
LTJOIZS,O,X,O,X
LTJOSIZ,X,O,X,X
LTJOSZI,X,O,O,X
LTJOZIS,O,X,O,X
LTJOZSI,O,O,O,X
LTSIJZO,X,O,X,X
LTSIJOZ,X,O,X,X
LTSIZJO,X,O,X,X
LTSIZOJ,X,O,X,X
LTSIOJZ,X,O,X,X
LTSIOZJ,X,O,X,X
LTSJIZO,X,O,X,X
LTSJIOZ,X,O,X,X
LTSJZIO,X,O,O,X
LTSJZOI,X,O,O,X
LTSJOIZ,X,O,X,X
LTSJOZI,X,O,O,X
LTSZIJO,X,O,O,X
LTSZIOJ,X,O,O,X
LTSZJIO,X,O,O,X
LTSZJOI,X,O,O,X
LTSZOIJ,X,O,O,X
LTSZOJI,X,O,O,X
LTSOIJZ,X,O,X,X
LTSOIZJ,X,O,X,X
LTSOJIZ,X,O,X,X
LTSOJZI,X,O,O,X
LTSOZIJ,X,O,O,X
LTSOZJI,X,O,O,X
LTZIJSO,O,X,O,X
LTZIJOS,O,X,O,X
LTZISJO,O,X,O,X
LTZISOJ,O,X,O,X
LTZIOJS,O,X,O,X
LTZIOSJ,O,X,O,X
LTZJISO,O,X,O,X
LTZJIOS,O,X,O,X
LTZJSIO,O,O,O,X
LTZJSOI,O,O,O,X
LTZJOIS,O,X,O,X
LTZJOSI,O,O,O,X
LTZSIJO,O,O,O,X
LTZSIOJ,O,O,O,X
LTZSJIO,O,O,O,X
LTZSJOI,O,O,O,X
LTZSOIJ,O,O,O,X
LTZSOJI,O,O,O,X
LTZOIJS,O,X,O,X
LTZOISJ,O,X,O,X
LTZOJIS,O,X,O,X
LTZOJSI,O,O,O,X
LTZOSIJ,O,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,X,O,X,X
LTOIJZS,O,X,O,X
LTOISJZ,X,O,X,X
LTOISZJ,X,O,X,X
LTOIZJS,O,X,O,X
LTOIZSJ,O,X,O,X
LTOJISZ,X,O,X,X
LTOJIZS,O,X,O,X
LTOJSIZ,X,O,X,X
LTOJSZI,X,O,O,X
LTOJZIS,O,X,O,X
LTOJZSI,O,O,O,X
LTOSIJZ,X,O,X,X
LTOSIZJ,X,O,X,X
LTOSJIZ,X,O,X,X
LTOSJZI,X,O,O,X
LTOSZIJ,X,O,O,X
LTOSZJI,X,O,O,X
LTOZIJS,O,X,O,X
LTOZISJ,O,X,O,X
LTOZJIS,O,X,O,X
LTOZJSI,O,O,O,X
LTOZSIJ,O,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,X,O,X,X
LITJSOZ,X,O,X,X
LITJZSO,O,X,O,O
LITJZOS,O,X,O,O
LITJOSZ,X,O,X,X
LITJOZS,O,X,O,O
LITSJZO,X,O,X,X
LITSJOZ,X,O,X,X
LITSZJO,X,O,X,X
LITSZOJ,X,O,X,X
LITSOJZ,X,O,X,X
LITSOZJ,X,O,X,X
LITZJSO,O,X,O,O
LITZJOS,O,X,O,O
LITZSJO,O,X,O,O
LITZSOJ,O,X,O,O
LITZOJS,O,X,O,O
LITZOSJ,O,X,O,O
LITOJSZ,X,O,X,X
LITOJZS,O,X,O,O
LITOSJZ,X,O,X,X
LITOSZJ,X,O,X,X
LITOZJS,O,X,O,O
LITOZSJ,O,X,O,O
LIJTSZO,X,O,X,X
LIJTSOZ,X,O,X,X
LIJTZSO,X,X,O,O
LIJTZOS,X,X,O,O
LIJTOSZ,X,O,X,X
LIJTOZS,X,X,O,O
LIJSTZO,X,X,X,X
LIJSTOZ,X,O,X,X
LIJSZTO,X,O,X,O
LIJSZOT,X,O,X,O
LIJSOTZ,X,O,X,X
LIJSOZT,X,O,X,O
LIJZTSO,X,X,X,O
LIJZTOS,X,X,O,O
LIJZSTO,X,X,O,O
LIJZSOT,O,X,O,O
LIJZOTS,X,X,O,O
LIJZOST,O,X,O,O
LIJOTSZ,X,O,X,X
LIJOTZS,X,X,O,O
LIJOSTZ,X,O,X,X
LIJOSZT,X,O,X,O
LIJOZTS,X,X,O,O
LIJOZST,O,X,O,O
LISTJZO,X,X,X,X
LISTJOZ,X,O,X,X
LISTZJO,X,X,X,X
LISTZOJ,X,X,X,X
LISTOJZ,X,O,X,X
LISTOZJ,X,X,X,X
LISJTZO,X,X,X,X
LISJTOZ,X,O,X,X
LISJZTO,X,O,X,O
LISJZOT,X,O,X,O
LISJOTZ,X,O,X,X
LISJOZT,X,O,X,O
LISZTJO,X,O,X,O
LISZTOJ,X,O,X,O
LISZJTO,X,O,X,O
LISZJOT,X,O,X,O
LISZOTJ,X,O,X,O
LISZOJT,X,O,X,O
LISOTJZ,X,O,X,X
LISOTZJ,X,X,X,X
LISOJTZ,X,O,X,X
LISOJZT,X,O,X,O
LISOZTJ,X,O,X,O
LISOZJT,X,O,X,O
LIZTJSO,O,X,X,O
LIZTJOS,O,X,O,O
LIZTSJO,O,X,X,O
LIZTSOJ,O,X,X,O
LIZTOJS,O,X,O,O
LIZTOSJ,O,X,X,O
LIZJTSO,X,X,X,O
LIZJTOS,X,X,O,O
LIZJSTO,X,X,O,O
LIZJSOT,O,X,O,O
LIZJOTS,X,X,O,O
LIZJOST,O,X,O,O
LIZSTJO,X,X,O,O
LIZSTOJ,X,X,O,O
LIZSJTO,X,X,O,O
LIZSJOT,O,X,O,O
LIZSOTJ,X,X,O,O
LIZSOJT,O,X,O,O
LIZOTJS,O,X,O,O
LIZOTSJ,O,X,X,O
LIZOJTS,X,X,O,O
LIZOJST,O,X,O,O
LIZOSTJ,X,X,O,O
LIZOSJT,O,X,O,O
LIOTJSZ,X,O,X,X
LIOTJZS,O,X,O,O
LIOTSJZ,X,O,X,X
LIOTSZJ,X,O,X,X
LIOTZJS,O,X,O,O
LIOTZSJ,O,X,O,O
LIOJTSZ,X,O,X,X
LIOJTZS,X,X,O,O
LIOJSTZ,X,O,X,X
LIOJSZT,X,O,X,O
LIOJZTS,X,X,O,O
LIOJZST,O,X,O,O
LIOSTJZ,X,O,X,X
LIOSTZJ,X,X,X,X
LIOSJTZ,X,O,X,X
LIOSJZT,X,O,X,O
LIOSZTJ,X,O,X,O
LIOSZJT,X,O,X,O
LIOZTJS,O,X,O,O
LIOZTSJ,O,X,X,O
LIOZJTS,X,X,O,O
LIOZJST,O,X,O,O
LIOZSTJ,X,X,O,O
LIOZSJT,O,X,O,O
LJTISZO,X,O,X,X
LJTISOZ,X,O,X,X
LJTIZSO,X,X,O,X
LJTIZOS,X,X,O,X
LJTIOSZ,X,O,X,X
LJTIOZS,X,X,O,X
LJTSIZO,X,O,X,X
LJTSIOZ,X,O,X,X
LJTSZIO,X,O,O,X
