sequence,v115@vhGRRYaAFLDmClcJSAVDEHBEooRBJoAVBvXExCz/AA?ATqB0nB6tB1rB/pBmqB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBp+ytCs/AA?AxvBFtBTlB/pBimBGtB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBpvytCsOBA?AxvBGtBTlB/pBimBFtB,v115@vhGxRYaAFLDmClcJSAVDEHBEooRBJoAVBaH+tCqCBA?A0qBToBlrB/pBGnBiqB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBJ3TWCqOBA?AxwBzmB/pBiqBGoBlqB,v115@vhGTNYaAFLDmClcJSAVDEHBEooRBPoAVBpX+tCqCBA?ARwBUnBVrB/pBOqBCtB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBJ3TxCqCBA?AxwBzmB/pBlqBGoBiqB,v115@vhGTNYaAFLDmClcJSAVDEHBEooRBPoAVBTezPC0CBA?AXsBRvB0lB2pBlmBCtB,v115@vhGxRYaAFLDmClcJSAVDEHBEooRBJoAVBKHUFDzOBA?A2vBToBSsB0lB/pBlrB,v115@vhGVSYaAFLDmClcJSAVDEHBEooRBUoAVBaujPCvCBA?A0qBxrB/pBGoBzrBiqB,v115@vhG2QYaAFLDmClcJSAVDEHBEooRBKoAVBvuLuCM+AA?ATqBVsBUoB/pBSyBxqB,v115@vhG0LYaAFLDmClcJSAVDEHBEooRBaoAVBUuTWCv/AA?A1vBxsB/pBilBTtBGsB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBPN8LC6OBA?AToB/pBKqBRrBUrBFsB,v115@vhGUNYaAFLDmClcJSAVDEHBEooRBaoAVBUdNPCvCBA?AVxB/pBxqBGoBTqBirB,v115@vhGyPYaAFLDmClcJSAVDEHBEooRBMoAVBKuytC6OBA?A+tBRsBTlB/pB0rBlsB,v115@vhG2PYaAFLDmClcJSAVDEHBEooRBKoAVBpHUxCMHBA?AxrBUoB/pBllBSyBzrB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBJ9aFD0CBA?ARwBXqBToBUmBFnBikB,v115@vhGUMYaAFLDmClcJSAVDEHBEooRBaoAVBUtHgCpCBA?AVwBXqB+tBznBRmBikB,v115@vhGWSYaAFLDmClcJSAVDEHBEooRBKoAVBauytC0CBA?A0rBRvBToB3lBFnBikB,v115@vhGzLYaAFLDmClcJSAVDEHBEooRBPoAVB0fLuCpCBA?AVvB+tBssBfrBxmBikB
TILJSZO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,O
TILJSOZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TILJZSO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,O
TILJZOS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TILJOSZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TILJOZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TILSJZO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,O
TILSJOZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TILSZJO,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X
TILSZOJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TILSOJZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TILSOZJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
TILZJSO,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X
TILZJOS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
TILZSJO,O,O,O,O,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X
TILZSOJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
TILZOJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TILOJZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TILOSJZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TILOSZJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,O,O,O
TIJLSOZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O,O
TIJLZSO,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,O
TIJLZOS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TIJLOSZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O,O
TIJLOZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TIJSLZO,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,O,O
TIJSLOZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,O,O
TIJSZLO,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O
TIJSZOL,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O
TIJSOLZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,O,O
TIJSOZL,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,O,O,O
TIJZLSO,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O
TIJZLOS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,O,O
TIJZSLO,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O
TIJZSOL,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O
TIJZOLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,O,O
TIJZOSL,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O
TIJOLSZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O,O
TIJOLZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TIJOSLZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,O,O
TIJOSZL,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,O,O,O
TIJOZLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,O,O
TIJOZSL,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,O,O,O
TISLJZO,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,O,O
TISLJOZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,O,O
TISLZJO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TISLZOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
TISLOJZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O
TISLOZJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TISJLZO,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,O,O
TISJLOZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,O,O
TISJZLO,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O
TISJZOL,O,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,O,O
TISJOLZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,O,O
TISJOZL,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,O,O,O
TISZLJO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TISZLOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
TISZJLO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TISZJOL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
TISZOLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
TISZOJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
TISOLJZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O
TISOLZJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TISOJLZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O
TISOJZL,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O
TISOZLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TISOZJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TIZLJSO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TIZLJOS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
TIZLSJO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TIZLSOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
TIZLOJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TIZJLOS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
TIZJSLO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TIZJSOL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
TIZJOLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
TIZJOSL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
TIZSLJO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TIZSLOJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
TIZSJLO,O,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,O,O,O,X
TIZSJOL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
TIZSOLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
TIZSOJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
TIZOLJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X
TIZOJSL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
TIZOSLJ,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,O,O,X
TIZOSJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,O,X
TIOLJSZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIOLJZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIOLSJZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
TIOJLZS,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TIOJSLZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O
TIOJSZL,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O
TIOJZLS,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,O,X,O
TIOJZSL,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O
TIOSLJZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O
TIOSLZJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TIOSJLZ,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O
TIOSJZL,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,O,O,X,O
TIOSZLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TIOSZJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TIOZLJS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
TIOZJSL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TIOZSLJ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X
TIOZSJL,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLIJSZO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
TLIJSOZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
TLIJZSO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O
