sequence,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB/dB?0bBOjBCjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYBXeB0iBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB0bB?6iBOjB/sBFtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xdB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFScBxdB?zbB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRXBzbB?FeBfoBUnBCtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRcBFeB?zbBfoBUnBCtB
TIOSZJL,O,X,X,X,X,X,X,X
TIOZLJS,O,O,X,X,O,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X
TLIJSZO,O,X,O,X,X,O,X,X
TLIJSOZ,X,X,O,X,O,O,X,X
TLIJZSO,O,O,X,X,X,O,X,X
TLIJZOS,O,O,X,O,O,O,X,X
TLIJOSZ,X,X,O,X,O,O,X,X
TLIJOZS,X,O,X,X,O,O,X,X
TLISJZO,O,X,O,X,X,O,X,X
TLISJOZ,X,X,O,X,O,O,X,X
TLISZJO,O,X,O,X,X,X,X,X
TLISZOJ,O,X,O,X,X,X,X,X
TLISOJZ,X,X,O,X,O,X,X,X
TLISOZJ,X,X,O,X,X,X,X,X
TLIZJSO,O,O,X,X,X,O,X,X
TLIZJOS,O,O,X,O,O,O,X,X
TLIZSJO,O,O,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,X,X,X,X
TLIZOJS,O,O,X,O,O,X,X,X
TLIZOSJ,O,O,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,O,O,X,X
TLIOJZS,X,O,X,X,O,O,X,X
TLIOSJZ,X,X,O,X,O,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X
TLIOZJS,X,O,X,X,O,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X
TLJISZO,O,X,O,X,X,O,X,X
TLJISOZ,X,X,O,X,O,O,X,X
TLJIZSO,O,O,X,X,X,O,X,X
TLJIZOS,O,O,X,O,O,O,X,X
TLJIOSZ,X,X,O,X,O,O,X,X
TLJIOZS,X,O,X,X,O,O,X,X
TLJSIZO,O,X,O,X,X,O,X,X
TLJSIOZ,X,X,O,X,O,O,X,X
TLJSZIO,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X,X
TLJSOIZ,X,X,O,X,O,X,X,X
TLJSOZI,X,O,O,X,X,X,X,X
TLJZISO,O,O,X,X,X,O,X,X
TLJZIOS,O,O,X,O,O,O,X,X
TLJZSIO,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X,X
TLJZOIS,O,O,X,O,O,X,X,X
TLJZOSI,O,O,O,O,X,X,X,X
TLJOISZ,X,X,O,X,O,O,X,X
TLJOIZS,X,O,X,X,O,O,X,X
TLJOSIZ,X,X,O,X,O,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X
TLJOZIS,X,O,X,X,O,X,X,X
TLJOZSI,X,O,O,X,X,X,X,X
TLSIJZO,O,X,O,X,X,O,X,X
TLSIJOZ,X,X,O,X,O,O,X,X
TLSIZJO,O,X,O,X,X,X,X,X
TLSIZOJ,O,X,O,X,X,X,X,X
TLSIOJZ,X,X,O,X,O,X,X,X
TLSIOZJ,X,X,O,X,X,X,X,X
TLSJIZO,O,X,O,X,X,O,X,X
TLSJIOZ,X,X,O,X,O,O,X,X
TLSJZIO,O,O,O,X,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X,X
TLSJOIZ,X,X,O,X,O,X,X,X
TLSJOZI,X,O,O,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X,X
