sequence,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB/dB?0bBOjBCjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xYBXeB0iBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jex1IvhFTXB0bB?6iBOjB/sBFtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFqbBTXB?xdB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFScBxdB?zbB0dBXjBlsB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRXBzbB?FeBfoBUnBCtB,v115@zgB8HeC8BeB8BeH8BeG8CeH8AeB8Jem1IvhFRcBFeB?zbBfoBUnBCtB
TZILSJO,O,O,X,X,X,X,X,X
TZILSOJ,O,O,X,X,X,X,X,X
TZILOJS,O,O,X,O,O,X,X,X
TZILOSJ,O,O,X,X,X,X,X,X
TZIJLSO,O,O,X,X,X,O,X,X
TZIJLOS,O,O,X,O,O,O,X,X
TZIJSLO,O,O,X,X,X,X,X,X
TZIJSOL,O,X,X,X,X,X,X,X
TZIJOLS,O,O,X,O,X,X,X,X
TZIJOSL,O,X,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X
TZISJOL,O,X,X,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X
TZISOJL,O,X,X,X,X,X,X,X
TZIOLJS,O,O,X,O,O,X,X,X
TZIOLSJ,O,O,X,X,X,X,X,X
TZIOJLS,O,O,X,O,X,X,X,X
TZIOJSL,O,X,X,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X,X,X
TZLIJSO,O,O,X,X,X,O,X,X
TZLIJOS,O,O,X,O,O,O,X,X
TZLISJO,O,O,X,X,X,X,X,X
TZLISOJ,O,O,X,X,X,X,X,X
TZLIOJS,O,O,X,O,O,X,X,X
TZLIOSJ,O,O,X,X,X,X,X,X
TZLJISO,O,O,X,X,X,O,X,X
TZLJIOS,O,O,X,O,O,O,X,X
TZLJSIO,O,O,O,X,X,X,X,X
TZLJSOI,O,O,O,X,X,X,X,X
TZLJOIS,O,O,X,O,O,X,X,X
TZLJOSI,O,O,O,O,X,X,X,X
TZLSIJO,O,O,O,X,X,X,X,X
TZLSIOJ,O,O,O,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,X
TZLSJOI,O,O,O,X,X,X,X,X
TZLSOIJ,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,X,X,X,X,X
TZLOIJS,O,O,X,O,O,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X
TZLOJIS,O,O,X,O,O,X,X,X
TZLOJSI,O,O,O,O,X,X,X,X
TZLOSIJ,O,O,O,X,X,X,X,X
TZLOSJI,O,O,O,X,X,X,X,X
TZJILSO,O,O,X,X,X,O,X,X
TZJILOS,O,O,X,O,O,O,X,X
TZJISLO,O,O,X,X,X,X,X,X
TZJISOL,O,X,X,X,X,X,X,X
TZJIOLS,O,O,X,O,X,X,X,X
TZJIOSL,O,X,X,X,X,X,X,X
TZJLISO,O,O,X,X,X,O,X,X
TZJLIOS,O,O,X,O,O,O,X,X
TZJLSIO,O,O,O,X,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X,X
TZJLOIS,O,O,X,O,O,X,X,X
TZJLOSI,O,O,O,O,X,X,X,X
TZJSILO,O,O,O,X,X,X,X,X
TZJSIOL,O,X,X,X,X,X,X,X
TZJSLIO,O,O,O,X,X,X,X,X
TZJSLOI,O,O,O,X,X,X,X,X
TZJSOIL,O,X,X,X,X,X,X,X
TZJSOLI,O,X,X,X,X,X,X,X
TZJOILS,O,O,X,O,X,X,X,X
TZJOISL,O,X,X,X,X,X,X,X
TZJOLIS,O,O,X,O,X,X,X,X
TZJOLSI,O,O,X,O,X,X,X,X
TZJOSIL,O,X,X,X,X,X,X,X
TZJOSLI,O,X,X,X,X,X,X,X
TZSILJO,O,O,O,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,O,X,X,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X
TZSIOJL,O,X,X,X,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X,X
TZSLOIJ,O,O,O,X,X,X,X,X
TZSLOJI,O,O,O,X,X,X,X,X
TZSJILO,O,O,O,X,X,X,X,X
TZSJIOL,O,X,X,X,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X,X
TZSJLOI,O,O,O,X,X,X,X,X
TZSJOIL,O,X,X,X,X,X,X,X
TZSJOLI,O,X,X,X,X,X,X,X
TZSOILJ,O,O,O,X,X,X,X,X
TZSOIJL,O,X,X,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X
TZSOJIL,O,X,X,X,X,X,X,X
TZSOJLI,O,X,X,X,X,X,X,X
TZOILJS,O,O,X,O,O,X,X,X
TZOILSJ,O,O,X,X,X,X,X,X
TZOIJLS,O,O,X,O,X,X,X,X
TZOIJSL,O,X,X,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,X,X
TZOISJL,O,X,X,X,X,X,X,X
TZOLIJS,O,O,X,O,O,X,X,X
TZOLISJ,O,O,X,X,X,X,X,X
TZOLJIS,O,O,X,O,O,X,X,X
TZOLJSI,O,O,O,O,X,X,X,X
TZOLSIJ,O,O,O,X,X,X,X,X
TZOLSJI,O,O,O,X,X,X,X,X
TZOJILS,O,O,X,O,X,X,X,X
TZOJISL,O,X,X,X,X,X,X,X
TZOJLIS,O,O,X,O,X,X,X,X
TZOJLSI,O,O,X,O,X,X,X,X
TZOJSIL,O,X,X,X,X,X,X,X
TZOJSLI,O,X,X,X,X,X,X,X
TZOSILJ,O,O,O,X,X,X,X,X
TZOSIJL,O,X,X,X,X,X,X,X
TZOSLIJ,O,O,O,X,X,X,X,X
TZOSLJI,O,O,O,X,X,X,X,X
TZOSJIL,O,X,X,X,X,X,X,X
TZOSJLI,O,X,X,X,X,X,X,X
TOILJSZ,X,X,O,X,O,O,X,X
TOILJZS,X,O,X,X,O,O,X,X
TOILSJZ,X,X,O,X,O,X,X,X
TOILSZJ,X,X,O,X,X,X,X,X
TOILZJS,X,O,X,X,O,X,X,X
TOILZSJ,X,O,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,O,O,X,X
TOIJLZS,X,X,X,X,O,O,X,X
TOIJSLZ,X,X,X,X,X,X,X,X
TOIJSZL,O,X,X,X,X,X,X,X
TOIJZLS,O,X,X,X,X,X,X,X
TOIJZSL,O,X,X,X,X,X,X,X
TOISLJZ,X,X,O,X,O,X,X,X
TOISLZJ,X,X,O,X,X,X,X,X
TOISJLZ,X,X,O,X,X,X,X,X
TOISJZL,O,X,X,X,X,X,X,X
TOISZLJ,O,X,O,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X,X
TOIZLJS,O,O,X,X,O,X,X,X
TOIZLSJ,O,O,X,X,X,X,X,X
TOIZJLS,O,O,X,X,X,X,X,X
TOIZJSL,O,X,X,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X,X
TOIZSJL,O,X,X,X,X,X,X,X
TOLIJSZ,X,X,O,X,O,O,X,X
TOLIJZS,X,O,X,X,O,O,X,X
TOLISJZ,X,X,O,X,O,X,X,X
TOLISZJ,X,X,O,X,X,X,X,X
TOLIZJS,X,O,X,X,O,X,X,X
TOLIZSJ,X,O,X,X,X,X,X,X
TOLJISZ,X,X,O,X,O,O,X,X
TOLJIZS,X,O,X,X,O,O,X,X
TOLJSIZ,X,X,O,X,O,X,X,X
TOLJSZI,X,O,O,X,X,X,X,X
TOLJZIS,X,O,X,X,O,X,X,X
TOLJZSI,X,O,O,X,X,X,X,X
TOLSIJZ,X,X,O,X,O,X,X,X
TOLSIZJ,X,X,O,X,X,X,X,X
TOLSJIZ,X,X,O,X,O,X,X,X
TOLSJZI,X,O,O,X,X,X,X,X
TOLSZIJ,X,O,O,X,X,X,X,X
TOLSZJI,X,O,O,X,X,X,X,X
TOLZIJS,X,O,X,X,O,X,X,X
TOLZISJ,X,O,X,X,X,X,X,X
TOLZJIS,X,O,X,X,O,X,X,X
TOLZJSI,X,O,O,X,X,X,X,X
TOLZSIJ,X,O,O,X,X,X,X,X
TOLZSJI,X,O,O,X,X,X,X,X
TOJILSZ,X,X,X,X,O,O,X,X
TOJILZS,X,X,X,X,O,O,X,X
TOJISLZ,X,X,X,X,X,X,X,X
TOJISZL,O,X,X,X,X,X,X,X
TOJIZLS,O,X,X,X,X,X,X,X
TOJIZSL,O,X,X,X,X,X,X,X
TOJLISZ,X,X,O,X,O,O,X,X
TOJLIZS,X,O,X,X,O,O,X,X
TOJLSIZ,X,X,O,X,O,X,X,X
TOJLSZI,X,O,O,X,X,X,X,X
TOJLZIS,X,O,X,X,O,X,X,X
TOJLZSI,X,O,O,X,X,X,X,X
TOJSILZ,X,X,O,X,X,X,X,X
TOJSIZL,O,X,X,X,X,X,O,X
TOJSLIZ,X,X,O,X,X,X,X,X
TOJSLZI,X,X,O,X,X,X,O,X
TOJSZIL,O,X,X,X,X,X,O,X
TOJSZLI,O,X,X,X,X,X,O,X
TOJZILS,O,O,X,X,X,X,X,X
TOJZISL,O,X,X,X,X,X,X,X
TOJZLIS,O,O,X,X,X,X,X,X
TOJZLSI,O,O,X,X,X,X,X,X
TOJZSIL,O,X,X,X,X,X,X,X
TOJZSLI,O,X,X,X,X,X,X,X
TOSILJZ,X,X,O,X,O,X,X,X
TOSILZJ,X,X,O,X,X,X,X,X
TOSIJLZ,X,X,O,X,X,X,X,X
TOSIJZL,O,X,X,X,X,X,O,X
TOSIZLJ,O,X,O,X,X,X,O,X
TOSIZJL,O,X,X,X,X,X,O,X
TOSLIJZ,X,X,O,X,O,X,X,X
TOSLIZJ,X,X,O,X,X,X,X,X
TOSLJIZ,X,X,O,X,O,X,X,X
TOSLJZI,X,O,O,X,X,X,O,X
TOSLZIJ,X,O,O,X,X,X,O,X
TOSLZJI,X,O,O,X,X,X,O,X
TOSJILZ,X,X,O,X,X,X,X,X
TOSJIZL,O,X,X,X,X,X,O,X
TOSJLIZ,X,X,O,X,X,X,X,X
TOSJLZI,X,X,O,X,X,X,O,X
TOSJZIL,O,X,X,X,X,X,O,X
TOSJZLI,O,X,X,X,X,X,O,X
TOSZILJ,O,O,O,X,X,X,O,X
TOSZIJL,O,X,X,X,X,X,O,X
TOSZLIJ,O,O,O,X,X,X,O,X
TOSZLJI,O,O,O,X,X,X,O,X
TOSZJIL,O,X,X,X,X,X,O,X
TOSZJLI,O,X,X,X,X,X,O,X
TOZILJS,O,O,X,X,O,X,X,X
TOZILSJ,O,O,X,X,X,X,X,X
TOZIJLS,O,O,X,X,X,X,X,X
TOZIJSL,O,X,X,X,X,X,X,X
TOZISLJ,O,O,X,X,X,X,X,X
TOZISJL,O,X,X,X,X,X,X,X
TOZLIJS,O,O,X,X,O,X,X,X
TOZLISJ,O,O,X,X,X,X,X,X
TOZLJIS,O,O,X,X,O,X,X,X
TOZLJSI,O,O,O,X,X,X,X,X
TOZLSIJ,O,O,O,X,X,X,X,X
TOZLSJI,O,O,O,X,X,X,X,X
TOZJILS,O,O,X,X,X,X,X,X
TOZJISL,O,X,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X
TOZJLSI,O,O,X,X,X,X,X,X
TOZJSIL,O,X,X,X,X,X,X,X
TOZJSLI,O,X,X,X,X,X,X,X
TOZSILJ,O,O,O,X,X,X,X,X
TOZSIJL,O,X,X,X,X,X,X,X
TOZSLIJ,O,O,O,X,X,X,X,X
TOZSLJI,O,O,O,X,X,X,X,X
TOZSJIL,O,X,X,X,X,X,X,X
TOZSJLI,O,X,X,X,X,X,X,X
ITLJSZO,O,X,O,X,X,O,X,X
ITLJSOZ,X,X,O,X,O,O,X,X
ITLJZSO,O,O,X,X,X,O,X,X
ITLJZOS,O,O,X,O,O,O,X,X
ITLJOSZ,X,X,O,X,O,O,X,X
ITLJOZS,X,O,X,X,O,O,X,X
ITLSJZO,O,X,O,X,X,O,X,X
ITLSJOZ,X,X,O,X,O,O,X,X
ITLSZJO,O,X,O,X,X,X,X,X
ITLSZOJ,O,X,O,X,X,X,X,X
ITLSOJZ,X,X,O,X,O,X,X,X
ITLSOZJ,X,X,O,X,X,X,X,X
ITLZJSO,O,O,X,X,X,O,X,X
ITLZJOS,O,O,X,O,O,O,X,X
ITLZSJO,O,O,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X,X
ITLZOJS,O,O,X,O,O,X,X,X
ITLZOSJ,O,O,X,X,X,X,X,X
ITLOJSZ,X,X,O,X,O,O,X,X
ITLOJZS,X,O,X,X,O,O,X,X
ITLOSJZ,X,X,O,X,O,X,X,X
ITLOSZJ,X,X,O,X,X,X,X,X
ITLOZJS,X,O,X,X,O,X,X,X
ITLOZSJ,X,O,X,X,X,X,X,X
ITJLSZO,O,X,O,X,X,O,X,X
ITJLSOZ,X,X,O,X,O,O,X,X
ITJLZSO,O,O,X,X,X,O,X,X
ITJLZOS,O,O,X,O,O,O,X,X
ITJLOSZ,X,X,O,X,O,O,X,X
ITJLOZS,X,O,X,X,O,O,X,X
ITJSLZO,O,X,O,X,X,O,X,X
ITJSLOZ,X,X,O,X,O,O,X,O
ITJSZLO,O,X,O,X,X,X,X,X
ITJSZOL,O,X,X,X,X,X,X,O
ITJSOLZ,X,X,O,X,X,X,X,O
ITJSOZL,O,X,X,X,X,X,X,O
ITJZLSO,O,O,X,X,X,O,X,X
ITJZLOS,O,O,X,O,O,O,X,X
ITJZSLO,O,O,X,X,X,X,X,X
ITJZSOL,O,X,X,X,X,X,X,X
ITJZOLS,O,O,X,O,X,X,X,X
ITJZOSL,O,X,X,X,X,X,X,X
ITJOLSZ,X,X,X,X,O,O,X,X
ITJOLZS,X,X,X,X,O,O,X,X
ITJOSLZ,X,X,X,X,X,X,X,X
ITJOSZL,O,X,X,X,X,X,X,X
ITJOZLS,O,X,X,X,X,X,X,X
ITJOZSL,O,X,X,X,X,X,X,X
ITSLJZO,O,X,O,X,X,O,X,X
ITSLJOZ,X,X,O,X,O,O,X,O
ITSLZJO,O,X,O,X,X,X,X,X
ITSLZOJ,O,X,O,X,X,X,X,X
ITSLOJZ,X,X,O,X,O,X,X,X
ITSLOZJ,X,X,O,X,X,X,X,X
ITSJLZO,O,X,O,X,X,O,X,X
ITSJLOZ,X,X,O,X,O,O,X,O
ITSJZLO,O,X,O,X,X,X,X,X
ITSJZOL,O,X,X,X,X,X,X,O
ITSJOLZ,X,X,O,X,X,X,X,O
ITSJOZL,O,X,X,X,X,X,X,O
ITSZLJO,O,X,O,X,X,X,X,X
ITSZLOJ,O,X,O,X,X,X,X,X
ITSZJLO,O,X,O,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X,X,O
ITSZOLJ,O,X,O,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X,X,X
ITSOLJZ,X,X,O,X,O,X,X,X
ITSOLZJ,X,X,O,X,X,X,X,X
ITSOJLZ,X,X,O,X,X,X,X,O
ITSOJZL,O,X,X,X,X,X,X,O
ITSOZLJ,O,X,O,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X,X
ITZLJSO,O,O,X,X,X,O,X,X
ITZLJOS,O,O,X,O,O,O,X,X
ITZLSJO,O,O,X,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X,X
ITZLOJS,O,O,X,O,O,X,X,X
ITZLOSJ,O,O,X,X,X,X,X,X
ITZJLSO,O,O,X,X,X,O,X,X
ITZJLOS,O,O,X,O,O,O,X,X
ITZJSLO,O,O,X,X,X,X,X,X
ITZJSOL,O,X,X,X,X,X,X,X
ITZJOLS,O,O,X,O,X,X,X,X
ITZJOSL,O,X,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X
ITZSJOL,O,X,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X,X
ITZSOJL,O,X,X,X,X,X,X,X
ITZOLJS,O,O,X,O,O,X,X,X
ITZOLSJ,O,O,X,X,X,X,X,X
ITZOJLS,O,O,X,O,X,X,X,X
ITZOJSL,O,X,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,O,O,X,X
ITOLJZS,X,O,X,X,O,O,X,X
ITOLSJZ,X,X,O,X,O,X,X,X
ITOLSZJ,X,X,O,X,X,X,X,X
ITOLZJS,X,O,X,X,O,X,X,X
ITOLZSJ,X,O,X,X,X,X,X,X
ITOJLSZ,X,X,X,X,O,O,X,X
ITOJLZS,X,X,X,X,O,O,X,X
ITOJSLZ,X,X,X,X,X,X,X,X
ITOJSZL,O,X,X,X,X,X,X,X
ITOJZLS,O,X,X,X,X,X,X,X
ITOJZSL,O,X,X,X,X,X,X,X
ITOSLJZ,X,X,O,X,O,X,X,X
ITOSLZJ,X,X,O,X,X,X,X,X
ITOSJLZ,X,X,O,X,X,X,X,X
ITOSJZL,O,X,X,X,X,X,X,X
ITOSZLJ,O,X,O,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X,X
ITOZLJS,O,O,X,X,O,X,X,X
ITOZLSJ,O,O,X,X,X,X,X,X
ITOZJLS,O,O,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,X,X,X,X,X,X,X
ILTJSZO,O,X,O,X,X,O,X,X
ILTJSOZ,X,X,O,X,O,O,X,X
ILTJZSO,O,O,X,X,X,O,X,X
ILTJZOS,O,O,X,O,O,O,X,X
ILTJOSZ,X,X,O,X,O,O,X,X
ILTJOZS,X,O,X,X,O,O,X,X
ILTSJZO,O,X,O,X,X,O,X,X
ILTSJOZ,X,X,O,X,O,O,X,X
ILTSZJO,O,X,O,X,X,X,X,X
ILTSZOJ,O,X,O,X,X,X,X,X
ILTSOJZ,X,X,O,X,O,X,X,X
ILTSOZJ,X,X,O,X,X,X,X,X
ILTZJSO,O,O,X,X,X,O,X,X
ILTZJOS,O,O,X,O,O,O,X,X
ILTZSJO,O,O,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,X
ILTZOJS,O,O,X,O,O,X,X,X
ILTZOSJ,O,O,X,X,X,X,X,X
ILTOJSZ,X,X,O,X,O,O,X,X
ILTOJZS,X,O,X,X,O,O,X,X
ILTOSJZ,X,X,O,X,O,X,X,X
ILTOSZJ,X,X,O,X,X,X,X,X
ILTOZJS,X,O,X,X,O,X,X,X
ILTOZSJ,X,O,X,X,X,X,X,X
ILJTSZO,X,X,O,X,X,O,X,X
ILJTSOZ,X,X,O,X,O,O,X,X
ILJTZSO,X,O,X,X,X,O,X,X
ILJTZOS,X,O,X,O,O,O,X,X
ILJTOSZ,X,X,O,X,O,O,X,X
ILJTOZS,X,O,X,X,O,O,X,X
ILJSTZO,X,X,X,X,X,O,X,X
ILJSTOZ,X,X,O,X,X,O,X,O
ILJSZTO,X,X,O,X,X,X,X,X
ILJSZOT,O,X,O,O,X,O,X,X
ILJSOTZ,X,X,O,X,O,O,X,X
ILJSOZT,X,X,O,X,O,O,X,X
ILJZTSO,X,X,X,X,X,O,X,X
ILJZTOS,X,O,X,O,X,O,X,X
ILJZSTO,X,O,X,X,X,X,X,X
ILJZSOT,O,O,X,O,X,O,X,X
ILJZOTS,X,O,X,O,O,O,X,X
ILJZOST,O,O,X,O,O,O,X,X
ILJOTSZ,X,X,O,X,O,O,X,X
ILJOTZS,X,O,X,X,O,O,X,X
ILJOSTZ,X,X,O,X,O,O,X,X
ILJOSZT,X,X,O,X,O,O,X,X
ILJOZTS,X,O,X,O,O,O,X,X
ILJOZST,X,O,X,O,O,O,X,X
ILSTJZO,X,X,X,X,X,X,X,X
ILSTJOZ,X,X,O,X,X,X,X,O
ILSTZJO,X,X,X,X,X,X,X,X
ILSTZOJ,X,X,X,X,X,X,X,X
ILSTOJZ,X,X,O,X,X,X,X,X
ILSTOZJ,X,X,X,X,X,X,X,X
ILSJTZO,X,X,X,X,X,O,X,X
ILSJTOZ,X,X,O,X,X,O,X,O
ILSJZTO,X,X,O,X,X,X,X,X
ILSJZOT,O,X,O,O,X,O,X,X
ILSJOTZ,X,X,O,X,O,O,X,X
ILSJOZT,X,X,O,X,O,O,X,X
ILSZTJO,X,X,O,X,X,X,X,X
ILSZTOJ,X,X,O,X,X,X,X,X
ILSZJTO,X,X,O,X,X,X,X,X
ILSZJOT,O,X,O,O,X,X,X,X
ILSZOTJ,X,X,O,X,X,X,X,X
ILSZOJT,O,X,O,O,X,X,X,X
ILSOTJZ,X,X,O,X,X,X,X,X
ILSOTZJ,X,X,X,X,X,X,X,X
ILSOJTZ,X,X,O,X,O,X,X,X
ILSOJZT,X,X,O,X,O,X,X,X
ILSOZTJ,X,X,O,X,X,X,X,X
ILSOZJT,X,X,O,X,X,X,X,X
ILZTJSO,O,X,X,X,X,X,X,X
ILZTJOS,O,O,X,O,X,X,X,X
ILZTSJO,O,X,X,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,X,X,X
ILZTOJS,O,O,X,O,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,X,X
ILZJTSO,X,X,X,X,X,O,X,X
ILZJTOS,X,O,X,O,X,O,X,X
ILZJSTO,X,O,X,X,X,X,X,X
ILZJSOT,O,O,X,O,X,O,X,X
ILZJOTS,X,O,X,O,O,O,X,X
ILZJOST,O,O,X,O,O,O,X,X
ILZSTJO,X,O,X,X,X,X,X,X
ILZSTOJ,X,O,X,X,X,X,X,X
ILZSJTO,X,O,X,X,X,X,X,X
ILZSJOT,O,O,X,O,X,X,X,X
ILZSOTJ,X,O,X,X,X,X,X,X
ILZSOJT,O,O,X,O,X,X,X,X
ILZOTJS,O,O,X,O,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,X,X
ILZOJTS,X,O,X,O,O,X,X,X
ILZOJST,O,O,X,O,O,X,X,X
ILZOSTJ,X,O,X,X,X,X,X,X
ILZOSJT,O,O,X,O,X,X,X,X
ILOTJSZ,X,X,O,X,O,X,X,X
ILOTJZS,X,O,X,X,O,X,X,X
ILOTSJZ,X,X,O,X,O,X,X,X
ILOTSZJ,X,X,O,X,X,X,X,X
ILOTZJS,X,O,X,X,O,X,X,X
ILOTZSJ,X,O,X,X,X,X,X,X
ILOJTSZ,X,X,O,X,O,O,X,X
ILOJTZS,X,O,X,X,O,O,X,X
ILOJSTZ,X,X,O,X,O,O,X,X
ILOJSZT,X,X,O,X,O,O,X,X
ILOJZTS,X,O,X,O,O,O,X,X
ILOJZST,X,O,X,O,O,O,X,X
ILOSTJZ,X,X,O,X,X,X,X,X
ILOSTZJ,X,X,X,X,X,X,X,X
ILOSJTZ,X,X,O,X,O,X,X,X
ILOSJZT,X,X,O,X,O,X,X,X
ILOSZTJ,X,X,O,X,X,X,X,X
ILOSZJT,X,X,O,X,X,X,X,X
ILOZTJS,X,O,X,O,X,X,X,X
ILOZTSJ,X,X,X,X,X,X,X,X
ILOZJTS,X,O,X,O,O,X,X,X
ILOZJST,X,O,X,O,O,X,X,X
ILOZSTJ,X,O,X,X,X,X,X,X
ILOZSJT,X,O,X,O,X,X,X,X
IJTLSZO,O,X,O,X,X,O,X,X
IJTLSOZ,X,X,O,X,O,O,X,X
IJTLZSO,O,O,X,X,X,O,X,X
IJTLZOS,O,O,X,O,O,O,X,X
IJTLOSZ,X,X,O,X,O,O,X,X
IJTLOZS,X,O,X,X,O,O,X,X
IJTSLZO,O,X,O,X,X,O,X,X
IJTSLOZ,X,X,O,X,O,O,X,O
IJTSZLO,O,X,O,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X,X,O
IJTSOLZ,X,X,O,X,X,X,X,O
IJTSOZL,O,X,X,X,X,X,X,O
IJTZLSO,O,O,X,X,X,O,X,X
IJTZLOS,O,O,X,O,O,O,X,X
IJTZSLO,O,O,X,X,X,X,X,X
IJTZSOL,O,X,X,X,X,X,X,X
IJTZOLS,O,O,X,O,X,X,X,X
IJTZOSL,O,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,O,O,X,X
IJTOLZS,X,X,X,X,O,O,X,X
IJTOSLZ,X,X,X,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X,X,X
IJTOZLS,O,X,X,X,X,X,X,X
IJTOZSL,O,X,X,X,X,X,X,X
IJLTSZO,X,X,O,X,X,O,X,X
IJLTSOZ,X,X,O,X,O,O,X,X
IJLTZSO,X,O,X,X,X,O,X,X
IJLTZOS,X,O,X,O,O,O,X,X
IJLTOSZ,X,X,O,X,O,O,X,X
IJLTOZS,X,O,X,X,O,O,X,X
IJLSTZO,X,X,X,X,X,O,X,X
IJLSTOZ,X,X,O,X,X,O,X,O
IJLSZTO,X,X,O,X,X,X,X,X
IJLSZOT,O,X,O,O,X,O,X,X
IJLSOTZ,X,X,O,X,O,O,X,X
IJLSOZT,X,X,O,X,O,O,X,X
IJLZTSO,X,X,X,X,X,O,X,X
IJLZTOS,X,O,X,O,X,O,X,X
IJLZSTO,X,O,X,X,X,X,X,X
IJLZSOT,O,O,X,O,X,O,X,X
IJLZOTS,X,O,X,O,O,O,X,X
IJLZOST,O,O,X,O,O,O,X,X
IJLOTSZ,X,X,O,X,O,O,X,X
IJLOTZS,X,O,X,X,O,O,X,X
IJLOSTZ,X,X,O,X,O,O,X,X
IJLOSZT,X,X,O,X,O,O,X,X
IJLOZTS,X,O,X,O,O,O,X,X
IJLOZST,X,O,X,O,O,O,X,X
IJSTLZO,X,X,X,X,X,X,X,X
IJSTLOZ,X,X,O,X,X,X,X,O
IJSTZLO,X,X,X,X,X,X,X,X
IJSTZOL,O,X,X,X,X,X,X,O
IJSTOLZ,X,X,X,X,X,X,X,O
IJSTOZL,X,X,X,X,X,X,O,O
IJSLTZO,X,X,X,X,X,O,X,X
IJSLTOZ,X,X,O,X,X,O,X,O
IJSLZTO,X,X,O,X,X,X,X,X
IJSLZOT,O,X,O,O,X,O,X,X
IJSLOTZ,X,X,O,X,O,O,X,X
IJSLOZT,X,X,O,X,O,O,X,X
IJSZTLO,X,X,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X,O
IJSZLTO,X,X,X,X,X,X,X,X
IJSZLOT,O,X,O,O,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X,X
IJSZOLT,O,X,X,O,X,X,X,X
IJSOTLZ,X,X,X,X,X,X,X,O
IJSOTZL,X,X,X,X,X,X,O,O
IJSOLTZ,X,X,O,X,X,X,X,X
IJSOLZT,X,X,O,X,X,X,X,X
IJSOZTL,O,X,X,X,X,X,X,X
IJSOZLT,O,X,X,X,X,X,X,X
IJZTLSO,O,X,X,X,X,X,X,X
IJZTLOS,O,O,X,O,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X,X
IJZTSOL,O,X,X,X,X,X,X,X
IJZTOLS,O,X,X,O,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,X
IJZLTSO,X,X,X,X,X,O,X,X
IJZLTOS,X,O,X,O,X,O,X,X
IJZLSTO,X,O,X,X,X,X,X,X
