sequence,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBpoByxB8nBOn?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBpoBetBMsBii?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBxxBKnBUoBGj?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBxxB2sB0iB6o?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmB2xBknB6tBxi?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmBKsBEtBGoBxi?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmB0sBmnBpoBFl?BisB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhFXmB6tB2xBpZBkn?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhF8qB/hBGtBSoBJn?BFlB,v115@HhA8IeB8CeA8DeB8BeB8NeT6IvhF8qB/hBisB2nBpo?BFlB
comments,vert box,vert box,horiz box,horiz box,horiz box,horiz box,cool dono,bad,fallback,fallback
TILJSZO,X,X,X,O,X,X,X,X,X,O
TILJSOZ,X,X,X,O,X,X,X,X,X,O
TILJZSO,X,X,X,O,X,X,X,X,X,O
TILJZOS,X,X,X,O,X,X,X,X,X,O
TILJOSZ,X,X,X,O,X,X,X,X,X,O
TILJOZS,X,X,X,O,X,X,X,X,X,O
TILSJZO,X,X,X,O,X,X,X,X,X,O
TILSJOZ,X,X,X,O,X,X,X,X,X,O
TILSZJO,O,X,O,X,X,X,X,X,X,O
TILSZOJ,O,X,O,X,X,X,X,X,X,O
TILSOJZ,X,X,X,O,X,X,X,X,X,O
TILSOZJ,O,X,O,X,X,X,X,X,X,O
TILZJSO,O,X,O,X,X,X,X,X,X,O
TILZJOS,O,X,O,X,X,X,X,X,X,O
TILZSJO,O,X,O,X,X,X,X,X,X,O
TILZSOJ,O,X,O,X,X,X,X,X,X,O
TILZOJS,O,X,O,X,X,X,X,X,X,O
TILZOSJ,O,X,O,X,X,X,X,X,X,O
TILOJSZ,X,X,X,O,X,X,X,X,X,O
TILOJZS,X,X,X,O,X,X,X,X,X,O
TILOSJZ,X,X,X,O,X,X,X,X,X,O
TILOSZJ,O,X,O,X,X,X,X,X,X,O
TILOZJS,O,X,O,X,X,X,X,X,X,O
TILOZSJ,O,X,O,X,X,X,X,X,X,O
TIJLSZO,X,X,X,O,X,X,X,X,O,X
TIJLSOZ,X,X,X,O,X,X,X,X,O,X
TIJLZSO,X,X,X,O,X,X,X,X,O,X
TIJLZOS,X,X,X,O,X,X,X,X,O,X
TIJLOSZ,X,X,X,O,X,X,X,X,O,X
TIJLOZS,X,X,X,O,X,X,X,X,O,X
TIJSLZO,X,X,X,O,X,X,X,X,O,X
TIJSLOZ,X,X,X,O,X,X,X,X,O,X
TIJSZLO,X,O,X,O,X,X,X,X,O,X
TIJSZOL,X,O,X,O,X,X,X,X,O,X
TIJSOLZ,X,X,X,O,X,X,X,X,O,X
TIJSOZL,X,O,X,O,X,X,X,X,O,X
TIJZLSO,X,O,X,O,X,X,X,X,O,X
TIJZLOS,X,O,X,O,X,X,X,X,O,X
TIJZSLO,X,O,X,O,X,X,X,X,O,X
TIJZSOL,X,O,X,O,X,X,X,X,O,X
TIJZOLS,X,O,X,O,X,X,X,X,O,X
TIJZOSL,X,O,X,O,X,X,X,X,O,X
TIJOLSZ,X,X,X,O,X,X,X,X,O,X
TIJOLZS,X,X,X,O,X,X,X,X,O,X
TIJOSLZ,X,X,X,O,X,X,X,X,O,X
TIJOSZL,X,O,X,O,X,X,X,X,O,X
TIJOZLS,X,O,X,O,X,X,X,X,O,X
TIJOZSL,X,O,X,O,X,X,X,X,O,X
TISLJZO,X,X,X,O,X,X,X,X,X,O
TISLJOZ,X,X,X,O,X,X,X,X,X,O
TISLZJO,O,X,O,X,X,X,X,X,X,O
TISLZOJ,O,X,O,X,X,X,X,X,X,O
TISLOJZ,X,X,X,O,X,X,X,X,X,O
TISLOZJ,O,X,O,X,X,X,X,X,X,O
TISJLZO,X,X,X,O,X,X,X,X,O,X
TISJLOZ,X,X,X,O,X,X,X,X,O,X
TISJZLO,X,O,X,O,X,X,X,X,O,X
TISJZOL,X,O,X,O,X,X,X,X,O,X
TISJOLZ,X,X,X,O,X,X,X,X,O,X
TISJOZL,X,O,X,O,X,X,X,X,O,X
TISZLJO,X,X,O,X,X,X,X,X,X,O
TISZLOJ,X,X,O,X,X,X,X,X,X,O
TISZJLO,X,X,O,X,X,X,X,X,O,X
TISZJOL,X,X,O,X,X,X,O,X,O,X
TISZOLJ,X,X,O,X,X,X,X,X,X,O
TISZOJL,X,X,O,X,X,X,O,X,O,X
TISOLJZ,X,X,X,O,X,X,X,X,X,O
TISOLZJ,O,X,O,X,X,X,X,X,X,O
TISOJLZ,X,X,X,O,X,X,X,X,O,X
TISOJZL,X,O,X,O,X,X,X,X,O,X
TISOZLJ,X,X,O,X,X,X,X,X,X,O
TISOZJL,X,X,O,X,X,X,O,X,O,X
TIZLJSO,X,X,O,X,X,X,X,X,X,O
TIZLJOS,X,X,O,X,X,X,X,X,X,O
TIZLSJO,X,X,O,X,X,X,X,X,X,O
TIZLSOJ,X,X,O,X,X,X,X,X,X,O
TIZLOJS,X,X,O,X,X,X,X,X,X,O
TIZLOSJ,X,X,O,X,X,X,X,X,X,O
TIZJLSO,X,X,O,X,X,X,X,X,O,X
TIZJLOS,X,X,O,X,X,X,X,X,O,X
TIZJSLO,X,X,O,X,X,X,X,X,O,X
TIZJSOL,X,X,O,X,X,X,O,X,O,X
TIZJOLS,X,X,O,X,X,X,X,X,O,X
TIZJOSL,X,X,O,X,X,X,O,X,O,X
TIZSLJO,X,X,O,X,X,X,X,X,X,O
TIZSLOJ,X,X,O,X,X,X,X,X,X,O
TIZSJLO,X,X,O,X,X,X,X,X,O,X
TIZSJOL,X,X,O,X,X,X,O,X,O,X
TIZSOLJ,X,X,O,X,X,X,X,X,X,O
TIZSOJL,X,X,O,X,X,X,O,X,O,X
TIZOLJS,X,X,O,X,X,X,X,X,X,O
TIZOLSJ,X,X,O,X,X,X,X,X,X,O
TIZOJLS,X,X,O,X,X,X,X,X,O,X
TIZOJSL,X,X,O,X,X,X,O,X,O,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,O
TIZOSJL,X,X,O,X,X,X,O,X,O,X
TIOLJSZ,X,X,X,O,X,X,X,X,X,O
TIOLJZS,X,X,X,O,X,X,X,X,X,O
TIOLSJZ,X,X,X,O,X,X,X,X,X,O
TIOLSZJ,O,X,O,X,X,X,X,X,X,O
TIOLZJS,O,X,O,X,X,X,X,X,X,O
TIOLZSJ,O,X,O,X,X,X,X,X,X,O
TIOJLSZ,X,X,X,O,X,X,X,X,O,X
TIOJLZS,X,X,X,O,X,X,X,X,O,X
TIOJSLZ,X,X,X,O,X,X,X,X,O,X
TIOJSZL,X,O,X,O,X,X,X,X,O,X
TIOJZLS,X,O,X,O,X,X,X,X,O,X
TIOJZSL,X,O,X,O,X,X,X,X,O,X
TIOSLJZ,X,X,X,O,X,X,X,X,X,O
TIOSLZJ,O,X,O,X,X,X,X,X,X,O
TIOSJLZ,X,X,X,O,X,X,X,X,O,X
TIOSJZL,X,O,X,O,X,X,X,X,O,X
TIOSZLJ,X,X,O,X,X,X,X,X,X,O
TIOSZJL,X,X,O,X,X,X,O,X,O,X
TIOZLJS,X,X,O,X,X,X,X,X,X,O
TIOZLSJ,X,X,O,X,X,X,X,X,X,O
TIOZJLS,X,X,O,X,X,X,X,X,O,X
TIOZJSL,X,X,O,X,X,X,O,X,O,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,O
TIOZSJL,X,X,O,X,X,X,O,X,O,X
TLIJSZO,X,X,X,X,X,X,X,O,X,O
TLIJSOZ,X,X,X,X,X,X,X,O,X,O
TLIJZSO,X,X,X,X,X,X,X,O,X,O
TLIJZOS,X,X,X,X,X,X,X,O,X,O
TLIJOSZ,X,X,X,X,X,X,X,O,X,O
TLIJOZS,X,X,X,X,X,X,X,O,X,O
TLISJZO,X,X,X,X,X,X,X,O,X,O
TLISJOZ,X,X,X,X,X,X,X,O,X,O
TLISZJO,O,X,X,X,X,X,X,X,X,O
TLISZOJ,O,X,X,X,X,X,X,X,X,O
TLISOJZ,X,X,X,X,X,X,X,O,X,O
TLISOZJ,O,X,X,X,X,X,X,X,X,O
TLIZJSO,O,X,X,X,X,X,X,X,X,O
TLIZJOS,O,X,X,X,X,X,X,X,X,O
TLIZSJO,O,X,X,X,X,X,X,X,X,O
TLIZSOJ,O,X,X,X,X,X,X,X,X,O
TLIZOJS,O,X,X,X,X,X,X,X,X,O
TLIZOSJ,O,X,X,X,X,X,X,X,X,O
TLIOJSZ,X,X,X,X,X,X,X,O,X,O
TLIOJZS,X,X,X,X,X,X,X,O,X,O
TLIOSJZ,X,X,X,X,X,X,X,O,X,O
TLIOSZJ,O,X,X,X,X,X,X,X,X,O
