sequence,v115@/gB8GeB8HeC8FeE8OexCJvhFXhBOkB6tBFnBzsB0rB,v115@/gB8GeB8HeC8FeE8Oe6IJvhF0iBXhBOkBVyBxrBzrB,v115@/gB8GeB8HeC8FeE8OeMIJvhFliBXhBOkBSyBxrBzrB,v115@/gB8GeB8HeC8FeE8OexCJvhFOkB6tBXnBFmBzsB0rB,v115@/gB8GeB8HeC8FeE8OexBJvhFOkB6tB0nBFmBzrBXtB,v115@/gB8GeB8HeC8FeE8OevIJvhFxhBOkB0nBFmBzrBSyB,v115@/gB8GeB8HeC8FeE8OexCJvhFXhBOkBFnBCtB0rBTtB,v115@/gB8GeB8HeC8FeE8OexCJvhFOkBXnBFmBCtBTtB0rB
TISOZLJ,X,O,X,X,O,O,X,X
TISOZJL,X,O,X,X,O,O,X,X
TIZLJSO,X,O,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X
TIZJLSO,X,O,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X
TIZJSLO,X,O,X,X,X,X,X,X
TIZJSOL,X,O,X,X,X,X,X,X
TIZJOLS,X,O,X,X,O,O,X,X
TIZJOSL,X,O,X,X,O,O,X,X
TIZSLJO,X,O,X,X,X,X,X,X
TIZSLOJ,X,O,X,X,X,X,X,X
TIZSJLO,X,O,X,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,X
TIZSOJL,X,O,X,X,X,X,X,X
TIZOLJS,X,O,X,X,O,O,X,X
TIZOLSJ,X,O,X,X,O,O,X,X
TIZOJLS,X,O,X,X,O,O,X,X
TIZOJSL,X,O,X,X,O,O,X,X
TIZOSLJ,X,O,X,X,O,O,X,X
TIZOSJL,X,O,X,X,O,O,X,X
TIOLJSZ,X,O,X,O,X,X,X,X
TIOLJZS,X,O,X,X,O,O,X,X
TIOLSJZ,X,O,X,O,X,X,X,X
TIOLSZJ,X,O,X,O,X,X,X,X
TIOLZJS,X,O,X,X,O,O,X,X
TIOLZSJ,X,O,X,X,O,O,X,X
TIOJLSZ,X,O,X,O,X,X,X,X
TIOJLZS,X,O,X,X,O,O,X,X
TIOJSLZ,X,O,X,O,X,X,X,X
TIOJSZL,X,O,X,X,O,O,X,X
TIOJZLS,X,O,X,X,O,O,X,X
TIOJZSL,X,O,X,X,O,O,X,X
TIOSLJZ,X,O,X,O,X,X,X,X
TIOSLZJ,X,O,X,O,X,X,X,X
TIOSJLZ,X,O,X,O,X,X,X,X
TIOSJZL,X,O,X,X,O,O,X,X
TIOSZLJ,X,O,X,X,O,O,X,X
TIOSZJL,X,O,X,X,O,O,X,X
TIOZLJS,X,O,X,X,O,O,X,X
TIOZLSJ,X,O,X,X,O,O,X,X
TIOZJLS,X,O,X,X,O,O,X,X
TIOZJSL,X,O,X,X,O,O,X,X
TIOZSLJ,X,O,X,X,O,O,X,X
TIOZSJL,X,O,X,X,O,O,X,X
TLIJSZO,O,O,O,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,X,X,O
TLIJZSO,O,O,O,X,X,X,X,X
TLIJZOS,O,O,O,X,X,X,X,X
TLIJOSZ,O,O,X,O,X,X,X,X
TLIJOZS,O,O,X,X,O,O,X,X
TLISJZO,O,O,O,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,X,O
TLISZJO,X,O,O,X,X,X,X,X
TLISZOJ,X,O,O,X,X,X,X,X
TLISOJZ,X,O,X,X,X,X,X,X
TLISOZJ,X,O,X,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,X,X
TLIZJOS,O,O,O,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,X
TLIZSOJ,O,O,O,X,X,X,X,X
TLIZOJS,O,O,O,X,X,X,X,X
TLIZOSJ,O,O,O,X,X,X,X,X
TLIOJSZ,O,O,X,O,X,X,X,X
TLIOJZS,O,O,X,X,O,O,X,X
TLIOSJZ,O,O,X,O,X,X,X,X
TLIOSZJ,O,O,X,O,X,X,X,X
TLIOZJS,O,O,X,X,O,O,X,X
TLIOZSJ,O,O,X,X,O,O,X,X
TLJISZO,O,O,O,X,X,X,X,X
TLJISOZ,O,O,X,X,X,X,X,O
TLJIZSO,O,O,O,X,X,X,X,X
TLJIZOS,O,O,O,X,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,X,X
TLJIOZS,O,O,X,X,O,O,X,X
TLJSIZO,O,O,O,X,X,X,X,X
TLJSIOZ,O,O,X,X,X,X,X,O
TLJSZIO,O,O,O,X,X,X,O,X
TLJSZOI,O,O,O,X,X,X,O,O
TLJSOIZ,O,O,X,O,X,X,X,O
TLJSOZI,O,O,X,O,O,X,X,O
TLJZISO,O,O,O,X,X,X,O,X
TLJZIOS,O,O,O,X,X,X,O,X
TLJZSIO,O,O,O,X,X,X,O,X
TLJZSOI,O,O,O,X,X,X,O,O
TLJZOIS,O,O,O,X,O,X,O,X
TLJZOSI,O,O,O,O,O,X,O,X
TLJOISZ,O,O,X,O,X,X,X,X
TLJOIZS,O,O,X,X,O,O,X,X
TLJOSIZ,O,O,X,O,X,X,X,O
TLJOSZI,O,O,X,O,O,X,X,O
TLJOZIS,O,O,X,X,O,O,X,X
TLJOZSI,O,O,X,O,O,O,X,X
TLSIJZO,O,O,O,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,O
TLSIZJO,X,O,O,X,X,X,X,X
TLSIZOJ,X,O,O,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X,X
TLSJIOZ,O,O,X,X,X,X,X,O
TLSJZIO,O,O,O,X,X,X,O,X
TLSJZOI,O,O,O,X,X,X,O,O
TLSJOIZ,O,O,X,O,X,X,X,O
TLSJOZI,O,O,X,O,O,X,X,O
TLSZIJO,O,O,O,X,X,X,O,X
TLSZIOJ,O,O,O,X,X,X,O,X
TLSZJIO,O,O,O,X,X,X,O,X
TLSZJOI,O,O,O,X,X,X,O,O
TLSZOIJ,O,X,X,X,X,X,O,X
TLSZOJI,O,O,O,X,X,X,O,X
TLSOIJZ,O,O,X,O,X,X,X,X
TLSOIZJ,O,O,X,O,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,X,O
TLSOJZI,O,O,X,O,O,X,X,O
TLSOZIJ,O,X,X,O,O,X,X,X
TLSOZJI,O,O,X,O,O,X,X,X
TLZIJSO,O,O,O,X,X,X,O,X
TLZIJOS,O,O,O,X,X,X,O,X
TLZISJO,O,O,O,X,X,X,O,X
TLZISOJ,O,O,O,X,X,X,O,X
TLZIOJS,O,O,O,X,X,X,O,X
TLZIOSJ,O,O,O,X,X,X,O,X
TLZJISO,O,O,O,X,X,X,O,X
TLZJIOS,O,O,O,X,X,X,O,X
TLZJSIO,O,O,O,X,X,X,O,X
TLZJSOI,O,O,O,X,X,X,O,O
TLZJOIS,O,O,O,X,O,X,O,X
TLZJOSI,O,O,O,O,O,X,O,X
TLZSIJO,O,O,O,X,X,X,O,X
TLZSIOJ,O,O,O,X,X,X,O,X
TLZSJIO,O,O,O,X,X,X,O,X
TLZSJOI,O,O,O,X,X,X,O,O
TLZSOIJ,O,X,X,X,X,X,O,X
TLZSOJI,O,O,O,X,X,X,O,X
TLZOIJS,O,O,O,X,O,X,O,X
TLZOISJ,O,O,O,X,O,X,O,X
TLZOJIS,O,O,O,X,O,X,O,X
TLZOJSI,O,O,O,O,O,X,O,X
TLZOSIJ,O,X,X,O,O,X,O,X
TLZOSJI,O,O,O,O,O,X,O,X
TLOIJSZ,O,O,X,O,X,X,X,X
TLOIJZS,O,O,X,X,O,O,X,X
TLOISJZ,O,O,X,O,X,X,X,X
TLOISZJ,O,O,X,O,X,X,X,X
TLOIZJS,O,O,X,X,O,O,X,X
TLOIZSJ,O,O,X,X,O,O,X,X
TLOJISZ,O,O,X,O,X,X,X,X
TLOJIZS,O,O,X,X,O,O,X,X
TLOJSIZ,O,O,X,O,X,X,X,O
TLOJSZI,O,O,X,O,O,X,X,O
TLOJZIS,O,O,X,X,O,O,X,X
TLOJZSI,O,O,X,O,O,O,X,X
TLOSIJZ,O,O,X,O,X,X,X,X
TLOSIZJ,O,O,X,O,X,X,X,X
TLOSJIZ,O,O,X,O,X,X,X,O
TLOSJZI,O,O,X,O,O,X,X,O
TLOSZIJ,O,X,X,O,O,X,X,X
TLOSZJI,O,O,X,O,O,X,X,X
TLOZIJS,O,O,X,X,O,O,X,X
TLOZISJ,O,O,X,X,O,O,X,X
TLOZJIS,O,O,X,X,O,O,X,X
TLOZJSI,O,O,X,O,O,O,X,X
TLOZSIJ,O,X,X,O,O,O,X,X
TLOZSJI,O,O,X,O,O,O,X,X
TJILSZO,X,O,O,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,O
TJILZSO,X,O,O,X,X,X,X,X
TJILZOS,X,O,O,X,X,X,X,X
TJILOSZ,X,O,X,O,X,X,X,X
TJILOZS,X,O,X,X,O,O,X,X
TJISLZO,X,O,O,X,X,X,X,X
TJISLOZ,X,O,X,X,X,X,X,X
TJISZLO,X,O,X,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,X,X
TJISOLZ,X,O,X,X,X,X,X,X
TJISOZL,X,O,X,X,O,O,X,X
TJIZLSO,X,O,X,X,X,X,X,X
TJIZLOS,X,O,X,X,X,X,X,X
TJIZSLO,X,O,X,X,X,X,X,X
TJIZSOL,X,O,X,X,X,X,X,X
TJIZOLS,X,O,X,X,O,O,X,X
TJIZOSL,X,O,X,X,O,O,X,X
TJIOLSZ,X,O,X,O,X,X,X,X
TJIOLZS,X,O,X,X,O,O,X,X
TJIOSLZ,X,O,X,O,X,X,X,X
TJIOSZL,X,O,X,X,O,O,X,X
TJIOZLS,X,O,X,X,O,O,X,X
TJIOZSL,X,O,X,X,O,O,X,X
TJLISZO,O,O,O,X,X,X,X,X
TJLISOZ,O,O,X,X,X,X,X,O
TJLIZSO,O,O,O,X,X,X,X,X
TJLIZOS,O,O,O,X,X,X,X,X
TJLIOSZ,O,O,X,O,X,X,X,X
TJLIOZS,O,O,X,X,O,O,X,X
TJLSIZO,O,O,O,X,X,X,X,X
TJLSIOZ,O,O,X,X,X,X,X,O
TJLSZIO,O,O,O,X,X,X,O,X
TJLSZOI,O,O,O,X,X,X,O,O
TJLSOIZ,O,O,X,O,X,X,X,O
TJLSOZI,O,O,X,O,O,X,X,O
TJLZISO,O,O,O,X,X,X,O,X
TJLZIOS,O,O,O,X,X,X,O,X
TJLZSIO,O,O,O,X,X,X,O,X
TJLZSOI,O,O,O,X,X,X,O,O
TJLZOIS,O,O,O,X,O,X,O,X
TJLZOSI,O,O,O,O,O,X,O,X
TJLOISZ,O,O,X,O,X,X,X,X
TJLOIZS,O,O,X,X,O,O,X,X
TJLOSIZ,O,O,X,O,X,X,X,O
TJLOSZI,O,O,X,O,O,X,X,O
TJLOZIS,O,O,X,X,O,O,X,X
TJLOZSI,O,O,X,O,O,O,X,X
TJSILZO,X,O,O,X,X,X,X,X
TJSILOZ,X,O,X,X,X,X,X,X
TJSIZLO,X,O,X,X,X,X,X,X
TJSIZOL,X,O,X,X,X,X,X,X
TJSIOLZ,X,O,X,X,X,X,X,X
TJSIOZL,X,O,X,X,O,O,X,X
TJSLIZO,O,O,O,X,X,X,X,X
TJSLIOZ,O,O,X,X,X,X,X,O
TJSLZIO,O,O,O,X,X,X,O,X
TJSLZOI,O,O,O,X,X,X,O,O
TJSLOIZ,O,O,X,O,X,X,X,O
TJSLOZI,O,O,X,O,O,X,X,O
TJSZILO,O,O,X,X,X,X,O,X
TJSZIOL,O,O,X,X,X,X,O,X
TJSZLIO,O,O,X,X,X,X,O,X
TJSZLOI,O,O,X,X,X,X,O,X
TJSZOIL,O,X,X,X,X,X,O,X
TJSZOLI,O,O,X,X,X,X,O,X
TJSOILZ,O,O,X,O,X,X,X,X
TJSOIZL,O,O,X,X,O,O,X,X
TJSOLIZ,O,O,X,O,X,X,X,X
TJSOLZI,O,O,X,O,O,X,X,X
TJSOZIL,O,X,X,X,O,O,X,X
TJSOZLI,O,O,X,O,O,O,X,X
TJZILSO,O,O,X,X,X,X,O,X
TJZILOS,O,O,X,X,X,X,O,X
TJZISLO,O,O,X,X,X,X,O,X
TJZISOL,O,O,X,X,X,X,O,X
TJZIOLS,O,O,X,X,O,O,X,X
TJZIOSL,O,O,X,X,O,O,O,X
TJZLISO,O,O,X,X,X,X,O,X
TJZLIOS,O,O,X,X,X,X,O,X
TJZLSIO,O,O,X,X,X,X,O,X
TJZLSOI,O,O,X,X,X,X,O,O
TJZLOIS,O,O,X,X,O,X,O,X
TJZLOSI,O,O,X,O,O,X,O,X
TJZSILO,O,O,X,X,X,X,O,X
TJZSIOL,O,O,X,X,X,X,O,X
TJZSLIO,O,O,X,X,X,X,O,X
TJZSLOI,O,O,X,X,X,X,O,X
TJZSOIL,O,X,X,X,X,X,O,X
TJZSOLI,O,O,X,X,X,X,O,X
TJZOILS,O,O,X,X,O,O,X,X
TJZOISL,O,O,X,X,O,O,O,X
TJZOLIS,O,O,X,X,O,O,O,X
TJZOLSI,O,O,X,O,O,O,O,X
TJZOSIL,O,X,X,X,O,O,O,X
TJZOSLI,O,O,X,O,O,O,O,X
TJOILSZ,O,O,X,O,X,X,X,X
TJOILZS,O,O,X,X,O,O,X,X
TJOISLZ,O,O,X,O,X,X,X,X
TJOISZL,O,O,X,X,O,O,X,X
TJOIZLS,X,O,X,X,O,O,X,X
TJOIZSL,O,O,X,X,O,O,X,X
TJOLISZ,O,O,X,O,X,X,X,X
TJOLIZS,O,O,X,X,O,O,X,X
TJOLSIZ,O,O,X,O,X,X,X,O
TJOLSZI,O,O,X,O,O,X,X,O
TJOLZIS,O,O,X,X,O,O,X,X
TJOLZSI,O,O,X,O,O,O,X,X
TJOSILZ,O,O,X,O,X,X,X,X
TJOSIZL,O,O,X,X,O,O,X,X
TJOSLIZ,O,O,X,O,X,X,X,X
TJOSLZI,O,O,X,O,O,X,X,X
TJOSZIL,O,X,X,X,O,O,X,X
TJOSZLI,O,O,X,O,O,O,X,X
TJOZILS,O,O,X,X,O,O,X,X
TJOZISL,O,O,X,X,O,O,X,X
TJOZLIS,O,O,X,X,O,O,X,X
TJOZLSI,O,O,X,O,O,O,X,X
TJOZSIL,O,X,X,X,O,O,X,X
TJOZSLI,O,O,X,O,O,O,X,X
TSILJZO,X,O,O,X,X,X,X,X
TSILJOZ,X,O,X,X,X,X,X,X
TSILZJO,X,O,O,X,X,X,X,X
TSILZOJ,X,O,O,X,X,X,X,X
TSILOJZ,X,O,X,X,X,X,X,X
TSILOZJ,X,O,X,X,X,X,X,X
TSIJLZO,X,O,O,X,X,X,X,X
TSIJLOZ,X,O,X,X,X,X,X,X
TSIJZLO,X,O,X,X,X,X,X,X
TSIJZOL,X,O,X,X,X,X,X,X
TSIJOLZ,X,O,X,X,X,X,X,X
TSIJOZL,X,O,X,X,O,O,X,X
TSIZLJO,X,O,X,X,X,X,X,X
TSIZLOJ,X,O,X,X,X,X,X,X
TSIZJLO,X,O,X,X,X,X,X,X
TSIZJOL,X,O,X,X,X,X,X,X
TSIZOLJ,X,O,X,X,X,X,X,X
TSIZOJL,X,O,X,X,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,X,X
TSIOLZJ,X,O,X,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,X,X
TSIOJZL,X,O,X,X,O,O,X,X
TSIOZLJ,X,O,X,X,O,O,X,X
TSIOZJL,X,O,X,X,O,O,X,X
TSLIJZO,O,O,O,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X,O
TSLIZJO,X,O,O,X,X,X,X,X
TSLIZOJ,X,O,O,X,X,X,X,X
TSLIOJZ,X,O,X,X,X,X,X,X
TSLIOZJ,X,O,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,X,X,X
TSLJIOZ,O,O,X,X,X,X,X,O
TSLJZIO,O,O,O,X,X,X,O,X
TSLJZOI,O,O,O,X,X,X,O,O
TSLJOIZ,O,O,X,O,X,X,X,O
TSLJOZI,O,O,X,O,O,X,X,O
TSLZIJO,O,O,O,X,X,X,O,X
TSLZIOJ,O,O,O,X,X,X,O,X
TSLZJIO,O,O,O,X,X,X,O,X
TSLZJOI,O,O,O,X,X,X,O,O
TSLZOIJ,O,X,X,X,X,X,O,X
TSLZOJI,O,O,O,X,X,X,O,X
TSLOIJZ,O,O,X,O,X,X,X,X
TSLOIZJ,O,O,X,O,X,X,X,X
TSLOJIZ,O,O,X,O,X,X,X,O
TSLOJZI,O,O,X,O,O,X,X,O
TSLOZIJ,O,X,X,O,O,X,X,X
TSLOZJI,O,O,X,O,O,X,X,X
TSJILZO,X,O,O,X,X,X,X,X
TSJILOZ,X,O,X,X,X,X,X,X
TSJIZLO,X,O,X,X,X,X,X,X
TSJIZOL,X,O,X,X,X,X,X,X
TSJIOLZ,X,O,X,X,X,X,X,X
TSJIOZL,X,O,X,X,O,O,X,X
TSJLIZO,O,O,O,X,X,X,X,X
TSJLIOZ,O,O,X,X,X,X,X,O
TSJLZIO,O,O,O,X,X,X,O,X
TSJLZOI,O,O,O,X,X,X,O,O
TSJLOIZ,O,O,X,O,X,X,X,O
TSJLOZI,O,O,X,O,O,X,X,O
TSJZILO,O,O,X,X,X,X,O,X
TSJZIOL,O,O,X,X,X,X,O,X
TSJZLIO,O,O,X,X,X,X,O,X
TSJZLOI,O,O,X,X,X,X,O,X
TSJZOIL,O,X,X,X,X,X,O,X
TSJZOLI,O,O,X,X,X,X,O,X
TSJOILZ,O,O,X,O,X,X,X,X
TSJOIZL,O,O,X,X,O,O,X,X
TSJOLIZ,O,O,X,O,X,X,X,X
TSJOLZI,O,O,X,O,O,X,X,X
TSJOZIL,O,X,X,X,O,O,X,X
TSJOZLI,O,O,X,O,O,O,X,X
TSZILJO,O,O,X,X,X,X,O,X
TSZILOJ,O,O,X,X,X,X,O,X
TSZIJLO,O,O,X,X,X,X,O,X
TSZIJOL,O,O,X,X,X,X,O,X
TSZIOLJ,O,O,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,O,X
TSZLIJO,O,O,X,X,X,X,O,X
TSZLIOJ,O,O,X,X,X,X,O,X
TSZLJIO,O,O,X,X,X,X,O,X
TSZLJOI,O,O,X,X,X,X,O,X
TSZLOIJ,O,X,X,X,X,X,O,X
TSZLOJI,O,O,X,X,X,X,O,X
TSZJILO,O,O,X,X,X,X,O,X
TSZJIOL,O,O,X,X,X,X,O,X
TSZJLIO,O,O,X,X,X,X,O,X
TSZJLOI,O,O,X,X,X,X,O,X
TSZJOIL,O,X,X,X,X,X,O,X
TSZJOLI,O,O,X,X,X,X,O,X
TSZOILJ,O,X,X,X,X,X,X,X
TSZOIJL,O,X,X,X,X,X,O,X
TSZOLIJ,O,X,X,X,X,X,O,X
TSZOLJI,O,O,X,X,X,X,O,X
TSZOJIL,O,X,X,X,X,X,O,X
TSZOJLI,O,O,X,X,X,X,O,X
TSOILJZ,O,O,X,O,X,X,X,X
TSOILZJ,O,O,X,O,X,X,X,X
TSOIJLZ,O,O,X,O,X,X,X,X
TSOIJZL,O,O,X,X,O,O,X,X
TSOIZLJ,X,O,X,X,O,O,X,X
TSOIZJL,O,O,X,X,O,O,X,X
TSOLIJZ,O,O,X,O,X,X,X,X
TSOLIZJ,O,O,X,O,X,X,X,X
TSOLJIZ,O,O,X,O,X,X,X,X
TSOLJZI,O,O,X,O,O,X,X,X
TSOLZIJ,O,X,X,O,O,X,X,X
TSOLZJI,O,O,X,O,O,X,X,X
TSOJILZ,O,O,X,O,X,X,X,X
TSOJIZL,O,O,X,X,O,O,X,X
TSOJLIZ,O,O,X,O,X,X,X,X
TSOJLZI,O,O,X,O,O,X,X,X
TSOJZIL,O,X,X,X,O,O,X,X
TSOJZLI,O,O,X,O,O,O,X,X
TSOZILJ,O,X,X,X,O,O,X,X
TSOZIJL,O,X,X,X,O,O,X,X
TSOZLIJ,O,X,X,O,O,O,X,X
TSOZLJI,O,O,X,O,O,O,X,X
TSOZJIL,O,X,X,X,O,O,X,X
TSOZJLI,O,O,X,O,O,O,X,X
TZILJSO,O,O,X,X,X,X,O,X
TZILJOS,O,O,X,X,X,X,O,X
TZILSJO,O,O,X,X,X,X,O,X
TZILSOJ,O,O,X,X,X,X,O,X
TZILOJS,O,O,X,X,X,X,O,X
TZILOSJ,O,O,X,X,X,X,O,X
TZIJLSO,O,O,X,X,X,X,O,X
TZIJLOS,O,O,X,X,X,X,O,X
TZIJSLO,O,O,X,X,X,X,O,X
TZIJSOL,O,O,X,X,X,X,O,X
TZIJOLS,O,O,X,X,O,O,X,X
TZIJOSL,O,O,X,X,O,O,O,X
TZISLJO,O,O,X,X,X,X,O,X
TZISLOJ,O,O,X,X,X,X,O,X
TZISJLO,O,O,X,X,X,X,O,X
TZISJOL,O,O,X,X,X,X,O,X
TZISOLJ,O,O,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,O,X
TZIOLJS,O,O,X,X,O,O,X,X
TZIOLSJ,O,O,X,X,O,O,X,X
TZIOJLS,O,O,X,X,O,O,X,X
TZIOJSL,O,O,X,X,O,O,O,X
TZIOSLJ,O,O,X,X,O,O,X,X
TZIOSJL,O,O,X,X,O,O,O,X
TZLIJSO,O,O,X,X,X,X,O,X
TZLIJOS,O,O,X,X,X,X,O,X
TZLISJO,O,O,X,X,X,X,O,X
TZLISOJ,O,O,X,X,X,X,O,X
TZLIOJS,O,O,X,X,X,X,O,X
TZLIOSJ,O,O,X,X,X,X,O,X
TZLJISO,O,O,X,X,X,X,O,X
TZLJIOS,O,O,X,X,X,X,O,X
TZLJSIO,O,O,X,X,X,X,O,X
TZLJSOI,O,O,X,X,X,X,O,O
TZLJOIS,O,O,X,X,O,X,O,X
TZLJOSI,O,O,X,O,O,X,O,X
TZLSIJO,O,O,X,X,X,X,O,X
TZLSIOJ,O,O,X,X,X,X,O,X
TZLSJIO,O,O,X,X,X,X,O,X
TZLSJOI,O,O,X,X,X,X,O,O
TZLSOIJ,O,X,X,X,X,X,O,X
TZLSOJI,O,O,X,X,X,X,O,X
TZLOIJS,O,O,X,X,O,X,O,X
TZLOISJ,O,O,X,X,O,X,O,X
TZLOJIS,O,O,X,X,O,X,O,X
TZLOJSI,O,O,X,O,O,X,O,X
TZLOSIJ,O,X,X,O,O,X,O,X
TZLOSJI,O,O,X,O,O,X,O,X
TZJILSO,O,O,X,X,X,X,O,X
TZJILOS,O,O,X,X,X,X,O,X
TZJISLO,O,O,X,X,X,X,O,X
TZJISOL,O,O,X,X,X,X,O,X
TZJIOLS,O,O,X,X,O,O,X,X
TZJIOSL,O,O,X,X,O,O,O,X
TZJLISO,O,O,X,X,X,X,O,X
TZJLIOS,O,O,X,X,X,X,O,X
TZJLSIO,O,O,X,X,X,X,O,X
TZJLSOI,O,O,X,X,X,X,O,O
TZJLOIS,O,O,X,X,O,X,O,X
TZJLOSI,O,O,X,O,O,X,O,X
TZJSILO,O,O,X,X,X,X,O,X
TZJSIOL,O,O,X,X,X,X,O,X
TZJSLIO,O,O,X,X,X,X,O,X
TZJSLOI,O,O,X,X,X,X,O,X
TZJSOIL,O,X,X,X,X,X,O,X
TZJSOLI,O,O,X,X,X,X,O,X
TZJOILS,O,O,X,X,O,O,X,X
TZJOISL,O,O,X,X,O,O,O,X
TZJOLIS,O,O,X,X,O,O,O,X
TZJOLSI,O,O,X,O,O,O,O,X
TZJOSIL,O,X,X,X,O,O,O,X
