sequence,v115@3gB8DeA8BeD8BeH8BeG8CeH8AeB8JeT1IvhFxWBceB?XbB6iBmiBlsB,v115@3gB8DeA8BeD8BeH8BeG8CeH8AeB8JeT1IvhFebBCXB?xYB0dBXjBlsB,v115@3gB8DeA8BeD8BeH8BeG8CeH8AeB8JeT1IvhFebBCXB?xYBXeB0iBlsB,v115@3gB8DeA8BeD8BeH8BeG8CeH8AeB8JeT1IvhFebBCXB?xdB0dBXjBlsB,v115@3gB8DeA8BeD8BeH8BeG8CeH8AeB8Je26IvhFCXBxdB?zaB0dBXjBlsB
TILJSZO,O,X,O,X,O
TILJSOZ,O,X,O,O,O
TILJZSO,O,O,X,X,O
TILJZOS,X,O,X,O,O
TILJOSZ,X,X,O,O,O
TILJOZS,X,O,X,O,O
TILSJZO,O,X,O,X,O
TILSJOZ,O,X,O,O,O
TILSZJO,O,X,O,X,X
TILSZOJ,O,X,X,X,X
TILSOJZ,O,X,O,X,X
TILSOZJ,O,X,X,X,X
TILZJSO,O,O,X,X,O
TILZJOS,X,O,X,O,O
TILZSJO,O,O,X,X,X
TILZSOJ,O,X,X,X,X
TILZOJS,X,O,X,X,X
TILZOSJ,O,X,X,X,X
TILOJSZ,X,X,X,O,O
TILOJZS,X,X,X,O,O
TILOSJZ,O,X,X,X,X
TILOSZJ,O,X,X,X,X
TILOZJS,X,X,X,X,X
TILOZSJ,O,X,X,X,X
TIJLSZO,O,X,O,X,O
TIJLSOZ,O,X,O,O,O
TIJLZSO,O,O,X,X,O
TIJLZOS,X,O,X,O,O
TIJLOSZ,X,X,O,O,O
TIJLOZS,X,O,X,O,O
TIJSLZO,O,X,O,X,O
TIJSLOZ,O,X,O,O,O
TIJSZLO,O,X,O,X,X
TIJSZOL,O,X,O,X,X
TIJSOLZ,O,X,O,O,X
TIJSOZL,O,X,O,X,X
TIJZLSO,O,O,X,X,O
TIJZLOS,X,O,X,O,O
TIJZSLO,O,O,X,X,X
TIJZSOL,O,O,X,X,X
TIJZOLS,X,O,X,O,X
TIJZOSL,X,O,X,X,X
TIJOLSZ,X,X,O,O,O
TIJOLZS,X,O,X,O,O
TIJOSLZ,X,X,O,O,X
TIJOSZL,X,X,O,X,X
TIJOZLS,X,O,X,O,X
TIJOZSL,X,O,X,X,X
TISLJZO,O,X,O,X,O
TISLJOZ,O,X,O,O,O
