sequence,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhEZi?BGeBXhBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBqiBTjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeG8IvhEZi?BCeBzgBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBCeBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhEZi?BuiBcjBXhBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeR8IvhEui?BcjBzgBanBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BxdBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BZiBuiBcjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEZi?BqiBTeBXhBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JecBJvhEZi?BqiBTeB1qBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhExd?BOnBXjBzgBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhEZi?BuiBcjBzgBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JecBJvhEZi?BCeBXjB1qBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhETe?BXhBOnB0iBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuAJvhEch?BZiBSjBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeC8IvhETe?BXhB0iBOnBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhExi?BzgBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWDJvhERh?BzgBanBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeSBJvhEZi?BWjBzgBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEZi?BSjBXhBziBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEqi?BTeB3lBcmBuqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeR8IvhEWj?BzgBanBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeT8IvhEcj?BOnByqB5lBlsB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeWBJvhEcj?BTiBXhBinBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeuCJvhEcj?BRhBzgBanBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BZiBWjBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEGe?BziB3lBFmBCrB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeZCJvhEui?BcjB3lBFmBCrB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhETc?BxiBOnBXjBlqB,v115@zgC8GeC8GeC8BeA8CeC8CeA8AeF8AeF8JeqAJvhEcj?BxhB3iBmmBlqB
IJZOSLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IJOTLSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IJOTLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IJOTSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOTSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOTZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOTZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IJOLSTZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IJOLSZT,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOSTZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOSLTZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOSZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IJOZSLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISTLJZO,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
ISTLZJO,O,O,O,O,O,X,X,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTLZOJ,O,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTLOJZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ISTLOZJ,O,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ISTJLZO,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ISTJLOZ,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
ISTJZLO,O,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJOLZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTJOZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZLJO,O,O,O,O,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZLOJ,O,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZJLO,O,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTZJOL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISTZOLJ,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTZOJL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOLJZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTOLZJ,O,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTOJZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISTOZLJ,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOZJL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISLTJZO,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ISLTZJO,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLTZOJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ISLTOZJ,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLJTZO,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLJZTO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ISLJZOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLZTJO,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZJTO,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ISLZJOT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLZOJT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ISLOTZJ,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISLOZJT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTLZO,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJTLOZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ISJTZLO,O,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTZOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTOLZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJTOZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISJLZTO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJLZOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJZTLO,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ISJZTOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ISJZLTO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ISJZLOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISJZOLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ISJOTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ISJOLTZ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,X,X,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTJLO,X,X,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTJOL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZTOLJ,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOJL,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLTOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLJTO,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ISZLJOT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZLOJT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJTLO,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISZJTOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISZJLTO,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ISZJLOT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ISZJOLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISZOLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLJT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ISZOJLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTLZJ,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTJZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOTZLJ,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTZJL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOLTJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOLTZJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOJTZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOJLTZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ISOZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
ISOZJLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,O,X,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O
IZTLJOS,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X
IZTLSJO,X,O,X,O,O,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTLSOJ,X,O,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTLOJS,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
IZTLOSJ,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IZTJLSO,X,O,X,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IZTJLOS,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
IZTJSLO,O,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTJSOL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTJOLS,X,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZTJOSL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTSLJO,O,O,O,O,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSLOJ,O,O,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,O,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTSJOL,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZTSOLJ,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLJS,X,O,X,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZTOJSL,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZTOSLJ,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,O,X,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,X,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,O,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZLJTOS,X,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X
IZLJSTO,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X
