sequence,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?BOhB8hB5iBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B2hB5iB3hBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B5iBXmB8mBOrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhE2g?B5iBXmB8mBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhEFc?B5iBOrB/qB8rB
TOSZIJL,O,X,X,X,X
TOSZLIJ,O,X,X,X,X
TOSZLJI,O,X,X,X,X
TOSZJIL,O,X,X,X,X
TOSZJLI,O,X,X,X,X
TOZILJS,O,O,X,X,X
TOZILSJ,O,X,X,X,X
TOZIJLS,O,O,X,X,X
TOZIJSL,O,X,X,X,X
TOZISLJ,O,X,X,X,X
TOZISJL,O,X,X,X,X
TOZLIJS,O,O,X,X,X
TOZLISJ,O,X,X,X,X
TOZLJIS,O,O,X,X,X
TOZLJSI,O,X,X,X,X
TOZLSIJ,O,X,X,X,X
TOZLSJI,O,X,X,X,X
TOZJILS,O,O,X,X,X
TOZJISL,O,X,X,X,X
TOZJLIS,O,O,X,X,X
TOZJLSI,O,X,X,X,X
TOZJSIL,O,X,X,X,X
TOZJSLI,O,X,X,X,X
TOZSILJ,O,X,X,X,X
TOZSIJL,O,X,X,X,X
TOZSLIJ,O,X,X,X,X
TOZSLJI,O,X,X,X,X
TOZSJIL,O,X,X,X,X
TOZSJLI,O,X,X,X,X
ITLJSZO,X,X,X,X,O
ITLJSOZ,X,O,X,X,X
ITLJZSO,O,X,X,X,O
ITLJZOS,O,O,X,X,X
ITLJOSZ,X,O,X,X,X
ITLJOZS,O,O,X,X,X
ITLSJZO,X,X,X,O,X
ITLSJOZ,X,O,X,X,X
ITLSZJO,O,X,O,O,X
ITLSZOJ,O,X,O,X,X
ITLSOJZ,X,O,X,X,X
ITLSOZJ,O,X,O,X,X
ITLZJSO,O,X,X,X,X
ITLZJOS,O,O,X,X,X
ITLZSJO,O,X,X,X,X
ITLZSOJ,O,X,X,X,X
ITLZOJS,O,O,X,X,X
ITLZOSJ,O,X,X,X,X
ITLOJSZ,X,O,X,X,X
ITLOJZS,O,O,X,X,X
ITLOSJZ,X,O,X,X,X
ITLOSZJ,O,X,O,X,X
ITLOZJS,O,O,X,X,X
ITLOZSJ,O,X,X,X,X
ITJLSZO,X,X,X,X,O
ITJLSOZ,X,O,X,X,X
ITJLZSO,O,X,X,X,O
ITJLZOS,O,O,X,X,X
ITJLOSZ,X,O,X,X,X
ITJLOZS,O,O,X,X,X
ITJSLZO,X,X,X,X,X
ITJSLOZ,X,O,X,X,X
ITJSZLO,X,X,X,X,X
ITJSZOL,X,X,X,X,X
ITJSOLZ,X,O,X,X,X
ITJSOZL,X,X,X,X,X
ITJZLSO,O,X,X,X,X
ITJZLOS,O,O,X,X,X
ITJZSLO,O,X,X,X,X
ITJZSOL,O,X,X,X,X
ITJZOLS,O,O,X,X,X
ITJZOSL,O,X,X,X,X
ITJOLSZ,X,O,X,X,X
ITJOLZS,O,O,X,X,X
ITJOSLZ,X,O,X,X,X
ITJOSZL,X,X,X,X,X
ITJOZLS,O,O,X,X,X
ITJOZSL,O,X,X,X,X
ITSLJZO,X,X,X,O,X
ITSLJOZ,X,O,X,X,X
ITSLZJO,O,X,O,O,X
ITSLZOJ,O,X,O,X,X
ITSLOJZ,X,O,X,X,X
ITSLOZJ,O,X,O,X,X
ITSJLZO,X,X,X,O,X
ITSJLOZ,X,O,X,X,X
ITSJZLO,X,X,X,X,X
ITSJZOL,X,X,X,X,X
ITSJOLZ,X,O,X,X,X
ITSJOZL,X,X,X,X,X
ITSZLJO,O,X,X,X,X
ITSZLOJ,O,X,X,X,X
ITSZJLO,O,X,X,X,X
ITSZJOL,O,X,X,X,X
ITSZOLJ,O,X,X,X,X
ITSZOJL,O,X,X,X,X
ITSOLJZ,X,O,X,X,X
ITSOLZJ,O,X,O,X,X
ITSOJLZ,X,O,X,X,X
ITSOJZL,X,X,X,X,X
ITSOZLJ,O,X,X,X,X
ITSOZJL,O,X,X,X,X
ITZLJSO,O,X,X,X,X
ITZLJOS,O,O,X,X,X
ITZLSJO,O,X,X,X,X
ITZLSOJ,O,X,X,X,X
ITZLOJS,O,O,X,X,X
ITZLOSJ,O,X,X,X,X
ITZJLSO,O,X,X,X,X
ITZJLOS,O,O,X,X,X
ITZJSLO,O,X,X,X,X
ITZJSOL,O,X,X,X,X
ITZJOLS,O,O,X,X,X
ITZJOSL,O,X,X,X,X
ITZSLJO,O,X,X,X,X
ITZSLOJ,O,X,X,X,X
ITZSJLO,O,X,X,X,X
ITZSJOL,O,X,X,X,X
ITZSOLJ,O,X,X,X,X
ITZSOJL,O,X,X,X,X
ITZOLJS,O,O,X,X,X
ITZOLSJ,O,X,X,X,X
ITZOJLS,O,O,X,X,X
ITZOJSL,O,X,X,X,X
ITZOSLJ,O,X,X,X,X
ITZOSJL,O,X,X,X,X
ITOLJSZ,X,O,X,X,X
ITOLJZS,O,O,X,X,X
ITOLSJZ,X,O,X,X,X
ITOLSZJ,O,X,O,X,X
ITOLZJS,O,O,X,X,X
ITOLZSJ,O,X,X,X,X
ITOJLSZ,X,O,X,X,X
ITOJLZS,O,O,X,X,X
ITOJSLZ,X,O,X,X,X
ITOJSZL,X,X,X,X,X
ITOJZLS,O,O,X,X,X
ITOJZSL,O,X,X,X,X
ITOSLJZ,X,O,X,X,X
ITOSLZJ,O,X,O,X,X
ITOSJLZ,X,O,X,X,X
ITOSJZL,X,X,X,X,X
ITOSZLJ,O,X,X,X,X
ITOSZJL,O,X,X,X,X
ITOZLJS,O,O,X,X,X
ITOZLSJ,O,X,X,X,X
ITOZJLS,O,O,X,X,X
ITOZJSL,O,X,X,X,X
ITOZSLJ,O,X,X,X,X
ITOZSJL,O,X,X,X,X
ILTJSZO,X,X,X,X,O
ILTJSOZ,X,O,X,X,X
ILTJZSO,O,X,X,X,O
ILTJZOS,O,O,X,X,X
ILTJOSZ,X,O,X,X,X
ILTJOZS,O,O,X,X,X
ILTSJZO,X,X,X,O,X
ILTSJOZ,X,O,X,X,X
ILTSZJO,O,X,O,O,X
ILTSZOJ,O,X,O,X,X
ILTSOJZ,X,O,X,X,X
ILTSOZJ,O,X,O,X,X
ILTZJSO,O,X,X,X,X
ILTZJOS,O,O,X,X,X
ILTZSJO,O,X,X,X,X
ILTZSOJ,O,X,X,X,X
ILTZOJS,O,O,X,X,X
ILTZOSJ,O,X,X,X,X
ILTOJSZ,X,O,X,X,X
ILTOJZS,O,O,X,X,X
ILTOSJZ,X,O,X,X,X
ILTOSZJ,O,X,O,X,X
ILTOZJS,O,O,X,X,X
ILTOZSJ,O,X,X,X,X
ILJTSZO,X,X,X,X,O
ILJTSOZ,X,O,X,X,X
ILJTZSO,O,X,X,X,O
ILJTZOS,O,O,X,X,X
ILJTOSZ,X,O,X,X,X
ILJTOZS,O,O,X,X,X
ILJSTZO,X,X,X,O,O
ILJSTOZ,X,X,X,X,X
ILJSZTO,X,X,O,O,O
ILJSZOT,X,X,O,O,O
ILJSOTZ,X,O,X,X,X
ILJSOZT,X,O,O,O,O
ILJZTSO,X,X,X,X,O
ILJZTOS,O,X,X,X,X
ILJZSTO,X,X,X,X,O
ILJZSOT,O,X,X,X,O
ILJZOTS,O,X,X,X,X
ILJZOST,O,O,X,X,O
ILJOTSZ,X,O,X,X,X
ILJOTZS,O,O,X,X,X
ILJOSTZ,X,O,X,X,X
ILJOSZT,X,O,O,X,O
ILJOZTS,O,X,X,X,X
ILJOZST,O,O,X,X,O
ILSTJZO,X,X,X,O,X
ILSTJOZ,X,O,X,X,X
ILSTZJO,O,X,O,O,X
ILSTZOJ,O,X,O,X,X
ILSTOJZ,X,O,X,X,X
ILSTOZJ,O,X,O,X,X
ILSJTZO,X,X,X,O,O
ILSJTOZ,X,X,X,X,X
ILSJZTO,X,X,O,O,O
ILSJZOT,X,X,O,O,O
ILSJOTZ,X,O,X,X,X
ILSJOZT,X,O,O,O,O
ILSZTJO,X,X,O,O,X
ILSZTOJ,X,X,O,X,X
ILSZJTO,X,X,O,O,X
ILSZJOT,O,X,O,O,X
ILSZOTJ,X,X,O,X,X
ILSZOJT,O,X,O,O,X
ILSOTJZ,X,O,X,X,X
ILSOTZJ,O,X,O,X,X
ILSOJTZ,X,O,X,X,X
ILSOJZT,X,O,O,O,X
ILSOZTJ,X,X,O,X,X
ILSOZJT,O,X,O,O,X
ILZTJSO,O,X,X,X,X
ILZTJOS,O,O,X,X,X
ILZTSJO,O,X,X,X,X
ILZTSOJ,O,X,X,X,X
ILZTOJS,O,O,X,X,X
ILZTOSJ,O,X,X,X,X
ILZJTSO,X,X,X,X,O
ILZJTOS,O,X,X,X,X
ILZJSTO,X,X,X,X,O
ILZJSOT,O,X,X,X,O
ILZJOTS,O,X,X,X,X
ILZJOST,O,O,X,X,O
ILZSTJO,X,X,O,O,X
ILZSTOJ,X,X,O,X,X
ILZSJTO,X,X,O,O,X
ILZSJOT,O,X,O,O,X
ILZSOTJ,X,X,O,X,X
ILZSOJT,O,X,O,O,X
ILZOTJS,O,O,X,X,X
ILZOTSJ,O,X,X,X,X
ILZOJTS,O,X,X,X,X
ILZOJST,O,O,X,X,X
ILZOSTJ,X,X,O,X,X
ILZOSJT,O,X,O,X,X
ILOTJSZ,X,O,X,X,X
ILOTJZS,O,O,X,X,X
ILOTSJZ,X,O,X,X,X
ILOTSZJ,O,X,O,X,X
ILOTZJS,O,O,X,X,X
ILOTZSJ,O,X,X,X,X
ILOJTSZ,X,O,X,X,X
ILOJTZS,O,O,X,X,X
ILOJSTZ,X,O,X,X,X
ILOJSZT,X,O,O,X,O
ILOJZTS,O,X,X,X,X
ILOJZST,O,O,X,X,O
ILOSTJZ,X,O,X,X,X
ILOSTZJ,O,X,O,X,X
ILOSJTZ,X,O,X,X,X
ILOSJZT,X,O,O,O,X
ILOSZTJ,X,X,O,X,X
ILOSZJT,O,X,O,O,X
ILOZTJS,O,O,X,X,X
ILOZTSJ,O,X,X,X,X
ILOZJTS,O,X,X,X,X
ILOZJST,O,O,X,X,X
ILOZSTJ,X,X,O,X,X
ILOZSJT,O,X,O,X,X
IJTLSZO,X,X,X,X,O
IJTLSOZ,X,O,X,X,X
IJTLZSO,O,X,X,X,O
IJTLZOS,O,O,X,X,X
IJTLOSZ,X,O,X,X,X
IJTLOZS,O,O,X,X,X
IJTSLZO,X,X,X,X,X
IJTSLOZ,X,O,X,X,X
IJTSZLO,X,X,X,X,X
IJTSZOL,X,X,X,X,X
IJTSOLZ,X,O,X,X,X
IJTSOZL,X,X,X,X,X
IJTZLSO,O,X,X,X,X
IJTZLOS,O,O,X,X,X
IJTZSLO,O,X,X,X,X
IJTZSOL,O,X,X,X,X
IJTZOLS,O,O,X,X,X
IJTZOSL,O,X,X,X,X
IJTOLSZ,X,O,X,X,X
IJTOLZS,O,O,X,X,X
IJTOSLZ,X,O,X,X,X
IJTOSZL,X,X,X,X,X
IJTOZLS,O,O,X,X,X
IJTOZSL,O,X,X,X,X
IJLTSZO,X,X,X,X,O
IJLTSOZ,X,O,X,X,X
IJLTZSO,O,X,X,X,O
IJLTZOS,O,O,X,X,X
IJLTOSZ,X,O,X,X,X
IJLTOZS,O,O,X,X,X
IJLSTZO,X,X,X,O,O
IJLSTOZ,X,X,X,X,X
IJLSZTO,X,X,O,O,O
IJLSZOT,X,X,O,O,O
IJLSOTZ,X,O,X,X,X
IJLSOZT,X,O,O,O,O
IJLZTSO,X,X,X,X,O
IJLZTOS,O,X,X,X,X
IJLZSTO,X,X,X,X,O
IJLZSOT,O,X,X,X,O
IJLZOTS,O,X,X,X,X
IJLZOST,O,O,X,X,O
IJLOTSZ,X,O,X,X,X
IJLOTZS,O,O,X,X,X
IJLOSTZ,X,O,X,X,X
IJLOSZT,X,O,O,X,O
IJLOZTS,O,X,X,X,X
IJLOZST,O,O,X,X,O
IJSTLZO,X,X,X,O,X
IJSTLOZ,X,X,X,X,X
IJSTZLO,X,X,X,X,X
IJSTZOL,X,X,X,X,X
IJSTOLZ,X,X,X,X,X
IJSTOZL,X,X,X,X,X
IJSLTZO,X,X,X,O,O
IJSLTOZ,X,X,X,X,X
IJSLZTO,X,X,O,O,O
IJSLZOT,X,X,O,O,O
IJSLOTZ,X,O,X,X,X
IJSLOZT,X,O,O,O,O
IJSZTLO,X,X,X,X,X
IJSZTOL,X,X,X,X,X
IJSZLTO,X,X,X,O,X
IJSZLOT,X,X,X,O,X
IJSZOTL,X,X,X,X,X
IJSZOLT,X,X,X,X,X
IJSOTLZ,X,X,X,X,X
IJSOTZL,X,X,X,X,X
IJSOLTZ,X,O,X,X,X
IJSOLZT,X,O,O,O,X
IJSOZTL,X,X,X,X,X
IJSOZLT,X,X,X,X,X
IJZTLSO,X,X,X,X,X
IJZTLOS,O,X,X,X,X
IJZTSLO,X,X,X,X,X
IJZTSOL,X,X,X,X,X
IJZTOLS,O,X,X,X,X
IJZTOSL,X,X,X,X,X
IJZLTSO,X,X,X,X,O
IJZLTOS,O,X,X,X,X
IJZLSTO,X,X,X,X,O
IJZLSOT,O,X,X,X,O
IJZLOTS,O,X,X,X,X
IJZLOST,O,O,X,X,O
IJZSTLO,X,X,X,X,X
IJZSTOL,X,X,X,X,X
IJZSLTO,X,X,X,X,X
IJZSLOT,O,X,X,X,X
IJZSOTL,X,X,X,X,X
IJZSOLT,O,X,X,X,X
IJZOTLS,O,X,X,X,X
IJZOTSL,X,X,X,X,X
IJZOLTS,O,X,X,X,X
IJZOLST,O,O,X,X,X
IJZOSTL,X,X,X,X,X
IJZOSLT,O,X,X,X,X
IJOTLSZ,X,O,X,X,X
IJOTLZS,O,O,X,X,X
IJOTSLZ,X,O,X,X,X
IJOTSZL,X,X,X,X,X
IJOTZLS,O,O,X,X,X
IJOTZSL,O,X,X,X,X
IJOLTSZ,X,O,X,X,X
IJOLTZS,O,O,X,X,X
IJOLSTZ,X,O,X,X,X
IJOLSZT,X,O,O,X,O
IJOLZTS,O,X,X,X,X
IJOLZST,O,O,X,X,O
IJOSTLZ,X,X,X,X,X
IJOSTZL,X,X,X,X,X
IJOSLTZ,X,O,X,X,X
IJOSLZT,X,O,O,X,X
IJOSZTL,X,X,X,X,X
IJOSZLT,X,X,X,X,X
IJOZTLS,O,X,X,X,X
IJOZTSL,X,X,X,X,X
IJOZLTS,O,X,X,X,X
IJOZLST,O,O,X,X,X
IJOZSTL,X,X,X,X,X
IJOZSLT,O,X,X,X,X
ISTLJZO,X,X,X,O,X
ISTLJOZ,X,O,X,X,X
ISTLZJO,O,X,O,O,X
ISTLZOJ,O,X,O,X,X
ISTLOJZ,X,O,X,X,X
ISTLOZJ,O,X,O,X,X
ISTJLZO,X,X,X,O,X
ISTJLOZ,X,O,X,X,X
ISTJZLO,X,X,X,X,X
ISTJZOL,X,X,X,X,X
ISTJOLZ,X,O,X,X,X
ISTJOZL,X,X,X,X,X
ISTZLJO,O,X,X,X,X
ISTZLOJ,O,X,X,X,X
ISTZJLO,O,X,X,X,X
ISTZJOL,O,X,X,X,X
ISTZOLJ,O,X,X,X,X
ISTZOJL,O,X,X,X,X
ISTOLJZ,X,O,X,X,X
ISTOLZJ,O,X,O,X,X
ISTOJLZ,X,O,X,X,X
ISTOJZL,X,X,X,X,X
ISTOZLJ,O,X,X,X,X
ISTOZJL,O,X,X,X,X
ISLTJZO,X,X,X,O,X
ISLTJOZ,X,O,X,X,X
ISLTZJO,O,X,O,O,X
ISLTZOJ,O,X,O,X,X
ISLTOJZ,X,O,X,X,X
ISLTOZJ,O,X,O,X,X
ISLJTZO,X,X,X,O,O
ISLJTOZ,X,X,X,X,X
ISLJZTO,X,X,O,O,O
ISLJZOT,X,X,O,O,O
ISLJOTZ,X,O,X,X,X
ISLJOZT,X,O,O,O,O
ISLZTJO,X,X,O,O,X
ISLZTOJ,X,X,O,X,X
ISLZJTO,X,X,O,O,X
ISLZJOT,O,X,O,O,X
ISLZOTJ,X,X,O,X,X
ISLZOJT,O,X,O,O,X
ISLOTJZ,X,O,X,X,X
ISLOTZJ,O,X,O,X,X
ISLOJTZ,X,O,X,X,X
ISLOJZT,X,O,O,O,X
ISLOZTJ,X,X,O,X,X
ISLOZJT,O,X,O,O,X
ISJTLZO,X,X,X,O,X
ISJTLOZ,X,X,X,X,X
ISJTZLO,X,X,X,X,X
ISJTZOL,X,X,X,X,X
ISJTOLZ,X,X,X,X,X
ISJTOZL,X,X,X,X,X
ISJLTZO,X,X,X,O,O
ISJLTOZ,X,X,X,X,X
ISJLZTO,X,X,O,O,O
ISJLZOT,X,X,O,O,O
ISJLOTZ,X,O,X,X,X
ISJLOZT,X,O,O,O,O
ISJZTLO,X,X,X,X,X
ISJZTOL,X,X,X,X,X
ISJZLTO,X,X,X,O,X
ISJZLOT,X,X,X,O,X
ISJZOTL,X,X,X,X,X
ISJZOLT,X,X,X,X,X
ISJOTLZ,X,X,X,X,X
ISJOTZL,X,X,X,X,X
ISJOLTZ,X,O,X,X,X
ISJOLZT,X,O,O,O,X
ISJOZTL,X,X,X,X,X
ISJOZLT,X,X,X,X,X
ISZTLJO,X,X,X,X,X
ISZTLOJ,X,X,X,X,X
ISZTJLO,X,X,X,X,X
ISZTJOL,X,X,X,X,X
ISZTOLJ,X,X,X,X,X
ISZTOJL,X,X,X,X,X
ISZLTJO,X,X,O,O,X
ISZLTOJ,X,X,O,X,X
ISZLJTO,X,X,O,O,X
ISZLJOT,O,X,O,O,X
ISZLOTJ,X,X,O,X,X
ISZLOJT,O,X,O,O,X
ISZJTLO,X,X,X,X,X
ISZJTOL,X,X,X,X,X
ISZJLTO,X,X,X,O,X
ISZJLOT,O,X,X,O,X
ISZJOTL,X,X,X,X,X
ISZJOLT,O,X,X,X,X
ISZOTLJ,X,X,X,X,X
ISZOTJL,X,X,X,X,X
ISZOLTJ,X,X,O,X,X
ISZOLJT,O,X,O,X,X
ISZOJTL,X,X,X,X,X
ISZOJLT,O,X,X,X,X
ISOTLJZ,X,O,X,X,X
ISOTLZJ,O,X,O,X,X
ISOTJLZ,X,O,X,X,X
ISOTJZL,X,X,X,X,X
ISOTZLJ,O,X,X,X,X
ISOTZJL,O,X,X,X,X
ISOLTJZ,X,O,X,X,X
ISOLTZJ,O,X,O,X,X
ISOLJTZ,X,O,X,X,X
ISOLJZT,X,O,O,O,X
ISOLZTJ,X,X,O,X,X
ISOLZJT,O,X,O,O,X
ISOJTLZ,X,X,X,X,X
ISOJTZL,X,X,X,X,X
ISOJLTZ,X,O,X,X,X
ISOJLZT,X,O,O,O,X
ISOJZTL,X,X,X,X,X
ISOJZLT,X,X,X,X,X
ISOZTLJ,X,X,X,X,X
ISOZTJL,X,X,X,X,X
ISOZLTJ,X,X,O,X,X
ISOZLJT,O,X,O,X,X
ISOZJTL,X,X,X,X,X
ISOZJLT,O,X,X,X,X
IZTLJSO,O,X,X,X,X
IZTLJOS,O,O,X,X,X
IZTLSJO,O,X,X,X,X
IZTLSOJ,O,X,X,X,X
IZTLOJS,O,O,X,X,X
IZTLOSJ,O,X,X,X,X
IZTJLSO,O,X,X,X,X
IZTJLOS,O,O,X,X,X
IZTJSLO,O,X,X,X,X
IZTJSOL,O,X,X,X,X
IZTJOLS,O,O,X,X,X
IZTJOSL,O,X,X,X,X
IZTSLJO,O,X,X,X,X
IZTSLOJ,O,X,X,X,X
IZTSJLO,O,X,X,X,X
IZTSJOL,O,X,X,X,X
IZTSOLJ,O,X,X,X,X
IZTSOJL,O,X,X,X,X
IZTOLJS,O,O,X,X,X
IZTOLSJ,O,X,X,X,X
IZTOJLS,O,O,X,X,X
IZTOJSL,O,X,X,X,X
IZTOSLJ,O,X,X,X,X
IZTOSJL,O,X,X,X,X
IZLTJSO,O,X,X,X,X
IZLTJOS,O,O,X,X,X
IZLTSJO,O,X,X,X,X
IZLTSOJ,O,X,X,X,X
IZLTOJS,O,O,X,X,X
IZLTOSJ,O,X,X,X,X
IZLJTSO,X,X,X,X,O
IZLJTOS,O,X,X,X,X
IZLJSTO,X,X,X,X,O
IZLJSOT,O,X,X,X,O
IZLJOTS,O,X,X,X,X
IZLJOST,O,O,X,X,O
IZLSTJO,X,X,O,O,X
IZLSTOJ,X,X,O,X,X
IZLSJTO,X,X,O,O,X
IZLSJOT,O,X,O,O,X
IZLSOTJ,X,X,O,X,X
IZLSOJT,O,X,O,O,X
IZLOTJS,O,O,X,X,X
IZLOTSJ,O,X,X,X,X
IZLOJTS,O,X,X,X,X
IZLOJST,O,O,X,X,X
IZLOSTJ,X,X,O,X,X
IZLOSJT,O,X,O,X,X
IZJTLSO,X,X,X,X,X
IZJTLOS,O,X,X,X,X
IZJTSLO,X,X,X,X,X
IZJTSOL,X,X,X,X,X
IZJTOLS,O,X,X,X,X
IZJTOSL,X,X,X,X,X
IZJLTSO,X,X,X,X,O
IZJLTOS,O,X,X,X,X
IZJLSTO,X,X,X,X,O
IZJLSOT,O,X,X,X,O
IZJLOTS,O,X,X,X,X
IZJLOST,O,O,X,X,O
IZJSTLO,X,X,X,X,X
IZJSTOL,X,X,X,X,X
IZJSLTO,X,X,X,X,X
IZJSLOT,O,X,X,X,X
IZJSOTL,X,X,X,X,X
IZJSOLT,O,X,X,X,X
IZJOTLS,O,X,X,X,X
IZJOTSL,X,X,X,X,X
IZJOLTS,O,X,X,X,X
IZJOLST,O,O,X,X,X
IZJOSTL,X,X,X,X,X
IZJOSLT,O,X,X,X,X
IZSTLJO,X,X,X,X,X
IZSTLOJ,X,X,X,X,X
IZSTJLO,X,X,X,X,X
IZSTJOL,X,X,X,X,X
IZSTOLJ,X,X,X,X,X
IZSTOJL,X,X,X,X,X
IZSLTJO,X,X,O,O,X
IZSLTOJ,X,X,O,X,X
IZSLJTO,X,X,O,O,X
IZSLJOT,O,X,O,O,X
IZSLOTJ,X,X,O,X,X
IZSLOJT,O,X,O,O,X
IZSJTLO,X,X,X,X,X
IZSJTOL,X,X,X,X,X
IZSJLTO,X,X,X,O,X
IZSJLOT,O,X,X,O,X
IZSJOTL,X,X,X,X,X
IZSJOLT,O,X,X,X,X
IZSOTLJ,X,X,X,X,X
IZSOTJL,X,X,X,X,X
IZSOLTJ,X,X,O,X,X
IZSOLJT,O,X,O,X,X
IZSOJTL,X,X,X,X,X
IZSOJLT,O,X,X,X,X
IZOTLJS,O,O,X,X,X
IZOTLSJ,O,X,X,X,X
IZOTJLS,O,O,X,X,X
IZOTJSL,O,X,X,X,X
IZOTSLJ,O,X,X,X,X
IZOTSJL,O,X,X,X,X
IZOLTJS,O,O,X,X,X
IZOLTSJ,O,X,X,X,X
IZOLJTS,O,X,X,X,X
IZOLJST,O,O,X,X,X
IZOLSTJ,X,X,O,X,X
IZOLSJT,O,X,O,X,X
IZOJTLS,O,X,X,X,X
IZOJTSL,X,X,X,X,X
IZOJLTS,O,X,X,X,X
IZOJLST,O,O,X,X,X
IZOJSTL,X,X,X,X,X
IZOJSLT,O,X,X,X,X
IZOSTLJ,X,X,X,X,X
IZOSTJL,X,X,X,X,X
IZOSLTJ,X,X,O,X,X
IZOSLJT,O,X,O,X,X
IZOSJTL,X,X,X,X,X
IZOSJLT,O,X,X,X,X
IOTLJSZ,X,O,X,X,X
IOTLJZS,O,O,X,X,X
IOTLSJZ,X,O,X,X,X
IOTLSZJ,O,X,O,X,X
IOTLZJS,O,O,X,X,X
IOTLZSJ,O,X,X,X,X
IOTJLSZ,X,O,X,X,X
IOTJLZS,O,O,X,X,X
IOTJSLZ,X,O,X,X,X
IOTJSZL,X,X,X,X,X
IOTJZLS,O,O,X,X,X
IOTJZSL,O,X,X,X,X
IOTSLJZ,X,O,X,X,X
IOTSLZJ,O,X,O,X,X
IOTSJLZ,X,O,X,X,X
IOTSJZL,X,X,X,X,X
IOTSZLJ,O,X,X,X,X
IOTSZJL,O,X,X,X,X
IOTZLJS,O,O,X,X,X
IOTZLSJ,O,X,X,X,X
IOTZJLS,O,O,X,X,X
IOTZJSL,O,X,X,X,X
IOTZSLJ,O,X,X,X,X
IOTZSJL,O,X,X,X,X
IOLTJSZ,X,O,X,X,X
IOLTJZS,O,O,X,X,X
IOLTSJZ,X,O,X,X,X
IOLTSZJ,O,X,O,X,X
IOLTZJS,O,O,X,X,X
IOLTZSJ,O,X,X,X,X
IOLJTSZ,X,O,X,X,X
IOLJTZS,O,O,X,X,X
IOLJSTZ,X,O,X,X,X
IOLJSZT,X,O,O,X,O
IOLJZTS,O,X,X,X,X
IOLJZST,O,O,X,X,O
IOLSTJZ,X,O,X,X,X
IOLSTZJ,O,X,O,X,X
IOLSJTZ,X,O,X,X,X
IOLSJZT,X,O,O,O,X
IOLSZTJ,X,X,O,X,X
IOLSZJT,O,X,O,O,X
IOLZTJS,O,O,X,X,X
IOLZTSJ,O,X,X,X,X
IOLZJTS,O,X,X,X,X
IOLZJST,O,O,X,X,X
IOLZSTJ,X,X,O,X,X
IOLZSJT,O,X,O,X,X
IOJTLSZ,X,O,X,X,X
IOJTLZS,O,O,X,X,X
IOJTSLZ,X,O,X,X,X
IOJTSZL,X,X,X,X,X
IOJTZLS,O,O,X,X,X
IOJTZSL,O,X,X,X,X
IOJLTSZ,X,O,X,X,X
IOJLTZS,O,O,X,X,X
IOJLSTZ,X,O,X,X,X
IOJLSZT,X,O,O,X,O
IOJLZTS,O,X,X,X,X
IOJLZST,O,O,X,X,O
IOJSTLZ,X,X,X,X,X
IOJSTZL,X,X,X,X,X
IOJSLTZ,X,O,X,X,X
IOJSLZT,X,O,O,X,X
IOJSZTL,X,X,X,X,X
IOJSZLT,X,X,X,X,X
IOJZTLS,O,X,X,X,X
IOJZTSL,X,X,X,X,X
IOJZLTS,O,X,X,X,X
IOJZLST,O,O,X,X,X
IOJZSTL,X,X,X,X,X
IOJZSLT,O,X,X,X,X
IOSTLJZ,X,O,X,X,X
IOSTLZJ,O,X,O,X,X
IOSTJLZ,X,O,X,X,X
IOSTJZL,X,X,X,X,X
IOSTZLJ,O,X,X,X,X
IOSTZJL,O,X,X,X,X
IOSLTJZ,X,O,X,X,X
IOSLTZJ,O,X,O,X,X
IOSLJTZ,X,O,X,X,X
IOSLJZT,X,O,O,O,X
IOSLZTJ,X,X,O,X,X
IOSLZJT,O,X,O,O,X
IOSJTLZ,X,X,X,X,X
IOSJTZL,X,X,X,X,X
IOSJLTZ,X,O,X,X,X
IOSJLZT,X,O,O,O,X
IOSJZTL,X,X,X,X,X
IOSJZLT,X,X,X,X,X
IOSZTLJ,X,X,X,X,X
IOSZTJL,X,X,X,X,X
IOSZLTJ,X,X,O,X,X
IOSZLJT,O,X,O,X,X
IOSZJTL,X,X,X,X,X
IOSZJLT,O,X,X,X,X
IOZTLJS,O,O,X,X,X
IOZTLSJ,O,X,X,X,X
IOZTJLS,O,O,X,X,X
IOZTJSL,O,X,X,X,X
IOZTSLJ,O,X,X,X,X
IOZTSJL,O,X,X,X,X
IOZLTJS,O,O,X,X,X
IOZLTSJ,O,X,X,X,X
IOZLJTS,O,X,X,X,X
IOZLJST,O,O,X,X,X
IOZLSTJ,X,X,O,X,X
IOZLSJT,O,X,O,X,X
IOZJTLS,O,X,X,X,X
IOZJTSL,X,X,X,X,X
IOZJLTS,O,X,X,X,X
IOZJLST,O,O,X,X,X
IOZJSTL,X,X,X,X,X
IOZJSLT,O,X,X,X,X
IOZSTLJ,X,X,X,X,X
IOZSTJL,X,X,X,X,X
IOZSLTJ,X,X,O,X,X
IOZSLJT,O,X,O,X,X
IOZSJTL,X,X,X,X,X
IOZSJLT,O,X,X,X,X
