sequence,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?BOhB8hB5iBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B2hB5iB3hBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhETb?B5iBXmB8mBOrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhE2g?B5iBXmB8mBFrB,v115@7gC8GeC8AeB8BeA8AeE8CeA8AeF8AeE8Je6/IvhEFc?B5iBOrB/qB8rB
TLJZOIS,O,O,X,X,X
TLJZOSI,O,X,X,X,X
TLJOISZ,X,O,X,X,X
TLJOIZS,O,O,X,X,X
TLJOSIZ,X,O,X,X,X
TLJOSZI,X,X,X,X,X
TLJOZIS,O,O,X,X,X
TLJOZSI,O,X,X,X,X
TLSIJZO,X,X,X,O,X
TLSIJOZ,X,O,X,X,X
TLSIZJO,O,X,O,O,X
TLSIZOJ,O,X,O,X,X
TLSIOJZ,X,O,X,X,X
TLSIOZJ,O,X,O,X,X
TLSJIZO,X,X,X,O,X
TLSJIOZ,X,O,X,X,X
TLSJZIO,X,X,X,X,X
TLSJZOI,X,X,X,X,X
TLSJOIZ,X,O,X,X,X
TLSJOZI,X,X,X,X,X
TLSZIJO,O,X,X,X,X
TLSZIOJ,O,X,X,X,X
TLSZJIO,O,X,X,X,X
TLSZJOI,O,X,X,X,X
TLSZOIJ,O,X,X,X,X
TLSZOJI,O,X,X,X,X
TLSOIJZ,X,O,X,X,X
TLSOIZJ,O,X,O,X,X
TLSOJIZ,X,O,X,X,X
TLSOJZI,X,X,X,X,X
TLSOZIJ,O,X,X,X,X
TLSOZJI,O,X,X,X,X
TLZIJSO,O,X,X,X,X
TLZIJOS,O,O,X,X,X
TLZISJO,O,X,X,X,X
TLZISOJ,O,X,X,X,X
TLZIOJS,O,O,X,X,X
TLZIOSJ,O,X,X,X,X
TLZJISO,O,X,X,X,X
TLZJIOS,O,O,X,X,X
TLZJSIO,O,X,X,X,X
TLZJSOI,O,X,X,X,X
TLZJOIS,O,O,X,X,X
TLZJOSI,O,X,X,X,X
TLZSIJO,O,X,X,X,X
TLZSIOJ,O,X,X,X,X
TLZSJIO,O,X,X,X,X
TLZSJOI,O,X,X,X,X
TLZSOIJ,O,X,X,X,X
TLZSOJI,O,X,X,X,X
TLZOIJS,O,O,X,X,X
TLZOISJ,O,X,X,X,X
TLZOJIS,O,O,X,X,X
TLZOJSI,O,X,X,X,X
TLZOSIJ,O,X,X,X,X
TLZOSJI,O,X,X,X,X
TLOIJSZ,X,O,X,X,X
TLOIJZS,O,O,X,X,X
TLOISJZ,X,O,X,X,X
TLOISZJ,O,X,O,X,X
TLOIZJS,O,O,X,X,X
TLOIZSJ,O,X,X,X,X
TLOJISZ,X,O,X,X,X
TLOJIZS,O,O,X,X,X
TLOJSIZ,X,O,X,X,X
TLOJSZI,X,X,X,X,X
TLOJZIS,O,O,X,X,X
TLOJZSI,O,X,X,X,X
TLOSIJZ,X,O,X,X,X
TLOSIZJ,O,X,O,X,X
TLOSJIZ,X,O,X,X,X
TLOSJZI,X,X,X,X,X
TLOSZIJ,O,X,X,X,X
TLOSZJI,O,X,X,X,X
TLOZIJS,O,O,X,X,X
TLOZISJ,O,X,X,X,X
TLOZJIS,O,O,X,X,X
TLOZJSI,O,X,X,X,X
TLOZSIJ,O,X,X,X,X
TLOZSJI,O,X,X,X,X
TJILSZO,X,X,X,X,O
TJILSOZ,X,O,X,X,X
TJILZSO,O,X,X,X,O
TJILZOS,O,O,X,X,X
TJILOSZ,X,O,X,X,X
TJILOZS,O,O,X,X,X
TJISLZO,X,X,X,X,X
TJISLOZ,X,O,X,X,X
TJISZLO,X,X,X,X,X
TJISZOL,X,X,X,X,X
TJISOLZ,X,O,X,X,X
TJISOZL,X,X,X,X,X
TJIZLSO,O,X,X,X,X
TJIZLOS,O,O,X,X,X
TJIZSLO,O,X,X,X,X
TJIZSOL,O,X,X,X,X
TJIZOLS,O,O,X,X,X
