sequence,v115@IhA8HeB8AeD8CeG8AeB8Je3BJvhEicB+oBMlBzaBJa?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBilBshBXcBza?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBalB3hBsgBzV?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEThBPdBqNBMlBJa?B,v115@IhA8HeB8AeD8CeG8AeB8JeJ6IvhEuaBUhBvnBToBSj?B,v115@IhA8HeB8AeD8CeG8AeB8JeTIJvhEvnBUhBuaBJaBKL?B
TLJSOZI,X,O,O,X,X,X
TLJZISO,X,O,O,X,X,X
TLJZIOS,X,O,O,X,X,X
TLJZSIO,X,O,O,X,X,X
TLJZSOI,X,O,O,X,X,X
TLJZOIS,X,O,O,X,X,X
TLJZOSI,X,O,O,X,X,X
TLJOISZ,X,O,O,X,X,X
TLJOIZS,X,O,O,X,X,X
TLJOSIZ,X,O,O,X,X,X
TLJOSZI,X,O,O,X,X,X
TLJOZIS,X,O,O,X,X,X
TLJOZSI,X,O,O,X,X,X
TLSIJZO,X,O,O,X,X,X
TLSIJOZ,X,O,O,X,X,X
TLSIZJO,X,O,O,X,X,X
TLSIZOJ,X,O,O,X,X,X
TLSIOJZ,X,O,O,X,X,X
TLSIOZJ,X,O,O,X,X,X
TLSJIZO,X,O,O,X,X,X
TLSJIOZ,X,O,O,X,X,X
TLSJZIO,X,O,O,X,X,X
TLSJZOI,X,O,O,X,X,X
TLSJOIZ,X,O,O,X,X,X
TLSJOZI,X,O,O,X,X,X
TLSZIJO,X,O,O,X,X,X
TLSZIOJ,X,O,O,X,X,X
TLSZJIO,X,O,O,X,X,X
TLSZJOI,X,O,O,X,X,X
TLSZOIJ,X,O,O,X,X,X
TLSZOJI,X,O,O,X,X,X
TLSOIJZ,X,O,O,X,X,X
TLSOIZJ,X,O,O,X,X,X
TLSOJIZ,X,O,O,X,X,X
TLSOJZI,X,O,O,X,X,X
TLSOZIJ,X,O,O,X,X,X
TLSOZJI,X,O,O,X,X,X
TLZIJSO,X,O,O,X,X,X
TLZIJOS,X,O,O,X,X,X
TLZISJO,X,O,O,X,X,X
TLZISOJ,X,O,O,X,X,X
TLZIOJS,X,O,O,X,X,X
TLZIOSJ,X,O,O,X,X,X
TLZJISO,X,O,O,X,X,X
TLZJIOS,X,O,O,X,X,X
TLZJSIO,X,O,O,X,X,X
TLZJSOI,X,O,O,X,X,X
TLZJOIS,X,O,O,X,X,X
TLZJOSI,X,O,O,X,X,X
TLZSIJO,X,O,O,X,X,X
TLZSIOJ,X,O,O,X,X,X
TLZSJIO,X,O,O,X,X,X
TLZSJOI,X,O,O,X,X,X
TLZSOIJ,X,O,O,X,X,X
TLZSOJI,X,O,O,X,X,X
TLZOIJS,X,O,O,X,X,X
TLZOISJ,X,O,O,X,X,X
TLZOJIS,X,O,O,X,X,X
TLZOJSI,X,O,O,X,X,X
TLZOSIJ,X,O,O,X,X,X
TLZOSJI,X,O,O,X,X,X
TLOIJSZ,X,O,O,X,X,X
TLOIJZS,X,O,O,X,X,X
TLOISJZ,X,O,O,X,X,X
TLOISZJ,X,O,O,X,X,X
TLOIZJS,X,O,O,X,X,X
TLOIZSJ,X,O,O,X,X,X
TLOJISZ,X,O,O,X,X,X
TLOJIZS,X,O,O,X,X,X
TLOJSIZ,X,O,O,X,X,X
TLOJSZI,X,O,O,X,X,X
TLOJZIS,X,O,O,X,X,X
TLOJZSI,X,O,O,X,X,X
TLOSIJZ,X,O,O,X,X,X
TLOSIZJ,X,O,O,X,X,X
TLOSJIZ,X,O,O,X,X,X
TLOSJZI,X,O,O,X,X,X
