sequence,v115@IhA8HeB8AeD8CeG8AeB8Je3BJvhEicB+oBMlBzaBJa?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBilBshBXcBza?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEJaBalB3hBsgBzV?B,v115@IhA8HeB8AeD8CeG8AeB8Je+IJvhEThBPdBqNBMlBJa?B,v115@IhA8HeB8AeD8CeG8AeB8JeJ6IvhEuaBUhBvnBToBSj?B,v115@IhA8HeB8AeD8CeG8AeB8JeTIJvhEvnBUhBuaBJaBKL?B
TOLJZSI,X,O,X,X,X,X
TOLSIJZ,X,O,X,X,X,X
TOLSIZJ,X,O,X,X,X,X
TOLSJIZ,X,O,X,X,X,X
TOLSJZI,X,O,X,X,X,X
TOLSZIJ,X,O,X,X,X,X
TOLSZJI,X,O,X,X,X,X
TOLZIJS,X,O,X,X,X,X
TOLZISJ,X,O,X,X,X,X
TOLZJIS,X,O,X,X,X,X
TOLZJSI,X,O,X,X,X,X
TOLZSIJ,X,O,X,X,X,X
TOLZSJI,X,O,X,X,X,X
TOJILSZ,X,O,X,X,X,O
TOJILZS,X,O,X,X,X,O
TOJISLZ,X,X,X,O,O,O
TOJISZL,X,X,X,O,O,O
TOJIZLS,X,O,X,X,X,O
TOJIZSL,X,X,X,O,O,O
TOJLISZ,X,O,X,X,X,X
TOJLIZS,X,O,X,X,X,X
TOJLSIZ,X,O,X,X,X,X
TOJLSZI,X,O,X,X,X,X
TOJLZIS,X,O,X,X,X,X
TOJLZSI,X,O,X,X,X,X
TOJSILZ,X,X,X,O,O,O
TOJSIZL,X,X,X,O,O,O
TOJSLIZ,X,X,X,O,O,X
TOJSLZI,X,X,X,O,O,X
TOJSZIL,X,X,X,O,O,O
TOJSZLI,X,X,X,O,O,X
TOJZILS,X,O,X,X,X,O
TOJZISL,X,X,X,O,O,O
TOJZLIS,X,O,X,X,X,X
TOJZLSI,X,O,X,X,X,X
TOJZSIL,X,X,X,O,O,O
TOJZSLI,X,X,X,O,O,X
TOSILJZ,X,X,X,O,O,O
TOSILZJ,X,X,X,O,O,O
TOSIJLZ,X,X,X,O,O,O
TOSIJZL,X,X,X,O,O,O
TOSIZLJ,X,X,X,O,O,O
TOSIZJL,X,X,X,O,O,O
TOSLIJZ,X,X,X,O,O,X
TOSLIZJ,X,X,X,O,O,X
TOSLJIZ,X,X,X,O,O,X
TOSLJZI,X,X,X,O,O,X
TOSLZIJ,X,X,X,O,O,X
TOSLZJI,X,X,X,O,O,X
TOSJILZ,X,X,X,O,O,O
TOSJIZL,X,X,X,O,O,O
TOSJLIZ,X,X,X,O,O,X
TOSJLZI,X,X,X,O,O,X
TOSJZIL,X,X,X,O,O,O
TOSJZLI,X,X,X,O,O,X
TOSZILJ,X,X,X,O,O,O
TOSZIJL,X,X,X,O,O,O
TOSZLIJ,X,X,X,O,O,X
TOSZLJI,X,X,X,O,O,X
TOSZJIL,X,X,X,O,O,O
TOSZJLI,X,X,X,O,O,X
TOZILJS,X,O,X,X,X,O
TOZILSJ,X,O,X,X,X,O
TOZIJLS,X,O,X,X,X,O
TOZIJSL,X,X,X,O,O,O
TOZISLJ,X,X,X,O,O,O
TOZISJL,X,X,X,O,O,O
TOZLIJS,X,O,X,X,X,X
TOZLISJ,X,O,X,X,X,X
TOZLJIS,X,O,X,X,X,X
TOZLJSI,X,O,X,X,X,X
TOZLSIJ,X,O,X,X,X,X
TOZLSJI,X,O,X,X,X,X
TOZJILS,X,O,X,X,X,O
TOZJISL,X,X,X,O,O,O
TOZJLIS,X,O,X,X,X,X
TOZJLSI,X,O,X,X,X,X
TOZJSIL,X,X,X,O,O,O
TOZJSLI,X,X,X,O,O,X
TOZSILJ,X,X,X,O,O,O
TOZSIJL,X,X,X,O,O,O
TOZSLIJ,X,X,X,O,O,X
TOZSLJI,X,X,X,O,O,X
TOZSJIL,X,X,X,O,O,O
TOZSJLI,X,X,X,O,O,X
ITLJSZO,X,O,O,X,X,O
ITLJSOZ,X,O,O,X,X,O
ITLJZSO,X,O,O,X,X,O
ITLJZOS,X,O,O,X,X,O
ITLJOSZ,X,O,O,X,X,O
ITLJOZS,X,O,O,X,X,O
ITLSJZO,X,O,O,X,X,O
ITLSJOZ,X,O,O,X,X,O
ITLSZJO,X,O,O,X,X,O
ITLSZOJ,X,O,O,X,X,O
ITLSOJZ,X,O,O,X,X,O
ITLSOZJ,X,O,O,X,X,O
ITLZJSO,X,O,O,X,X,O
ITLZJOS,X,O,O,X,X,O
ITLZSJO,X,O,O,X,X,O
ITLZSOJ,X,O,O,X,X,O
ITLZOJS,X,O,O,X,X,O
ITLZOSJ,X,O,O,X,X,O
ITLOJSZ,X,O,O,X,X,O
ITLOJZS,X,O,O,X,X,O
ITLOSJZ,X,O,O,X,X,O
ITLOSZJ,X,O,O,X,X,O
ITLOZJS,X,O,O,X,X,O
ITLOZSJ,X,O,O,X,X,O
ITJLSZO,X,O,O,X,X,O
ITJLSOZ,X,O,O,X,X,O
ITJLZSO,X,O,O,X,X,O
ITJLZOS,X,O,O,X,X,O
ITJLOSZ,X,O,O,X,X,O
ITJLOZS,X,O,O,X,X,O
ITJSLZO,O,X,O,X,X,O
ITJSLOZ,X,X,O,X,X,O
ITJSZLO,O,X,O,X,X,O
ITJSZOL,O,X,X,X,O,O
ITJSOLZ,X,X,X,X,O,O
ITJSOZL,X,X,X,X,O,O
ITJZLSO,X,O,O,X,X,O
ITJZLOS,X,O,O,X,X,O
ITJZSLO,O,O,O,X,X,O
ITJZSOL,O,X,X,X,O,O
ITJZOLS,X,O,X,X,X,O
ITJZOSL,O,X,X,O,O,O
ITJOLSZ,X,O,X,X,X,O
ITJOLZS,X,O,X,X,X,O
ITJOSLZ,X,X,X,O,O,O
ITJOSZL,X,X,X,O,O,O
ITJOZLS,X,O,X,X,X,O
ITJOZSL,X,X,X,O,O,O
ITSLJZO,O,X,O,X,X,O
ITSLJOZ,X,X,O,X,X,O
ITSLZJO,O,X,O,X,X,O
ITSLZOJ,O,X,O,X,X,O
ITSLOJZ,X,X,O,X,X,O
ITSLOZJ,X,X,O,X,X,O
ITSJLZO,O,X,O,X,X,O
ITSJLOZ,X,X,O,X,X,O
ITSJZLO,O,X,O,X,X,O
ITSJZOL,O,X,X,X,O,O
ITSJOLZ,X,X,X,X,O,O
ITSJOZL,X,X,X,X,O,O
ITSZLJO,O,X,O,X,X,O
ITSZLOJ,O,X,O,X,X,O
ITSZJLO,O,X,O,X,X,O
ITSZJOL,O,X,X,X,O,O
ITSZOLJ,O,X,X,X,O,O
ITSZOJL,O,X,X,X,O,O
ITSOLJZ,X,X,X,X,O,O
ITSOLZJ,X,X,X,X,O,O
ITSOJLZ,X,X,X,X,O,O
ITSOJZL,X,X,X,X,O,O
ITSOZLJ,X,X,X,X,O,O
ITSOZJL,X,X,X,X,O,O
ITZLJSO,X,O,O,X,X,O
ITZLJOS,X,O,O,X,X,O
ITZLSJO,X,O,O,X,X,O
ITZLSOJ,X,O,O,X,X,O
ITZLOJS,X,O,O,X,X,O
ITZLOSJ,X,O,O,X,X,O
ITZJLSO,X,O,O,X,X,O
ITZJLOS,X,O,O,X,X,O
ITZJSLO,O,O,O,X,X,O
ITZJSOL,O,X,X,X,O,O
ITZJOLS,X,O,X,X,X,O
ITZJOSL,O,X,X,O,O,O
ITZSLJO,O,O,O,X,X,O
ITZSLOJ,O,O,O,X,X,O
ITZSJLO,O,O,O,X,X,O
ITZSJOL,O,X,X,X,O,O
ITZSOLJ,O,X,X,X,O,O
ITZSOJL,O,X,X,X,O,O
ITZOLJS,X,O,X,X,X,O
ITZOLSJ,X,O,X,X,X,O
ITZOJLS,X,O,X,X,X,O
ITZOJSL,O,X,X,O,O,O
ITZOSLJ,O,X,X,O,O,O
ITZOSJL,O,X,X,O,O,O
ITOLJSZ,X,O,X,X,X,O
ITOLJZS,X,O,X,X,X,O
ITOLSJZ,X,O,X,X,X,O
ITOLSZJ,X,O,X,X,X,O
ITOLZJS,X,O,X,X,X,O
ITOLZSJ,X,O,X,X,X,O
ITOJLSZ,X,O,X,X,X,O
ITOJLZS,X,O,X,X,X,O
ITOJSLZ,X,X,X,O,O,O
ITOJSZL,X,X,X,O,O,O
ITOJZLS,X,O,X,X,X,O
ITOJZSL,X,X,X,O,O,O
ITOSLJZ,X,X,X,O,O,O
ITOSLZJ,X,X,X,O,O,O
ITOSJLZ,X,X,X,O,O,O
ITOSJZL,X,X,X,O,O,O
ITOSZLJ,X,X,X,O,O,O
ITOSZJL,X,X,X,O,O,O
ITOZLJS,X,O,X,X,X,O
ITOZLSJ,X,O,X,X,X,O
ITOZJLS,X,O,X,X,X,O
ITOZJSL,X,X,X,O,O,O
ITOZSLJ,X,X,X,O,O,O
ITOZSJL,X,X,X,O,O,O
ILTJSZO,X,O,O,X,X,O
ILTJSOZ,X,O,O,X,X,O
ILTJZSO,X,O,O,X,X,O
ILTJZOS,X,O,O,X,X,O
ILTJOSZ,X,O,O,X,X,O
ILTJOZS,X,O,O,X,X,O
ILTSJZO,X,O,O,X,X,O
ILTSJOZ,X,O,O,X,X,O
ILTSZJO,X,O,O,X,X,O
ILTSZOJ,X,O,O,X,X,O
ILTSOJZ,X,O,O,X,X,O
ILTSOZJ,X,O,O,X,X,O
ILTZJSO,X,O,O,X,X,O
ILTZJOS,X,O,O,X,X,O
ILTZSJO,X,O,O,X,X,O
ILTZSOJ,X,O,O,X,X,O
ILTZOJS,X,O,O,X,X,O
ILTZOSJ,X,O,O,X,X,O
ILTOJSZ,X,O,O,X,X,O
ILTOJZS,X,O,O,X,X,O
ILTOSJZ,X,O,O,X,X,O
ILTOSZJ,X,O,O,X,X,O
ILTOZJS,X,O,O,X,X,O
ILTOZSJ,X,O,O,X,X,O
ILJTSZO,X,O,O,X,X,O
ILJTSOZ,X,O,O,X,X,O
ILJTZSO,X,O,O,X,X,O
ILJTZOS,X,O,O,X,X,O
ILJTOSZ,X,O,O,X,X,O
ILJTOZS,X,O,O,X,X,O
ILJSTZO,O,O,O,X,X,O
ILJSTOZ,X,O,O,X,X,O
ILJSZTO,O,O,O,X,X,O
ILJSZOT,O,O,O,X,O,O
ILJSOTZ,X,O,O,X,O,O
ILJSOZT,O,O,O,X,O,O
ILJZTSO,X,O,O,X,X,O
ILJZTOS,X,O,O,X,X,O
ILJZSTO,O,O,O,X,X,O
ILJZSOT,O,O,O,X,O,O
ILJZOTS,X,O,O,X,X,O
ILJZOST,O,O,O,O,O,O
ILJOTSZ,X,O,O,X,X,O
ILJOTZS,X,O,O,X,X,O
ILJOSTZ,X,O,O,O,O,O
ILJOSZT,X,O,O,O,O,O
ILJOZTS,X,O,O,X,X,O
ILJOZST,X,O,O,O,O,O
ILSTJZO,O,O,O,X,X,O
ILSTJOZ,X,O,O,X,X,O
ILSTZJO,O,O,O,X,X,O
ILSTZOJ,O,O,O,X,X,O
ILSTOJZ,X,O,O,X,X,O
ILSTOZJ,X,O,O,X,X,O
ILSJTZO,O,O,O,X,X,O
ILSJTOZ,X,O,O,X,X,O
ILSJZTO,O,O,O,X,X,O
ILSJZOT,O,O,O,X,O,O
ILSJOTZ,X,O,O,X,O,O
ILSJOZT,O,O,O,X,O,O
ILSZTJO,O,O,O,X,X,O
ILSZTOJ,O,O,O,X,X,O
ILSZJTO,O,O,O,X,X,O
ILSZJOT,O,O,O,X,O,O
ILSZOTJ,O,O,O,X,O,O
ILSZOJT,O,O,O,X,O,O
ILSOTJZ,X,O,O,X,O,O
ILSOTZJ,X,O,O,X,O,O
ILSOJTZ,X,O,O,X,O,O
ILSOJZT,O,O,O,X,O,O
ILSOZTJ,O,O,O,X,O,O
ILSOZJT,O,O,O,X,O,O
ILZTJSO,X,O,O,X,X,O
ILZTJOS,X,O,O,X,X,O
ILZTSJO,X,O,O,X,X,O
ILZTSOJ,X,O,O,X,X,O
ILZTOJS,X,O,O,X,X,O
ILZTOSJ,X,O,O,X,X,O
ILZJTSO,X,O,O,X,X,O
ILZJTOS,X,O,O,X,X,O
ILZJSTO,O,O,O,X,X,O
ILZJSOT,O,O,O,X,O,O
ILZJOTS,X,O,O,X,X,O
ILZJOST,O,O,O,O,O,O
ILZSTJO,O,O,O,X,X,O
ILZSTOJ,O,O,O,X,X,O
ILZSJTO,O,O,O,X,X,O
ILZSJOT,O,O,O,X,O,O
ILZSOTJ,O,O,O,X,O,O
ILZSOJT,O,O,O,X,O,O
ILZOTJS,X,O,O,X,X,O
ILZOTSJ,X,O,O,X,X,O
ILZOJTS,X,O,O,X,X,O
ILZOJST,O,O,O,O,O,O
ILZOSTJ,O,O,O,O,O,O
ILZOSJT,O,O,O,O,O,O
ILOTJSZ,X,O,O,X,X,O
ILOTJZS,X,O,O,X,X,O
ILOTSJZ,X,O,O,X,X,O
ILOTSZJ,X,O,O,X,X,O
ILOTZJS,X,O,O,X,X,O
ILOTZSJ,X,O,O,X,X,O
ILOJTSZ,X,O,O,X,X,O
ILOJTZS,X,O,O,X,X,O
ILOJSTZ,X,O,O,O,O,O
ILOJSZT,X,O,O,O,O,O
ILOJZTS,X,O,O,X,X,O
ILOJZST,X,O,O,O,O,O
ILOSTJZ,X,O,O,O,O,O
ILOSTZJ,X,O,O,O,O,O
ILOSJTZ,X,O,O,O,O,O
ILOSJZT,X,O,O,O,O,O
ILOSZTJ,X,O,O,O,O,O
ILOSZJT,X,O,O,O,O,O
ILOZTJS,X,O,O,X,X,O
ILOZTSJ,X,O,O,X,X,O
ILOZJTS,X,O,O,X,X,O
ILOZJST,X,O,O,O,O,O
ILOZSTJ,X,O,O,O,O,O
ILOZSJT,X,O,O,O,O,O
IJTLSZO,X,O,O,X,X,O
IJTLSOZ,X,O,O,X,X,O
IJTLZSO,X,O,O,X,X,O
IJTLZOS,X,O,O,X,X,O
IJTLOSZ,X,O,O,X,X,O
IJTLOZS,X,O,O,X,X,O
IJTSLZO,O,X,O,X,X,O
IJTSLOZ,X,X,O,X,X,O
IJTSZLO,O,X,O,X,X,O
IJTSZOL,O,X,X,X,O,O
IJTSOLZ,X,X,X,X,O,O
IJTSOZL,X,X,X,X,O,O
IJTZLSO,X,O,O,X,X,O
IJTZLOS,X,O,O,X,X,O
IJTZSLO,O,O,O,X,X,O
IJTZSOL,O,X,X,X,O,O
IJTZOLS,X,O,X,X,X,O
IJTZOSL,O,X,X,O,O,O
IJTOLSZ,X,O,X,X,X,O
IJTOLZS,X,O,X,X,X,O
IJTOSLZ,X,X,X,O,O,O
IJTOSZL,X,X,X,O,O,O
IJTOZLS,X,O,X,X,X,O
IJTOZSL,X,X,X,O,O,O
IJLTSZO,X,O,O,X,X,O
IJLTSOZ,X,O,O,X,X,O
IJLTZSO,X,O,O,X,X,O
IJLTZOS,X,O,O,X,X,O
IJLTOSZ,X,O,O,X,X,O
IJLTOZS,X,O,O,X,X,O
IJLSTZO,O,O,O,X,X,O
IJLSTOZ,X,O,O,X,X,O
IJLSZTO,O,O,O,X,X,O
IJLSZOT,O,O,O,X,O,O
IJLSOTZ,X,O,O,X,O,O
IJLSOZT,O,O,O,X,O,O
IJLZTSO,X,O,O,X,X,O
IJLZTOS,X,O,O,X,X,O
IJLZSTO,O,O,O,X,X,O
IJLZSOT,O,O,O,X,O,O
IJLZOTS,X,O,O,X,X,O
IJLZOST,O,O,O,O,O,O
IJLOTSZ,X,O,O,X,X,O
IJLOTZS,X,O,O,X,X,O
IJLOSTZ,X,O,O,O,O,O
IJLOSZT,X,O,O,O,O,O
IJLOZTS,X,O,O,X,X,O
IJLOZST,X,O,O,O,O,O
IJSTLZO,O,X,O,X,X,O
IJSTLOZ,X,X,O,X,X,O
IJSTZLO,O,X,O,X,X,O
IJSTZOL,O,X,X,X,O,O
IJSTOLZ,X,X,X,X,O,O
IJSTOZL,X,X,X,X,O,O
IJSLTZO,O,O,O,X,X,O
IJSLTOZ,X,O,O,X,X,O
IJSLZTO,O,O,O,X,X,O
IJSLZOT,O,O,O,X,O,O
IJSLOTZ,X,O,O,X,O,O
IJSLOZT,O,O,O,X,O,O
IJSZTLO,O,O,O,X,X,O
IJSZTOL,O,X,X,X,O,O
IJSZLTO,O,O,O,X,X,O
IJSZLOT,O,O,O,X,O,O
IJSZOTL,O,X,X,O,O,O
IJSZOLT,O,O,O,O,O,O
IJSOTLZ,X,X,X,O,O,O
IJSOTZL,X,X,X,O,O,O
IJSOLTZ,X,O,O,O,O,O
IJSOLZT,O,O,O,O,O,O
IJSOZTL,O,X,X,O,O,O
IJSOZLT,O,O,O,O,O,O
IJZTLSO,X,O,O,X,X,O
IJZTLOS,X,O,O,X,X,O
IJZTSLO,O,O,O,X,X,O
IJZTSOL,O,X,X,X,O,O
IJZTOLS,X,O,X,X,X,O
IJZTOSL,O,X,X,O,O,O
IJZLTSO,X,O,O,X,X,O
IJZLTOS,X,O,O,X,X,O
IJZLSTO,O,O,O,X,X,O
IJZLSOT,O,O,O,X,O,O
IJZLOTS,X,O,O,X,X,O
IJZLOST,O,O,O,O,O,O
IJZSTLO,O,O,O,X,X,O
IJZSTOL,O,X,X,X,O,O
IJZSLTO,O,O,O,X,X,O
IJZSLOT,O,O,O,X,O,O
IJZSOTL,O,X,X,O,O,O
IJZSOLT,O,O,O,O,O,O
IJZOTLS,X,O,X,X,X,O
IJZOTSL,O,X,X,O,O,O
IJZOLTS,X,O,O,X,X,O
IJZOLST,O,O,O,O,O,O
IJZOSTL,O,X,X,O,O,O
IJZOSLT,O,O,O,O,O,O
IJOTLSZ,X,O,X,X,X,O
IJOTLZS,X,O,X,X,X,O
IJOTSLZ,X,X,X,O,O,O
IJOTSZL,X,X,X,O,O,O
IJOTZLS,X,O,X,X,X,O
IJOTZSL,X,X,X,O,O,O
IJOLTSZ,X,O,O,X,X,O
IJOLTZS,X,O,O,X,X,O
IJOLSTZ,X,O,O,O,O,O
IJOLSZT,X,O,O,O,O,O
IJOLZTS,X,O,O,X,X,O
IJOLZST,X,O,O,O,O,O
IJOSTLZ,X,X,X,O,O,O
IJOSTZL,X,X,X,O,O,O
IJOSLTZ,X,O,O,O,O,O
IJOSLZT,O,O,O,O,O,O
IJOSZTL,O,X,X,O,O,O
IJOSZLT,O,O,O,O,O,O
IJOZTLS,X,O,X,X,X,O
IJOZTSL,O,X,X,O,O,O
IJOZLTS,X,O,O,X,X,O
IJOZLST,O,O,O,O,O,O
IJOZSTL,O,X,X,O,O,O
IJOZSLT,O,O,O,O,O,O
ISTLJZO,O,X,O,X,X,O
ISTLJOZ,X,X,O,X,X,O
ISTLZJO,O,X,O,X,X,O
ISTLZOJ,O,X,O,X,X,O
ISTLOJZ,X,X,O,X,X,O
ISTLOZJ,X,X,O,X,X,O
ISTJLZO,O,X,O,X,X,O
ISTJLOZ,X,X,O,X,X,O
ISTJZLO,O,X,O,X,X,O
ISTJZOL,O,X,X,X,O,O
ISTJOLZ,X,X,X,X,O,O
ISTJOZL,X,X,X,X,O,O
ISTZLJO,O,X,O,X,X,O
ISTZLOJ,O,X,O,X,X,O
ISTZJLO,O,X,O,X,X,O
ISTZJOL,O,X,X,X,O,O
ISTZOLJ,O,X,X,X,O,O
ISTZOJL,O,X,X,X,O,O
ISTOLJZ,X,X,X,X,O,O
ISTOLZJ,X,X,X,X,O,O
ISTOJLZ,X,X,X,X,O,O
ISTOJZL,X,X,X,X,O,O
ISTOZLJ,X,X,X,X,O,O
ISTOZJL,X,X,X,X,O,O
ISLTJZO,O,O,O,X,X,O
ISLTJOZ,X,O,O,X,X,O
ISLTZJO,O,O,O,X,X,O
ISLTZOJ,O,O,O,X,X,O
ISLTOJZ,X,O,O,X,X,O
ISLTOZJ,X,O,O,X,X,O
ISLJTZO,O,O,O,X,X,O
ISLJTOZ,X,O,O,X,X,O
ISLJZTO,O,O,O,X,X,O
ISLJZOT,O,O,O,X,O,O
ISLJOTZ,X,O,O,X,O,O
ISLJOZT,O,O,O,X,O,O
ISLZTJO,O,O,O,X,X,O
ISLZTOJ,O,O,O,X,X,O
ISLZJTO,O,O,O,X,X,O
ISLZJOT,O,O,O,X,O,O
ISLZOTJ,O,O,O,X,O,O
ISLZOJT,O,O,O,X,O,O
ISLOTJZ,X,O,O,X,O,O
ISLOTZJ,X,O,O,X,O,O
ISLOJTZ,X,O,O,X,O,O
ISLOJZT,O,O,O,X,O,O
ISLOZTJ,O,O,O,X,O,O
ISLOZJT,O,O,O,X,O,O
ISJTLZO,O,X,O,X,X,O
ISJTLOZ,X,X,O,X,X,O
ISJTZLO,O,X,O,X,X,O
ISJTZOL,O,X,X,X,O,O
ISJTOLZ,X,X,X,X,O,O
ISJTOZL,X,X,X,X,O,O
ISJLTZO,O,O,O,X,X,O
ISJLTOZ,X,O,O,X,X,O
ISJLZTO,O,O,O,X,X,O
ISJLZOT,O,O,O,X,O,O
ISJLOTZ,X,O,O,X,O,O
ISJLOZT,O,O,O,X,O,O
ISJZTLO,O,O,O,X,X,O
ISJZTOL,O,X,X,X,O,O
ISJZLTO,O,O,O,X,X,O
ISJZLOT,O,O,O,X,O,O
ISJZOTL,O,X,X,O,O,O
ISJZOLT,O,O,O,O,O,O
ISJOTLZ,X,X,X,O,O,O
ISJOTZL,X,X,X,O,O,O
ISJOLTZ,X,O,O,O,O,O
ISJOLZT,O,O,O,O,O,O
ISJOZTL,O,X,X,O,O,O
ISJOZLT,O,O,O,O,O,O
ISZTLJO,O,O,O,X,X,O
ISZTLOJ,O,O,O,X,X,O
ISZTJLO,O,O,O,X,X,O
ISZTJOL,O,X,X,X,O,O
ISZTOLJ,O,X,X,X,O,O
ISZTOJL,O,X,X,X,O,O
ISZLTJO,O,O,O,X,X,O
ISZLTOJ,O,O,O,X,X,O
ISZLJTO,O,O,O,X,X,O
ISZLJOT,O,O,O,X,O,O
ISZLOTJ,O,O,O,X,O,O
ISZLOJT,O,O,O,X,O,O
ISZJTLO,O,O,O,X,X,O
ISZJTOL,O,X,X,X,O,O
ISZJLTO,O,O,O,X,X,O
ISZJLOT,O,O,O,X,O,O
ISZJOTL,O,X,X,O,O,O
ISZJOLT,O,O,O,O,O,O
ISZOTLJ,O,X,X,O,O,O
ISZOTJL,O,X,X,O,O,O
ISZOLTJ,O,O,O,O,O,O
ISZOLJT,O,O,O,O,O,O
ISZOJTL,O,X,X,O,O,O
ISZOJLT,O,O,O,O,O,O
ISOTLJZ,X,X,X,O,O,O
ISOTLZJ,X,X,X,O,O,O
ISOTJLZ,X,X,X,O,O,O
ISOTJZL,X,X,X,O,O,O
ISOTZLJ,X,X,X,O,O,O
ISOTZJL,X,X,X,O,O,O
ISOLTJZ,X,O,O,O,O,O
ISOLTZJ,X,O,O,O,O,O
ISOLJTZ,X,O,O,O,O,O
ISOLJZT,O,O,O,O,O,O
ISOLZTJ,O,O,O,O,O,O
ISOLZJT,O,O,O,O,O,O
ISOJTLZ,X,X,X,O,O,O
ISOJTZL,X,X,X,O,O,O
ISOJLTZ,X,O,O,O,O,O
ISOJLZT,O,O,O,O,O,O
ISOJZTL,O,X,X,O,O,O
ISOJZLT,O,O,O,O,O,O
ISOZTLJ,O,X,X,O,O,O
ISOZTJL,O,X,X,O,O,O
ISOZLTJ,O,O,O,O,O,O
ISOZLJT,O,O,O,O,O,O
ISOZJTL,O,X,X,O,O,O
ISOZJLT,O,O,O,O,O,O
IZTLJSO,X,O,O,X,X,O
IZTLJOS,X,O,O,X,X,O
IZTLSJO,X,O,O,X,X,O
IZTLSOJ,X,O,O,X,X,O
IZTLOJS,X,O,O,X,X,O
IZTLOSJ,X,O,O,X,X,O
IZTJLSO,X,O,O,X,X,O
IZTJLOS,X,O,O,X,X,O
IZTJSLO,O,O,O,X,X,O
IZTJSOL,O,X,X,X,O,O
IZTJOLS,X,O,X,X,X,O
IZTJOSL,O,X,X,O,O,O
IZTSLJO,O,O,O,X,X,O
IZTSLOJ,O,O,O,X,X,O
IZTSJLO,O,O,O,X,X,O
IZTSJOL,O,X,X,X,O,O
IZTSOLJ,O,X,X,X,O,O
IZTSOJL,O,X,X,X,O,O
IZTOLJS,X,O,X,X,X,O
IZTOLSJ,X,O,X,X,X,O
IZTOJLS,X,O,X,X,X,O
IZTOJSL,O,X,X,O,O,O
IZTOSLJ,O,X,X,O,O,O
IZTOSJL,O,X,X,O,O,O
IZLTJSO,X,O,O,X,X,O
IZLTJOS,X,O,O,X,X,O
IZLTSJO,X,O,O,X,X,O
IZLTSOJ,X,O,O,X,X,O
IZLTOJS,X,O,O,X,X,O
IZLTOSJ,X,O,O,X,X,O
IZLJTSO,X,O,O,X,X,O
IZLJTOS,X,O,O,X,X,O
IZLJSTO,O,O,O,X,X,O
IZLJSOT,O,O,O,X,O,O
IZLJOTS,X,O,O,X,X,O
IZLJOST,O,O,O,O,O,O
IZLSTJO,O,O,O,X,X,O
IZLSTOJ,O,O,O,X,X,O
IZLSJTO,O,O,O,X,X,O
IZLSJOT,O,O,O,X,O,O
IZLSOTJ,O,O,O,X,O,O
IZLSOJT,O,O,O,X,O,O
IZLOTJS,X,O,O,X,X,O
IZLOTSJ,X,O,O,X,X,O
IZLOJTS,X,O,O,X,X,O
IZLOJST,O,O,O,O,O,O
IZLOSTJ,O,O,O,O,O,O
IZLOSJT,O,O,O,O,O,O
IZJTLSO,X,O,O,X,X,O
IZJTLOS,X,O,O,X,X,O
IZJTSLO,O,O,O,X,X,O
IZJTSOL,O,X,X,X,O,O
IZJTOLS,X,O,X,X,X,O
IZJTOSL,O,X,X,O,O,O
IZJLTSO,X,O,O,X,X,O
IZJLTOS,X,O,O,X,X,O
IZJLSTO,O,O,O,X,X,O
IZJLSOT,O,O,O,X,O,O
IZJLOTS,X,O,O,X,X,O
IZJLOST,O,O,O,O,O,O
IZJSTLO,O,O,O,X,X,O
IZJSTOL,O,X,X,X,O,O
IZJSLTO,O,O,O,X,X,O
IZJSLOT,O,O,O,X,O,O
IZJSOTL,O,X,X,O,O,O
IZJSOLT,O,O,O,O,O,O
IZJOTLS,X,O,X,X,X,O
IZJOTSL,O,X,X,O,O,O
IZJOLTS,X,O,O,X,X,O
IZJOLST,O,O,O,O,O,O
IZJOSTL,O,X,X,O,O,O
IZJOSLT,O,O,O,O,O,O
IZSTLJO,O,O,O,X,X,O
IZSTLOJ,O,O,O,X,X,O
IZSTJLO,O,O,O,X,X,O
IZSTJOL,O,X,X,X,O,O
IZSTOLJ,O,X,X,X,O,O
IZSTOJL,O,X,X,X,O,O
IZSLTJO,O,O,O,X,X,O
IZSLTOJ,O,O,O,X,X,O
IZSLJTO,O,O,O,X,X,O
IZSLJOT,O,O,O,X,O,O
IZSLOTJ,O,O,O,X,O,O
IZSLOJT,O,O,O,X,O,O
IZSJTLO,O,O,O,X,X,O
IZSJTOL,O,X,X,X,O,O
IZSJLTO,O,O,O,X,X,O
IZSJLOT,O,O,O,X,O,O
IZSJOTL,O,X,X,O,O,O
IZSJOLT,O,O,O,O,O,O
IZSOTLJ,O,X,X,O,O,O
IZSOTJL,O,X,X,O,O,O
IZSOLTJ,O,O,O,O,O,O
IZSOLJT,O,O,O,O,O,O
IZSOJTL,O,X,X,O,O,O
IZSOJLT,O,O,O,O,O,O
IZOTLJS,X,O,X,X,X,O
IZOTLSJ,X,O,X,X,X,O
IZOTJLS,X,O,X,X,X,O
IZOTJSL,O,X,X,O,O,O
IZOTSLJ,O,X,X,O,O,O
IZOTSJL,O,X,X,O,O,O
IZOLTJS,X,O,O,X,X,O
IZOLTSJ,X,O,O,X,X,O
IZOLJTS,X,O,O,X,X,O
IZOLJST,O,O,O,O,O,O
IZOLSTJ,O,O,O,O,O,O
IZOLSJT,O,O,O,O,O,O
IZOJTLS,X,O,X,X,X,O
IZOJTSL,O,X,X,O,O,O
IZOJLTS,X,O,O,X,X,O
