sequence,v115@pgB8HeA8IeC8GeC8DeA8BeC8AeJ8AeE8Je0BJvhEXW?BxQBmiB6jBTYB,v115@pgB8HeA8IeC8GeC8DeA8BeC8AeJ8AeE8Je0BJvhEXW?BxQBTjBKdBWeB,v115@pgB8HeA8IeC8GeC8DeA8BeC8AeJ8AeE8Je0BJvhEXW?BpeBmiBzYBiLB
IJTLZSO,O,X,O
IJTLZOS,O,X,O
IJTLOSZ,O,X,O
IJTLOZS,O,X,O
IJTSLZO,O,X,O
IJTSLOZ,O,X,O
IJTSZLO,O,X,O
IJTSZOL,O,X,O
IJTSOLZ,O,X,O
IJTSOZL,O,X,O
IJTZLSO,O,X,O
IJTZLOS,O,X,O
IJTZSLO,O,X,O
IJTZSOL,O,X,O
IJTZOLS,O,X,O
IJTZOSL,O,X,O
IJTOLSZ,O,X,O
IJTOLZS,O,X,O
IJTOSLZ,O,X,O
IJTOSZL,O,X,O
IJTOZLS,O,X,O
IJTOZSL,O,X,O
IJLTSZO,O,X,O
IJLTSOZ,O,X,O
IJLTZSO,O,X,O
IJLTZOS,O,X,O
IJLTOSZ,O,X,O
IJLTOZS,O,X,O
IJLSTZO,O,X,O
IJLSTOZ,O,X,O
IJLSZTO,O,X,O
IJLSZOT,O,O,O
IJLSOTZ,O,O,O
IJLSOZT,O,O,O
IJLZTSO,O,X,O
IJLZTOS,O,X,O
IJLZSTO,O,X,O
IJLZSOT,O,O,O
IJLZOTS,O,O,O
IJLZOST,O,O,O
IJLOTSZ,O,O,O
IJLOTZS,O,O,O
IJLOSTZ,O,O,O
IJLOSZT,O,O,O
IJLOZTS,O,O,O
IJLOZST,O,O,O
IJSTLZO,O,X,O
IJSTLOZ,O,X,O
IJSTZLO,O,X,O
IJSTZOL,O,X,O
IJSTOLZ,O,X,O
IJSTOZL,O,X,O
IJSLTZO,O,X,O
IJSLTOZ,O,X,O
IJSLZTO,O,X,O
IJSLZOT,O,O,O
IJSLOTZ,O,O,O
IJSLOZT,O,O,O
IJSZTLO,O,X,O
IJSZTOL,O,X,O
IJSZLTO,O,X,O
IJSZLOT,O,O,O
IJSZOTL,O,O,O
IJSZOLT,O,O,O
IJSOTLZ,O,O,O
IJSOTZL,O,O,O
IJSOLTZ,O,O,O
IJSOLZT,O,O,O
IJSOZTL,O,O,O
IJSOZLT,O,O,O
IJZTLSO,O,X,O
IJZTLOS,O,X,O
IJZTSLO,O,X,O
IJZTSOL,O,X,O
IJZTOLS,O,X,O
IJZTOSL,O,X,O
IJZLTSO,O,X,O
IJZLTOS,O,X,O
IJZLSTO,O,X,O
IJZLSOT,O,O,O
IJZLOTS,O,O,O
IJZLOST,O,O,O
IJZSTLO,O,X,O
IJZSTOL,O,X,O
IJZSLTO,O,X,O
IJZSLOT,O,O,O
IJZSOTL,O,O,O
IJZSOLT,O,O,O
IJZOTLS,O,O,O
IJZOTSL,O,O,O
IJZOLTS,O,O,O
IJZOLST,O,O,O
IJZOSTL,O,O,O
IJZOSLT,O,O,O
IJOTLSZ,O,O,O
IJOTLZS,O,O,O
IJOTSLZ,O,O,O
IJOTSZL,O,O,O
IJOTZLS,O,O,O
IJOTZSL,O,O,O
IJOLTSZ,O,O,O
IJOLTZS,O,O,O
IJOLSTZ,O,O,O
IJOLSZT,O,O,O
IJOLZTS,O,O,O
IJOLZST,O,O,O
IJOSTLZ,O,O,O
IJOSTZL,O,O,O
IJOSLTZ,O,O,O
IJOSLZT,O,O,O
IJOSZTL,O,O,O
IJOSZLT,O,O,O
IJOZTLS,O,O,O
IJOZTSL,O,O,O
IJOZLTS,O,O,O
IJOZLST,O,O,O
IJOZSTL,O,O,O
IJOZSLT,O,O,O
ISTLJZO,O,X,O
ISTLJOZ,O,X,O
ISTLZJO,X,X,O
ISTLZOJ,X,O,X
ISTLOJZ,X,O,X
ISTLOZJ,X,O,X
ISTJLZO,O,X,O
ISTJLOZ,O,X,O
ISTJZLO,O,X,O
ISTJZOL,O,X,O
ISTJOLZ,O,X,O
ISTJOZL,O,X,O
ISTZLJO,X,X,O
ISTZLOJ,X,O,X
ISTZJLO,O,X,O
ISTZJOL,O,X,O
ISTZOLJ,X,O,X
ISTZOJL,X,O,X
ISTOLJZ,X,O,X
ISTOLZJ,X,O,X
ISTOJLZ,X,O,X
ISTOJZL,X,O,X
ISTOZLJ,X,O,X
ISTOZJL,X,O,X
ISLTJZO,O,X,O
ISLTJOZ,O,X,O
ISLTZJO,X,X,O
ISLTZOJ,X,O,X
ISLTOJZ,X,O,X
ISLTOZJ,X,O,X
ISLJTZO,O,X,O
ISLJTOZ,O,X,O
ISLJZTO,O,X,O
ISLJZOT,O,O,O
ISLJOTZ,O,O,O
ISLJOZT,O,O,O
ISLZTJO,X,X,O
ISLZTOJ,X,O,X
ISLZJTO,O,X,O
ISLZJOT,O,O,O
ISLZOTJ,X,O,X
ISLZOJT,X,O,O
ISLOTJZ,X,O,X
ISLOTZJ,X,O,X
ISLOJTZ,O,O,O
ISLOJZT,O,O,O
ISLOZTJ,X,O,X
ISLOZJT,X,O,O
ISJTLZO,O,X,O
ISJTLOZ,O,X,O
ISJTZLO,O,X,O
ISJTZOL,O,X,O
ISJTOLZ,O,X,O
ISJTOZL,O,X,O
ISJLTZO,O,X,O
ISJLTOZ,O,X,O
ISJLZTO,O,X,O
ISJLZOT,O,O,O
ISJLOTZ,O,O,O
ISJLOZT,O,O,O
ISJZTLO,O,X,O
ISJZTOL,O,X,O
ISJZLTO,O,X,O
ISJZLOT,O,O,O
ISJZOTL,O,O,O
ISJZOLT,O,O,O
ISJOTLZ,O,O,O
ISJOTZL,O,O,O
ISJOLTZ,O,O,O
ISJOLZT,O,O,O
ISJOZTL,O,O,O
ISJOZLT,O,O,O
ISZTLJO,X,X,O
ISZTLOJ,X,O,X
ISZTJLO,O,X,O
ISZTJOL,O,X,O
ISZTOLJ,X,O,X
ISZTOJL,X,O,X
ISZLTJO,X,X,O
ISZLTOJ,X,O,X
ISZLJTO,O,X,O
ISZLJOT,O,O,O
ISZLOTJ,X,O,X
ISZLOJT,X,O,O
ISZJTLO,O,X,O
ISZJTOL,O,X,O
ISZJLTO,O,X,O
ISZJLOT,O,O,O
ISZJOTL,O,O,O
ISZJOLT,O,O,O
ISZOTLJ,X,O,X
ISZOTJL,X,O,X
ISZOLTJ,X,O,X
ISZOLJT,X,O,O
ISZOJTL,O,O,O
ISZOJLT,O,O,O
ISOTLJZ,X,O,X
ISOTLZJ,X,O,X
ISOTJLZ,X,O,X
ISOTJZL,X,O,X
ISOTZLJ,X,O,X
ISOTZJL,X,O,X
ISOLTJZ,X,O,X
ISOLTZJ,X,O,X
ISOLJTZ,O,O,O
ISOLJZT,O,O,O
ISOLZTJ,X,O,X
ISOLZJT,X,O,O
ISOJTLZ,O,O,O
ISOJTZL,O,O,O
ISOJLTZ,O,O,O
ISOJLZT,O,O,O
ISOJZTL,O,O,O
ISOJZLT,O,O,O
ISOZTLJ,X,O,X
ISOZTJL,X,O,X
ISOZLTJ,X,O,X
ISOZLJT,X,O,O
ISOZJTL,O,O,O
ISOZJLT,O,O,O
IZTLJSO,X,X,O
IZTLJOS,X,X,O
IZTLSJO,X,X,O
IZTLSOJ,X,O,X
IZTLOJS,X,O,X
IZTLOSJ,X,O,X
IZTJLSO,O,X,O
IZTJLOS,O,X,O
IZTJSLO,O,X,O
IZTJSOL,O,X,O
IZTJOLS,O,X,O
IZTJOSL,O,X,O
IZTSLJO,X,X,O
IZTSLOJ,X,O,X
IZTSJLO,O,X,O
IZTSJOL,O,X,O
IZTSOLJ,X,O,X
IZTSOJL,X,O,X
IZTOLJS,X,O,X
IZTOLSJ,X,O,X
IZTOJLS,X,O,X
IZTOJSL,X,O,X
IZTOSLJ,X,O,X
IZTOSJL,X,O,X
IZLTJSO,X,X,O
IZLTJOS,X,X,O
IZLTSJO,X,X,O
IZLTSOJ,X,O,X
IZLTOJS,X,O,X
IZLTOSJ,X,O,X
IZLJTSO,O,X,O
IZLJTOS,O,X,O
IZLJSTO,O,X,O
IZLJSOT,O,O,O
IZLJOTS,O,O,O
IZLJOST,O,O,O
IZLSTJO,X,X,O
IZLSTOJ,X,O,X
IZLSJTO,O,X,O
IZLSJOT,O,O,O
IZLSOTJ,X,O,X
IZLSOJT,X,O,O
IZLOTJS,X,O,X
IZLOTSJ,X,O,X
IZLOJTS,X,O,O
IZLOJST,X,O,O
IZLOSTJ,X,O,X
IZLOSJT,X,O,O
IZJTLSO,O,X,O
IZJTLOS,O,X,O
IZJTSLO,O,X,O
IZJTSOL,O,X,O
IZJTOLS,O,X,O
IZJTOSL,O,X,O
IZJLTSO,O,X,O
IZJLTOS,O,X,O
IZJLSTO,O,X,O
IZJLSOT,O,O,O
IZJLOTS,O,O,O
IZJLOST,O,O,O
IZJSTLO,O,X,O
IZJSTOL,O,X,O
IZJSLTO,O,X,O
IZJSLOT,O,O,O
IZJSOTL,O,O,O
IZJSOLT,O,O,O
IZJOTLS,O,O,O
IZJOTSL,O,O,O
IZJOLTS,O,O,O
IZJOLST,O,O,O
IZJOSTL,O,O,O
IZJOSLT,O,O,O
IZSTLJO,X,X,O
IZSTLOJ,X,O,X
IZSTJLO,O,X,O
IZSTJOL,O,X,O
IZSTOLJ,X,O,X
IZSTOJL,X,O,X
IZSLTJO,X,X,O
IZSLTOJ,X,O,X
IZSLJTO,O,X,O
IZSLJOT,O,O,O
IZSLOTJ,X,O,X
IZSLOJT,X,O,O
IZSJTLO,O,X,O
IZSJTOL,O,X,O
IZSJLTO,O,X,O
IZSJLOT,O,O,O
IZSJOTL,O,O,O
IZSJOLT,O,O,O
IZSOTLJ,X,O,X
IZSOTJL,X,O,X
IZSOLTJ,X,O,X
IZSOLJT,X,O,O
IZSOJTL,O,O,O
IZSOJLT,O,O,O
IZOTLJS,X,O,X
IZOTLSJ,X,O,X
IZOTJLS,X,O,X
IZOTJSL,X,O,X
IZOTSLJ,X,O,X
IZOTSJL,X,O,X
IZOLTJS,X,O,X
IZOLTSJ,X,O,X
IZOLJTS,X,O,O
IZOLJST,X,O,O
IZOLSTJ,X,O,X
IZOLSJT,X,O,O
IZOJTLS,O,O,O
IZOJTSL,O,O,O
IZOJLTS,O,O,O
IZOJLST,O,O,O
IZOJSTL,O,O,O
IZOJSLT,O,O,O
IZOSTLJ,X,O,X
IZOSTJL,X,O,X
IZOSLTJ,X,O,X
IZOSLJT,X,O,O
IZOSJTL,O,O,O
IZOSJLT,O,O,O
IOTLJSZ,X,O,X
IOTLJZS,X,O,X
IOTLSJZ,X,O,X
IOTLSZJ,X,O,X
IOTLZJS,X,O,X
IOTLZSJ,X,O,X
IOTJLSZ,X,O,X
IOTJLZS,X,O,X
IOTJSLZ,X,O,X
IOTJSZL,X,O,X
IOTJZLS,X,O,X
IOTJZSL,X,O,X
IOTSLJZ,X,O,X
IOTSLZJ,X,O,X
IOTSJLZ,X,O,X
IOTSJZL,X,O,X
IOTSZLJ,X,O,X
IOTSZJL,X,O,X
IOTZLJS,X,O,X
IOTZLSJ,X,O,X
IOTZJLS,X,O,X
IOTZJSL,X,O,X
IOTZSLJ,X,O,X
IOTZSJL,X,O,X
IOLTJSZ,X,O,X
IOLTJZS,X,O,X
IOLTSJZ,X,O,X
IOLTSZJ,X,O,X
IOLTZJS,X,O,X
IOLTZSJ,X,O,X
IOLJTSZ,O,O,O
IOLJTZS,O,O,O
IOLJSTZ,O,O,O
IOLJSZT,O,O,O
IOLJZTS,O,O,O
IOLJZST,O,O,O
IOLSTJZ,X,O,X
IOLSTZJ,X,O,X
IOLSJTZ,O,O,O
IOLSJZT,O,O,O
IOLSZTJ,X,O,X
IOLSZJT,X,O,O
IOLZTJS,X,O,X
IOLZTSJ,X,O,X
IOLZJTS,X,O,O
IOLZJST,X,O,O
IOLZSTJ,X,O,X
IOLZSJT,X,O,O
IOJTLSZ,O,O,O
IOJTLZS,O,O,O
IOJTSLZ,O,O,O
IOJTSZL,O,O,O
IOJTZLS,O,O,O
IOJTZSL,O,O,O
IOJLTSZ,O,O,O
IOJLTZS,O,O,O
IOJLSTZ,O,O,O
IOJLSZT,O,O,O
IOJLZTS,O,O,O
IOJLZST,O,O,O
IOJSTLZ,O,O,O
IOJSTZL,O,O,O
IOJSLTZ,O,O,O
IOJSLZT,O,O,O
IOJSZTL,O,O,O
IOJSZLT,O,O,O
IOJZTLS,O,O,O
IOJZTSL,O,O,O
IOJZLTS,O,O,O
IOJZLST,O,O,O
IOJZSTL,O,O,O
IOJZSLT,O,O,O
IOSTLJZ,X,O,X
IOSTLZJ,X,O,X
IOSTJLZ,X,O,X
IOSTJZL,X,O,X
IOSTZLJ,X,O,X
IOSTZJL,X,O,X
IOSLTJZ,X,O,X
IOSLTZJ,X,O,X
IOSLJTZ,O,O,O
IOSLJZT,O,O,O
IOSLZTJ,X,O,X
IOSLZJT,X,O,O
IOSJTLZ,O,O,O
IOSJTZL,O,O,O
IOSJLTZ,O,O,O
IOSJLZT,O,O,O
IOSJZTL,O,O,O
IOSJZLT,O,O,O
IOSZTLJ,X,O,X
IOSZTJL,X,O,X
IOSZLTJ,X,O,X
IOSZLJT,X,O,O
IOSZJTL,O,O,O
IOSZJLT,O,O,O
IOZTLJS,X,O,X
IOZTLSJ,X,O,X
IOZTJLS,X,O,X
IOZTJSL,X,O,X
IOZTSLJ,X,O,X
IOZTSJL,X,O,X
IOZLTJS,X,O,X
IOZLTSJ,X,O,X
IOZLJTS,X,O,O
IOZLJST,X,O,O
IOZLSTJ,X,O,X
IOZLSJT,X,O,O
IOZJTLS,O,O,O
IOZJTSL,O,O,O
IOZJLTS,O,O,O
IOZJLST,O,O,O
IOZJSTL,O,O,O
IOZJSLT,O,O,O
IOZSTLJ,X,O,X
IOZSTJL,X,O,X
IOZSLTJ,X,O,X
IOZSLJT,X,O,O
IOZSJTL,O,O,O
IOZSJLT,O,O,O
LTIJSZO,O,X,O
LTIJSOZ,O,X,O
LTIJZSO,O,X,O
LTIJZOS,O,X,O
LTIJOSZ,O,X,O
LTIJOZS,O,X,O
LTISJZO,O,X,O
LTISJOZ,O,X,O
LTISZJO,X,X,O
LTISZOJ,X,O,X
LTISOJZ,X,O,X
LTISOZJ,X,O,X
LTIZJSO,X,X,O
LTIZJOS,X,X,O
LTIZSJO,X,X,O
LTIZSOJ,X,O,X
LTIZOJS,X,O,X
LTIZOSJ,X,O,X
LTIOJSZ,X,O,X
LTIOJZS,X,O,X
LTIOSJZ,X,O,X
LTIOSZJ,X,O,X
LTIOZJS,X,O,X
LTIOZSJ,X,O,X
LTJISZO,O,X,O
LTJISOZ,O,X,O
LTJIZSO,O,X,O
LTJIZOS,O,X,O
LTJIOSZ,O,X,O
LTJIOZS,O,X,O
LTJSIZO,O,X,O
LTJSIOZ,O,X,O
LTJSZIO,O,X,O
LTJSZOI,O,X,O
LTJSOIZ,O,X,O
LTJSOZI,O,X,O
LTJZISO,O,X,O
LTJZIOS,O,X,O
LTJZSIO,O,X,O
LTJZSOI,O,X,O
LTJZOIS,O,X,O
LTJZOSI,O,X,O
LTJOISZ,O,X,O
LTJOIZS,O,X,O
LTJOSIZ,O,X,O
LTJOSZI,O,X,O
LTJOZIS,O,X,O
LTJOZSI,O,X,O
LTSIJZO,O,X,O
LTSIJOZ,O,X,O
LTSIZJO,X,X,O
LTSIZOJ,X,O,X
LTSIOJZ,X,O,X
LTSIOZJ,X,O,X
LTSJIZO,O,X,O
LTSJIOZ,O,X,O
LTSJZIO,O,X,O
LTSJZOI,O,X,O
LTSJOIZ,O,X,O
LTSJOZI,O,X,O
LTSZIJO,X,X,O
LTSZIOJ,X,O,X
LTSZJIO,X,X,O
LTSZJOI,X,X,O
LTSZOIJ,X,O,X
LTSZOJI,X,O,X
LTSOIJZ,X,O,X
LTSOIZJ,X,O,X
LTSOJIZ,X,O,X
LTSOJZI,X,O,X
LTSOZIJ,X,O,X
LTSOZJI,X,O,X
LTZIJSO,X,X,O
LTZIJOS,X,X,O
LTZISJO,X,X,O
LTZISOJ,X,O,X
LTZIOJS,X,O,X
LTZIOSJ,X,O,X
LTZJISO,X,X,O
LTZJIOS,X,X,O
LTZJSIO,X,X,O
LTZJSOI,X,X,O
LTZJOIS,X,X,O
LTZJOSI,X,X,O
LTZSIJO,X,X,O
LTZSIOJ,X,O,X
LTZSJIO,X,X,O
LTZSJOI,X,X,O
LTZSOIJ,X,O,X
LTZSOJI,X,O,X
LTZOIJS,X,O,X
LTZOISJ,X,O,X
LTZOJIS,X,O,X
LTZOJSI,X,O,X
LTZOSIJ,X,O,X
LTZOSJI,X,O,X
LTOIJSZ,X,O,X
LTOIJZS,X,O,X
LTOISJZ,X,O,X
LTOISZJ,X,O,X
LTOIZJS,X,O,X
LTOIZSJ,X,O,X
LTOJISZ,X,O,X
LTOJIZS,X,O,X
LTOJSIZ,X,O,X
LTOJSZI,X,O,X
LTOJZIS,X,O,X
LTOJZSI,X,O,X
LTOSIJZ,X,O,X
LTOSIZJ,X,O,X
LTOSJIZ,X,O,X
LTOSJZI,X,O,X
LTOSZIJ,X,O,X
LTOSZJI,X,O,X
LTOZIJS,X,O,X
LTOZISJ,X,O,X
LTOZJIS,X,O,X
LTOZJSI,X,O,X
LTOZSIJ,X,O,X
LTOZSJI,X,O,X
LITJSZO,O,X,O
LITJSOZ,O,X,O
LITJZSO,O,X,O
LITJZOS,O,X,O
LITJOSZ,O,X,O
LITJOZS,O,X,O
LITSJZO,O,X,O
LITSJOZ,O,X,O
LITSZJO,X,X,O
LITSZOJ,X,O,X
LITSOJZ,X,O,X
LITSOZJ,X,O,X
LITZJSO,X,X,O
LITZJOS,X,X,O
LITZSJO,X,X,O
LITZSOJ,X,O,X
LITZOJS,X,O,X
LITZOSJ,X,O,X
LITOJSZ,X,O,X
LITOJZS,X,O,X
LITOSJZ,X,O,X
LITOSZJ,X,O,X
LITOZJS,X,O,X
LITOZSJ,X,O,X
LIJTSZO,O,X,O
LIJTSOZ,O,X,O
LIJTZSO,O,X,O
LIJTZOS,O,X,O
LIJTOSZ,O,X,O
LIJTOZS,O,X,O
LIJSTZO,O,X,O
LIJSTOZ,O,X,O
LIJSZTO,O,X,O
LIJSZOT,O,O,O
LIJSOTZ,O,O,O
LIJSOZT,O,O,O
LIJZTSO,O,X,O
LIJZTOS,O,X,O
LIJZSTO,O,X,O
LIJZSOT,O,O,O
LIJZOTS,O,O,O
LIJZOST,O,O,O
LIJOTSZ,O,O,O
LIJOTZS,O,O,O
LIJOSTZ,O,O,O
LIJOSZT,O,O,O
LIJOZTS,O,O,O
LIJOZST,O,O,O
LISTJZO,O,X,O
LISTJOZ,O,X,O
LISTZJO,X,X,O
LISTZOJ,X,O,X
LISTOJZ,X,O,X
LISTOZJ,X,O,X
LISJTZO,O,X,O
LISJTOZ,O,X,O
LISJZTO,O,X,O
LISJZOT,O,O,O
LISJOTZ,O,O,O
LISJOZT,O,O,O
LISZTJO,X,X,O
LISZTOJ,X,O,X
LISZJTO,O,X,O
LISZJOT,O,O,O
LISZOTJ,X,O,X
LISZOJT,X,O,O
LISOTJZ,X,O,X
LISOTZJ,X,O,X
LISOJTZ,O,O,O
LISOJZT,O,O,O
LISOZTJ,X,O,X
LISOZJT,X,O,O
LIZTJSO,X,X,O
LIZTJOS,X,X,O
LIZTSJO,X,X,O
LIZTSOJ,X,O,X
LIZTOJS,X,O,X
LIZTOSJ,X,O,X
LIZJTSO,O,X,O
LIZJTOS,O,X,O
LIZJSTO,O,X,O
LIZJSOT,O,O,O
LIZJOTS,O,O,O
LIZJOST,O,O,O
LIZSTJO,X,X,O
LIZSTOJ,X,O,X
LIZSJTO,O,X,O
LIZSJOT,O,O,O
LIZSOTJ,X,O,X
LIZSOJT,X,O,O
LIZOTJS,X,O,X
LIZOTSJ,X,O,X
LIZOJTS,X,O,O
LIZOJST,X,O,O
LIZOSTJ,X,O,X
LIZOSJT,X,O,O
LIOTJSZ,X,O,X
LIOTJZS,X,O,X
LIOTSJZ,X,O,X
LIOTSZJ,X,O,X
LIOTZJS,X,O,X
LIOTZSJ,X,O,X
LIOJTSZ,O,O,O
LIOJTZS,O,O,O
LIOJSTZ,O,O,O
LIOJSZT,O,O,O
LIOJZTS,O,O,O
LIOJZST,O,O,O
LIOSTJZ,X,O,X
LIOSTZJ,X,O,X
LIOSJTZ,O,O,O
LIOSJZT,O,O,O
LIOSZTJ,X,O,X
LIOSZJT,X,O,O
LIOZTJS,X,O,X
LIOZTSJ,X,O,X
LIOZJTS,X,O,O
LIOZJST,X,O,O
LIOZSTJ,X,O,X
LIOZSJT,X,O,O
LJTISZO,O,X,O
LJTISOZ,O,X,O
LJTIZSO,O,X,O
LJTIZOS,O,X,O
LJTIOSZ,O,X,O
LJTIOZS,O,X,O
LJTSIZO,O,X,O
LJTSIOZ,O,X,O
LJTSZIO,O,X,O
LJTSZOI,O,X,O
LJTSOIZ,O,X,O
LJTSOZI,O,X,O
LJTZISO,O,X,O
LJTZIOS,O,X,O
LJTZSIO,O,X,O
LJTZSOI,O,X,O
LJTZOIS,O,X,O
LJTZOSI,O,X,O
LJTOISZ,O,X,O
LJTOIZS,O,X,O
LJTOSIZ,O,X,O
LJTOSZI,O,X,O
LJTOZIS,O,X,O
LJTOZSI,O,X,O
LJITSZO,O,X,O
LJITSOZ,O,X,O
LJITZSO,O,X,O
LJITZOS,O,X,O
LJITOSZ,O,X,O
LJITOZS,O,X,O
LJISTZO,O,X,O
LJISTOZ,O,X,O
LJISZTO,O,X,O
LJISZOT,O,O,O
LJISOTZ,O,O,O
LJISOZT,O,O,O
LJIZTSO,O,X,O
LJIZTOS,O,X,O
LJIZSTO,O,X,O
LJIZSOT,O,O,O
LJIZOTS,O,O,O
LJIZOST,O,O,O
LJIOTSZ,O,O,O
LJIOTZS,O,O,O
LJIOSTZ,O,O,O
LJIOSZT,O,O,O
LJIOZTS,O,O,O
LJIOZST,O,O,O
LJSTIZO,O,X,O
LJSTIOZ,O,X,O
LJSTZIO,O,X,O
LJSTZOI,O,X,O
LJSTOIZ,O,X,O
LJSTOZI,O,X,O
LJSITZO,O,X,O
LJSITOZ,O,X,O
LJSIZTO,O,X,O
LJSIZOT,O,O,O
LJSIOTZ,O,O,O
LJSIOZT,O,O,O
LJSZTIO,O,X,O
LJSZTOI,O,X,O
LJSZITO,O,X,O
LJSZIOT,O,O,O
LJSZOTI,O,O,O
LJSZOIT,O,O,O
LJSOTIZ,O,O,O
LJSOTZI,O,O,O
LJSOITZ,O,O,O
LJSOIZT,O,O,O
LJSOZTI,O,O,O
LJSOZIT,O,O,O
LJZTISO,O,X,O
LJZTIOS,O,X,O
LJZTSIO,O,X,O
LJZTSOI,O,X,O
LJZTOIS,O,X,O
LJZTOSI,O,X,O
LJZITSO,O,X,O
LJZITOS,O,X,O
LJZISTO,O,X,O
LJZISOT,O,O,O
LJZIOTS,O,O,O
LJZIOST,O,O,O
LJZSTIO,O,X,O
LJZSTOI,O,X,O
LJZSITO,O,X,O
LJZSIOT,O,O,O
LJZSOTI,O,O,O
LJZSOIT,O,O,O
LJZOTIS,O,O,O
LJZOTSI,O,O,O
LJZOITS,O,O,O
LJZOIST,O,O,O
LJZOSTI,O,O,O
LJZOSIT,O,O,O
LJOTISZ,O,O,O
LJOTIZS,O,O,O
LJOTSIZ,O,O,O
LJOTSZI,O,O,O
LJOTZIS,O,O,O
LJOTZSI,O,O,O
LJOITSZ,O,O,O
LJOITZS,O,O,O
LJOISTZ,O,O,O
LJOISZT,O,O,O
LJOIZTS,O,O,O
LJOIZST,O,O,O
LJOSTIZ,O,O,O
LJOSTZI,O,O,O
LJOSITZ,O,O,O
LJOSIZT,O,O,O
LJOSZTI,O,O,O
LJOSZIT,O,O,O
LJOZTIS,O,O,O
LJOZTSI,O,O,O
LJOZITS,O,O,O
LJOZIST,O,O,O
LJOZSTI,O,O,O
LJOZSIT,O,O,O
LSTIJZO,O,X,O
LSTIJOZ,O,X,O
LSTIZJO,X,X,O
LSTIZOJ,X,O,X
LSTIOJZ,X,O,X
LSTIOZJ,X,O,X
LSTJIZO,O,X,O
LSTJIOZ,O,X,O
LSTJZIO,O,X,O
LSTJZOI,O,X,O
LSTJOIZ,O,X,O
LSTJOZI,O,X,O
LSTZIJO,X,X,O
LSTZIOJ,X,O,X
LSTZJIO,X,X,O
LSTZJOI,X,X,O
LSTZOIJ,X,O,X
LSTZOJI,X,O,X
LSTOIJZ,X,O,X
LSTOIZJ,X,O,X
LSTOJIZ,X,O,X
LSTOJZI,X,O,X
LSTOZIJ,X,O,X
LSTOZJI,X,O,X
LSITJZO,O,X,O
LSITJOZ,O,X,O
LSITZJO,X,X,O
LSITZOJ,X,O,X
LSITOJZ,X,O,X
LSITOZJ,X,O,X
LSIJTZO,O,X,O
LSIJTOZ,O,X,O
LSIJZTO,O,X,O
LSIJZOT,O,O,O
LSIJOTZ,O,O,O
LSIJOZT,O,O,O
LSIZTJO,X,X,O
LSIZTOJ,X,O,X
LSIZJTO,O,X,O
LSIZJOT,O,O,O
LSIZOTJ,X,O,X
LSIZOJT,X,O,O
LSIOTJZ,X,O,X
LSIOTZJ,X,O,X
LSIOJTZ,O,O,O
LSIOJZT,O,O,O
LSIOZTJ,X,O,X
LSIOZJT,X,O,O
LSJTIZO,O,X,O
LSJTIOZ,O,X,O
LSJTZIO,O,X,O
LSJTZOI,O,X,O
LSJTOIZ,O,X,O
LSJTOZI,O,X,O
LSJITZO,O,X,O
LSJITOZ,O,X,O
LSJIZTO,O,X,O
LSJIZOT,O,O,O
LSJIOTZ,O,O,O
LSJIOZT,O,O,O
LSJZTIO,O,X,O
LSJZTOI,O,X,O
LSJZITO,O,X,O
LSJZIOT,O,O,O
LSJZOTI,O,O,O
LSJZOIT,O,O,O
LSJOTIZ,O,O,O
LSJOTZI,O,O,O
LSJOITZ,O,O,O
LSJOIZT,O,O,O
LSJOZTI,O,O,O
LSJOZIT,O,O,O
LSZTIJO,X,X,O
LSZTIOJ,X,O,X
LSZTJIO,X,X,O
LSZTJOI,X,X,O
LSZTOIJ,X,O,X
LSZTOJI,X,O,X
LSZITJO,X,X,O
LSZITOJ,X,O,X
LSZIJTO,O,X,O
LSZIJOT,O,O,O
LSZIOTJ,X,O,X
LSZIOJT,X,O,O
LSZJTIO,O,X,O
LSZJTOI,O,X,O
LSZJITO,O,X,O
LSZJIOT,O,O,O
LSZJOTI,O,O,O
LSZJOIT,O,O,O
LSZOTIJ,X,O,X
LSZOTJI,X,O,X
LSZOITJ,X,O,X
LSZOIJT,X,O,O
LSZOJTI,X,O,O
LSZOJIT,X,O,O
LSOTIJZ,X,O,X
LSOTIZJ,X,O,X
LSOTJIZ,X,O,X
LSOTJZI,X,O,X
LSOTZIJ,X,O,X
LSOTZJI,X,O,X
LSOITJZ,X,O,X
LSOITZJ,X,O,X
LSOIJTZ,O,O,O
LSOIJZT,O,O,O
LSOIZTJ,X,O,X
LSOIZJT,X,O,O
LSOJTIZ,O,O,O
LSOJTZI,O,O,O
LSOJITZ,O,O,O
LSOJIZT,O,O,O
LSOJZTI,O,O,O
LSOJZIT,O,O,O
LSOZTIJ,X,O,X
LSOZTJI,X,O,X
LSOZITJ,X,O,X
LSOZIJT,X,O,O
LSOZJTI,X,O,O
LSOZJIT,X,O,O
LZTIJSO,X,X,O
LZTIJOS,X,X,O
LZTISJO,X,X,O
LZTISOJ,X,O,X
LZTIOJS,X,O,X
LZTIOSJ,X,O,X
LZTJISO,X,X,O
LZTJIOS,X,X,O
LZTJSIO,X,X,O
LZTJSOI,X,X,O
LZTJOIS,X,X,O
LZTJOSI,X,X,O
LZTSIJO,X,X,O
LZTSIOJ,X,O,X
LZTSJIO,X,X,O
LZTSJOI,X,X,O
