sequence,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBRcBCeB3hBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhEibBWiBxdBUhBFrB,v115@FhF8BeG8CeH8AeE8Je2/IvhERbBzcBCeBUhBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbB8hBCeBmgBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhEFcBxdBOrB/qBCsB,v115@FhF8BeG8CeH8AeE8JeT6IvhERcBCeBOrB/qBlrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbBCeBOrB8rBlqB,v115@FhF8BeG8CeH8AeE8JeT6IvhEFcBCeBOrB/qB8rB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbB8hBCeBVrBmqB,v115@FhF8BeG8CeH8AeE8JeT6IvhExbBCeBXmB8mBmqB,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBxdBXmBCnBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhE2gBCeBXmB8mBFrB,v115@FhF8BeG8CeH8AeE8JeT6IvhE8hBCeBZmB/qBGrB,v115@FhF8BeG8CeH8AeE8JeT6IvhExdBmgBCiBllBcrB
TILJSZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TILSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TILZJOS,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TILZSJO,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TILZSOJ,X,O,O,O,X,X,X,X,O,X,X,X,O,X
