sequence,v115@RhE8AeJ8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBv+jFDK+AAAvhFzhB1lBXeBsfBOfBxhB,v115@RhE8AeJ8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBv3ntCpOBAAvhFzhB0gB2kBXjBxhBlfB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBUtPFDpCBAAvhF1lB3fB+jBsiBxhBifB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VB6/9tCM+AAAvhF0fBGjBlgBXjBifBxhB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBz/lFDM+AAAvhF3gBGiBlfB0hBifBxiB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBz/TFDU+AAAvhF3gBGiBifB0hBlfBxiB,v115@RhE8AeJ8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJNUPCvOBAAvhFxkBfjB6jB2gBTaBlhB,v115@RhE8AeJ8AeC8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBTHUFDqOBAAvhF3gBTeBSiBsfBOfBlhB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBzfjxCM+AAAvhF3gB+jBsiBlfBifBxhB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBzfjWCU+AAAvhF3gB+jBsiBifBlfBxhB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBsX+tCK+AAAvhFSnB0cBlgB3aB2kBxiB,v115@RhE8AeJ8AeC8JeXCYaAFLDmClcJSAVDEHBEooRBToA?VBp3HgC0CBAAvhFxkBUeB2gBTaBlcBSoB,v115@RhE8AeJ8AeC8Je3AYaAFLDmClcJSAVDEHBEooRBToA?VBK+LgC6OBAAvhF+jBRiBKfBzaB0hBliB,v115@RhE8AeJ8AeC8Je3AYaAFLDmClcJSAVDEHBEooRBToA?VBK+TFDvOBAAvhF+jBRiByfB0hBTfBliB,v115@RhE8AeJ8AeC8JeUDYaAFLDmClcJSAVDEHBEooRBaoA?VBUubgCqCBAAvhFVnBxkB3cBTaBGeBibB,v115@RhE8AeJ8AeC8JeVHYaAFLDmClcJSAVDEHBEooRBUoA?VBK3TWCa+AAAvhF+jBzdB3cBKfBUgBRbB
TISLJZO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TISLJOZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TISLZJO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O
TISLZOJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O
TISLOJZ,X,X,O,X,X,X,O,X,X,X,O,O,X,X,O,O
TISLOZJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
TISJLZO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TISJLOZ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,O
TISJZLO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,O,X
TISJZOL,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
TISJOLZ,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,O
TISJOZL,X,X,O,X,O,X,O,X,O,X,X,O,X,X,O,X
TISZLJO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
TISZLOJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
TISZJLO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
TISZJOL,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
TISZOLJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
TISZOJL,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X
TISOLJZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X
TISOLZJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
TISOJLZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X
TISOJZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
TISOZLJ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
TISOZJL,X,X,X,O,O,X,O,O,X,X,X,O,X,X,O,X
TIZLJSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZLJOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZLSJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZLSOJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIZLOJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TIZLOSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIZJLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZJLOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIZJSLO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZJSOL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZJOLS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIZJOSL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZSLJO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZSLOJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
TIZSJLO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZSJOL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZSOLJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
TIZSOJL,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZOLJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TIZOLSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIZOJLS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIZOJSL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZOSLJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
TIZOSJL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
TIOLJSZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X
TIOLJZS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TIOLSJZ,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X
TIOLSZJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
TIOLZJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TIOLZSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIOJLSZ,O,X,X,X,O,X,O,X,X,X,O,O,X,X,O,X
TIOJLZS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TIOJSLZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X
TIOJSZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
TIOJZLS,O,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TIOJZSL,O,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X
TIOSLJZ,O,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X
TIOSLZJ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
TIOSJLZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,O,X
TIOSJZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
TIOSZLJ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
TIOSZJL,O,X,X,O,O,X,O,O,X,X,X,O,X,X,O,X
TIOZLJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TIOZLSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIOZJLS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIOZJSL,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TIOZSLJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
TIOZSJL,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
TLIJSZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TLIJSOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLISJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TLISJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TLISZJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TLISZOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
TLISOJZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
TLISOZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TLIZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
TLIZSOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
TLIZOJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TLIZOSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
TLIOJSZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TLIOJZS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLIOSJZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TLIOSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TLIOZJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TLIOZSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TLJISZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJISOZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLJIZSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJIZOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TLJIOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJSIZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJSIOZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TLJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJSZOI,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O
TLJSOIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
TLJSOZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
TLJZISO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJZIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJZSOI,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O
TLJZOIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
TLJZOSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
TLJOISZ,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O
TLJOIZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
TLJOSIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
TLJOSZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
TLJOZIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
TLJOZSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
TLSIJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TLSIJOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
TLSIZJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
TLSIZOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
TLSIOJZ,O,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O
