sequence,v115@RhE8AeJ8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBv+jFDK+AAAvhFzhB1lBXeBsfBOfBxhB,v115@RhE8AeJ8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBv3ntCpOBAAvhFzhB0gB2kBXjBxhBlfB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBUtPFDpCBAAvhF1lB3fB+jBsiBxhBifB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VB6/9tCM+AAAvhF0fBGjBlgBXjBifBxhB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBz/lFDM+AAAvhF3gBGiBlfB0hBifBxiB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBz/TFDU+AAAvhF3gBGiBifB0hBlfBxiB,v115@RhE8AeJ8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJNUPCvOBAAvhFxkBfjB6jB2gBTaBlhB,v115@RhE8AeJ8AeC8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBTHUFDqOBAAvhF3gBTeBSiBsfBOfBlhB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBzfjxCM+AAAvhF3gB+jBsiBlfBifBxhB,v115@RhE8AeJ8AeC8JezBYaAFLDmClcJSAVDEHBEooRBPoA?VBzfjWCU+AAAvhF3gB+jBsiBifBlfBxhB,v115@RhE8AeJ8AeC8JeTDYaAFLDmClcJSAVDEHBEooRBPoA?VBsX+tCK+AAAvhFSnB0cBlgB3aB2kBxiB,v115@RhE8AeJ8AeC8JeXCYaAFLDmClcJSAVDEHBEooRBToA?VBp3HgC0CBAAvhFxkBUeB2gBTaBlcBSoB,v115@RhE8AeJ8AeC8Je3AYaAFLDmClcJSAVDEHBEooRBToA?VBK+LgC6OBAAvhF+jBRiBKfBzaB0hBliB,v115@RhE8AeJ8AeC8Je3AYaAFLDmClcJSAVDEHBEooRBToA?VBK+TFDvOBAAvhF+jBRiByfB0hBTfBliB,v115@RhE8AeJ8AeC8JeUDYaAFLDmClcJSAVDEHBEooRBaoA?VBUubgCqCBAAvhFVnBxkB3cBTaBGeBibB,v115@RhE8AeJ8AeC8JeVHYaAFLDmClcJSAVDEHBEooRBUoA?VBK3TWCa+AAAvhF+jBzdB3cBKfBUgBRbB
IZSLJOT,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSLOTJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSLOJT,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSJTLO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSJTOL,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSJLTO,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSJLOT,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSJOTL,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSJOLT,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSOTLJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSOTJL,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSOLTJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSOLJT,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSOJTL,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZSOJLT,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZOTLJS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IZOTLSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOTJLS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IZOTJSL,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X
IZOTSLJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOTSJL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
IZOLTJS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IZOLTSJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IZOLJTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IZOLJST,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOLSTJ,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOLSJT,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOJTLS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IZOJTSL,O,O,X,O,X,X,O,O,X,X,X,O,X,X,O,X
IZOJLTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IZOJLST,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOJSTL,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O,X
IZOJSLT,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZOSTLJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZOSTJL,X,X,X,O,X,X,O,O,X,X,X,O,X,X,O,X
IZOSLTJ,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZOSLJT,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IZOSJTL,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O,X
IZOSJLT,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IOTLJSZ,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O,X
IOTLJZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOTLSJZ,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O,X
IOTLSZJ,O,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOTLZJS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOTLZSJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOTJLSZ,O,O,X,X,O,O,O,X,X,X,O,O,X,X,O,X
IOTJLZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOTJSLZ,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,X
IOTJSZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
IOTJZLS,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
IOTJZSL,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,X
IOTSLJZ,O,X,O,X,O,O,O,X,X,X,O,O,X,X,O,X
IOTSLZJ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
IOTSJLZ,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,X
IOTSJZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
IOTSZLJ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
IOTSZJL,O,X,X,O,O,X,O,O,X,X,X,O,X,X,O,X
IOTZLJS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOTZLSJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOTZJLS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IOTZJSL,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X
IOTZSLJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOTZSJL,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
IOLTJSZ,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O,X
IOLTJZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOLTSJZ,O,O,X,X,O,O,O,X,X,X,O,X,X,X,O,X
IOLTSZJ,O,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOLTZJS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOLTZSJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOLJTSZ,O,O,X,X,O,O,O,X,X,X,O,O,X,X,O,X
IOLJTZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOLJSTZ,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IOLJSZT,O,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IOLJZTS,O,O,X,O,X,X,X,O,X,O,O,X,X,X,O,X
IOLJZST,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X
IOLSTJZ,O,O,X,X,O,O,O,X,X,X,O,O,X,X,O,X
IOLSTZJ,O,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X
IOLSJTZ,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IOLSJZT,O,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IOLSZTJ,O,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X
IOLSZJT,O,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X
IOLZTJS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOLZTSJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOLZJTS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOLZJST,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
IOLZSTJ,O,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOLZSJT,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
IOJTLSZ,O,O,X,X,O,O,O,X,X,X,O,O,X,X,O,X
IOJTLZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOJTSLZ,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,X
IOJTSZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
IOJTZLS,O,O,O,O,X,X,X,O,O,X,X,X,X,X,O,X
IOJTZSL,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,X
IOJLTSZ,O,O,X,X,O,O,O,X,X,X,O,O,X,X,O,X
IOJLTZS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOJLSTZ,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IOJLSZT,O,O,X,X,X,O,O,O,X,O,X,O,X,X,X,X
IOJLZTS,O,O,X,O,X,X,X,O,X,O,O,X,X,X,O,X
IOJLZST,O,O,X,X,X,O,O,O,X,O,X,X,X,X,O,X
IOJSTLZ,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOJSTZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,X
IOJSLTZ,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOJSLZT,X,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X
IOJSZTL,X,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X
IOJSZLT,X,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X
IOJZTLS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
IOJZTSL,O,O,O,O,O,X,O,O,O,O,X,O,X,X,O,X
IOJZLTS,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X
IOJZLST,O,O,X,X,X,O,O,O,O,O,X,X,X,X,O,X
IOJZSTL,X,O,O,O,O,X,O,O,O,O,X,O,X,X,O,X
IOJZSLT,X,O,O,X,X,O,O,O,O,O,X,O,X,X,O,X
IOSTLJZ,O,X,O,X,O,O,O,X,X,X,O,O,X,X,O,X
IOSTLZJ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
IOSTJLZ,X,X,O,X,O,O,O,X,X,X,O,O,X,X,O,X
IOSTJZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,O,X
IOSTZLJ,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X
IOSTZJL,O,X,X,O,O,X,O,O,X,X,X,O,X,X,O,X
IOSLTJZ,O,O,O,X,O,O,O,X,X,X,O,O,X,X,O,X
IOSLTZJ,O,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X
IOSLJTZ,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOSLJZT,X,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X
IOSLZTJ,O,O,X,X,X,X,O,O,X,X,O,O,X,X,O,X
IOSLZJT,X,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X
IOSJTLZ,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOSJTZL,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,X
IOSJLTZ,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IOSJLZT,X,O,O,X,X,O,O,O,X,O,X,O,X,X,X,X
IOSJZTL,X,O,O,O,O,X,O,O,O,O,X,O,X,X,X,X
IOSJZLT,X,O,O,X,X,O,O,O,O,O,X,O,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IOSZTJL,X,X,X,O,O,X,O,O,X,X,X,O,X,X,O,X
IOSZLTJ,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IOSZLJT,X,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X
IOSZJTL,X,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X
IOSZJLT,X,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X
IOZTLJS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOZTLSJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOZTJLS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IOZTJSL,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X
IOZTSLJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZTSJL,O,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X
IOZLTJS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOZLTSJ,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
IOZLJTS,O,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X
IOZLJST,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
IOZLSTJ,O,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X
IOZLSJT,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
IOZJTLS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IOZJTSL,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X
IOZJLTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
IOZJLST,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X
IOZJSTL,X,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X
IOZJSLT,X,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X
IOZSTLJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IOZSTJL,X,X,X,O,O,X,O,O,X,X,X,O,X,X,O,X
IOZSLTJ,X,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X
IOZSLJT,X,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X
IOZSJTL,X,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X
IOZSJLT,X,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X
LTIJSZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LTIJSOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LTIJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTIJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTIJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LTIJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTISJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LTISJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LTISZJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LTISZOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
LTISOJZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
LTISOZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
LTIZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTIZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTIZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTIZSOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTIZOJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTIOJSZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
LTIOJZS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTIOSJZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
LTIOSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
LTIOZJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
LTIOZSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LTJISZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJISOZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
LTJIZSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJIZOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
LTJIOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJSIZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJSIOZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
LTJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJSZOI,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O
LTJSOIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
LTJSOZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
LTJZISO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJZIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJZSOI,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,O
LTJZOIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
LTJZOSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
LTJOISZ,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O
LTJOIZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTJOSIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
LTJOSZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
LTJOZIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
LTJOZSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
LTSIJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
LTSIJOZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O
LTSIZJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LTSIZOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
LTSIOJZ,O,O,O,X,X,X,O,X,X,X,O,X,X,X,O,O
LTSIOZJ,O,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
LTSJIZO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
LTSJIOZ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O
LTSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
LTSJZOI,O,O,O,X,X,X,X,X,O,O,O,X,X,X,O,O
LTSJOIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
LTSJOZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
LTSZIJO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LTSZIOJ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
LTSZJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
LTSZJOI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O
LTSZOIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTSZOJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O
LTSOIJZ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,O,O
LTSOIZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X
LTSOJIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
LTSOJZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
LTSOZIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTSOZJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,O
LTZIJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTZIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTZISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTZISOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTZIOJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O
LTZIOSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTZJISO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTZJIOS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTZJSIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTZJSOI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTZJOIS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTZJOSI,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTZSIJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTZSIOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTZSJIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O
LTZSJOI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTZSOIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTZSOJI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O
LTZOIJS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTZOISJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
LTZOJIS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTZOJSI,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTZOSIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
LTZOSJI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
LTOIJSZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTOIJZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTOISJZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOIZJS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOJISZ,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,O
LTOJIZS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTOJSIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
LTOJSZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
LTOJZIS,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
LTOJZSI,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O
LTOSIJZ,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O
LTOSIZJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOSJIZ,O,O,O,X,O,O,X,X,X,X,O,X,O,X,X,O
LTOSJZI,O,O,O,X,O,O,X,X,O,O,O,X,X,X,X,O
LTOSZIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
LTOSZJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O
LTOZIJS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTOZISJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
LTOZJIS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTOZJSI,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O
LTOZSIJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
LTOZSJI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O
LITJSZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LITJSOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LITJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LITJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LITJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LITJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LITSJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LITSJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
LITSZJO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
LITSZOJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,O
LITSOJZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O
LITSOZJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
LITZJSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LITZJOS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LITZSJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LITZSOJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O
LITZOJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O
LITZOSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O
LITOJSZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
LITOJZS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
LITOSJZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
LITOSZJ,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
LITOZJS,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
LITOZSJ,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
LIJTSZO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O
LIJTSOZ,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O,O
LIJTZSO,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LIJTZOS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LIJTOSZ,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O,O
LIJTOZS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LIJSTZO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LIJSTOZ,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X
LIJSZTO,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
LIJSZOT,O,O,X,X,X,X,O,O,X,O,X,O,O,X,X,X
LIJSOTZ,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X
LIJSOZT,O,O,X,X,X,O,O,O,X,O,X,O,O,X,X,X
LIJZTSO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
LIJZTOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O
