sequence,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeW2IvhFxR?ByXBTbB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFXS?B8XBibBWhBRmBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFmS?BTWBxgB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8Jef2IvhFmR?BzSBxgBqgB0hBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8Jef2IvhF6W?BZXBucB0gBzhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFOX?B8XBTWBRmB/qBFrB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFRS?BWcB/gB0hBihBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeCxIvhFmS?BxbBTbB0hBXhBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeR2IvhF3X?BTbB0hBGgBihBlqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeZ3IvhFzS?BGWB/gBqhB8qBFqB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezwIvhFOX?B8XB/gB1mByqB5lB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezyIvhFRW?BFWBqhB3lBmlB8qB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JeRxIvhFzS?BFWBqhB3lBmlB8qB,v115@fgA8FeD8FeE8DeF8DeG8DeE8CeH8AeF8JezyIvhFxb?BfbB+lB0hBamBlqB
TILJSZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILJZSO,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TILJZOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TILJOSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TILSOJZ,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X
TILZJSO,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TILZJOS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TILZSJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TILZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TILZOSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X
TILOSZJ,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
