sequence,v115@DhB8IeB8BeB8EeA8AeB8EeC8JeOEJvhFXgB0hB6oBz?lBFsBxvB
TOSLJIZ,X
TOSLJZI,X
TOSLZIJ,X
TOSLZJI,X
TOSJILZ,X
TOSJIZL,X
TOSJLIZ,X
TOSJLZI,X
TOSJZIL,X
TOSJZLI,X
TOSZILJ,X
TOSZIJL,X
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,X
TOSZJLI,X
TOZILJS,X
TOZILSJ,X
TOZIJLS,X
TOZIJSL,X
TOZISLJ,X
TOZISJL,X
TOZLIJS,X
TOZLISJ,X
TOZLJIS,X
TOZLJSI,X
TOZLSIJ,X
TOZLSJI,X
TOZJILS,X
TOZJISL,X
TOZJLIS,X
TOZJLSI,X
TOZJSIL,X
TOZJSLI,X
TOZSILJ,X
TOZSIJL,X
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,X
TOZSJLI,X
ITLJSZO,O
ITLJSOZ,O
ITLJZSO,O
ITLJZOS,O
ITLJOSZ,O
ITLJOZS,O
ITLSJZO,O
ITLSJOZ,O
ITLSZJO,O
ITLSZOJ,O
ITLSOJZ,O
ITLSOZJ,O
ITLZJSO,O
ITLZJOS,O
ITLZSJO,O
ITLZSOJ,O
ITLZOJS,O
ITLZOSJ,O
ITLOJSZ,O
ITLOJZS,O
ITLOSJZ,O
ITLOSZJ,O
ITLOZJS,O
ITLOZSJ,O
ITJLSZO,O
ITJLSOZ,O
ITJLZSO,O
ITJLZOS,O
ITJLOSZ,O
ITJLOZS,O
ITJSLZO,O
ITJSLOZ,O
ITJSZLO,O
ITJSZOL,O
ITJSOLZ,O
ITJSOZL,O
ITJZLSO,O
ITJZLOS,O
ITJZSLO,O
ITJZSOL,O
ITJZOLS,O
ITJZOSL,O
ITJOLSZ,O
ITJOLZS,O
ITJOSLZ,O
ITJOSZL,O
ITJOZLS,O
ITJOZSL,O
ITSLJZO,O
ITSLJOZ,O
ITSLZJO,O
ITSLZOJ,O
ITSLOJZ,O
ITSLOZJ,O
ITSJLZO,O
ITSJLOZ,O
ITSJZLO,O
ITSJZOL,O
ITSJOLZ,O
