sequence,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK1IvhF6QBObBTjBp?UB0hB3dB,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK9IvhFajBpeB0hBP?bBOVBTRB,v115@9gB8HeC8DeA8BeC8AeJ8AeE8JeK9IvhFajBpeB0hBX?UBTVBObB
LTLSZJIO,X,O,X
LTLSZJOI,X,O,X
LTLSZOIJ,X,O,X
LTLSZOJI,X,O,X
LTLSOIJZ,X,O,X
LTLSOIZJ,X,O,X
LTLSOJIZ,X,O,X
LTLSOJZI,X,O,X
LTLSOZIJ,X,O,X
LTLSOZJI,X,O,X
LTLZIJSO,X,O,O
LTLZIJOS,X,X,O
LTLZISJO,X,O,O
LTLZISOJ,X,O,O
LTLZIOJS,X,X,O
LTLZIOSJ,X,X,O
LTLZJISO,X,O,O
LTLZJIOS,X,X,O
LTLZJSIO,X,O,X
LTLZJSOI,X,O,X
LTLZJOIS,O,X,O
LTLZJOSI,O,X,X
LTLZSIJO,X,O,X
LTLZSIOJ,X,O,X
LTLZSJIO,X,O,X
LTLZSJOI,X,O,X
LTLZSOIJ,X,O,X
LTLZSOJI,X,O,X
LTLZOIJS,O,X,O
LTLZOISJ,O,X,O
LTLZOJIS,O,X,O
LTLZOJSI,O,X,X
LTLZOSIJ,O,X,X
LTLZOSJI,O,X,X
LTLOIJSZ,O,X,O
LTLOIJZS,O,X,O
LTLOISJZ,O,X,O
LTLOISZJ,O,X,O
LTLOIZJS,O,X,O
LTLOIZSJ,O,X,O
LTLOJISZ,O,X,O
LTLOJIZS,O,X,O
LTLOJSIZ,O,X,X
LTLOJSZI,O,X,X
LTLOJZIS,O,X,O
LTLOJZSI,O,X,X
LTLOSIJZ,O,X,X
LTLOSIZJ,O,X,X
LTLOSJIZ,O,X,X
LTLOSJZI,O,X,X
LTLOSZIJ,O,X,X
LTLOSZJI,O,X,X
LTLOZIJS,O,X,O
LTLOZISJ,O,X,O
LTLOZJIS,O,X,O
LTLOZJSI,O,X,X
LTLOZSIJ,O,X,X
LTLOZSJI,O,X,X
LTJILSZO,X,O,O
LTJILSOZ,X,O,O
LTJILZSO,X,O,O
LTJILZOS,X,X,O
LTJILOSZ,X,X,O
LTJILOZS,X,X,O
LTJISLZO,X,O,O
LTJISLOZ,X,O,O
LTJISZLO,X,O,O
LTJISZOL,X,O,O
LTJISOLZ,X,O,O
LTJISOZL,X,O,O
LTJIZLSO,X,O,O
LTJIZLOS,X,X,O
LTJIZSLO,X,O,O
LTJIZSOL,X,O,O
LTJIZOLS,X,X,O
LTJIZOSL,X,X,O
LTJIOLSZ,X,X,O
LTJIOLZS,X,X,O
LTJIOSLZ,X,X,O
LTJIOSZL,X,X,O
LTJIOZLS,X,X,O
LTJIOZSL,X,X,O
LTJLISZO,X,O,O
LTJLISOZ,X,O,O
LTJLIZSO,X,O,O
LTJLIZOS,X,X,O
LTJLIOSZ,X,X,O
LTJLIOZS,X,X,O
LTJLSIZO,X,O,X
LTJLSIOZ,X,O,X
LTJLSZIO,X,O,X
LTJLSZOI,X,O,X
LTJLSOIZ,X,O,X
LTJLSOZI,X,O,X
LTJLZISO,X,O,O
LTJLZIOS,X,X,O
LTJLZSIO,X,O,X
LTJLZSOI,X,O,X
LTJLZOIS,O,X,O
LTJLZOSI,O,X,X
LTJLOISZ,O,X,O
LTJLOIZS,O,X,O
LTJLOSIZ,O,X,X
LTJLOSZI,O,X,X
LTJLOZIS,O,X,O
LTJLOZSI,O,X,X
LTJSILZO,X,O,X
LTJSILOZ,X,O,X
LTJSIZLO,X,O,X
LTJSIZOL,X,O,X
LTJSIOLZ,X,O,X
LTJSIOZL,X,O,X
LTJSLIZO,X,O,X
LTJSLIOZ,X,O,X
LTJSLZIO,X,O,X
LTJSLZOI,X,O,X
LTJSLOIZ,X,O,X
LTJSLOZI,X,O,X
LTJSZILO,X,O,X
LTJSZIOL,X,O,X
LTJSZLIO,X,O,X
LTJSZLOI,X,O,X
LTJSZOIL,X,O,X
LTJSZOLI,X,O,X
LTJSOILZ,X,O,X
LTJSOIZL,X,O,X
LTJSOLIZ,X,O,X
LTJSOLZI,X,O,X
LTJSOZIL,X,O,X
LTJSOZLI,X,O,X
LTJZILSO,X,O,O
LTJZILOS,X,X,O
LTJZISLO,X,O,O
LTJZISOL,X,O,O
LTJZIOLS,X,X,O
LTJZIOSL,X,X,O
LTJZLISO,X,O,O
LTJZLIOS,X,X,O
LTJZLSIO,X,O,X
LTJZLSOI,X,O,X
LTJZLOIS,O,X,O
LTJZLOSI,O,X,X
LTJZSILO,X,O,X
LTJZSIOL,X,O,X
LTJZSLIO,X,O,X
LTJZSLOI,X,O,X
LTJZSOIL,X,O,X
LTJZSOLI,X,O,X
LTJZOILS,O,X,O
LTJZOISL,O,X,O
LTJZOLIS,O,X,O
LTJZOLSI,O,X,X
LTJZOSIL,O,X,X
LTJZOSLI,O,X,X
LTJOILSZ,O,X,O
LTJOILZS,O,X,O
LTJOISLZ,O,X,O
LTJOISZL,O,X,O
LTJOIZLS,O,X,O
LTJOIZSL,O,X,O
LTJOLISZ,O,X,O
LTJOLIZS,O,X,O
LTJOLSIZ,O,X,X
LTJOLSZI,O,X,X
LTJOLZIS,O,X,O
LTJOLZSI,O,X,X
LTJOSILZ,O,X,X
LTJOSIZL,O,X,X
LTJOSLIZ,O,X,X
LTJOSLZI,O,X,X
LTJOSZIL,O,X,X
LTJOSZLI,O,X,X
LTJOZILS,O,X,O
LTJOZISL,O,X,O
LTJOZLIS,O,X,O
LTJOZLSI,O,X,X
