sequence,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?BTWBfgB8gBCdB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?B8aBfcBCdBTgB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?B0WBzaBCdB3gB,v115@ygA8IeB8EeA8BeC8BeD8AeH8AeE8CeD8Je+vIvhEZQ?BXWBzbBCdBUgB
TILJSZO,O,X,X,X
TILJSOZ,X,X,O,X
TILJZSO,O,X,X,X
TILJZOS,X,X,X,O
TILJOSZ,X,O,O,X
TILJOZS,X,O,X,O
TILSJZO,O,X,X,X
TILSJOZ,X,X,O,X
TILSZJO,O,X,X,X
TILSZOJ,O,X,X,X
TILSOJZ,X,X,O,X
TILSOZJ,X,X,O,X
TILZJSO,O,X,X,X
TILZJOS,X,X,X,O
TILZSJO,O,X,X,X
TILZSOJ,O,X,X,X
TILZOJS,X,X,X,O
TILZOSJ,X,X,X,O
TILOJSZ,X,O,O,X
TILOJZS,X,O,X,O
TILOSJZ,X,O,O,X
TILOSZJ,X,O,O,X
TILOZJS,X,O,X,O
TILOZSJ,X,O,X,O
TIJLSZO,O,X,X,X
TIJLSOZ,X,X,O,X
TIJLZSO,O,X,X,X
TIJLZOS,X,X,X,O
TIJLOSZ,X,O,O,X
TIJLOZS,X,O,X,O
TIJSLZO,O,X,X,X
TIJSLOZ,X,X,O,X
TIJSZLO,O,X,X,X
TIJSZOL,O,X,X,X
TIJSOLZ,X,X,O,X
TIJSOZL,X,X,O,X
TIJZLSO,O,X,X,X
TIJZLOS,X,X,X,O
TIJZSLO,O,X,X,X
TIJZSOL,O,X,X,O
TIJZOLS,X,X,X,O
TIJZOSL,X,X,X,O
TIJOLSZ,X,O,O,X
TIJOLZS,X,O,X,O
TIJOSLZ,X,O,X,X
TIJOSZL,X,O,X,X
TIJOZLS,X,O,X,O
TIJOZSL,X,O,X,O
TISLJZO,O,X,X,X
TISLJOZ,X,X,O,X
TISLZJO,O,X,X,X
TISLZOJ,O,X,X,X
TISLOJZ,X,X,O,X
TISLOZJ,X,X,O,X
TISJLZO,O,X,X,X
TISJLOZ,X,X,O,X
TISJZLO,O,X,X,X
TISJZOL,O,X,X,X
