sequence,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFqcBxYB?TaBXeB0iBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFWdBTZB?3aBRiB0iBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFqcBxYB?TaB0dBXjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFzXB3aB?RiBuiBcjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBzXB?CZBRiBXjBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFTZB3aB?RiBGiB8sBFsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jei1IvhFRYBceB?3aBznBFnBGsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBWdB?RiB3nBcoBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBlYB?RiBusBfsBctB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBSeB?RiBznBfnBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeO6IvhF8aBzXB?RiB3nBFoBCtB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8JeK6IvhFzVBxYB?FeBGiB8sBfsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Je26IvhFRYBceB?zcBqiB3fBlsB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jey6IvhFUYBOjB?5nBfsBTkBFtB,v115@sgB8HeB8GeC8DeH8BeG8CeH8AeB8Jem1IvhFTaBRiB?cjBqnBfnBlsB
IZLJTSO,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IZLJTOS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IZLJSTO,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X
IZLJSOT,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X
IZLJOTS,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X
IZLJOST,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
IZLSTJO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLSTOJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLSJTO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLSJOT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZLSOTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLSOJT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZLOTJS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IZLOJST,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IZLOSTJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZLOSJT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZJTLOS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZJTSLO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJTSOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJTOLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZJTOSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IZJLTSO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZJLTOS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZJLSTO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IZJLSOT,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IZJLOTS,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
IZJLOST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IZJSTLO,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IZJSTOL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZJSLTO,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IZJSLOT,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X
IZJSOTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IZJSOLT,X,O,X,X,O,O,X,X,X,O,O,X,X,O,X
IZJOTLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZJOTSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IZJOLTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IZJOSTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IZJOSLT,X,O,X,X,O,O,X,X,X,O,O,X,X,X,X
IZSTLJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSTJLO,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IZSTJOL,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IZSTOLJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSTOJL,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IZSLTJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSLJTO,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IZSLJOT,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSLOTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSLOJT,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSJTLO,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSJTOL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSJLTO,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSJLOT,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSJOTL,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
IZSJOLT,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X
IZSOTLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
IZSOLTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSOJTL,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
IZSOJLT,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
IZOTLJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IZOTLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOTJLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IZOTJSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IZOTSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTSJL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLTJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IZOLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOLJTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IZOLJST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
IZOLSTJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IZOLSJT,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O
IZOJTLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IZOJTSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IZOJLTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IZOJLST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
IZOJSTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IZOJSLT,X,O,X,X,O,O,X,X,X,O,O,X,X,X,O
IZOSTLJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZOSLJT,X,O,X,O,O,O,X,X,X,O,X,X,X,X,O
IZOSJTL,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
IZOSJLT,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O
IOTLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IOTLSJZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,O,X,O,X,X,X,X,O,X,X,O,X,O
IOTLZSJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IOTJLSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IOTJSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOTJZSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTSZJL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTZLJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOTZLSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOTZJLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOTZJSL,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
IOTZSLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZSJL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOLTSJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZJS,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O
IOLTZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOLJTSZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJTZS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O
IOLJSTZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLJSZT,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O
IOLJZTS,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O
IOLJZST,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O
IOLSTJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
IOLSJZT,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O
IOLSZTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOLSZJT,O,O,X,O,O,X,X,O,X,O,X,X,X,X,O
IOLZTJS,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O
IOLZTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLZJTS,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O
IOLZJST,X,X,O,X,O,X,X,X,O,O,O,X,X,X,O
IOLZSTJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
IOLZSJT,X,X,O,X,O,X,X,O,X,O,X,X,X,X,O
IOJTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
IOJTSLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJTZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
IOJLSTZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O
IOJLZTS,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O
IOJLZST,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O
IOJSTLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O
IOJSZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O
IOJZTLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOJZTSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOJZLTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOJZLST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
IOJZSTL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOJZSLT,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
IOSTLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSTZJL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSLTJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSLZTJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IOSLZJT,O,O,X,O,O,O,O,X,X,O,X,X,X,X,O
IOSJTLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSJZTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O
IOSZTLJ,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IOSZLJT,O,O,X,O,O,O,O,X,X,O,X,X,X,X,O
IOSZJTL,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
IOSZJLT,O,O,X,O,O,O,O,X,X,O,O,X,X,X,O
IOZTLJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOZTLSJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOZTJLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOZTJSL,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
IOZTSLJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOZLJTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOZLJST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
IOZLSTJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
IOZLSJT,X,X,X,X,O,O,O,X,X,O,X,X,X,X,O
IOZJTLS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOZJTSL,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOZJLTS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
IOZJLST,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
IOZJSTL,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IOZJSLT,X,O,X,X,O,O,O,X,X,O,O,X,X,X,O
IOZSTLJ,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IOZSLJT,X,O,X,O,O,O,O,X,X,O,X,X,X,X,O
IOZSJTL,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X
IOZSJLT,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O
LTIJSZO,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
LTIJSOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZSO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTIJZOS,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
LTIJOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X
LTISJZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTISJOZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTISZJO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTISZOJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTISOJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTISOZJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTIZJSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTIZSJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTIZOSJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTIOJSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOJZS,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X
LTIOSJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIOSZJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
LTIOZJS,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTIOZSJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJISZO,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTJISOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJIZOS,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LTJSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJZISO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJZSIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJZOIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJZOSI,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJOISZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LTJOSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJOZIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJOZSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTSIJZO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSIJOZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSIZJO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSIOJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSIOZJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSJIZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSJOIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSZIJO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSZOIJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTSZOJI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTSOIJZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSOIZJ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
LTSOJIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTSOZIJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTSOZJI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTZIJSO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTZIJOS,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
LTZISJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOJS,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
LTZIOSJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
LTZJISO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LTZJIOS,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X
LTZJSIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZJSOI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
LTZJOIS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTZJOSI,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTZSIJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZSJOI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
LTZSOIJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTZSOJI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTZOIJS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTZOISJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTZOJIS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTZOJSI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTZOSIJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTZOSJI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTOIJSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOIJZS,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LTOISJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOIZJS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOIZSJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOJISZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTOJIZS,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X
LTOJSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOJZIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOJZSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOSIJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOSJIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOSZIJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOSZJI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOZIJS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTOZISJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOZJIS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTOZJSI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LTOZSIJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTOZSJI,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
LITJSZO,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LITJSOZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJZSO,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LITJZOS,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITSJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSZJO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSZOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSOJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITSOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LITZJSO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
