sequence,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeRzXaAFLDmClc?JSAVDEHBEooRBJoAVBTHUFDqOBAAvhFXNBzLB6PB0JBOLBl?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVBMtPFDpOBAAvhFSTBXNB2QB0LBxOBl?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB03ntCM+AAAvhFVSB0LBGOB3HBiLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeXvXaAFLDmClc?JSAVDEHBEooRBToAVBa+dgCs/AAAvhFUNBxQBVOBTGBiHBG?PB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/rtCU+AAAvhFUNBGOBKLBfMBlMBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/9tCM+AAAvhFUNBGOBlLB3MBiLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTvXaAFLDmClc?JSAVDEHBEooRBPoAVB6/rtCU+AAAvhFUNBGOBiLB3MBlLBx?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeVyXaAFLDmClc?JSAVDEHBEooRBUoAVBvSltC6/AAAvhFTLB6PBROB3HB0OBm?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeTrXaAFLDmClc?JSAVDEHBEooRBPoAVBqHUWCU+AAAvhF+PBsOBXJBiMBVSBx?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBqHcgCsOBAAvhF+PBsOBXJBzHBiLBl?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeUtXaAFLDmClc?JSAVDEHBEooRBaoAVBK+LgCzOBAAvhF+PBROBKLBzGB3MBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8Je3sXaAFLDmClc?JSAVDEHBEooRBToAVBK+LgC6OBAAvhF+PBROBKLBzGBUNBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBqHcgC0CBAAvhF+PBsOBXJBzHBlLBi?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8Je3sXaAFLDmClc?JSAVDEHBEooRBToAVBK+TFDvOBAAvhF+PBROByLBUNBTLBl?OB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVB0HbPCMNBAAvhFVOBUKBzHB2LBSUB3?LB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeVyXaAFLDmClc?JSAVDEHBEooRBUoAVBqHMMCvCBAAvhF+PBsOBXJBxLBTLBi?MB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeV0XaAFLDmClc?JSAVDEHBEooRBUoAVBJtrgCqCBAAvhFxRB3LBUJBzHBGKBi?GB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JeS0XaAFLDmClc?JSAVDEHBEooRBMoAVBJ9aFDqOBAAvhFxRBXKBzHBsLBOLBF?JB,v115@pgG8AeJ8AeJ8AeH8AeH8AeH8AeC8JexxXaAFLDmClc?JSAVDEHBEooRBJoAVBzfrgC0CBAAvhF3LB+PBsOBzHBFJBi?GB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
TILJOSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILSJOZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TILSZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILSZOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TILSOJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TILSOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TILZJSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILZJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TILZSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILZSOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TILZOJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TILZOSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TILOJSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
TILOSJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TILOSZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TILOZJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TILOZSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJLSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
TIJLOSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TIJSLOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIJSZLO,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,O
TIJSZOL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O
TIJSOLZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIJSOZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O
TIJZLSO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,O
TIJZLOS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,O
TIJZSLO,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,O
TIJZSOL,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,O
