sequence,v115@9gC8EeE8DeF8CeG8DeC8JepFJvhGqrBdiB8dBpUBzV?BOVB3TB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhBlmB2wB,v115@9gC8EeE8DeF8CeG8DeC8JeuFJvhCFiBTmBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeFBJvhCXiBWrBRwB,v115@9gC8EeE8DeF8CeG8DeC8JexBJvhCRmBqqB0rB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhBNrBzrB,v115@9gC8EeE8DeF8CeG8DeC8JetFJvhCxhB3mBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhBTrBmrB,v115@9gC8EeE8DeF8CeG8DeC8JeCBJvhCXiBVrBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeUBJvhCFiBWrBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCzlBCnBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhBimB1wB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCZmBFiBqrB,v115@9gC8EeE8DeF8CeG8DeC8JeqFJvhCxhBlmBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhB3mB2wB,v115@9gC8EeE8DeF8CeG8DeC8JezAJvhCFiBSrBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCxhB0rBirB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCCrBUrBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCZmBtmBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCZmBurBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeFCJvhCCmBUmBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCCrBFrBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCXiB0rBOrB,v115@9gC8EeE8DeF8CeG8DeC8JeXCJvhCzlBGmBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5GJvhCtqBarBOsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCtqBCnB2wB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCNrB6rBOsB,v115@9gC8EeE8DeF8CeG8DeC8JeXCJvhCUmBCmBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCuqBcrBXsB,v115@9gC8EeE8DeF8CeG8DeC8JeFCJvhCGmBzlBRwB,v115@9gC8EeE8DeF8CeG8DeC8JetFJvhCXiBTmBRwB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCOmBXiB1wB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCFrBCrBXsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCGrBzqBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCqqB/rBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhC0hBNrBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhClmBOrBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhC2mBcrBXsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCqqBTmBXsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCzlBSwBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhC2mBTrBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCuqBTrBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCUmBWwBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhC/mBFiB2wB,v115@9gC8EeE8DeF8CeG8DeC8JeqFJvhC/mBFnBRwB,v115@9gC8EeE8DeF8CeG8DeC8JeRGJvhCGmBzqBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je5FJvhCXiBNrB0rB,v115@9gC8EeE8DeF8CeG8DeC8JexBJvhCCrBfrBzrB,v115@9gC8EeE8DeF8CeG8DeC8JetFJvhCxhBXrBzrB,v115@9gC8EeE8DeF8CeG8DeC8JeXCJvhCuqB0rBFrB,v115@9gC8EeE8DeF8CeG8DeC8JeFBJvhCXiBqqB0rB,v115@9gC8EeE8DeF8CeG8DeC8JeCBJvhCXiB8qB1wB,v115@9gC8EeE8DeF8CeG8DeC8JeuKJvhC3mBUrBFsB,v115@9gC8EeE8DeF8CeG8DeC8JeuFJvhCFiBXrB0rB,v115@9gC8EeE8DeF8CeG8DeC8JeFCJvhCCmB0rBzqB,v115@9gC8EeE8DeF8CeG8DeC8JeXCJvhCzlB1wBCrB,v115@9gC8EeE8DeF8CeG8DeC8JetGJvhCuqBarBXsB,v115@9gC8EeE8DeF8CeG8DeC8JezAJvhCCrB3rBFsB,v115@9gC8EeE8DeF8CeG8DeC8JetGJvhCarBuqBXsB,v115@9gC8EeE8DeF8CeG8DeC8JezAJvhC3mBWwBFsB,v115@9gC8EeE8DeF8CeG8DeC8Je8FJvhC3mBWwBFsB,v115@9gC8EeE8DeF8CeG8DeC8JetFJvhCXrB6rBOsB,v115@9gC8EeE8DeF8CeG8DeC8JeCBJvhClmBzqBXsB,v115@9gC8EeE8DeF8CeG8DeC8Je1GJvhCqqBUmBXsB,v115@9gC8EeE8DeF8CeG8DeC8JepFJvhG9ZBqYBJQBzVB0r?BXnBOrB,v115@9gC8EeE8DeF8CeG8DeC8JepFJvhG9ZBqYBJQBzVB2m?BMrBXsB
comments,mL's 5-4 upstack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,factory recovery,factory recovery
ITILJSZO,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITILJSOZ,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITILJZSO,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITILJZOS,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITILJOSZ,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITILJOZS,O,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITILSJZO,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITILSJOZ,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITILSZJO,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITILSZOJ,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITILSOJZ,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ITILSOZJ,O,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITILZJSO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITILZJOS,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITILZSJO,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITILZSOJ,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ITILZOJS,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ITILZOSJ,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
