sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEWhBxcBzfBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBGdB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBciBzfBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhEzbBCdB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBGdBigBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBzbBuhBc?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBuhBciBi?gBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBRcBciBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEegBCcBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhETdB0fBfnBm?lB6rB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhExcBzfBurBf?rBFsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBzfBurBc?sBFrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhESiB0fBzmBm?lBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEciBzfB5mBf?rBmrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhElcBzfBurBf?rBcsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhExcB0fBzmBf?mBCsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEXgBxhBCiB8?rBmqB
TILJSZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZSO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILJOSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZSJO,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJLOSZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJZSLO,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
