sequence,v115@vhCXMJVyB0iB,v115@vhC0KJ1uBXgB,v115@vhCUNJVxBXrB,v115@vhC3JJ1vB0rB,v115@vhCvNJ0sB1wB,v115@vhCcJJXqBVwB,v115@vhCMNJ3nBVwB,v115@vhC/JJUlB1wB,v115@vhCUMJVwB3hB,v115@vhC3KJ1wBUhB,v115@vhCVSJ0iB3pB,v115@vhC1OJXgBUtB,v115@vhCXMJFrB0hB,v115@vhC0KJlrBXhB
comments,standard_antipco,standard_antipco_mirror,long_mound,long_mound_mirror,short_mound,short_mound_mirror,floating_tsd,floating_tsd_mirror,floating_tss,floating_tss_mirror,IT_tss,IT_tss_mirror,long_S,long_S_mirror
TSZ,O,O,O,O,O,O,O,O,O,O,O,O,O,O
TZS,O,O,O,O,O,O,O,O,O,O,O,O,O,O
STZ,O,O,O,O,O,O,O,O,O,O,O,O,O,O
SZT,O,O,O,O,O,O,O,O,O,O,O,O,O,O
ZTS,O,O,O,O,O,O,O,O,O,O,O,O,O,O
ZST,O,O,O,O,O,O,O,O,O,O,O,O,O,O
