sequence,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXYBTZBUcB1?iBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBceBGdBi?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBTZBFdB0?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBSeBUdBm?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBGZBzdBi?hB8hBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFlXBGZBzdBX?mB8mBarB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFTZBFcB0dBX?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFzXBCZBXeBO?rBlrB8qB
TILJSZO,O,O,O,O,X,X,X,X
TILJSOZ,O,X,O,X,X,X,X,X
TILJZSO,O,O,O,O,X,X,X,X
TILJZOS,O,X,O,X,X,X,O,X
TILJOSZ,O,X,O,O,O,X,X,X
TILJOZS,O,X,O,O,O,X,O,X
TILSJZO,O,O,X,O,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,X,X
TILSZOJ,O,X,O,O,X,X,O,X
TILSOJZ,O,X,O,O,O,X,X,X
TILSOZJ,O,X,O,O,O,X,O,X
TILZJSO,O,O,X,O,X,X,X,X
TILZJOS,O,X,X,X,X,X,O,X
TILZSJO,O,O,X,O,X,X,X,X
TILZSOJ,O,X,O,O,X,X,O,X
TILZOJS,O,O,X,O,O,X,O,X
TILZOSJ,O,O,O,O,O,X,O,X
TILOJSZ,O,O,O,O,O,X,X,X
TILOJZS,O,O,O,O,O,X,O,X
TILOSJZ,O,O,O,O,O,X,X,X
TILOSZJ,O,O,O,O,O,X,O,X
TILOZJS,O,O,X,O,O,X,O,X
TILOZSJ,O,O,O,O,O,X,O,X
