sequence,v115@vhGUNJvoBRwBVrB2uBzkBifB,v115@vhGUNJvoBRwBVrByuBTkBmfB,v115@vhGUNJvoB1wBxuByqBTkBmfB,v115@vhGUNJvoB1wBWvByqBzfBJkB
TILJSZO,X,X,X,O
TILJSOZ,X,X,X,O
TILJZSO,O,O,O,O
TILJZOS,O,O,O,O
TILJOSZ,O,O,O,O
TILJOZS,O,O,O,O
TILSJZO,X,X,X,O
TILSJOZ,X,X,X,O
TILSZJO,X,O,O,O
TILSZOJ,X,O,O,O
TILSOJZ,X,O,O,X
TILSOZJ,X,O,O,X
TILZJSO,O,O,O,O
TILZJOS,O,O,O,O
TILZSJO,O,O,O,O
TILZSOJ,X,O,O,O
TILZOJS,X,O,O,O
TILZOSJ,X,O,O,O
TILOJSZ,X,O,O,O
TILOJZS,X,O,O,O
TILOSJZ,X,O,O,X
TILOSZJ,X,O,O,X
TILOZJS,X,O,O,O
TILOZSJ,X,O,O,O
TIJLSZO,X,X,X,O
TIJLSOZ,X,X,X,O
TIJLZSO,O,O,O,O
TIJLZOS,O,O,O,O
TIJLOSZ,O,O,O,O
TIJLOZS,O,O,O,O
TIJSLZO,X,X,X,O
TIJSLOZ,X,X,X,O
TIJSZLO,O,X,X,O
TIJSZOL,O,X,X,O
TIJSOLZ,O,X,X,X
TIJSOZL,O,X,X,X
TIJZLSO,O,O,O,O
TIJZLOS,O,O,O,O
TIJZSLO,O,O,O,O
TIJZSOL,O,X,O,O
TIJZOLS,O,X,O,O
TIJZOSL,O,X,O,O
TIJOLSZ,O,X,O,O
TIJOLZS,O,X,O,O
TIJOSLZ,O,X,X,X
TIJOSZL,O,X,X,X
TIJOZLS,O,X,O,O
TIJOZSL,O,X,O,O
TISLJZO,X,X,X,O
TISLJOZ,X,X,X,O
TISLZJO,X,O,O,O
TISLZOJ,X,O,O,O
TISLOJZ,X,O,O,X
TISLOZJ,X,O,O,X
TISJLZO,X,X,X,O
TISJLOZ,X,X,X,O
TISJZLO,O,X,X,O
TISJZOL,O,X,X,O
TISJOLZ,O,X,X,X
TISJOZL,O,X,X,X
TISZLJO,O,O,O,O
TISZLOJ,X,O,O,O
TISZJLO,O,O,O,O
TISZJOL,O,X,O,O
TISZOLJ,X,O,O,O
TISZOJL,O,X,O,O
TISOLJZ,X,X,O,X
TISOLZJ,X,X,O,X
TISOJLZ,X,X,X,X
TISOJZL,X,X,X,X
TISOZLJ,X,X,O,X
TISOZJL,X,X,O,X
TIZLJSO,O,O,O,O
TIZLJOS,O,O,O,O
TIZLSJO,O,O,O,O
TIZLSOJ,X,O,O,O
TIZLOJS,X,O,O,O
TIZLOSJ,X,O,O,O
TIZJLSO,O,O,O,O
TIZJLOS,O,O,O,O
TIZJSLO,O,O,O,O
TIZJSOL,O,X,O,O
TIZJOLS,O,X,O,O
TIZJOSL,O,X,O,O
TIZSLJO,O,O,O,O
TIZSLOJ,X,O,O,O
TIZSJLO,O,O,O,O
TIZSJOL,O,X,O,O
TIZSOLJ,X,O,O,O
TIZSOJL,O,X,O,O
TIZOLJS,X,O,O,O
TIZOLSJ,X,O,O,O
TIZOJLS,O,X,O,O
TIZOJSL,O,X,O,O
TIZOSLJ,X,O,O,O
TIZOSJL,O,X,O,O
TIOLJSZ,X,O,O,O
TIOLJZS,X,O,O,O
TIOLSJZ,X,O,O,X
TIOLSZJ,X,O,O,X
TIOLZJS,X,O,O,O
TIOLZSJ,X,O,O,O
TIOJLSZ,O,X,O,O
TIOJLZS,O,X,O,O
TIOJSLZ,O,X,X,X
TIOJSZL,O,X,X,X
TIOJZLS,O,X,O,O
TIOJZSL,O,X,O,O
TIOSLJZ,X,X,O,X
TIOSLZJ,X,X,O,X
TIOSJLZ,X,X,X,X
TIOSJZL,X,X,X,X
TIOSZLJ,X,X,O,X
TIOSZJL,X,X,O,X
TIOZLJS,X,O,O,O
TIOZLSJ,X,O,O,O
TIOZJLS,O,X,O,O
TIOZJSL,O,X,O,O
TIOZSLJ,X,O,O,O
TIOZSJL,O,X,O,O
TLIJSZO,X,X,X,O
TLIJSOZ,X,X,X,O
TLIJZSO,X,O,O,O
TLIJZOS,X,O,O,O
TLIJOSZ,X,O,O,O
TLIJOZS,X,O,O,O
TLISJZO,X,X,X,O
TLISJOZ,X,X,X,O
TLISZJO,X,O,O,O
TLISZOJ,X,O,O,O
TLISOJZ,X,O,O,X
TLISOZJ,X,O,O,X
TLIZJSO,X,O,O,O
TLIZJOS,X,O,O,O
TLIZSJO,X,O,O,O
TLIZSOJ,X,O,O,O
TLIZOJS,X,O,O,O
TLIZOSJ,X,O,O,O
TLIOJSZ,X,O,O,O
TLIOJZS,X,O,O,O
TLIOSJZ,X,O,O,X
TLIOSZJ,X,O,O,X
TLIOZJS,X,O,O,O
TLIOZSJ,X,O,O,O
TLJISZO,X,X,X,O
TLJISOZ,X,X,X,O
TLJIZSO,X,X,O,O
TLJIZOS,X,X,O,O
TLJIOSZ,X,X,O,O
TLJIOZS,X,X,O,O
TLJSIZO,X,X,X,O
TLJSIOZ,X,X,X,O
TLJSZIO,X,X,X,O
TLJSZOI,X,X,X,O
TLJSOIZ,X,X,X,O
