sequence,v115@VhC8FeD8BeA8Jeq/IvhEZkBulB3hBctBzpB,v115@VhC8FeD8BeA8Jea8IvhE5gB3hBTkBeqBctB,v115@VhC8FeD8BeA8Jez7IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8JeZ6IvhEzfB3hBSqBctB2uB,v115@VhC8FeD8BeA8Jee8IvhEZkB3hBqpBTlBctB
LTSZJIO,X,X,O,O,X
LTSZJOI,X,X,O,O,X
LTSZOIJ,X,X,O,X,O
LTSZOJI,X,X,O,X,O
LTSOIJZ,X,X,O,X,O
LTSOIZJ,X,X,O,X,O
LTSOJIZ,X,X,O,X,O
LTSOJZI,X,X,O,X,O
LTSOZIJ,X,X,O,X,O
LTSOZJI,X,X,O,X,O
LTZIJSO,X,X,O,X,X
LTZIJOS,X,X,O,X,X
LTZISJO,X,X,O,X,X
LTZISOJ,X,X,O,X,O
LTZIOJS,X,X,X,X,O
LTZIOSJ,X,X,X,X,O
LTZJISO,X,X,O,O,X
LTZJIOS,X,X,O,O,X
LTZJSIO,X,X,O,O,X
LTZJSOI,X,X,O,O,X
LTZJOIS,X,X,O,O,X
LTZJOSI,X,X,O,O,X
LTZSIJO,X,X,O,X,X
LTZSIOJ,X,X,O,X,O
LTZSJIO,X,X,O,O,X
LTZSJOI,X,X,O,O,X
LTZSOIJ,X,X,O,X,O
LTZSOJI,X,X,O,X,O
LTZOIJS,X,X,X,X,O
LTZOISJ,X,X,X,X,O
LTZOJIS,X,X,X,X,O
LTZOJSI,X,X,X,X,O
LTZOSIJ,X,X,X,X,O
LTZOSJI,X,X,X,X,O
LTOIJSZ,X,X,X,X,O
LTOIJZS,X,X,X,X,O
LTOISJZ,X,X,X,X,O
LTOISZJ,X,X,X,X,O
LTOIZJS,X,X,X,X,O
LTOIZSJ,X,X,X,X,O
LTOJISZ,X,X,X,X,O
LTOJIZS,X,X,X,X,O
LTOJSIZ,X,X,X,X,O
LTOJSZI,X,X,X,X,O
LTOJZIS,X,X,X,X,O
LTOJZSI,X,X,X,X,O
LTOSIJZ,X,X,X,X,O
LTOSIZJ,X,X,X,X,O
LTOSJIZ,X,X,X,X,O
LTOSJZI,X,X,X,X,O
LTOSZIJ,X,X,X,X,O
LTOSZJI,X,X,X,X,O
LTOZIJS,X,X,X,X,O
LTOZISJ,X,X,X,X,O
LTOZJIS,X,X,X,X,O
LTOZJSI,X,X,X,X,O
LTOZSIJ,X,X,X,X,O
LTOZSJI,X,X,X,X,O
LITJSZO,X,O,O,X,X
LITJSOZ,X,O,O,X,X
LITJZSO,X,O,O,X,X
LITJZOS,X,O,O,X,X
LITJOSZ,X,O,O,X,X
LITJOZS,X,O,O,X,X
LITSJZO,X,O,O,X,X
LITSJOZ,X,O,O,X,X
LITSZJO,X,O,O,X,X
LITSZOJ,X,X,O,X,O
LITSOJZ,X,X,O,X,O
LITSOZJ,X,X,O,X,O
LITZJSO,X,O,O,X,X
LITZJOS,X,O,O,X,X
LITZSJO,X,O,O,X,X
LITZSOJ,X,X,O,X,O
LITZOJS,X,X,X,X,O
LITZOSJ,X,X,X,X,O
LITOJSZ,X,X,X,X,O
LITOJZS,X,X,X,X,O
LITOSJZ,X,X,X,X,O
LITOSZJ,X,X,X,X,O
LITOZJS,X,X,X,X,O
LITOZSJ,X,X,X,X,O
LIJTSZO,X,O,O,O,X
LIJTSOZ,X,O,O,O,X
LIJTZSO,X,O,O,O,X
LIJTZOS,X,O,O,O,X
LIJTOSZ,X,O,O,O,X
LIJTOZS,X,O,O,O,X
LIJSTZO,X,O,O,O,X
LIJSTOZ,X,O,O,O,X
LIJSZTO,X,O,O,O,X
LIJSZOT,O,O,O,O,O
LIJSOTZ,O,O,O,O,O
LIJSOZT,O,O,O,O,O
LIJZTSO,X,O,O,O,X
LIJZTOS,X,O,O,O,X
LIJZSTO,X,O,O,O,X
LIJZSOT,O,O,O,O,O
LIJZOTS,O,O,O,O,O
LIJZOST,O,O,O,O,O
LIJOTSZ,O,O,O,O,O
LIJOTZS,O,O,O,O,O
LIJOSTZ,O,O,O,O,O
LIJOSZT,O,O,O,O,O
LIJOZTS,O,O,O,O,O
LIJOZST,O,O,O,O,O
LISTJZO,X,O,O,X,X
LISTJOZ,X,O,O,X,X
LISTZJO,X,O,O,X,X
LISTZOJ,X,X,O,X,O
LISTOJZ,X,X,O,X,O
LISTOZJ,X,X,O,X,O
LISJTZO,X,O,O,O,X
LISJTOZ,X,O,O,O,X
LISJZTO,X,O,O,O,X
LISJZOT,O,O,O,O,O
LISJOTZ,O,O,O,O,O
LISJOZT,O,O,O,O,O
LISZTJO,X,O,O,X,X
LISZTOJ,X,X,O,X,O
LISZJTO,X,O,O,O,X
LISZJOT,O,O,O,O,O
LISZOTJ,O,X,O,X,O
LISZOJT,O,O,O,X,O
LISOTJZ,O,X,O,X,O
LISOTZJ,O,X,O,X,O
LISOJTZ,O,O,O,X,O
LISOJZT,O,O,O,X,O
LISOZTJ,O,X,O,X,O
LISOZJT,O,O,O,X,O
LIZTJSO,X,O,O,X,X
LIZTJOS,X,O,O,X,X
LIZTSJO,X,O,O,X,X
LIZTSOJ,X,X,O,X,O
LIZTOJS,X,X,X,X,O
LIZTOSJ,X,X,X,X,O
LIZJTSO,X,O,O,O,X
LIZJTOS,X,O,O,O,X
LIZJSTO,X,O,O,O,X
LIZJSOT,O,O,O,O,O
LIZJOTS,O,O,O,O,O
LIZJOST,O,O,O,O,O
LIZSTJO,X,O,O,X,X
LIZSTOJ,X,X,O,X,O
LIZSJTO,X,O,O,O,X
LIZSJOT,O,O,O,O,O
LIZSOTJ,O,X,O,X,O
LIZSOJT,O,O,O,X,O
LIZOTJS,O,X,X,X,O
LIZOTSJ,O,X,X,X,O
LIZOJTS,O,O,O,X,O
LIZOJST,O,O,O,X,O
LIZOSTJ,O,X,O,X,O
LIZOSJT,O,O,O,X,O
LIOTJSZ,O,X,X,X,O
LIOTJZS,O,X,X,X,O
LIOTSJZ,O,X,X,X,O
LIOTSZJ,O,X,X,X,O
LIOTZJS,O,X,X,X,O
LIOTZSJ,O,X,X,X,O
LIOJTSZ,O,O,O,X,O
LIOJTZS,O,O,O,X,O
LIOJSTZ,O,O,O,X,O
LIOJSZT,O,O,O,X,O
LIOJZTS,O,O,O,X,O
LIOJZST,O,O,O,X,O
LIOSTJZ,O,X,O,X,O
LIOSTZJ,O,X,O,X,O
LIOSJTZ,O,O,O,X,O
LIOSJZT,O,O,O,X,O
LIOSZTJ,O,X,O,X,O
LIOSZJT,O,O,O,X,O
LIOZTJS,O,X,X,X,O
LIOZTSJ,O,X,X,X,O
LIOZJTS,O,O,O,X,O
LIOZJST,O,O,O,X,O
LIOZSTJ,O,X,O,X,O
LIOZSJT,O,O,O,X,O
LJTISZO,X,X,O,O,X
LJTISOZ,X,X,O,O,X
LJTIZSO,X,X,O,O,X
LJTIZOS,X,X,O,O,X
LJTIOSZ,X,X,O,O,X
LJTIOZS,X,X,O,O,X
LJTSIZO,X,X,O,O,X
LJTSIOZ,X,X,O,O,X
LJTSZIO,X,X,O,O,X
LJTSZOI,X,X,O,O,X
LJTSOIZ,X,X,O,O,X
LJTSOZI,X,X,O,O,X
LJTZISO,X,X,O,O,X
LJTZIOS,X,X,O,O,X
LJTZSIO,X,X,O,O,X
LJTZSOI,X,X,O,O,X
LJTZOIS,X,X,O,O,X
LJTZOSI,X,X,O,O,X
LJTOISZ,X,X,O,O,X
LJTOIZS,X,X,O,O,X
LJTOSIZ,X,X,O,O,X
LJTOSZI,X,X,O,O,X
LJTOZIS,X,X,O,O,X
LJTOZSI,X,X,O,O,X
LJITSZO,X,O,O,O,X
LJITSOZ,X,O,O,O,X
LJITZSO,X,O,O,O,X
LJITZOS,X,O,O,O,X
LJITOSZ,X,O,O,O,X
LJITOZS,X,O,O,O,X
LJISTZO,X,O,O,O,X
LJISTOZ,X,O,O,O,X
LJISZTO,X,O,O,O,X
LJISZOT,O,O,O,O,O
LJISOTZ,O,O,O,O,O
LJISOZT,O,O,O,O,O
LJIZTSO,X,O,O,O,X
LJIZTOS,X,O,O,O,X
LJIZSTO,X,O,O,O,X
LJIZSOT,O,O,O,O,O
LJIZOTS,O,O,O,O,O
LJIZOST,O,O,O,O,O
LJIOTSZ,O,O,O,O,O
LJIOTZS,O,O,O,O,O
LJIOSTZ,O,O,O,O,O
LJIOSZT,O,O,O,O,O
LJIOZTS,O,O,O,O,O
LJIOZST,O,O,O,O,O
LJSTIZO,X,O,O,O,X
LJSTIOZ,X,O,O,O,X
LJSTZIO,X,O,O,O,X
LJSTZOI,X,O,O,O,X
LJSTOIZ,X,O,O,O,X
LJSTOZI,X,O,O,O,X
LJSITZO,X,O,O,O,X
LJSITOZ,X,O,O,O,X
LJSIZTO,X,O,O,O,X
LJSIZOT,O,O,O,O,O
LJSIOTZ,O,O,O,O,O
LJSIOZT,O,O,O,O,O
LJSZTIO,X,O,O,O,X
LJSZTOI,X,O,O,O,X
LJSZITO,X,O,O,O,X
LJSZIOT,O,O,O,O,O
LJSZOTI,O,O,O,O,O
LJSZOIT,O,O,O,O,O
LJSOTIZ,O,O,O,O,O
LJSOTZI,O,O,O,O,O
LJSOITZ,O,O,O,O,O
LJSOIZT,O,O,O,O,O
LJSOZTI,O,O,O,O,O
LJSOZIT,O,O,O,O,O
LJZTISO,X,X,O,O,X
LJZTIOS,X,X,O,O,X
LJZTSIO,X,X,O,O,X
LJZTSOI,X,X,O,O,X
LJZTOIS,X,X,O,O,X
LJZTOSI,X,X,O,O,X
LJZITSO,X,O,O,O,X
LJZITOS,X,O,O,O,X
LJZISTO,X,O,O,O,X
LJZISOT,O,O,O,O,O
LJZIOTS,O,O,O,O,O
LJZIOST,O,O,O,O,O
LJZSTIO,X,O,O,O,X
LJZSTOI,X,O,O,O,X
LJZSITO,X,O,O,O,X
LJZSIOT,O,O,O,O,O
LJZSOTI,O,O,O,O,O
LJZSOIT,O,O,O,O,O
LJZOTIS,O,X,O,O,O
LJZOTSI,O,X,O,O,O
LJZOITS,O,O,O,O,O
LJZOIST,O,O,O,O,O
LJZOSTI,O,O,O,O,O
LJZOSIT,O,O,O,O,O
LJOTISZ,O,X,O,O,O
LJOTIZS,O,X,O,O,O
LJOTSIZ,O,X,O,O,O
LJOTSZI,O,X,O,O,O
LJOTZIS,O,X,O,O,O
LJOTZSI,O,X,O,O,O
LJOITSZ,O,O,O,O,O
LJOITZS,O,O,O,O,O
LJOISTZ,O,O,O,O,O
LJOISZT,O,O,O,O,O
LJOIZTS,O,O,O,O,O
LJOIZST,O,O,O,O,O
LJOSTIZ,O,O,O,O,O
LJOSTZI,O,O,O,O,O
LJOSITZ,O,O,O,O,O
LJOSIZT,O,O,O,O,O
LJOSZTI,O,O,O,O,O
LJOSZIT,O,O,O,O,O
LJOZTIS,O,X,O,O,O
LJOZTSI,O,X,O,O,O
LJOZITS,O,O,O,O,O
LJOZIST,O,O,O,O,O
LJOZSTI,O,O,O,O,O
LJOZSIT,O,O,O,O,O
LSTIJZO,X,O,O,X,X
LSTIJOZ,X,O,O,X,X
LSTIZJO,X,O,O,X,X
LSTIZOJ,X,X,O,X,O
LSTIOJZ,X,X,O,X,O
LSTIOZJ,X,X,O,X,O
LSTJIZO,X,O,O,O,X
LSTJIOZ,X,O,O,O,X
LSTJZIO,X,O,O,O,X
LSTJZOI,X,O,O,O,X
LSTJOIZ,X,O,O,O,X
LSTJOZI,X,O,O,O,X
LSTZIJO,X,O,O,X,X
LSTZIOJ,X,X,O,X,O
LSTZJIO,X,O,O,O,X
LSTZJOI,X,O,O,O,X
LSTZOIJ,X,X,O,X,O
LSTZOJI,X,X,O,X,O
LSTOIJZ,X,X,O,X,O
LSTOIZJ,X,X,O,X,O
LSTOJIZ,X,X,O,X,O
LSTOJZI,X,X,O,X,O
LSTOZIJ,X,X,O,X,O
LSTOZJI,X,X,O,X,O
LSITJZO,X,O,O,X,X
LSITJOZ,X,O,O,X,X
LSITZJO,X,O,O,X,X
LSITZOJ,X,X,O,X,O
LSITOJZ,X,X,O,X,O
LSITOZJ,X,X,O,X,O
LSIJTZO,X,O,O,O,X
LSIJTOZ,X,O,O,O,X
LSIJZTO,X,O,O,O,X
LSIJZOT,O,O,O,O,O
LSIJOTZ,O,O,O,O,O
LSIJOZT,O,O,O,O,O
LSIZTJO,X,O,O,X,X
LSIZTOJ,X,X,O,X,O
LSIZJTO,X,O,O,O,X
LSIZJOT,O,O,O,O,O
LSIZOTJ,O,X,O,X,O
LSIZOJT,O,O,O,X,O
LSIOTJZ,O,X,O,X,O
LSIOTZJ,O,X,O,X,O
LSIOJTZ,O,O,O,X,O
LSIOJZT,O,O,O,X,O
LSIOZTJ,O,X,O,X,O
LSIOZJT,O,O,O,X,O
LSJTIZO,X,O,O,O,X
LSJTIOZ,X,O,O,O,X
LSJTZIO,X,O,O,O,X
LSJTZOI,X,O,O,O,X
LSJTOIZ,X,O,O,O,X
LSJTOZI,X,O,O,O,X
LSJITZO,X,O,O,O,X
LSJITOZ,X,O,O,O,X
LSJIZTO,X,O,O,O,X
LSJIZOT,O,O,O,O,O
LSJIOTZ,O,O,O,O,O
LSJIOZT,O,O,O,O,O
LSJZTIO,X,O,O,O,X
LSJZTOI,X,O,O,O,X
LSJZITO,X,O,O,O,X
LSJZIOT,O,O,O,O,O
LSJZOTI,O,O,O,O,O
LSJZOIT,O,O,O,O,O
LSJOTIZ,O,O,O,O,O
LSJOTZI,O,O,O,O,O
LSJOITZ,O,O,O,O,O
LSJOIZT,O,O,O,O,O
LSJOZTI,O,O,O,O,O
LSJOZIT,O,O,O,O,O
LSZTIJO,X,O,O,X,X
LSZTIOJ,X,X,O,X,O
LSZTJIO,X,O,O,O,X
LSZTJOI,X,O,O,O,X
LSZTOIJ,X,X,O,X,O
LSZTOJI,X,X,O,X,O
LSZITJO,X,O,O,X,X
LSZITOJ,X,X,O,X,O
LSZIJTO,X,O,O,O,X
LSZIJOT,O,O,O,O,O
LSZIOTJ,O,X,O,X,O
LSZIOJT,O,O,O,X,O
LSZJTIO,X,O,O,O,X
LSZJTOI,X,O,O,O,X
LSZJITO,X,O,O,O,X
LSZJIOT,O,O,O,O,O
LSZJOTI,O,O,O,O,O
LSZJOIT,O,O,O,O,O
LSZOTIJ,O,X,O,X,O
LSZOTJI,O,X,O,X,O
LSZOITJ,O,X,O,X,O
LSZOIJT,O,O,O,X,O
LSZOJTI,O,O,O,O,O
LSZOJIT,O,O,O,O,O
LSOTIJZ,O,X,O,X,O
LSOTIZJ,O,X,O,X,O
LSOTJIZ,O,X,O,X,O
LSOTJZI,O,X,O,X,O
LSOTZIJ,O,X,O,X,O
LSOTZJI,O,X,O,X,O
LSOITJZ,O,X,O,X,O
LSOITZJ,O,X,O,X,O
LSOIJTZ,O,O,O,X,O
LSOIJZT,O,O,O,X,O
LSOIZTJ,O,X,O,X,O
LSOIZJT,O,O,O,X,O
LSOJTIZ,O,O,O,O,O
LSOJTZI,O,O,O,O,O
LSOJITZ,O,O,O,O,O
LSOJIZT,O,O,O,O,O
LSOJZTI,O,O,O,O,O
LSOJZIT,O,O,O,O,O
LSOZTIJ,O,X,O,X,O
LSOZTJI,O,X,O,X,O
LSOZITJ,O,X,O,X,O
LSOZIJT,O,O,O,X,O
LSOZJTI,O,O,O,O,O
LSOZJIT,O,O,O,O,O
LZTIJSO,X,X,O,X,X
LZTIJOS,X,X,O,X,X
LZTISJO,X,X,O,X,X
LZTISOJ,X,X,O,X,O
LZTIOJS,X,X,X,X,O
LZTIOSJ,X,X,X,X,O
LZTJISO,X,X,O,O,X
LZTJIOS,X,X,O,O,X
LZTJSIO,X,X,O,O,X
LZTJSOI,X,X,O,O,X
LZTJOIS,X,X,O,O,X
LZTJOSI,X,X,O,O,X
LZTSIJO,X,X,O,X,X
LZTSIOJ,X,X,O,X,O
LZTSJIO,X,X,O,O,X
LZTSJOI,X,X,O,O,X
LZTSOIJ,X,X,O,X,O
LZTSOJI,X,X,O,X,O
LZTOIJS,X,X,X,X,O
LZTOISJ,X,X,X,X,O
LZTOJIS,X,X,X,X,O
LZTOJSI,X,X,X,X,O
LZTOSIJ,X,X,X,X,O
LZTOSJI,X,X,X,X,O
LZITJSO,X,O,O,X,X
LZITJOS,X,O,O,X,X
LZITSJO,X,O,O,X,X
LZITSOJ,X,X,O,X,O
LZITOJS,X,X,X,X,O
LZITOSJ,X,X,X,X,O
LZIJTSO,X,O,O,O,X
LZIJTOS,X,O,O,O,X
LZIJSTO,X,O,O,O,X
LZIJSOT,O,O,O,O,O
LZIJOTS,O,O,O,O,O
LZIJOST,O,O,O,O,O
LZISTJO,X,O,O,X,X
LZISTOJ,X,X,O,X,O
LZISJTO,X,O,O,O,X
LZISJOT,O,O,O,O,O
LZISOTJ,O,X,O,X,O
LZISOJT,O,O,O,X,O
LZIOTJS,O,X,X,X,O
LZIOTSJ,O,X,X,X,O
LZIOJTS,O,O,O,X,O
LZIOJST,O,O,O,X,O
LZIOSTJ,O,X,O,X,O
LZIOSJT,O,O,O,X,O
LZJTISO,X,X,O,O,X
LZJTIOS,X,X,O,O,X
LZJTSIO,X,X,O,O,X
LZJTSOI,X,X,O,O,X
LZJTOIS,X,X,O,O,X
LZJTOSI,X,X,O,O,X
LZJITSO,X,O,O,O,X
LZJITOS,X,O,O,O,X
LZJISTO,X,O,O,O,X
LZJISOT,O,O,O,O,O
LZJIOTS,O,O,O,O,O
LZJIOST,O,O,O,O,O
LZJSTIO,X,O,O,O,X
LZJSTOI,X,O,O,O,X
LZJSITO,X,O,O,O,X
LZJSIOT,O,O,O,O,O
LZJSOTI,O,O,O,O,O
LZJSOIT,O,O,O,O,O
LZJOTIS,O,X,O,O,O
LZJOTSI,O,X,O,O,O
LZJOITS,O,O,O,O,O
LZJOIST,O,O,O,O,O
LZJOSTI,O,O,O,O,O
LZJOSIT,O,O,O,O,O
LZSTIJO,X,O,O,X,X
LZSTIOJ,X,X,O,X,O
LZSTJIO,X,O,O,O,X
LZSTJOI,X,O,O,O,X
LZSTOIJ,X,X,O,X,O
LZSTOJI,X,X,O,X,O
LZSITJO,X,O,O,X,X
LZSITOJ,X,X,O,X,O
LZSIJTO,X,O,O,O,X
LZSIJOT,O,O,O,O,O
LZSIOTJ,O,X,O,X,O
LZSIOJT,O,O,O,X,O
LZSJTIO,X,O,O,O,X
LZSJTOI,X,O,O,O,X
LZSJITO,X,O,O,O,X
LZSJIOT,O,O,O,O,O
LZSJOTI,O,O,O,O,O
LZSJOIT,O,O,O,O,O
LZSOTIJ,O,X,O,X,O
LZSOTJI,O,X,O,X,O
LZSOITJ,O,X,O,X,O
LZSOIJT,O,O,O,X,O
LZSOJTI,O,O,O,O,O
LZSOJIT,O,O,O,O,O
LZOTIJS,O,X,X,X,O
LZOTISJ,O,X,X,X,O
LZOTJIS,O,X,X,X,O
LZOTJSI,O,X,X,X,O
LZOTSIJ,O,X,X,X,O
LZOTSJI,O,X,X,X,O
LZOITJS,O,X,X,X,O
LZOITSJ,O,X,X,X,O
LZOIJTS,O,X,O,X,O
LZOIJST,O,X,O,X,O
LZOISTJ,O,X,O,X,O
LZOISJT,O,X,O,X,O
LZOJTIS,O,X,O,O,O
LZOJTSI,O,X,O,O,O
LZOJITS,O,X,O,O,O
LZOJIST,O,X,O,O,O
LZOJSTI,O,X,O,O,O
LZOJSIT,O,X,O,O,O
LZOSTIJ,O,X,O,X,O
LZOSTJI,O,X,O,X,O
LZOSITJ,O,X,O,X,O
LZOSIJT,O,X,O,X,O
LZOSJTI,O,X,O,O,O
LZOSJIT,O,X,O,O,O
LOTIJSZ,O,X,X,X,O
LOTIJZS,O,X,X,X,O
LOTISJZ,O,X,X,X,O
LOTISZJ,O,X,X,X,O
LOTIZJS,O,X,X,X,O
LOTIZSJ,O,X,X,X,O
LOTJISZ,O,X,X,X,O
LOTJIZS,O,X,X,X,O
LOTJSIZ,O,X,X,X,O
LOTJSZI,O,X,X,X,O
LOTJZIS,O,X,X,X,O
LOTJZSI,O,X,X,X,O
LOTSIJZ,O,X,X,X,O
LOTSIZJ,O,X,X,X,O
LOTSJIZ,O,X,X,X,O
LOTSJZI,O,X,X,X,O
LOTSZIJ,O,X,X,X,O
LOTSZJI,O,X,X,X,O
LOTZIJS,O,X,X,X,O
LOTZISJ,O,X,X,X,O
LOTZJIS,O,X,X,X,O
LOTZJSI,O,X,X,X,O
LOTZSIJ,O,X,X,X,O
LOTZSJI,O,X,X,X,O
LOITJSZ,O,X,X,X,O
LOITJZS,O,X,X,X,O
LOITSJZ,O,X,X,X,O
LOITSZJ,O,X,X,X,O
LOITZJS,O,X,X,X,O
LOITZSJ,O,X,X,X,O
LOIJTSZ,O,X,O,X,O
LOIJTZS,O,X,O,X,O
LOIJSTZ,O,X,O,X,O
LOIJSZT,O,X,O,X,O
LOIJZTS,O,X,O,X,O
LOIJZST,O,X,O,X,O
LOISTJZ,O,X,O,X,O
LOISTZJ,O,X,O,X,O
LOISJTZ,O,X,O,X,O
LOISJZT,O,X,O,X,O
LOISZTJ,O,X,O,X,O
LOISZJT,O,X,O,X,O
LOIZTJS,O,X,X,X,O
LOIZTSJ,O,X,X,X,O
LOIZJTS,O,X,O,X,O
LOIZJST,O,X,O,X,O
LOIZSTJ,O,X,O,X,O
LOIZSJT,O,X,O,X,O
LOJTISZ,O,X,O,O,O
LOJTIZS,O,X,O,O,O
LOJTSIZ,O,X,O,O,O
LOJTSZI,O,X,O,O,O
LOJTZIS,O,X,O,O,O
LOJTZSI,O,X,O,O,O
LOJITSZ,O,X,O,O,O
LOJITZS,O,X,O,O,O
LOJISTZ,O,X,O,O,O
LOJISZT,O,X,O,O,O
LOJIZTS,O,X,O,O,O
LOJIZST,O,X,O,O,O
LOJSTIZ,O,X,O,O,O
LOJSTZI,O,X,O,O,O
LOJSITZ,O,X,O,O,O
LOJSIZT,O,X,O,O,O
LOJSZTI,O,X,O,O,O
LOJSZIT,O,X,O,O,O
LOJZTIS,O,X,O,O,O
LOJZTSI,O,X,O,O,O
LOJZITS,O,X,O,O,O
LOJZIST,O,X,O,O,O
LOJZSTI,O,X,O,O,O
LOJZSIT,O,X,O,O,O
LOSTIJZ,O,X,O,X,O
LOSTIZJ,O,X,O,X,O
LOSTJIZ,O,X,O,X,O
LOSTJZI,O,X,O,X,O
LOSTZIJ,O,X,O,X,O
LOSTZJI,O,X,O,X,O
LOSITJZ,O,X,O,X,O
LOSITZJ,O,X,O,X,O
LOSIJTZ,O,X,O,X,O
LOSIJZT,O,X,O,X,O
LOSIZTJ,O,X,O,X,O
LOSIZJT,O,X,O,X,O
LOSJTIZ,O,X,O,O,O
LOSJTZI,O,X,O,O,O
LOSJITZ,O,X,O,O,O
LOSJIZT,O,X,O,O,O
LOSJZTI,O,X,O,O,O
LOSJZIT,O,X,O,O,O
LOSZTIJ,O,X,O,X,O
LOSZTJI,O,X,O,X,O
LOSZITJ,O,X,O,X,O
LOSZIJT,O,X,O,X,O
LOSZJTI,O,X,O,O,O
LOSZJIT,O,X,O,O,O
LOZTIJS,O,X,X,X,O
LOZTISJ,O,X,X,X,O
LOZTJIS,O,X,X,X,O
LOZTJSI,O,X,X,X,O
LOZTSIJ,O,X,X,X,O
LOZTSJI,O,X,X,X,O
LOZITJS,O,X,X,X,O
LOZITSJ,O,X,X,X,O
LOZIJTS,O,X,O,X,O
LOZIJST,O,X,O,X,O
LOZISTJ,O,X,O,X,O
LOZISJT,O,X,O,X,O
LOZJTIS,O,X,O,O,O
LOZJTSI,O,X,O,O,O
LOZJITS,O,X,O,O,O
LOZJIST,O,X,O,O,O
LOZJSTI,O,X,O,O,O
LOZJSIT,O,X,O,O,O
LOZSTIJ,O,X,O,X,O
LOZSTJI,O,X,O,X,O
LOZSITJ,O,X,O,X,O
LOZSIJT,O,X,O,X,O
LOZSJTI,O,X,O,O,O
LOZSJIT,O,X,O,O,O
JTILSZO,X,O,X,O,X
JTILSOZ,X,O,X,O,X
JTILZSO,X,O,X,O,X
JTILZOS,X,O,X,O,X
JTILOSZ,X,O,X,O,X
JTILOZS,X,O,X,O,X
JTISLZO,X,O,X,O,X
JTISLOZ,X,O,X,O,X
JTISZLO,X,O,X,O,X
JTISZOL,O,O,X,X,X
JTISOLZ,O,O,X,X,X
JTISOZL,O,O,X,X,X
JTIZLSO,X,O,X,O,X
JTIZLOS,X,O,X,O,X
JTIZSLO,X,O,X,O,X
JTIZSOL,O,O,X,X,X
JTIZOLS,O,O,X,X,X
JTIZOSL,O,O,X,X,X
JTIOLSZ,O,O,X,X,X
JTIOLZS,O,O,X,X,X
JTIOSLZ,O,O,X,X,X
JTIOSZL,O,O,X,X,X
JTIOZLS,O,O,X,X,X
JTIOZSL,O,O,X,X,X
JTLISZO,X,X,X,O,X
JTLISOZ,X,X,X,O,X
JTLIZSO,X,X,X,O,X
JTLIZOS,X,X,X,O,X
JTLIOSZ,X,X,X,O,X
JTLIOZS,X,X,X,O,X
JTLSIZO,X,X,X,O,X
JTLSIOZ,X,X,X,O,X
JTLSZIO,X,X,X,O,X
JTLSZOI,X,X,X,O,X
JTLSOIZ,X,X,X,O,X
JTLSOZI,X,X,X,O,X
JTLZISO,X,X,X,O,X
JTLZIOS,X,X,X,O,X
JTLZSIO,X,X,X,O,X
JTLZSOI,X,X,X,O,X
JTLZOIS,X,X,X,O,X
JTLZOSI,X,X,X,O,X
JTLOISZ,X,X,X,O,X
JTLOIZS,X,X,X,O,X
JTLOSIZ,X,X,X,O,X
JTLOSZI,X,X,X,O,X
JTLOZIS,X,X,X,O,X
JTLOZSI,X,X,X,O,X
JTSILZO,X,O,X,O,X
JTSILOZ,X,O,X,O,X
JTSIZLO,X,O,X,O,X
JTSIZOL,O,O,X,X,X
JTSIOLZ,O,O,X,X,X
JTSIOZL,O,O,X,X,X
JTSLIZO,X,O,X,O,X
JTSLIOZ,X,O,X,O,X
JTSLZIO,X,O,X,O,X
JTSLZOI,X,O,X,O,X
JTSLOIZ,X,O,X,O,X
JTSLOZI,X,O,X,O,X
JTSZILO,X,O,X,O,X
JTSZIOL,O,O,X,X,X
JTSZLIO,X,O,X,O,X
JTSZLOI,X,O,X,O,X
JTSZOIL,O,O,X,X,X
JTSZOLI,O,O,X,X,X
JTSOILZ,O,O,X,X,X
JTSOIZL,O,O,X,X,X
JTSOLIZ,O,O,X,X,X
JTSOLZI,O,O,X,X,X
JTSOZIL,O,O,X,X,X
JTSOZLI,O,O,X,X,X
JTZILSO,X,O,X,O,X
JTZILOS,X,O,X,O,X
JTZISLO,X,O,X,O,X
JTZISOL,O,O,X,X,X
JTZIOLS,O,O,X,X,X
JTZIOSL,O,O,X,X,X
JTZLISO,X,X,X,O,X
JTZLIOS,X,X,X,O,X
JTZLSIO,X,X,X,O,X
JTZLSOI,X,X,X,O,X
JTZLOIS,X,X,X,O,X
JTZLOSI,X,X,X,O,X
JTZSILO,X,O,X,O,X
JTZSIOL,O,O,X,X,X
JTZSLIO,X,O,X,O,X
JTZSLOI,X,O,X,O,X
JTZSOIL,O,O,X,X,X
JTZSOLI,O,O,X,X,X
JTZOILS,O,O,X,X,X
JTZOISL,O,O,X,X,X
JTZOLIS,O,X,X,X,X
JTZOLSI,O,X,X,X,X
JTZOSIL,O,O,X,X,X
JTZOSLI,O,O,X,X,X
JTOILSZ,O,O,X,X,X
JTOILZS,O,O,X,X,X
JTOISLZ,O,O,X,X,X
JTOISZL,O,O,X,X,X
JTOIZLS,O,O,X,X,X
JTOIZSL,O,O,X,X,X
JTOLISZ,O,X,X,X,X
JTOLIZS,O,X,X,X,X
JTOLSIZ,O,X,X,X,X
JTOLSZI,O,X,X,X,X
JTOLZIS,O,X,X,X,X
JTOLZSI,O,X,X,X,X
