sequence,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeKDJvhF6eBTPB?JQBuaBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeTDJvhFKZB6UB?JQBuaBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeKDJvhF6eBJQB?uaBzLBUhBXdB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8JeaDJvhFvaBeRB?TLBUhBqcBpeB,v115@9gA8FeA8BeB8DeB8BeB8AeJ8AeF8Jeq8IvhFKYBTjB?fZBJQBuaBUhB
comments,L_tetraminoO_tetramino,O_tetraminoL_tetraminoL_tetramino,J_tetraminoO_tetramino,S_tetraminoO_tetraminoJ_tetramino,O_tetraminoS_tetramino
LTILJSZO,O,X,O,X,X
LTILJSOZ,O,X,O,X,X
LTILJZSO,O,X,O,X,X
LTILJZOS,O,X,O,X,O
LTILJOSZ,O,X,O,X,O
LTILJOZS,O,X,O,X,O
LTILSJZO,O,X,O,O,X
LTILSJOZ,O,X,O,O,X
LTILSZJO,O,X,O,O,X
LTILSZOJ,O,X,X,O,X
LTILSOJZ,O,X,X,O,X
LTILSOZJ,O,X,X,O,X
LTILZJSO,O,X,O,X,X
LTILZJOS,O,X,O,X,O
LTILZSJO,O,X,O,O,X
LTILZSOJ,O,X,X,O,X
LTILZOJS,O,X,X,X,O
LTILZOSJ,O,X,X,X,O
LTILOJSZ,O,X,X,X,O
LTILOJZS,O,X,X,X,O
LTILOSJZ,O,X,X,X,O
LTILOSZJ,O,X,X,X,O
LTILOZJS,O,X,X,X,O
LTILOZSJ,O,X,X,X,O
LTIJLSZO,O,X,O,X,X
LTIJLSOZ,O,X,O,X,X
LTIJLZSO,O,X,O,X,X
LTIJLZOS,O,X,O,X,O
LTIJLOSZ,O,X,O,X,O
LTIJLOZS,O,X,O,X,O
LTIJSLZO,O,X,O,X,X
LTIJSLOZ,O,X,O,X,X
LTIJSZLO,O,X,O,X,X
LTIJSZOL,X,X,O,X,X
LTIJSOLZ,X,X,O,X,X
LTIJSOZL,X,X,O,X,X
LTIJZLSO,O,X,O,X,X
LTIJZLOS,O,X,O,X,O
LTIJZSLO,O,X,O,X,X
LTIJZSOL,X,X,O,X,X
LTIJZOLS,X,X,O,X,O
LTIJZOSL,X,X,O,X,O
LTIJOLSZ,X,X,O,X,O
LTIJOLZS,X,X,O,X,O
LTIJOSLZ,X,X,O,X,O
LTIJOSZL,X,X,O,X,O
LTIJOZLS,X,X,O,X,O
LTIJOZSL,X,X,O,X,O
LTISLJZO,O,X,O,O,X
LTISLJOZ,O,X,O,O,X
LTISLZJO,O,X,O,O,X
LTISLZOJ,O,X,X,O,X
LTISLOJZ,O,X,X,O,X
LTISLOZJ,O,X,X,O,X
LTISJLZO,O,X,O,O,X
LTISJLOZ,O,X,O,O,X
LTISJZLO,O,X,O,O,X
LTISJZOL,X,X,O,O,X
LTISJOLZ,X,X,O,O,X
LTISJOZL,X,X,O,O,X
LTISZLJO,O,X,O,O,X
