sequence,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBMrBuqBvpBaqB?,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBMrBWvB3qBipB?,v115@RhA8DeA8BeH8BeB8JepHJvhFJnBToBvpByvBUqBGrB?,v115@RhA8DeA8BeH8BeB8JeTMJvhFxsBxnByvBGmBvpBUqB?,v115@RhA8DeA8BeH8BeB8JeTMJvhFxsBxnBWvBikBMrB3qB?,v115@RhA8DeA8BeH8BeB8JeTDJvhFOsBXmBxkB0kBxlB6sB?,v115@RhA8DeA8BeH8BeB8JeTDJvhF6sBxlB0kBxkBXmBOsB?
ITILJSZO,X,X,O,O,X,X,X
ITILJSOZ,X,X,O,X,X,X,X
ITILJZSO,X,O,X,X,O,X,X
ITILJZOS,X,O,X,X,X,X,X
ITILJOSZ,X,X,O,X,X,X,X
ITILJOZS,X,O,X,X,X,X,X
ITILSJZO,X,X,O,O,X,X,X
ITILSJOZ,X,X,O,X,X,X,X
ITILSZJO,X,X,O,O,X,X,X
ITILSZOJ,X,X,O,X,X,X,X
ITILSOJZ,X,X,O,X,X,X,X
ITILSOZJ,X,X,O,X,X,X,X
ITILZJSO,X,O,X,X,O,X,X
ITILZJOS,X,O,X,X,X,X,X
ITILZSJO,X,X,X,X,O,X,X
ITILZSOJ,X,O,X,X,X,X,X
ITILZOJS,X,O,X,X,X,X,X
ITILZOSJ,X,O,X,X,X,X,X
ITILOJSZ,X,X,O,X,X,X,X
ITILOJZS,X,O,X,X,X,X,X
ITILOSJZ,X,X,O,X,X,X,X
ITILOSZJ,X,X,O,X,X,X,X
ITILOZJS,X,O,X,X,X,X,X
ITILOZSJ,X,O,X,X,X,X,X
ITIJLSZO,X,X,O,O,X,X,X
ITIJLSOZ,X,X,O,X,X,X,X
ITIJLZSO,X,O,X,X,O,X,X
ITIJLZOS,X,O,X,X,X,X,X
ITIJLOSZ,X,X,O,X,X,X,X
ITIJLOZS,X,O,X,X,X,X,X
ITIJSLZO,X,X,O,O,X,X,X
ITIJSLOZ,X,X,O,X,X,X,X
ITIJSZLO,X,X,X,O,X,X,X
ITIJSZOL,X,X,O,X,X,X,X
ITIJSOLZ,X,X,O,X,X,X,X
ITIJSOZL,X,X,O,X,X,X,X
ITIJZLSO,X,O,X,X,O,X,X
ITIJZLOS,X,O,X,X,X,X,X
ITIJZSLO,X,O,X,X,O,X,X
ITIJZSOL,X,O,X,X,X,X,X
ITIJZOLS,X,O,X,X,X,X,X
ITIJZOSL,X,O,X,X,X,X,X
ITIJOLSZ,X,X,O,X,X,X,X
ITIJOLZS,X,O,X,X,X,X,X
ITIJOSLZ,X,X,O,X,X,X,X
ITIJOSZL,X,X,O,X,X,X,X
ITIJOZLS,X,O,X,X,X,X,X
ITIJOZSL,X,O,X,X,X,X,X
ITISLJZO,X,X,O,O,X,X,X
ITISLJOZ,X,X,O,X,X,X,X
ITISLZJO,O,X,O,O,X,X,X
ITISLZOJ,O,X,O,X,X,X,X
ITISLOJZ,X,X,O,X,X,X,X
ITISLOZJ,O,X,O,X,X,X,X
ITISJLZO,X,X,O,O,X,X,X
ITISJLOZ,X,X,O,X,X,X,X
ITISJZLO,X,X,X,O,X,X,X
ITISJZOL,X,X,O,X,X,X,X
ITISJOLZ,X,X,O,X,X,X,X
ITISJOZL,X,X,O,X,X,X,X
ITISZLJO,O,X,O,O,X,X,X
ITISZLOJ,O,X,O,X,X,X,X
ITISZJLO,O,X,X,O,X,X,X
ITISZJOL,O,X,O,X,X,X,X
ITISZOLJ,O,X,O,X,X,X,X
ITISZOJL,O,X,O,X,X,X,X
ITISOLJZ,X,X,O,X,X,X,X
ITISOLZJ,O,X,O,X,X,X,X
ITISOJLZ,X,X,O,X,X,X,X
ITISOJZL,X,X,O,X,X,X,X
ITISOZLJ,O,X,O,X,X,X,X
ITISOZJL,O,X,O,X,X,X,X
ITIZLJSO,X,O,X,X,O,X,X
ITIZLJOS,X,O,X,X,X,X,X
ITIZLSJO,X,X,X,X,O,X,X
ITIZLSOJ,X,O,X,X,X,X,X
ITIZLOJS,X,O,X,X,X,X,X
ITIZLOSJ,X,O,X,X,X,X,X
ITIZJLSO,X,O,X,X,O,X,X
ITIZJLOS,X,O,X,X,X,X,X
ITIZJSLO,O,O,X,X,O,X,X
ITIZJSOL,O,O,X,X,X,X,X
ITIZJOLS,X,O,X,X,X,X,X
ITIZJOSL,O,O,X,X,X,X,X
ITIZSLJO,O,X,X,X,O,X,X
ITIZSLOJ,O,O,X,X,X,X,X
ITIZSJLO,O,O,X,X,O,X,X
ITIZSJOL,O,O,X,X,X,X,X
ITIZSOLJ,O,O,X,X,X,X,X
ITIZSOJL,O,O,X,X,X,X,X
ITIZOLJS,X,O,X,X,X,X,X
ITIZOLSJ,X,O,X,X,X,X,X
ITIZOJLS,X,O,X,X,X,X,X
ITIZOJSL,O,O,X,X,X,X,X
ITIZOSLJ,O,O,X,X,X,X,X
ITIZOSJL,O,O,X,X,X,X,X
ITIOLJSZ,X,X,O,X,X,X,X
ITIOLJZS,X,O,X,X,X,X,X
ITIOLSJZ,X,X,O,X,X,X,X
ITIOLSZJ,X,X,O,X,X,X,X
ITIOLZJS,X,O,X,X,X,X,X
ITIOLZSJ,X,O,X,X,X,X,X
ITIOJLSZ,X,X,O,X,X,X,X
ITIOJLZS,X,O,X,X,X,X,X
ITIOJSLZ,X,X,O,X,X,X,X
ITIOJSZL,X,X,O,X,X,X,X
ITIOJZLS,X,O,X,X,X,X,X
ITIOJZSL,X,O,X,X,X,X,X
ITIOSLJZ,X,X,O,X,X,X,X
ITIOSLZJ,O,X,O,X,X,X,X
ITIOSJLZ,X,X,O,X,X,X,X
ITIOSJZL,X,X,O,X,X,X,X
ITIOSZLJ,O,X,O,X,X,X,X
ITIOSZJL,O,X,O,X,X,X,X
ITIOZLJS,X,O,X,X,X,X,X
ITIOZLSJ,X,O,X,X,X,X,X
ITIOZJLS,X,O,X,X,X,X,X
ITIOZJSL,O,O,X,X,X,X,X
ITIOZSLJ,O,O,X,X,X,X,X
ITIOZSJL,O,O,X,X,X,X,X
ITLIJSZO,X,X,O,O,X,X,X
ITLIJSOZ,X,X,O,X,X,X,X
ITLIJZSO,X,O,X,X,O,X,X
ITLIJZOS,X,O,X,X,X,X,X
ITLIJOSZ,X,X,O,X,X,X,X
ITLIJOZS,X,O,X,X,X,X,X
ITLISJZO,X,X,O,O,X,X,X
ITLISJOZ,X,X,O,X,X,X,X
